formno	commid	rsid	ageres	sexres	capac	livres	ethres
R1COMM	VN001	1	39	1	2	39	1
R1COMM	VN001	2	36	2	3	32	1
R1COMM	VN001	3	38	1	2	38	1
R1COMM	VN001	4	32	2	3	9	1
R1COMM	VN001	5	34	1	7	7	1
R1COMM	VN001	6	24	2	7	3	1
R1COMM	VN001	7	40	1	7	40	1
R1COMM	VN001	8	36	2	7	15	1
R1COMM	VN001	9	54	1	7	50	1
R1COMM	VN001	10	49	2	7	49	1
R1COMM	VN001	11	53	2	7	43	1
R1COMM	VN002	1	38	1	2	38	1
R1COMM	VN002	2	33	2	3	33	1
R1COMM	VN002	3	32	2	3	4	1
R1COMM	VN002	4	25	2	7	25	1
R1COMM	VN002	5	22	2	7	22	1
R1COMM	VN002	6	24	2	7	24	1
R1COMM	VN002	7	63	2	7	53	1
R1COMM	VN002	8	24	2	7	24	1
R1COMM	VN002	9	30	2	7	11	1
R1COMM	VN002	10	28	1	7	28	1
R1COMM	VN002	11	26	2	7	6	1
R1COMM	VN002	12	27	2	7	3	1
R1COMM	VN003	1	48	1	2	27	1
R1COMM	VN003	2	42	1	1	27	1
R1COMM	VN003	3	34	2	3	8	1
R1COMM	VN003	4	28	2	7	28	1
R1COMM	VN003	5	31	2	3	9	1
R1COMM	VN003	6	29	2	7	29	1
R1COMM	VN003	7	27	2	7	3	1
R1COMM	VN003	8	46	2	7	26	1
R1COMM	VN003	9	19	2	7	19	1
R1COMM	VN003	10	39	1	7	18	1
R1COMM	VN003	11	53	2	7	23	1
R1COMM	VN003	12	31	2	7	9	1
R1COMM	VN004	1	53	1	2	53	1
R1COMM	VN004	2	41	1	2	41	1
R1COMM	VN004	3	47	2	7	47	1
R1COMM	VN004	4	47	2	7	47	1
R1COMM	VN004	5	29	2	7	0	1
R1COMM	VN004	6	44	2	7	44	1
R1COMM	VN004	7	25	2	7	25	1
R1COMM	VN004	8	37	2	7	37	1
R1COMM	VN004	9	37	2	7	37	1
R1COMM	VN004	10	36	1	7	36	1
R1COMM	VN004	11	22	2	7	0	1
R1COMM	VN005	1	42	1	2	39	1
R1COMM	VN005	2	33	1	1	33	5
R1COMM	VN005	3	32	2	3	22	1
