formno	commid	factid	factyp	factsz	factwgm	factwgf	factwgc
R1COMM	VN001	1	5	600	15000	10000	0
R1COMM	VN013	1	8	700	30000	30000	0
R1COMM	VN013	2	8	300	30000	30000	0
R1COMM	VN030	1	 	800	22000	22000	0
