formno	commid	disid	anydis	szdis	disrel	rel1	rel2	rel3	rel4
R1COMM	VN001	1	2	80	1	1	2	4	5
R1COMM	VN001	2	6	60	1	1	2	5	3
R1COMM	VN002	1	2	100	1	1	2	3	4
R1COMM	VN002	2	7	15	1	1	2	3	5
R1COMM	VN002	3	6	50	2	8	8	8	8
R1COMM	VN002	4	3	50	1	1	 	 	 
R1COMM	VN003	1	2	30	1	1	2	 	 
R1COMM	VN003	2	3	45	1	7	 	 	 
R1COMM	VN004	1	2	80	1	1	2	 	 
R1COMM	VN005	1	2	60	1	2	3	 	 
R1COMM	VN005	2	3	60	1	7	 	 	 
R1COMM	VN005	3	6	60	1	7	 	 	 
R1COMM	VN006	1	2	70	1	1	2	4	3
R1COMM	VN006	2	3	70	2	8	8	8	8
R1COMM	VN007	1	2	5	1	1	2	4	 
R1COMM	VN007	2	3	90	2	8	8	8	8
R1COMM	VN008	1	2	2	1	1	2	3	4
R1COMM	VN008	2	7	75	1	7	 	 	 
R1COMM	VN009	1	2	0	2	8	8	8	8
R1COMM	VN009	2	6	100	2	8	8	8	8
R1COMM	VN010	1	6	0	2	8	8	8	8
R1COMM	VN011	1	2	0	1	1	2	5	6
R1COMM	VN012	1	2	8	1	1	5	 	 
R1COMM	VN012	2	3	27	2	8	8	8	8
R1COMM	VN012	3	6	50	2	8	8	8	8
R1COMM	VN014	1	6	80	2	8	8	8	8
R1COMM	VN014	2	2	0	2	8	8	8	8
R1COMM	VN015	1	7	12	1	1	2	 	 
R1COMM	VN016	1	2	4	1	5	 	 	 
R1COMM	VN016	2	4	0	2	8	8	8	8
R1COMM	VN017	1	6	10	1	1	 	 	 
R1COMM	VN018	1	6	5	1	1	 	 	 
R1COMM	VN019	1	2	2	2	8	8	8	8
R1COMM	VN019	2	4	2	2	8	8	8	8
R1COMM	VN020	1	6	1	1	1	2	 	 
R1COMM	VN021	1	7	40	1	1	2	3	 
R1COMM	VN022	1	6	10	1	7	 	 	 
R1COMM	VN025	1	6	90	2	8	8	8	8
R1COMM	VN027	1	7	100	1	3	 	 	 
R1COMM	VN028	1	6	16	1	2	 	 	 
R1COMM	VN030	1	6	30	1	2	4	3	 
R1COMM	VN031	1	2	0	1	1	2	 	 
