formno	commid	payid	schid	tuition	repairs	otherfee
R1COMM	VN001	1	 	0	100000	30000
R1COMM	VN001	2	 	78000	150000	35000
R1COMM	VN001	3	 	132000	170000	50000
R1COMM	VN002	1	 	0	81000	30000
R1COMM	VN002	2	 	61000	205000	39000
R1COMM	VN002	3	 	90000	215000	45000
R1COMM	VN003	1	 	0	48000	14000
R1COMM	VN003	2	 	40000	64700	78000
R1COMM	VN003	3	 	72000	79000	90000
R1COMM	VN004	1	 	0	60000	25000
R1COMM	VN004	2	 	45000	85000	25000
R1COMM	VN004	3	 	58000	90000	35000
R1COMM	VN005	1	 	0	61150	10000
R1COMM	VN005	2	 	49500	70650	15000
R1COMM	VN005	3	 	360000	78000	20000
R1COMM	VN006	1	 	0	100000	22000
R1COMM	VN006	2	 	63000	150000	50000
R1COMM	VN006	3	 	80000	200000	70000
R1COMM	VN007	1	 	0	47000	80000
R1COMM	VN007	2	 	40000	120000	85000
R1COMM	VN007	3	 	45000	165000	105000
R1COMM	VN008	1	 	0	94000	40000
R1COMM	VN008	2	 	45000	180000	40000
R1COMM	VN008	3	 	81000	280000	60000
R1COMM	VN009	1	 	0	120000	40000
R1COMM	VN009	2	 	0	265000	85000
R1COMM	VN010	1	 	0	46000	76000
R1COMM	VN010	2	 	45000	50000	81000
R1COMM	VN010	3	 	63000	70000	83000
R1COMM	VN011	1	 	0	61000	40000
R1COMM	VN011	2	 	45000	73000	40000
R1COMM	VN011	3	 	65000	90000	80000
R1COMM	VN012	1	 	0	120000	40000
R1COMM	VN012	2	 	40000	120000	45000
R1COMM	VN012	3	 	63000	120000	65000
R1COMM	VN013	1	 	0	82000	42000
R1COMM	VN013	2	 	45000	95000	45000
R1COMM	VN013	3	 	63000	130000	60000
R1COMM	VN014	1	 	40000	44000	21000
R1COMM	VN014	2	 	45000	67000	40000
R1COMM	VN015	1	 	0	0	0
R1COMM	VN015	2	 	0	0	0
R1COMM	VN015	3	 	0	0	0
R1COMM	VN016	1	 	0	110000	12000
R1COMM	VN016	2	 	18000	130000	13500
R1COMM	VN016	3	 	0	0	80000
R1COMM	VN017	1	 	0	0	4000
R1COMM	VN017	2	 	36000	0	4000
R1COMM	VN018	1	 	0	0	4000
R1COMM	VN018	2	 	0	0	4000
R1COMM	VN019	1	 	0	30000	10000
R1COMM	VN019	2	 	0	100000	20000
R1COMM	VN020	1	 	0	70000	25000
R1COMM	VN020	2	 	0	140000	20000
R1COMM	VN020	3	 	0	0	0
R1COMM	VN021	1	 	0	0	10000
R1COMM	VN021	2	 	0	0	10000
R1COMM	VN021	3	 	0	0	10000
R1COMM	VN022	1	 	0	100000	50000
R1COMM	VN022	2	 	96000	120000	65000
R1COMM	VN022	3	 	192000	180000	100000
R1COMM	VN023	1	 	0	95000	30000
R1COMM	VN023	2	 	72000	100000	45000
R1COMM	VN023	3	 	135000	160000	50000
R1COMM	VN024	1	 	0	105000	15000
R1COMM	VN024	2	 	42000	120000	17000
R1COMM	VN024	3	 	0	0	0
R1COMM	VN025	1	 	0	80000	20000
R1COMM	VN025	2	 	72000	60000	25000
R1COMM	VN025	3	 	117000	170000	30000
R1COMM	VN026	1	 	0	30000	20000
R1COMM	VN026	2	 	180000	80000	30000
R1COMM	VN026	3	 	200000	150000	100000
R1COMM	VN027	1	 	0	92000	10000
R1COMM	VN027	2	 	72000	132000	34000
R1COMM	VN027	3	 	90000	102000	46000
R1COMM	VN028	1	 	0	65000	80000
R1COMM	VN028	2	 	80000	75000	100000
R1COMM	VN028	3	 	180000	100000	100000
R1COMM	VN029	1	 	0	600000	150000
R1COMM	VN029	2	 	80000	75000	100000
R1COMM	VN029	3	 	180000	105000	100000
R1COMM	VN030	1	 	0	45000	40000
R1COMM	VN030	2	 	108000	75000	70000
R1COMM	VN030	3	 	180000	105000	100000
R1COMM	VN031	1	 	0	65000	80000
R1COMM	VN031	2	 	80000	75000	100000
R1COMM	VN031	3	 	180000	100000	100000
