formno	commid	toil1	toil2	toil3	toil4	toil5	v4030501	v4030502	v4031521	v4031522	v4031523	v4031524	v4031525	water1	water2	water3	water4	water5	garb1	garb2	garb3	garb4	garb5	cansel	shop1	shop2	shop3	shop4	shop5	shop6	road1	road2	road3	road4	road5	road6	frqpass	v4031503	v4031504	pubtran1	pubtran2	pubtran3	pubtran4	pubtran5	pubtran6	pubtran7	pubtran8	pubtran9	v4031610	v4031611	outtran	dispub	frqpub	prog	comgrp1	comgrp2	comgrp3	comgrp4	comgrp5	comgrp6	comgrp7	comgrp8	v403219
R1COMM	VN011	1	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	 	1	1	1	 	1	 	 	1	1	1	 	1	1	1	1	 	 	12	 	 	 	 	 	 	 	 	1	1	1	1	 	1	1	1	1	 	 	 	1	1	 	1	1	 
R1COMM	VN012	1	 	 	 	1	2	1	 	1	1	1	1	 	 	 	 	1	 	1	1	1	 	1	 	 	1	1	1	 	1	1	1	1	 	 	12	 	 	 	 	 	 	 	 	 	1	1	1	1	1	1	1	1	 	 	 	1	1	1	1	 	 
R1COMM	VN013	1	 	 	 	1	1	1	 	1	1	1	1	 	 	 	1	1	 	1	1	1	 	1	 	 	1	1	1	 	1	1	1	1	 	 	12	 	 	 	 	 	 	 	 	1	1	 	1	1	1	1	1	1	 	 	 	1	1	1	1	1	 
R1COMM	VN014	1	 	 	 	1	2	1	1	 	1	1	 	1	1	 	1	1	1	1	1	1	1	1	 	1	1	1	1	 	1	1	1	1	 	 	12	 	 	 	 	 	 	 	 	1	1	1	1	1	1	1	1	1	 	 	1	1	1	 	1	1	 
R1COMM	VN015	 	 	 	1	 	3	3	 	 	 	1	 	 	 	 	1	1	 	 	 	 	1	1	 	 	 	1	 	1	 	 	1	 	 	 	12	 	 	 	 	 	 	 	 	1	 	 	1	 	1	3	4	1	 	1	 	1	1	 	 	 	 
R1COMM	VN016	 	1	 	1	 	3	2	1	1	1	1	 	 	1	 	 	1	 	1	 	 	1	1	 	1	1	1	1	 	1	 	1	1	 	 	12	 	 	 	 	 	 	 	 	1	1	 	1	1	1	1	1	1	 	 	1	1	1	 	1	 	 
R1COMM	VN017	 	1	 	1	1	3	2	1	 	1	1	 	 	 	 	 	1	 	1	 	 	 	1	 	1	1	1	 	 	1	 	1	 	 	 	12	 	 	 	 	 	 	 	 	1	 	 	1	1	1	1	1	1	 	 	 	1	1	 	1	 	 
R1COMM	VN018	1	1	 	1	 	2	1	1	 	 	 	 	 	 	 	 	1	 	 	 	1	 	1	 	 	1	1	1	 	1	1	1	 	 	 	12	 	 	 	 	 	 	 	 	 	 	 	1	1	2	8	8	1	 	 	 	1	1	1	1	 	 
R1COMM	VN019	 	 	 	1	 	3	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	2	 	 	1	1	 	 	 	1	1	 	 	 	0	0	3	 	 	 	 	 	 	1	 	 	1	1	1	1	1	1	 	 	1	1	1	 	 	 	 
R1COMM	VN020	 	1	 	 	 	3	1	 	 	 	1	 	 	1	 	 	1	 	1	 	 	1	1	 	 	 	1	1	 	 	 	1	 	 	 	6	 	 	 	 	 	 	 	 	1	 	 	1	 	1	2	4	1	 	 	 	1	1	 	1	 	 
R1COMM	VN021	 	1	 	 	 	2	2	 	 	1	 	 	 	1	 	 	 	 	1	 	 	 	1	 	 	 	1	 	 	 	1	 	 	 	 	12	 	 	 	 	 	1	 	 	1	 	 	 	 	1	1	1	1	 	1	 	1	 	1	1	 	 
R1COMM	VN022	 	 	 	 	1	1	1	 	1	1	1	 	 	1	 	 	 	1	 	 	 	 	1	 	1	1	1	1	 	1	 	 	 	 	 	12	 	 	 	 	 	 	 	 	1	 	 	1	1	1	1	1	1	 	1	1	1	1	 	1	1	 
R1COMM	VN023	 	 	 	 	1	1	1	 	1	1	1	 	 	1	 	 	 	 	 	 	 	1	1	 	1	 	1	1	 	 	1	 	 	 	 	12	 	 	 	 	 	 	 	 	1	 	 	1	 	2	8	8	1	 	 	1	1	1	 	1	1	 
R1COMM	VN024	1	 	 	 	1	2	1	 	1	1	1	1	 	1	 	 	1	 	1	 	1	 	1	 	 	1	1	1	 	1	1	 	1	 	1	12	 	 	 	 	 	 	 	 	1	1	 	1	1	1	1	1	1	 	 	1	1	1	 	1	1	1
R1COMM	VN025	 	 	 	 	1	1	1	 	 	1	1	 	 	1	 	 	1	 	 	 	 	1	1	 	 	1	1	1	1	1	1	1	 	 	 	12	 	 	 	 	 	 	 	 	1	 	 	 	1	1	1	1	1	 	 	1	1	1	1	1	 	 
R1COMM	VN026	 	 	 	 	1	1	1	 	 	1	1	1	 	 	 	 	1	 	1	 	1	 	1	 	 	1	1	1	 	1	1	1	 	 	 	12	 	 	 	1	1	 	 	 	 	 	 	1	 	1	1	1	1	 	 	1	1	1	1	1	1	1
R1COMM	VN027	1	1	1	 	1	1	1	 	 	 	1	 	 	1	 	 	1	 	1	 	 	 	1	 	 	1	1	1	 	 	1	1	 	 	 	12	 	 	 	 	 	 	 	 	1	 	 	1	 	1	2	4	1	 	1	1	1	1	1	1	1	 
R1COMM	VN028	1	 	 	 	 	2	1	1	1	1	1	 	1	 	 	 	 	1	 	 	 	 	1	1	 	1	1	1	 	1	1	 	 	 	 	12	 	 	 	1	1	 	1	1	1	 	 	1	 	1	1	1	1	 	1	1	1	1	 	1	1	 
R1COMM	VN029	1	 	 	1	 	3	1	 	1	1	1	 	1	1	 	 	 	1	 	1	 	 	1	1	 	1	1	1	 	1	 	 	 	 	 	12	 	 	 	1	1	 	1	1	1	 	 	1	1	1	1	1	1	 	1	 	1	1	1	1	1	1
R1COMM	VN030	1	1	 	1	 	1	1	1	1	1	1	 	1	1	 	 	 	1	1	1	1	 	1	 	 	1	1	1	 	1	1	1	1	 	 	12	 	 	 	1	 	 	1	 	1	1	 	1	 	1	1	1	1	 	1	1	1	1	1	1	1	 
R1COMM	VN031	1	 	 	1	 	1	1	1	1	1	1	 	1	 	 	 	 	1	1	1	 	 	1	1	1	1	1	1	 	1	1	1	 	 	 	12	 	 	 	1	1	1	1	1	1	 	 	1	 	1	1	1	1	 	1	1	1	1	1	1	1	 
