formno	commid	monid	sufood	litwork	lotwrk	movwork
R1COMM	VN001	1	2	2	2	1
R1COMM	VN001	2	2	2	2	1
R1COMM	VN001	3	2	1	2	2
R1COMM	VN001	4	2	1	2	2
R1COMM	VN001	5	2	2	1	1
R1COMM	VN001	6	2	2	1	1
R1COMM	VN001	7	2	2	2	1
R1COMM	VN001	8	2	1	2	2
R1COMM	VN001	9	2	1	2	2
R1COMM	VN001	10	2	1	2	2
R1COMM	VN001	11	2	1	2	2
R1COMM	VN001	12	2	1	2	2
R1COMM	VN002	1	2	1	1	1
R1COMM	VN002	2	2	1	1	1
R1COMM	VN002	3	2	1	1	2
R1COMM	VN002	4	2	1	1	2
R1COMM	VN002	5	2	1	1	2
R1COMM	VN002	6	2	1	1	2
R1COMM	VN002	7	2	1	1	2
R1COMM	VN002	8	2	1	1	2
R1COMM	VN002	9	2	1	2	2
R1COMM	VN002	10	1	2	2	2
R1COMM	VN002	11	1	2	2	2
R1COMM	VN002	12	1	2	2	2
R1COMM	VN003	1	2	1	2	2
R1COMM	VN003	2	2	1	1	2
R1COMM	VN003	3	2	1	1	2
R1COMM	VN003	4	2	1	2	2
R1COMM	VN003	5	2	1	2	2
R1COMM	VN003	6	2	1	2	2
R1COMM	VN003	7	2	1	2	2
R1COMM	VN003	8	2	2	2	2
R1COMM	VN003	9	1	2	2	1
R1COMM	VN003	10	1	2	2	1
R1COMM	VN003	11	2	1	2	2
R1COMM	VN003	12	2	1	1	2
R1COMM	VN004	1	1	1	1	2
R1COMM	VN004	2	1	1	1	2
R1COMM	VN004	3	1	1	1	2
R1COMM	VN004	4	1	1	1	2
R1COMM	VN004	5	1	1	1	2
R1COMM	VN004	6	1	1	1	2
R1COMM	VN004	7	1	1	1	2
R1COMM	VN004	8	1	1	1	2
R1COMM	VN004	9	2	1	2	2
R1COMM	VN004	10	2	2	2	2
R1COMM	VN004	11	2	2	2	2
R1COMM	VN004	12	2	2	2	2
R1COMM	VN005	1	2	1	1	2
R1COMM	VN005	2	2	1	1	2
R1COMM	VN005	3	2	1	1	2
R1COMM	VN005	4	2	1	1	2
R1COMM	VN005	5	2	1	1	2
R1COMM	VN005	6	2	1	1	2
R1COMM	VN005	7	2	1	1	2
R1COMM	VN005	8	2	2	2	2
R1COMM	VN005	9	2	2	2	2
R1COMM	VN005	10	2	2	2	2
R1COMM	VN005	11	1	1	2	2
R1COMM	VN005	12	1	1	2	2
R1COMM	VN006	1	2	2	2	2
R1COMM	VN006	2	2	2	2	2
R1COMM	VN006	3	2	1	1	2
R1COMM	VN006	4	2	1	2	2
R1COMM	VN006	5	2	1	2	2
R1COMM	VN006	6	2	1	1	2
R1COMM	VN006	7	2	1	2	2
R1COMM	VN006	8	2	1	2	1
R1COMM	VN006	9	2	2	2	1
R1COMM	VN006	10	1	2	2	2
R1COMM	VN006	11	1	2	2	2
R1COMM	VN006	12	1	2	2	2
R1COMM	VN007	1	2	2	1	2
R1COMM	VN007	2	2	2	1	2
R1COMM	VN007	3	2	2	1	2
R1COMM	VN007	4	2	1	2	2
R1COMM	VN007	5	2	1	2	2
R1COMM	VN007	6	2	2	1	1
R1COMM	VN007	7	2	2	1	1
R1COMM	VN007	8	2	2	1	2
R1COMM	VN007	9	1	1	2	2
R1COMM	VN007	10	1	1	2	1
R1COMM	VN007	11	1	1	2	1
R1COMM	VN007	12	2	1	2	2
R1COMM	VN008	1	1	1	2	1
R1COMM	VN008	2	1	1	2	1
R1COMM	VN008	3	1	1	2	2
R1COMM	VN008	4	2	1	2	2
R1COMM	VN008	5	2	1	1	2
R1COMM	VN008	6	2	1	1	2
R1COMM	VN008	7	2	1	2	2
R1COMM	VN008	8	2	1	2	2
R1COMM	VN008	9	2	1	2	2
R1COMM	VN008	10	1	1	2	2
R1COMM	VN008	11	2	1	1	2
R1COMM	VN008	12	2	1	1	2
R1COMM	VN009	1	2	2	2	2
R1COMM	VN009	2	1	2	2	1
R1COMM	VN009	3	2	2	2	1
R1COMM	VN009	4	2	2	2	1
R1COMM	VN009	5	2	2	2	2
R1COMM	VN009	6	2	1	2	2
R1COMM	VN009	7	2	2	2	2
R1COMM	VN009	8	2	2	2	2
R1COMM	VN009	9	2	2	2	2
R1COMM	VN009	10	2	2	2	2
R1COMM	VN009	11	2	2	2	2
R1COMM	VN009	12	2	2	2	2
R1COMM	VN010	1	2	2	1	2
R1COMM	VN010	2	2	2	1	2
R1COMM	VN010	3	2	2	2	2
R1COMM	VN010	4	2	2	2	2
R1COMM	VN010	5	2	2	2	2
R1COMM	VN010	6	2	2	2	2
R1COMM	VN010	7	2	1	1	2
R1COMM	VN010	8	2	1	1	2
R1COMM	VN010	9	2	2	2	1
R1COMM	VN010	10	2	2	2	1
R1COMM	VN010	11	1	2	2	2
R1COMM	VN010	12	1	2	2	2
R1COMM	VN011	1	2	2	2	1
R1COMM	VN011	2	2	2	2	1
R1COMM	VN011	3	2	2	2	1
R1COMM	VN011	4	1	2	2	2
R1COMM	VN011	5	1	1	2	2
R1COMM	VN011	6	2	1	2	2
R1COMM	VN011	7	2	1	2	2
R1COMM	VN011	8	2	1	2	2
R1COMM	VN011	9	2	1	2	2
R1COMM	VN011	10	2	1	2	2
R1COMM	VN011	11	2	1	2	2
R1COMM	VN011	12	2	1	2	2
R1COMM	VN012	1	1	2	1	2
R1COMM	VN012	2	2	2	1	2
R1COMM	VN012	3	2	2	1	2
R1COMM	VN012	4	2	1	2	2
R1COMM	VN012	5	1	1	2	2
R1COMM	VN012	6	1	1	2	2
R1COMM	VN012	7	1	1	2	2
R1COMM	VN012	8	1	1	2	2
R1COMM	VN012	9	1	1	2	2
R1COMM	VN012	10	1	1	2	2
R1COMM	VN012	11	1	1	2	2
R1COMM	VN012	12	1	1	2	2
R1COMM	VN013	1	2	1	1	2
R1COMM	VN013	2	2	2	2	1
R1COMM	VN013	3	2	1	2	2
R1COMM	VN013	4	2	2	2	1
R1COMM	VN013	5	2	1	2	2
R1COMM	VN013	6	2	2	2	1
R1COMM	VN013	7	2	1	2	2
R1COMM	VN013	8	1	2	2	1
R1COMM	VN013	9	2	2	2	1
R1COMM	VN013	10	2	1	2	2
R1COMM	VN013	11	2	1	1	2
R1COMM	VN013	12	2	1	1	2
R1COMM	VN014	1	2	1	2	1
R1COMM	VN014	2	2	1	2	1
R1COMM	VN014	3	1	2	2	1
R1COMM	VN014	4	1	2	2	1
R1COMM	VN014	5	2	2	2	1
R1COMM	VN014	6	2	1	2	1
R1COMM	VN014	7	2	1	2	1
R1COMM	VN014	8	2	2	1	1
R1COMM	VN014	9	2	2	1	1
R1COMM	VN014	10	2	2	2	1
R1COMM	VN014	11	2	2	2	1
R1COMM	VN014	12	2	2	2	1
R1COMM	VN015	1	2	2	2	2
R1COMM	VN015	2	2	2	2	2
R1COMM	VN015	3	2	1	2	2
R1COMM	VN015	4	2	1	2	2
R1COMM	VN015	5	2	1	2	2
R1COMM	VN015	6	2	1	1	1
R1COMM	VN015	7	2	1	1	1
R1COMM	VN015	8	2	2	1	1
R1COMM	VN015	9	1	2	1	2
R1COMM	VN015	10	1	2	2	2
R1COMM	VN015	11	1	2	2	2
R1COMM	VN015	12	2	2	2	2
R1COMM	VN016	1	2	2	1	2
R1COMM	VN016	2	2	1	1	2
R1COMM	VN016	3	1	2	1	1
R1COMM	VN016	4	1	2	2	1
R1COMM	VN016	5	2	2	2	2
R1COMM	VN016	6	2	1	2	2
R1COMM	VN016	7	2	2	2	2
R1COMM	VN016	8	2	1	2	2
R1COMM	VN016	9	2	2	1	2
R1COMM	VN016	10	2	2	1	1
R1COMM	VN016	11	2	1	1	1
R1COMM	VN016	12	2	1	1	1
R1COMM	VN017	1	2	2	1	2
R1COMM	VN017	2	2	2	1	2
R1COMM	VN017	3	2	2	1	2
R1COMM	VN017	4	2	1	2	2
R1COMM	VN017	5	2	1	2	2
R1COMM	VN017	6	2	1	2	1
R1COMM	VN017	7	2	2	2	1
R1COMM	VN017	8	2	2	2	1
R1COMM	VN017	9	2	2	2	2
R1COMM	VN017	10	2	1	2	2
R1COMM	VN017	11	2	1	2	2
R1COMM	VN017	12	2	1	1	2
R1COMM	VN018	1	2	2	1	1
R1COMM	VN018	2	2	2	1	1
R1COMM	VN018	3	2	2	1	1
R1COMM	VN018	4	2	2	2	1
R1COMM	VN018	5	2	1	2	2
R1COMM	VN018	6	2	1	2	2
R1COMM	VN018	7	2	1	2	1
R1COMM	VN018	8	2	2	2	1
R1COMM	VN018	9	2	2	2	1
R1COMM	VN018	10	2	1	2	1
R1COMM	VN018	11	2	1	2	2
R1COMM	VN018	12	2	1	2	1
R1COMM	VN019	1	2	2	2	2
R1COMM	VN019	2	2	2	2	2
R1COMM	VN019	3	1	1	2	2
R1COMM	VN019	4	1	1	2	2
R1COMM	VN019	5	1	1	2	2
R1COMM	VN019	6	2	1	2	2
R1COMM	VN019	7	2	1	2	2
R1COMM	VN019	8	2	2	2	2
R1COMM	VN019	9	2	1	2	2
R1COMM	VN019	10	2	1	2	2
R1COMM	VN019	11	2	1	2	2
R1COMM	VN019	12	2	2	2	2
R1COMM	VN020	1	2	1	1	2
R1COMM	VN020	2	2	1	1	2
R1COMM	VN020	3	2	1	1	2
R1COMM	VN020	4	2	1	1	2
R1COMM	VN020	5	2	1	1	2
R1COMM	VN020	6	2	1	1	2
R1COMM	VN020	7	2	1	1	2
R1COMM	VN020	8	2	1	1	2
R1COMM	VN020	9	2	1	1	2
R1COMM	VN020	10	2	1	1	2
R1COMM	VN020	11	2	2	1	1
R1COMM	VN020	12	2	2	1	1
R1COMM	VN021	1	2	1	2	2
R1COMM	VN021	2	2	1	2	2
R1COMM	VN021	3	2	1	2	2
R1COMM	VN021	4	2	1	2	2
R1COMM	VN021	5	2	1	2	2
R1COMM	VN021	6	2	1	2	2
R1COMM	VN021	7	2	1	2	2
R1COMM	VN021	8	2	1	2	2
R1COMM	VN021	9	2	1	2	2
R1COMM	VN021	10	2	1	2	2
R1COMM	VN021	11	2	1	2	2
R1COMM	VN021	12	2	2	2	2
R1COMM	VN022	1	2	2	2	1
R1COMM	VN022	2	2	1	1	1
R1COMM	VN022	3	2	1	1	1
R1COMM	VN022	4	2	2	2	1
R1COMM	VN022	5	2	1	1	1
R1COMM	VN022	6	2	1	1	1
R1COMM	VN022	7	2	1	1	1
R1COMM	VN022	8	2	2	2	1
R1COMM	VN022	9	2	1	1	1
R1COMM	VN022	10	2	1	1	1
R1COMM	VN022	11	2	1	1	1
R1COMM	VN022	12	2	1	1	1
R1COMM	VN023	1	2	1	2	2
R1COMM	VN023	2	2	1	2	2
R1COMM	VN023	3	2	1	2	2
R1COMM	VN023	4	2	1	2	1
R1COMM	VN023	5	2	2	2	1
R1COMM	VN023	6	2	2	2	1
R1COMM	VN023	7	2	2	2	1
R1COMM	VN023	8	2	1	2	1
R1COMM	VN023	9	2	1	2	1
R1COMM	VN023	10	2	1	2	2
R1COMM	VN023	11	2	1	2	2
R1COMM	VN023	12	2	1	2	2
R1COMM	VN024	1	2	1	2	2
R1COMM	VN024	2	2	1	2	2
R1COMM	VN024	3	2	2	1	1
R1COMM	VN024	4	2	1	1	1
R1COMM	VN024	5	2	1	2	2
R1COMM	VN024	6	2	1	2	2
R1COMM	VN024	7	2	1	2	2
R1COMM	VN024	8	2	2	2	1
R1COMM	VN024	9	2	1	1	1
R1COMM	VN024	10	2	1	1	1
R1COMM	VN024	11	2	1	1	2
R1COMM	VN024	12	2	1	1	2
R1COMM	VN025	1	2	2	2	2
R1COMM	VN025	2	2	2	1	1
R1COMM	VN025	3	2	2	2	1
R1COMM	VN025	4	2	2	2	1
R1COMM	VN025	5	2	2	2	2
R1COMM	VN025	6	2	1	2	2
R1COMM	VN025	7	2	1	2	2
R1COMM	VN025	8	2	2	1	2
R1COMM	VN025	9	2	2	2	2
R1COMM	VN025	10	2	1	2	2
R1COMM	VN025	11	2	1	2	2
R1COMM	VN025	12	2	2	2	2
R1COMM	VN026	1	2	1	2	2
R1COMM	VN026	2	2	1	2	2
R1COMM	VN026	3	2	2	2	1
R1COMM	VN026	4	2	1	2	1
R1COMM	VN026	5	2	1	2	2
R1COMM	VN026	6	2	2	2	2
R1COMM	VN026	7	2	2	2	1
R1COMM	VN026	8	2	2	2	1
R1COMM	VN026	9	2	1	2	2
R1COMM	VN026	10	2	1	2	2
R1COMM	VN026	11	2	1	2	2
R1COMM	VN026	12	2	1	2	2
R1COMM	VN027	1	1	2	2	2
R1COMM	VN027	2	2	2	2	1
R1COMM	VN027	3	2	2	2	1
R1COMM	VN027	4	2	1	2	1
R1COMM	VN027	5	2	1	2	1
R1COMM	VN027	6	2	2	1	1
R1COMM	VN027	7	2	2	1	1
R1COMM	VN027	8	2	2	2	1
R1COMM	VN027	9	2	2	2	1
R1COMM	VN027	10	2	1	2	1
R1COMM	VN027	11	2	2	2	1
R1COMM	VN027	12	2	2	2	1
R1COMM	VN028	1	2	1	1	1
R1COMM	VN028	2	1	1	1	2
R1COMM	VN028	3	2	1	1	2
R1COMM	VN028	4	2	1	1	2
R1COMM	VN028	5	2	1	1	2
R1COMM	VN028	6	2	1	1	1
R1COMM	VN028	7	2	1	1	1
R1COMM	VN028	8	2	1	1	1
R1COMM	VN028	9	1	2	2	2
R1COMM	VN028	10	1	2	2	2
R1COMM	VN028	11	2	2	2	2
R1COMM	VN028	12	2	1	1	1
R1COMM	VN029	1	2	1	2	2
R1COMM	VN029	2	2	1	1	1
R1COMM	VN029	3	2	1	1	1
R1COMM	VN029	4	2	1	1	1
R1COMM	VN029	5	2	1	1	1
R1COMM	VN029	6	2	1	1	1
R1COMM	VN029	8	2	1	1	1
R1COMM	VN029	9	2	1	1	1
R1COMM	VN029	10	2	1	1	1
R1COMM	VN029	11	2	1	1	1
R1COMM	VN029	12	2	1	1	1
R1COMM	VN030	1	2	2	2	2
R1COMM	VN030	2	2	2	2	2
R1COMM	VN030	3	2	1	2	2
R1COMM	VN030	4	2	1	1	2
R1COMM	VN030	5	2	1	2	2
R1COMM	VN030	6	2	2	2	2
R1COMM	VN030	7	2	2	2	2
R1COMM	VN030	8	2	2	2	2
R1COMM	VN030	9	2	1	2	2
R1COMM	VN030	10	1	2	2	2
R1COMM	VN030	11	2	2	2	2
R1COMM	VN030	12	2	2	2	1
R1COMM	VN031	1	2	2	1	2
R1COMM	VN031	2	2	1	1	1
R1COMM	VN031	3	2	1	1	1
R1COMM	VN031	4	2	1	1	1
R1COMM	VN031	5	2	1	1	1
R1COMM	VN031	6	2	1	1	1
R1COMM	VN031	7	2	1	1	1
R1COMM	VN031	8	2	1	1	1
R1COMM	VN031	9	1	2	2	2
R1COMM	VN031	10	1	2	2	2
R1COMM	VN031	11	1	2	2	2
R1COMM	VN031	12	1	2	2	2
