formno	commid	helid	facility	heldis	heltme
R1COMM	VN001	1	1	2	1
R1COMM	VN001	2	2	9	9
R1COMM	VN001	3	1	1	1
R1COMM	VN001	4	2	9	9
R1COMM	VN001	5	2	9	9
R1COMM	VN001	6	2	9	9
R1COMM	VN001	7	2	9	9
R1COMM	VN001	8	2	9	9
R1COMM	VN001	9	1	1	1
R1COMM	VN002	1	1	4	3
R1COMM	VN002	2	2	9	9
R1COMM	VN002	3	1	1	1
R1COMM	VN002	4	2	9	9
R1COMM	VN002	5	1	4	3
R1COMM	VN002	6	2	9	9
R1COMM	VN002	7	2	9	9
R1COMM	VN002	8	1	2	1
R1COMM	VN002	9	1	1	1
R1COMM	VN003	1	1	2	1
R1COMM	VN003	2	2	9	9
R1COMM	VN003	3	1	1	1
R1COMM	VN003	4	2	9	9
R1COMM	VN003	5	1	2	1
R1COMM	VN003	6	2	9	9
R1COMM	VN003	7	2	9	9
R1COMM	VN003	8	1	1	1
R1COMM	VN003	9	1	1	1
R1COMM	VN004	1	1	4	2
R1COMM	VN004	2	2	9	9
R1COMM	VN004	3	1	1	1
R1COMM	VN004	4	2	9	9
R1COMM	VN004	5	1	1	1
R1COMM	VN004	6	2	9	9
R1COMM	VN004	7	1	4	2
R1COMM	VN004	8	1	1	1
R1COMM	VN004	9	1	1	1
R1COMM	VN005	1	1	4	2
R1COMM	VN005	2	2	9	9
R1COMM	VN005	3	1	2	1
R1COMM	VN005	4	2	9	9
R1COMM	VN005	5	2	9	9
R1COMM	VN005	6	2	9	9
R1COMM	VN005	7	2	9	9
R1COMM	VN005	8	2	9	9
R1COMM	VN005	9	2	9	9
R1COMM	VN006	1	1	4	2
R1COMM	VN006	2	2	9	9
R1COMM	VN006	3	1	1	1
R1COMM	VN006	4	2	9	9
R1COMM	VN006	5	1	4	2
R1COMM	VN006	6	2	9	9
R1COMM	VN006	7	2	9	9
R1COMM	VN006	8	1	1	1
R1COMM	VN006	9	2	9	9
R1COMM	VN007	1	1	2	1
R1COMM	VN007	2	2	9	9
