formno	commid	income1	income2	income3	income4	income5	income6	income7	income8	income9	v4040110	v4040111	inc1	inc2	inc3	whown	aqu1	aqu2	aqu3	aqu4	aqu5	aqu6	v4040507	fert	insect	frmhlp1	frmhlp2	frmhlp3	frmhlp4	frmhlp5	frmhlp6	frmhlp7	v4041008	plant	factoty	putout	schpay	nurpay	munpay	v4041801	v4041802	v4041803
R1COMM	VN001	1	1	1	1	1	1	1	1	 	1	1	1	10	5	2	1	1	1	1	1	1	 	1	1	 	 	1	 	 	1	 	 	2	1	1	25000	15000	10000	260000	0	10
R1COMM	VN002	1	 	1	 	1	1	1	1	1	1	 	1	3	10	2	1	1	1	1	1	1	 	1	1	1	 	1	 	 	1	 	 	2	2	2	22000	13000	5000	260000	0	12
R1COMM	VN003	1	 	 	 	1	1	1	1	 	1	1	1	10	7	2	1	1	1	 	1	1	 	2	2	 	 	1	 	 	1	 	 	2	2	2	20166	13650	6500	120000	36	25
R1COMM	VN004	1	1	1	 	1	 	1	1	 	 	 	3	1	5	2	1	1	1	 	1	1	 	1	1	 	 	1	 	 	1	 	 	2	2	2	20000	15000	9400	290000	0	2
R1COMM	VN005	1	1	 	 	 	 	1	1	 	1	 	1	10	7	2	 	1	1	1	1	1	 	1	1	1	1	1	1	 	1	 	 	2	2	2	15453	12600	7466	130000	20	32
R1COMM	VN006	1	 	1	 	1	1	1	1	 	1	 	3	7	1	2	1	1	1	 	1	1	 	2	2	 	 	1	 	 	1	 	 	2	2	2	15000	10000	10000	300000	0	18
R1COMM	VN007	1	 	1	 	 	 	1	1	 	1	 	1	3	7	2	1	1	1	1	1	 	 	1	1	 	 	 	 	 	1	 	 	2	2	2	15200	14000	9300	187500	0	18
R1COMM	VN008	1	 	1	 	1	1	1	1	1	1	 	1	3	10	2	1	1	1	1	1	 	 	1	1	 	 	 	 	 	1	 	 	2	2	2	18000	15000	9000	150000	0	15
R1COMM	VN009	1	 	1	 	1	1	1	1	1	1	 	1	10	7	2	1	1	1	 	1	 	 	1	1	 	 	 	 	1	1	 	 	2	2	2	20000	11000	10000	375000	0	3
R1COMM	VN010	1	 	1	 	1	1	1	1	 	1	1	1	7	10	2	1	1	1	1	1	 	 	1	1	 	 	 	 	1	1	 	 	2	2	2	18636	13600	7000	430000	0	5
R1COMM	VN011	1	 	 	 	1	1	1	1	1	1	 	1	7	10	2	1	1	1	1	1	 	 	1	1	 	 	1	1	 	1	 	 	2	2	2	23000	12000	6000	130000	0	17
R1COMM	VN012	1	 	 	 	 	 	1	1	 	1	 	1	7	10	2	 	1	1	1	1	 	 	1	1	 	 	 	 	 	1	 	 	2	2	2	9999	12670	5000	120000	0	20
R1COMM	VN013	1	 	1	1	1	1	1	1	1	1	 	1	5	7	2	1	1	1	1	1	 	 	1	1	 	 	1	 	 	1	 	 	2	1	2	13855	11200	9333	350000	0	3
R1COMM	VN014	1	 	1	1	1	1	1	1	1	1	 	1	7	10	2	1	1	1	1	1	1	 	1	1	 	 	1	 	1	1	 	 	2	2	2	15000	15000	5000	300000	0	8
R1COMM	VN015	1	1	 	 	 	 	 	 	 	 	 	1	2	 	2	1	1	1	1	1	1	 	1	2	 	 	1	1	 	1	 	 	2	2	2	9999	16000	10000	60000	1	3
R1COMM	VN016	1	1	 	 	 	 	 	 	1	1	 	1	2	9	2	1	1	1	1	1	1	 	1	1	 	 	1	1	 	1	 	1	2	2	2	18700	12000	10000	170000	2	9
R1COMM	VN017	1	1	 	 	 	 	 	 	 	1	 	1	10	2	2	1	 	 	 	 	 	 	1	1	1	 	1	 	 	 	 	 	2	2	2	30000	12000	11000	120000	3	13
R1COMM	VN018	1	1	1	 	1	 	1	 	 	1	 	1	3	10	2	1	 	 	1	 	1	 	1	1	 	 	 	1	 	1	 	1	2	2	2	30000	12000	10000	120000	11	6
R1COMM	VN019	1	1	 	 	 	 	 	 	 	1	 	1	10	2	2	1	 	 	 	 	 	 	1	1	 	 	1	 	 	 	 	 	2	2	2	27000	10000	10000	83000	3	24
R1COMM	VN020	1	 	 	 	 	 	 	 	 	 	 	1	 	 	2	1	 	1	 	1	1	 	1	1	 	 	 	 	 	 	1	 	2	2	2	14376	17000	11500	85000	5	10
R1COMM	VN021	1	1	 	 	 	 	 	 	 	 	 	1	10	2	2	1	1	1	1	1	1	 	1	1	1	 	1	1	 	1	 	 	2	2	2	24000	14000	10000	100000	23	23
R1COMM	VN022	1	 	1	 	1	1	1	1	1	1	 	1	5	7	2	1	 	 	 	 	 	 	1	1	1	 	1	1	1	1	 	 	2	2	1	16000	12000	10000	440000	0	3
R1COMM	VN023	1	 	1	 	1	1	1	1	 	1	 	1	10	7	2	1	 	 	 	 	 	 	1	1	1	 	 	 	 	1	 	 	2	2	2	17000	10000	7000	300000	0	10
R1COMM	VN024	1	 	1	 	1	1	1	1	1	1	1	5	1	11	2	1	1	1	1	1	 	 	1	1	 	 	1	 	 	1	 	 	2	2	2	18000	6400	2700	10400	0	7
R1COMM	VN025	1	 	1	 	 	 	1	 	 	1	 	1	3	10	2	1	1	1	1	 	 	 	1	1	 	 	1	 	 	1	 	 	2	2	2	20000	11000	7000	100000	0	14
R1COMM	VN026	1	 	1	 	1	1	1	1	1	1	1	1	7	5	2	1	1	1	1	1	 	 	1	1	1	 	1	1	1	1	 	 	2	2	2	15000	15000	15000	270000	0	11
R1COMM	VN027	1	 	1	 	1	1	1	1	1	1	1	1	10	3	2	1	1	1	1	1	 	 	1	1	1	 	1	 	 	1	 	 	2	2	2	18000	13000	1600	200000	0	11
R1COMM	VN028	 	 	 	 	1	 	1	 	1	 	 	7	9	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	12000	14000	10000	400000	0	6
