formno	commid	id	price1	vendor1	price2	vendor2
R1COMM	VN001	1	 	15	 	15
R1COMM	VN001	2	15000	1	14500	1
R1COMM	VN001	3	16000	1	16000	1
R1COMM	VN001	4	19000	1	18500	1
R1COMM	VN001	5	 	15	 	15
R1COMM	VN001	6	11000	1	11000	1
R1COMM	VN001	7	12000	1	12000	1
R1COMM	VN001	8	850	9	1000	9
R1COMM	VN001	9	7500	9	 	15
R1COMM	VN001	10	24000	9	22000	9
R1COMM	VN001	11	700	9	500	9
R1COMM	VN001	12	2300	13	 	15
R1COMM	VN001	13	2900	13	3000	13
R1COMM	VN001	14	2500	13	2400	13
R1COMM	VN001	15	1900	1	2200	12
R1COMM	VN001	16	1500	1	1500	14
R1COMM	VN001	17	800	1	900	1
R1COMM	VN001	18	35000	1	35000	1
R1COMM	VN001	19	7100	1	7000	1
R1COMM	VN001	20	5500	1	5500	1
R1COMM	VN001	21	12500	1	13000	1
R1COMM	VN001	22	600	1	600	1
R1COMM	VN001	23	 	15	 	15
R1COMM	VN001	24	11000	1	10500	1
R1COMM	VN001	25	4500	1	4500	1
R1COMM	VN001	26	1000	1	1000	1
R1COMM	VN001	27	1200	1	1200	1
R1COMM	VN001	28	1000	9	1000	9
R1COMM	VN001	29	1500	9	1000	9
R1COMM	VN001	30	2800	1	2700	1
R1COMM	VN001	31	25000	1	30000	14
R1COMM	VN001	32	18000	6	18000	6
R1COMM	VN001	33	1000	6	1000	6
R1COMM	VN001	34	1200	14	 	15
R1COMM	VN001	35	1500	1	1500	1
R1COMM	VN002	1	 	15	 	15
R1COMM	VN002	2	 	15	 	15
R1COMM	VN002	3	10000	14	10000	14
R1COMM	VN002	4	10000	14	10000	14
R1COMM	VN002	5	 	15	 	15
R1COMM	VN002	6	10000	14	10000	14
R1COMM	VN002	7	10000	14	12000	14
R1COMM	VN002	8	1000	1	1000	1
R1COMM	VN002	9	 	15	 	15
R1COMM	VN002	10	 	15	 	15
R1COMM	VN002	11	 	15	 	15
R1COMM	VN002	12	 	15	 	15
R1COMM	VN002	13	 	15	 	15
R1COMM	VN002	14	2600	1	2700	1
R1COMM	VN002	15	 	15	 	15
R1COMM	VN002	16	 	15	 	15
R1COMM	VN002	17	1000	14	1000	14
R1COMM	VN002	18	40000	4	40000	4
R1COMM	VN002	19	6400	1	 	15
R1COMM	VN002	20	5500	1	5500	1
R1COMM	VN002	21	13500	14	13500	14
R1COMM	VN002	22	1000	14	1000	14
R1COMM	VN002	23	 	15	 	15
R1COMM	VN002	24	11000	1	11000	1
R1COMM	VN002	25	4500	1	4500	1
R1COMM	VN002	26	250	1	500	1
R1COMM	VN002	27	1000	1	1000	1
R1COMM	VN002	28	2000	1	 	15
R1COMM	VN002	29	 	15	 	15
R1COMM	VN002	30	 	15	 	15
R1COMM	VN002	31	25000	6	20000	6
R1COMM	VN002	32	18000	6	18000	6
R1COMM	VN002	33	800	6	800	6
R1COMM	VN002	34	1200	14	 	15
R1COMM	VN002	35	2000	14	1500	14
R1COMM	VN003	1	750	1	750	1
R1COMM	VN003	2	 	15	 	15
R1COMM	VN003	3	10000	1	10000	1
R1COMM	VN003	4	10000	1	10000	1
R1COMM	VN003	5	 	15	 	15
R1COMM	VN003	6	8000	1	8000	1
R1COMM	VN003	7	12000	1	12000	1
R1COMM	VN003	8	1000	1	1000	1
R1COMM	VN003	9	 	15	 	15
R1COMM	VN003	10	25000	1	30000	1
R1COMM	VN003	11	1000	1	1000	1
R1COMM	VN003	12	 	15	 	15
R1COMM	VN003	13	3000	1	3000	1
R1COMM	VN003	14	2500	1	2500	1
R1COMM	VN003	15	2000	5	2500	1
R1COMM	VN003	16	1600	5	1000	1
R1COMM	VN003	17	1100	5	1000	5
R1COMM	VN003	18	30000	4	35000	4
R1COMM	VN003	19	7000	1	7000	1
R1COMM	VN003	20	5500	1	5500	1
R1COMM	VN003	21	 	15	 	15
R1COMM	VN003	22	1500	1	1500	1
R1COMM	VN003	23	 	15	 	15
R1COMM	VN003	24	14000	1	14000	1
R1COMM	VN003	25	4200	1	4500	1
R1COMM	VN003	26	1000	1	500	1
R1COMM	VN003	27	1000	1	1000	1
R1COMM	VN003	28	150	1	150	1
R1COMM	VN003	29	1000	1	1000	1
R1COMM	VN003	30	 	15	 	15
R1COMM	VN003	31	25000	6	25000	6
R1COMM	VN003	32	20000	6	20000	6
R1COMM	VN003	33	1000	5	1000	5
R1COMM	VN003	34	1200	14	 	15
R1COMM	VN003	35	2000	5	2000	5
R1COMM	VN004	1	 	15	 	15
R1COMM	VN004	2	 	15	 	15
R1COMM	VN004	3	15000	14	15000	14
R1COMM	VN004	4	15000	14	15000	14
R1COMM	VN004	5	 	15	 	15
R1COMM	VN004	6	 	15	 	15
R1COMM	VN004	7	15000	14	15000	14
R1COMM	VN004	8	1000	1	1000	1
