childid	actidr3	actr3	actownr3	actmnyr3	acthpyr3
PE031100	2	2	1	0	5
PE041002	1	2	1	0	5
PE041002	2	2	1	0	5
PE041005	1	1	2	0	4
PE041006	1	2	1	0	4
PE041006	2	2	1	0	4
PE041006	3	1	1	0	4
PE041007	1	2	1	0	5
PE041007	2	2	1	0	5
PE041007	3	2	1	0	5
PE041008	1	2	1	5	5
PE041009	1	2	1	0	4
PE041009	2	3	1	0	4
PE041010	1	4	1	0	4
PE041011	1	1	1	0	5
PE041013	1	2	1	0	5
PE041014	1	2	1	0	4
PE041014	2	3	1	0	5
PE041015	1	2	1	0	4
PE041016	1	2	1	5	5
PE041016	2	2	1	0	5
PE041017	1	2	1	0	4
PE041018	1	2	1	5	5
PE041018	2	1	1	5	5
PE041019	1	2	1	5	5
PE041021	1	3	1	0	5
PE041021	2	2	1	0	4
PE041022	1	1	1	0	4
PE041022	2	2	1	0	4
PE041022	3	2	1	0	3
PE041023	1	2	1	0	4
PE041024	1	1	1	0	2
PE041025	1	2	1	0	4
PE041025	2	2	1	0	4
PE041025	3	1	1	5	4
PE041025	4	2	1	0	4
PE041026	1	2	1	5	5
PE041026	2	2	1	0	5
PE041026	3	2	1	0	5
PE041027	1	2	1	0	4
PE041030	1	1	1	5	5
PE041030	2	2	1	5	5
PE041031	1	2	1	0	5
PE041032	1	2	1	0	5
PE041032	2	3	1	0	5
PE041033	1	2	1	0	2
PE041034	1	2	1	0	4
PE041035	1	2	1	0	4
PE041035	2	2	1	0	2
PE041035	3	2	1	0	3
PE041036	1	2	1	0	4
PE041039	1	2	1	0	3
PE041042	1	2	1	0	5
PE041043	1	1	1	0	5
PE041043	2	2	1	0	5
PE041043	3	2	1	0	5
PE041046	1	2	1	0	4
PE041046	2	1	1	0	4
PE041047	1	1	1	0	4
PE041047	2	2	1	0	4
PE041048	1	2	1	0	5
PE041049	1	2	1	0	4
PE041050	1	2	1	0	5
PE041050	2	2	1	0	4
PE041051	1	2	1	0	3
PE041051	2	2	1	0	3
PE041051	3	2	1	0	3
PE041052	1	2	1	0	4
PE041053	1	2	1	0	4
PE041054	1	2	1	0	4
PE041055	1	2	1	0	5
PE041055	2	1	1	0	5
PE041056	1	2	1	0	5
PE041059	1	2	1	0	4
PE041061	1	2	1	0	5
PE041061	2	1	1	0	2
PE041062	1	1	1	2	5
PE041062	2	2	1	0	5
PE041064	1	2	1	0	5
PE041066	1	2	1	0	5
PE041066	2	3	1	0	5
PE041067	1	2	1	0	4
PE041069	1	2	1	0	4
PE041069	2	2	1	0	4
PE041069	3	2	1	0	4
PE041069	4	1	1	0	4
PE041070	1	1	1	0	2
PE041071	1	2	1	0	5
PE041071	2	2	1	0	5
PE041072	1	2	1	0	4
PE041073	1	2	1	0	4
PE041076	1	2	1	0	4
PE041076	2	1	1	0	5
PE041077	1	2	1	0	4
PE041080	1	2	1	0	5
PE041082	1	1	1	0	5
PE041082	2	2	1	0	5
PE041083	1	2	1	0	4
PE041085	1	2	1	0	4
PE041088	1	2	1	0	5
PE041088	2	2	1	0	5
PE041089	1	2	1	0	5
PE041089	2	2	1	5	5
PE041091	1	2	1	0	5
PE041092	1	1	1	0	3
PE041092	2	2	1	0	4
PE041093	1	2	1	0	5
PE041096	1	2	1	0	5
PE041097	1	2	1	0	3
PE041097	2	2	1	0	4
PE041097	3	2	1	0	4
PE041099	1	2	1	0	5
PE041099	2	2	1	0	5
PE041099	3	2	1	0	5
PE041101	1	2	1	0	3
PE051004	1	2	1	0	5
PE051009	1	2	1	0	5
PE051010	1	1	1	0	4
PE051010	2	2	1	0	5
PE051010	3	3	1	0	4
PE051011	1	1	1	0	3
PE051012	1	2	1	0	5
PE051012	2	2	1	0	5
PE051013	1	2	1	0	5
PE051014	1	2	1	0	3
PE051015	1	2	1	0	4
PE051017	1	2	1	0	5
PE051017	2	3	1	0	5
PE051018	1	2	1	0	5
PE051018	2	2	1	0	4
PE051018	3	2	1	0	5
PE051020	1	2	1	0	5
PE051021	1	2	1	0	5
PE051023	1	2	1	0	4
PE051024	1	2	1	0	5
PE051024	2	2	1	0	5
PE051025	1	2	1	0	4
PE051026	1	1	1	5	5
PE051026	2	2	1	5	5
PE051028	1	2	1	0	5
PE051028	2	1	1	0	5
PE051032	1	2	1	0	5
PE051033	1	2	1	0	4
PE051033	2	2	1	0	4
PE051034	1	2	1	0	5
PE051034	2	2	1	0	5
PE051035	1	2	1	0	5
PE051035	2	1	1	0	5
PE051035	3	3	1	0	5
PE051036	1	2	1	0	5
PE051036	2	2	1	0	4
PE051036	3	2	1	0	5
PE051036	4	2	1	0	5
PE051037	1	4	1	0	2
PE051040	1	2	1	0	4
PE051041	1	3	1	0	5
PE051042	1	2	1	0	5
PE051042	2	1	1	0	5
PE051043	1	2	1	0	4
PE051043	2	1	1	0	4
PE051044	1	2	1	5	5
PE051046	1	2	1	0	5
PE051046	2	2	1	0	5
PE051046	3	2	1	0	5
PE051046	4	2	1	0	5
PE051048	1	2	1	0	5
PE051048	2	2	1	0	5
PE051048	3	2	1	0	5
PE051048	4	2	1	0	5
PE051048	5	2	1	0	5
PE051049	1	2	1	5	5
PE051051	1	2	1	0	5
PE051051	2	2	1	0	5
PE051052	1	2	1	5	4
PE051058	1	2	1	0	5
PE051058	2	2	1	0	4
PE051059	1	2	1	0	4
PE051061	1	2	1	0	 
PE051062	1	2	1	5	4
PE051064	1	2	1	0	5
PE051064	2	1	1	0	5
PE051064	3	3	1	0	5
PE051066	1	2	1	0	4
PE051067	1	2	1	0	4
