childid	id	dpnamtr3	dpntmer3	dpnnumr3	cshrcdr3	cshamtr3	cshtmer3	cshnumr3
PE011001	1	920	5	12	1	1040	8	1
PE011003	1	400	5	12	0	 	 	 
PE011004	2	1150	5	12	1	500	7	2
PE011005	1	250	3	30	0	 	 	 
PE011007	1	1200	5	12	1	1100	8	1
PE011007	1	800	5	12	0	 	 	 
PE011007	2	3000	5	9	1	150	8	1
PE011008	1	550	5	12	0	 	 	 
PE011009	1	500	3	52	0	 	 	 
PE011010	17	100	3	52	0	 	 	 
PE011012	1	1000	5	12	1	500	7	2
PE011012	2	1000	5	12	1	480	7	2
PE011014	17	125	3	10	0	 	 	 
PE011015	21	480	4	12	1	2100	8	1
PE011016	1	420	3	48	0	 	 	 
PE011017	1	150	3	52	0	 	 	 
PE011020	1	1500	5	12	1	200	7	2
PE011021	1	240	3	21	0	 	 	 
PE011022	1	200	3	52	0	 	 	 
PE011025	1	790	5	12	1	1000	8	1
PE011026	1	623	5	11	1	692	8	1
PE011026	2	120	3	8	0	 	 	 
PE011027	1	150	3	17	0	 	 	 
PE011027	2	280	5	12	0	 	 	 
PE011029	1	1300	5	12	1	980	7	2
PE011029	2	1300	5	12	1	980	7	2
PE011035	1	700	5	12	0	 	 	 
PE011037	10	120	3	52	0	 	 	 
PE011039	1	90	3	36	0	 	 	 
PE011039	5	90	3	36	0	 	 	 
PE011040	1	950	5	2	0	 	 	 
PE011041	2	330	5	9	0	 	 	 
PE011042	90	600	5	12	1	600	7	2
PE011046	1	350	3	52	0	 	 	 
PE011046	2	332	5	7	0	 	 	 
PE011047	1	1320	5	12	1	1247	8	1
PE011047	2	1190	5	11	1	1000	8	1
PE011049	1	1900	5	5	1	1122	7	1
PE011049	2	1200	5	12	1	200	6	3
PE011050	1	800	5	12	1	200	8	1
PE011052	90	750	5	8	1	750	7	2
PE011053	16	275	4	16	0	 	 	 
PE011056	2	800	5	11	0	 	 	 
PE011059	1	400	3	52	1	1400	7	2
PE011060	1	600	5	8	0	 	 	 
PE011060	2	300	5	6	0	 	 	 
PE011062	1	190	3	12	0	 	 	 
PE011063	1	210	3	52	0	 	 	 
PE011064	1	520	5	12	1	620	7	2
PE011067	1	350	3	52	0	 	 	 
PE011067	2	600	5	4	1	460	8	1
PE011068	1	170	5	12	1	50	7	2
PE011069	7	80	3	17	0	 	 	 
PE011070	2	1450	5	12	1	150	7	2
PE011071	1	750	5	12	1	550	7	2
PE011074	1	1200	5	12	1	200	6	3
PE011074	2	1800	5	12	1	1800	6	3
PE011075	1	250	4	24	0	 	 	 
PE011078	1	120	3	12	0	 	 	 
PE011079	1	180	3	52	1	1440	8	1
PE011079	2	143	3	52	0	 	 	 
PE011080	1	1132	5	11	1	680	8	1
PE011080	2	1300	5	11	1	700	8	1
PE011082	18	750	5	12	1	200	7	2
PE011084	1	570	5	3	1	200	8	1
PE011084	2	650	5	4	1	200	8	1
PE011086	1	1150	5	12	1	750	7	2
PE011086	20	1000	5	12	1	500	6	3
PE011087	1	372	3	52	1	372	6	3
PE011087	3	550	5	2	0	 	 	 
PE011088	1	275	4	24	1	600	7	2
PE011089	1	1400	5	12	1	500	7	2
PE011090	2	250	4	8	0	 	 	 
PE011092	1	550	5	11	0	 	 	 
PE011092	2	620	5	11	0	 	 	 
PE011093	1	300	3	52	1	810	8	1
PE011097	2	900	5	12	1	1300	7	1
PE011098	1	800	5	12	1	200	7	2
PE011100	8	800	5	12	1	800	7	2
PE021002	1	240	5	7	0	 	 	 
PE021006	1	180	3	52	1	67	6	4
PE021009	1	250	4	24	1	140	8	1
PE021010	1	200	5	12	0	 	 	 
PE021011	1	240	4	12	1	200	7	2
PE021012	1	360	5	12	0	 	 	 
PE021013	1	750	5	12	1	750	7	2
PE021014	1	225	4	20	0	 	 	 
PE021017	1	120	3	52	0	 	 	 
PE021019	1	280	4	24	1	710	8	1
PE021020	1	720	5	12	0	 	 	 
PE021023	1	400	5	12	1	200	6	2
PE021024	1	200	4	24	0	 	 	 
PE021025	1	90	3	52	0	 	 	 
PE021025	2	60	3	4	0	 	 	 
PE021025	3	60	3	17	0	 	 	 
PE021025	4	60	3	17	0	 	 	 
PE021026	1	15	2	170	0	 	 	 
PE021026	2	14	2	50	0	 	 	 
PE021028	1	90	3	52	0	 	 	 
PE021028	3	90	3	52	0	 	 	 
PE021029	1	160	3	17	0	 	 	 
PE021030	1	600	4	24	1	500	7	2
PE021030	4	80	3	12	0	 	 	 
PE021031	1	200	3	50	0	 	 	 
PE021032	1	150	3	44	0	 	 	 
PE021034	1	670	5	12	0	 	 	 
PE021035	1	90	3	52	0	 	 	 
PE021036	1	360	5	12	0	 	 	 
PE021037	1	150	3	52	0	 	 	 
PE021040	4	250	3	52	0	 	 	 
PE021041	1	380	4	24	1	300	7	2
PE021043	6	1750	5	12	1	500	8	1
PE021044	1	1050	5	12	1	2100	8	1
PE021047	1	500	5	12	0	 	 	 
PE021048	90	1200	5	9	0	 	 	 
PE021052	3	90	3	52	1	50	7	2
PE021052	4	200	4	24	0	 	 	 
PE021054	1	100	3	52	0	 	 	 
PE021057	1	100	3	35	0	 	 	 
PE021057	2	100	3	30	0	 	 	 
PE021057	3	50	3	30	0	 	 	 
PE021058	1	150	3	52	0	 	 	 
PE021059	1	620	5	12	1	1200	8	1
PE021060	1	150	3	52	0	 	 	 
PE021061	1	200	3	32	0	 	 	 
PE021062	1	280	4	12	0	 	 	 
PE021063	1	20	2	3	0	 	 	 
PE021065	13	700	5	12	0	 	 	 
PE021066	1	1000	7	2	0	 	 	 
PE021069	1	120	3	52	0	 	 	 
PE021071	1	220	3	52	1	300	8	1
PE021072	4	450	5	12	0	 	 	 
PE021075	3	150	3	39	0	 	 	 
PE021075	4	150	3	44	0	 	 	 
PE021075	5	150	3	48	0	 	 	 
PE021076	1	350	5	12	0	 	 	 
PE021079	1	90	3	52	0	 	 	 
PE021082	1	90	3	52	0	 	 	 
PE021084	2	332	5	12	0	 	 	 
PE021086	1	90	3	48	0	 	 	 
PE021089	1	120	3	26	0	 	 	 
PE021091	1	90	3	52	0	 	 	 
PE021093	9	145	4	14	0	 	 	 
PE021094	1	90	3	40	0	 	 	 
PE021095	1	300	4	24	1	800	8	1
PE021097	1	90	3	52	0	 	 	 
PE021098	1	90	3	50	0	 	 	 
PE021100	1	1200	5	12	1	300	7	2
PE031004	2	50	5	3	0	 	 	 
PE031004	2	70	5	4	0	 	 	 
PE031005	1	8	2	96	0	 	 	 
PE031005	17	8	2	96	0	 	 	 
PE031011	1	300	3	40	0	 	 	 
PE031011	3	30	3	40	0	 	 	 
PE031020	3	500	5	12	1	150	7	2
PE031024	1	550	5	12	0	 	 	 
PE031024	2	105	5	4	0	 	 	 
PE031025	1	800	5	12	1	300	7	2
PE031029	1	1900	5	12	1	800	8	1
PE031031	1	1200	5	12	1	700	8	1
PE031032	1	2000	5	12	1	4400	7	2
PE031035	1	500	3	8	0	 	 	 
PE031036	1	350	5	3	0	 	 	 
PE031036	2	100	5	12	0	 	 	 
PE031036	3	42	3	4	0	 	 	 
PE031037	2	1100	5	12	1	200	5	2
PE031041	2	700	5	12	0	 	 	 
PE031042	1	1500	5	12	1	200	7	2
PE031042	2	1200	5	12	1	200	7	2
PE031043	1	850	5	12	1	1000	8	1
PE031044	2	1100	5	12	1	500	7	2
PE031050	2	7	2	150	0	 	 	 
PE031050	2	15	2	100	0	 	 	 
PE031052	1	90	3	8	0	 	 	 
PE031053	1	1200	5	12	1	900	8	1
PE031056	1	200	5	 	0	 	 	 
PE031057	1	6	2	36	0	 	 	 
PE031061	1	45	3	17	0	 	 	 
PE031063	1	200	5	5	0	 	 	 
PE031067	2	120	3	52	0	 	 	 
PE031074	1	700	5	2	0	 	 	 
PE031079	1	200	5	12	0	 	 	 
PE031082	1	200	3	48	0	 	 	 
PE031084	1	30	3	30	0	 	 	 
PE031087	1	700	5	12	1	350	7	2
PE031093	1	100	5	8	0	 	 	 
PE031096	1	360	5	12	0	 	 	 
PE031096	5	360	5	12	0	 	 	 
PE031100	2	1300	5	12	1	500	7	2
PE041007	2	250	5	12	1	50	7	2
PE041008	1	240	5	12	0	 	 	 
PE041009	1	15	2	9	0	 	 	 
PE041011	1	260	5	12	0	 	 	 
PE041015	1	1200	5	12	1	2100	8	1
PE041015	2	430	4	24	1	2100	8	1
PE041015	4	480	5	4	0	 	 	 
PE041015	5	320	5	2	0	 	 	 
PE041019	1	500	5	12	0	 	 	 
PE041026	2	1100	5	10	1	600	8	1
PE041027	2	610	5	6	0	 	 	 
PE041028	1	1000	5	9	1	200	6	3
PE041028	2	1200	5	12	1	200	6	3
PE041032	1	15	2	330	0	 	 	 
