childid	id	incincr3	incprdr3	incernr3	inctmer3	incnumr3
PE161004	1	10100	380	9720	8	1
PE161007	1	2500	500	2000	8	1
PE161009	2	68	18	50	3	52
PE161014	4	620	420	200	7	2
PE161016	3	2500	500	2000	8	1
PE161019	2	1200	300	900	8	1
PE161023	1	 	 	5000	8	1
PE161025	2	60	30	30	3	52
PE161027	1	580	80	500	5	7
PE161031	1	3000	2800	200	5	10
PE161038	2	 	 	600	8	1
PE161039	1	 	 	1000	7	2
PE161041	1	2050	2000	50	3	48
PE161045	18	900	400	500	8	1
PE161046	1	1500	700	800	8	1
PE161047	1	 	 	5000	8	1
PE161050	2	250	50	200	5	12
PE161054	2	720	500	220	8	1
PE161055	1	 	 	1000	8	1
PE161059	1	 	 	1800	8	1
PE161063	16	400	300	100	8	1
PE161064	2	3800	300	3500	8	1
PE161065	1	 	 	700	3	52
PE161066	1	15000	10000	5000	5	12
PE161067	1	700	50	650	5	12
PE161069	1	1874	300	1574	8	1
PE161071	1	 	 	240	3	52
PE161072	6	500	300	200	8	1
PE161073	1	1500	500	1000	8	1
PE161074	1	 	 	1000	8	1
PE161075	1	400	100	300	5	10
PE161077	1	4000	3000	1000	5	12
PE161080	1	1600	1000	600	5	7
PE161080	1	3000	400	2600	8	1
PE161081	2	50	5	45	3	39
PE161083	2	40	10	30	5	9
PE161083	2	 	 	520	6	2
PE161084	1	8000	6000	2000	6	4
PE161085	1	 	 	1200	8	1
PE161086	2	 	 	120	3	52
PE161087	2	 	 	100	3	52
PE161089	1	 	 	4000	8	1
PE161091	1	 	 	140	5	12
PE161093	1	 	 	200	5	6
PE161097	2	80	5	75	3	39
PE161098	1	100	20	80	5	12
PE161099	1	1800	300	1500	8	1
PE161100	2	800	300	500	7	2
PE161101	1	 	 	1000	8	1
PE161101	1	 	 	30	3	44
PE161102	5	2000	1800	200	5	12
PE161103	1	840	0	840	8	1
PE161105	1	 	 	80	6	4
PE161106	4	200	30	170	5	7
PE161108	1	600	200	400	3	26
PE171002	2	840	240	600	5	12
PE171004	2	490	280	210	3	40
PE171007	17	 	 	2000	8	1
PE171013	1	40	10	30	2	11
PE171013	1	 	 	70	5	6
PE171015	1	 	 	1000	6	2
PE171017	2	350	100	250	3	52
PE171019	1	 	 	3000	8	1
PE171020	2	60	0	60	3	13
PE171020	2	30	0	30	3	13
PE171023	2	1500	300	1200	8	1
PE171028	2	490	140	350	3	44
PE171030	1	2920	94	2826	8	1
PE171035	1	1500	300	1200	7	2
PE171037	2	245	145	100	3	30
PE171041	1	1800	300	1500	7	2
PE171045	1	 	 	400	3	52
PE171047	1	 	 	1000	6	4
PE171051	1	350	100	250	6	4
PE171052	1	490	350	140	3	52
PE171053	2	6560	3000	3560	5	9
PE171054	1	3300	550	2750	5	12
PE171057	1	1800	900	900	3	52
PE171058	1	1000	100	900	8	1
PE171061	1	 	 	1250	7	2
PE171062	1	 	 	4000	6	4
PE171071	1	 	 	750	6	3
PE171072	1	 	 	800	6	4
PE171076	1	1800	0	1800	8	1
PE171077	1	2500	250	2250	7	2
PE171087	2	 	 	1800	7	2
PE171092	2	 	 	600	8	1
PE171095	3	 	 	3500	5	12
PE171099	2	152	132	20	3	48
PE171103	2	 	 	2680	8	1
PE171106	1	100	80	20	3	52
PE181001	17	20000	10000	10000	8	1
PE181002	2	1000	300	700	8	1
PE181005	2	1500	400	1100	8	1
PE181007	1	 	 	3500	7	2
PE181008	1	 	 	1200	7	2
PE181009	1	7000	3000	4000	8	1
PE181010	1	 	 	1500	8	1
PE181013	2	700	100	600	8	1
PE181014	1	3000	2000	1000	8	1
PE181016	2	 	 	800	8	1
PE181017	1	 	 	700	8	1
PE181018	1	4000	3000	1000	8	1
PE181019	1	2500	500	2000	8	1
PE181020	1	360	0	360	8	1
PE181021	2	 	 	1600	8	1
PE181022	2	3200	400	2800	8	1
PE181023	1	 	 	2500	8	1
PE181025	2	 	 	1500	8	1
PE181029	1	 	 	4000	8	1
PE181031	1	4495	200	4295	8	1
PE181033	1	 	 	3500	8	1
PE181036	1	 	 	900	8	1
PE181037	1	 	 	500	8	1
PE181038	1	1020	520	500	8	1
PE181039	2	 	 	2500	8	1
PE181039	2	 	 	560	5	12
PE181040	1	2000	500	1500	8	1
PE181041	1	6500	2500	4000	8	1
PE181042	1	 	 	15	2	285
PE181045	1	6000	1800	4200	8	1
PE181047	2	600	100	500	8	1
PE181050	1	 	 	1800	8	1
PE181051	1	1200	200	1000	8	1
PE181052	1	7000	3000	4000	8	1
PE181053	2	1000	100	900	8	1
PE181054	1	1800	500	1300	8	1
PE181055	1	 	 	1500	8	1
PE181056	1	 	 	800	8	1
PE181057	1	4000	2500	1500	8	1
PE181058	1	5000	1000	4000	8	1
PE181060	1	 	 	1400	8	1
PE181062	2	 	 	1200	8	1
PE181063	1	 	 	300	3	52
PE181065	2	 	 	2380	8	1
PE181066	2	 	 	1500	8	1
PE181067	7	 	 	6000	8	1
PE181068	1	 	 	2860	8	1
PE181073	1	4000	1200	2800	8	1
PE181075	1	4800	3000	1800	8	1
PE181076	1	8500	5000	3500	8	1
PE181080	1	2000	600	1400	8	1
PE181083	1	10000	5000	5000	8	1
PE181084	1	5000	3000	2000	8	1
PE181086	1	1500	500	1000	8	1
PE181087	1	500	100	400	8	1
PE181090	1	5000	1300	3700	8	1
PE181092	1	5000	1000	4000	8	1
PE181093	2	1600	240	1360	8	1
PE181094	2	5000	1064	3936	8	1
PE181095	1	3000	300	2700	8	1
PE181096	1	 	50	3225	8	1
PE181099	1	5000	3000	2000	8	1
PE181100	1	4100	2700	1400	8	1
PE181102	1	7000	2000	5000	8	1
PE191002	2	 	 	280	3	52
PE191005	1	 	 	150	3	16
PE191006	2	 	 	400	5	11
PE191010	3	 	 	200	5	12
PE191011	1	14000	4000	10000	8	1
PE191017	1	240	120	120	3	52
PE191018	8	2620	120	2500	6	3
PE191022	1	 	 	400	4	7
PE191026	1	150	100	50	2	348
PE191029	3	6500	2000	4500	7	2
PE191032	1	 	 	12000	8	1
PE191032	16	 	 	6000	8	1
PE191035	8	 	 	10000	7	2
PE191039	1	 	 	200	3	52
PE191039	2	100	60	40	3	17
PE191041	1	1500	590	910	5	12
PE191042	3	175	70	105	3	52
PE191043	1	540	360	180	3	52
PE191043	16	350	33	317	3	52
PE191053	1	 	 	200	3	34
PE191055	1	10600	5200	5400	8	1
PE191056	3	1800	1023	777	5	12
PE191057	1	35000	20000	15000	8	1
PE191059	1	 	 	300	6	4
PE191065	3	9000	5000	4000	7	2
PE191066	1	6500	2000	4500	8	1
PE191069	1	750	433	317	3	12
PE191072	1	 	 	120	3	52
PE191073	1	 	 	300	3	48
PE191074	2	560	210	350	3	12
PE191075	1	350	0	350	3	39
PE191075	6	250	0	250	3	39
PE191076	1	10800	2240	8560	5	5
PE191079	1	1530	30	1500	5	12
PE191081	4	170	20	150	3	44
PE191084	3	16600	5000	11600	8	1
PE191091	6	 	 	6500	8	1
PE191093	16	 	 	40	2	44
PE191098	1	 	 	1200	5	12
PE191100	1	20000	9000	11000	8	1
PE191103	1	1800	300	1500	5	12
PE201002	5	2000	1000	1000	5	12
PE201004	1	 	 	800	5	12
PE201005	1	270	70	200	3	44
PE201007	2	36000	26940	9060	8	1
PE201008	1	 	 	15	2	288
PE201010	2	600	500	50	5	12
PE201014	1	3500	2000	1500	5	12
PE201016	1	3500	2300	1200	5	12
PE201018	2	1500	500	1000	8	1
PE201018	4	700	300	400	8	1
PE201018	4	400	200	200	8	1
PE201028	1	4850	4427	423	3	48
PE201029	2	1200	650	550	3	52
PE201029	9	350	250	100	3	52
PE201030	1	 	 	300	3	52
PE201030	2	 	 	500	3	52
PE201030	3	 	 	100	3	52
PE201032	1	210	154	56	3	48
PE201033	2	500	350	150	3	52
PE201035	1	3000	2500	500	3	52
PE201036	1	40	5	35	2	27
PE201038	2	15	12	3	6	4
PE201042	1	15580	12580	3000	8	1
PE201043	1	 	 	5000	7	2
PE201048	2	810	680	130	3	52
PE201049	2	720	390	330	3	52
PE201051	2	 	 	200	3	52
PE201051	2	 	 	40	4	8
PE201052	1	 	 	360	6	4
PE201054	2	 	 	50	2	335
PE201055	1	210	70	140	3	52
PE201056	2	840	600	240	3	48
PE201058	2	 	 	200	3	48
PE201059	1	150	70	80	2	60
PE201060	1	1350	1174	176	3	48
PE201061	1	 	 	500	5	12
PE201061	2	 	 	500	5	12
PE201062	1	70	45	25	2	365
PE201062	2	60	45	15	2	365
PE201064	1	15000	10000	5000	3	52
PE201065	1	 	 	120	3	52
PE201066	2	300	200	100	3	52
PE201067	1	1600	800	800	3	52
PE201067	2	1600	800	800	3	52
PE201068	1	1200	700	500	3	52
PE201068	2	2400	600	1800	3	52
PE201069	1	 	 	1000	5	12
PE201071	1	600	420	180	5	10
PE201072	1	 	 	25	2	6
PE201074	1	4000	1000	3000	5	12
PE201076	2	640	200	440	3	52
PE201077	1	30	10	20	2	330
PE201079	1	 	 	500	5	12
PE201080	1	 	 	1700	5	12
PE201080	2	 	 	1500	5	12
PE201088	1	1000	700	300	5	12
PE201090	1	1500	300	1200	8	1
PE201091	2	 	 	80	3	52
PE201094	1	 	 	105	3	48
PE201094	2	 	 	25	2	6
PE201097	1	120	10	110	3	52
PE201098	1	700	500	200	3	52
PE201101	1	650	200	450	5	12
