childid	id	incincr3	incprdr3	incernr3	inctmer3	incnumr3
PE061082	2	50	40	10	2	300
PE061085	1	5000	3000	2000	5	12
PE061089	2	60	0	60	3	52
PE061091	1	1000	0	1000	3	52
PE061095	10	400	0	400	5	12
PE061101	5	13100	5100	8000	5	12
PE061102	2	 	 	700	5	12
PE061103	1	16500	0	16500	8	1
PE071005	1	6000	2000	4000	5	12
PE071009	1	120	0	120	3	52
PE071010	1	2400	2300	100	3	8
PE071010	1	6000	5600	400	3	40
PE071012	1	19000	15000	4000	6	4
PE071015	1	1200	450	750	5	12
PE071018	16	 	 	500	3	50
PE071019	1	1100	100	1000	5	12
PE071026	1	190	40	150	3	52
PE071030	1	840	120	720	5	8
PE071031	1	50	20	30	2	42
PE071032	1	3500	1130	2370	8	1
PE071038	1	40	25	15	2	350
PE071043	1	6062.5	3575	2487.5	3	52
PE071046	6	 	 	200	3	50
PE071048	1	 	 	2500	5	12
PE071050	1	1500	1000	500	3	48
PE071050	2	400	320	80	3	52
PE071054	1	480	360	120	3	52
PE071056	1	1030	630	400	3	52
PE071058	1	1800	800	1000	5	12
PE071059	4	300	0	300	3	52
PE071062	4	1130	630	500	3	52
PE071067	1	 	 	180	3	52
PE071073	3	630	580	50	2	365
PE071074	1	 	 	500	5	12
PE071076	1	5000	3500	1500	5	12
PE071077	1	300	0	300	3	52
PE071079	2	 	 	180	3	39
PE071082	1	3000	1400	1600	5	12
PE071083	2	200	120	80	3	52
PE071083	4	400	180	220	3	52
PE071086	2	80	70	10	2	65
PE071092	1	420	140	280	3	52
PE071097	1	 	 	10	2	288
PE071109	1	 	 	250	3	52
PE081001	2	600	570	30	2	365
PE081004	4	40	25	15	2	200
PE081004	5	30	18	12	2	200
PE081007	2	80	60	20	2	312
PE081010	1	 	 	250	3	50
PE081010	2	 	 	150	3	50
PE081011	2	70	20	50	3	52
PE081011	6	 	 	180	3	52
PE081011	7	150	70	80	3	52
PE081017	1	2400	1200	1200	5	12
PE081018	1	35	20	15	2	288
PE081019	1	120	85	35	2	365
PE081022	1	280	210	70	3	12
PE081025	1	16.5	3.5	13	2	330
