childid	nmnincid	nmnamtr3	nmntmer3	nmnnumr3
PE011001	1	0	 	 
PE011004	2	0	 	 
PE011005	1	0	 	 
PE011007	1	0	 	 
PE011007	2	0	 	 
PE011008	1	80	8	1
PE011009	1	0	 	 
PE011010	17	0	 	 
PE011012	1	100	8	1
PE011012	2	0	 	 
PE011014	17	0	 	 
PE011015	21	81	3	52
PE011015	21	45	7	2
PE011016	1	0	 	 
PE011017	1	0	 	 
PE011020	1	350	8	1
PE011021	1	0	 	 
PE011022	1	10	8	1
PE011023	2	6	2	1
PE011025	1	1000	8	1
PE011026	1	20	6	3
PE011026	2	5	2	22
PE011027	1	0	 	 
PE011027	2	0	 	 
PE011027	3	0	 	 
PE011029	1	0	 	 
PE011029	2	0	 	 
PE011031	1	0	 	 
PE011032	6	0	 	 
PE011033	16	0	 	 
PE011034	7	144	5	12
PE011035	1	30	6	2
PE011037	10	0	 	 
PE011039	1	0	 	 
PE011039	5	0	 	 
PE011041	2	100	5	9
PE011046	1	0	 	 
PE011046	2	0	 	 
PE011047	1	150	8	1
PE011047	2	0	 	 
PE011049	1	0	 	 
PE011049	2	0	 	 
PE011050	1	150	7	2
PE011051	3	0	 	 
PE011051	5	0	 	 
PE011052	90	150	8	1
PE011053	16	70	8	1
PE011056	2	50	5	12
PE011057	3	50	5	1
PE011059	1	400	7	2
PE011061	1	10	5	12
PE011061	19	10	5	12
PE011062	1	0	 	 
PE011063	1	0	 	 
PE011064	1	200	7	2
PE011067	1	0	 	 
PE011067	2	100	8	1
PE011068	1	600	5	12
PE011069	7	0	 	 
PE011071	1	60	8	1
PE011071	1	130	8	1
PE011074	1	0	 	 
PE011075	1	72	8	1
PE011075	1	50	8	1
PE011076	1	0	 	 
PE011078	1	92	5	4
PE011079	1	40	3	1
PE011079	2	30	3	1
PE011080	1	0	 	 
PE011080	2	0	 	 
PE011082	18	250	7	2
PE011084	1	0	 	 
PE011084	2	0	 	 
PE011086	1	300	7	2
PE011086	20	0	 	 
PE011087	1	48	3	52
PE011087	3	0	 	 
PE011088	1	30	6	4
PE011089	1	300	8	1
PE011090	2	40	6	1
PE011092	1	0	 	 
PE011092	2	0	 	 
PE011093	1	100	5	12
PE011097	1	0	 	 
PE011097	2	200	8	1
PE011097	2	55	3	51
PE011098	1	0	 	 
PE011100	8	1000	5	12
PE021006	1	55	7	2
PE021009	1	0	 	 
PE021010	1	0	 	 
PE021011	1	44	8	1
PE021012	1	360	5	12
PE021013	1	100	5	1
PE021014	1	0	 	 
PE021017	1	0	 	 
PE021019	1	0	 	 
PE021020	1	0	 	 
PE021023	1	0	 	 
PE021024	1	80	8	1
PE021024	1	45	6	4
PE021025	1	0	 	 
PE021025	2	0	 	 
PE021025	3	0	 	 
PE021025	4	0	 	 
PE021027	1	300	8	1
PE021028	1	0	 	 
PE021028	3	0	 	 
PE021029	1	18	8	1
PE021030	1	15	2	360
PE021031	1	0	 	 
PE021032	2	50	8	1
PE021033	1	0	 	 
PE021034	1	670	5	12
PE021035	1	0	 	 
PE021037	1	0	 	 
PE021040	4	0	 	 
PE021041	1	1200	5	12
PE021041	1	80	8	1
PE021043	6	125	3	4
PE021044	1	50	8	1
PE021045	1	0	 	 
PE021047	1	500	5	12
PE021051	1	0	 	 
PE021052	3	70	8	1
PE021052	4	50	8	1
PE021054	1	30	8	1
PE021057	1	0	 	 
PE021057	2	0	 	 
PE021057	3	0	 	 
PE021058	1	0	 	 
PE021059	1	400	8	2
PE021059	1	180	8	12
PE021059	1	50	8	1
PE021060	1	0	 	 
PE021061	1	0	 	 
PE021062	1	0	 	 
PE021063	1	0	 	 
PE021064	1	0	 	 
PE021065	13	0	 	 
PE021066	1	702	7	2
PE021067	2	0	 	 
PE021067	11	0	 	 
PE021069	1	0	 	 
PE021071	1	50	8	1
PE021072	4	450	5	12
PE021075	1	0	 	 
PE021075	3	0	 	 
PE021075	4	0	 	 
PE021075	5	0	 	 
PE021077	1	0	 	 
PE021079	1	150	8	1
PE021081	1	0	 	 
PE021082	1	0	 	 
PE021084	1	0	 	 
PE021086	1	0	 	 
PE021089	1	40	7	1
PE021091	1	0	 	 
PE021092	1	0	 	 
PE021092	4	0	 	 
PE021092	5	0	 	 
PE021093	1	11	3	30
PE021095	1	200	8	1
PE021100	1	300	5	12
PE031004	2	0	 	 
PE031004	2	0	 	 
PE031005	1	0	 	 
PE031005	17	0	 	 
PE031011	1	0	 	 
PE031011	3	0	 	 
PE031016	1	0	 	 
PE031016	2	0	 	 
PE031017	2	0	 	 
PE031018	1	0	 	 
PE031019	1	0	 	 
PE031020	3	0	 	 
PE031023	1	0	 	 
PE031024	1	0	 	 
PE031024	2	0	 	 
PE031025	1	0	 	 
PE031027	2	0	 	 
PE031029	1	300	8	1
PE031030	9	20	8	1
PE031031	1	0	 	 
PE031032	1	0	 	 
PE031033	1	40	8	1
PE031034	5	5	2	100
PE031034	6	5	2	100
PE031034	7	5	2	101
PE031035	1	0	 	 
PE031036	1	180	5	3
PE031036	2	72	5	12
PE031036	3	240	5	4
PE031037	2	0	 	 
PE031039	1	0	 	 
PE031041	2	0	 	 
PE031043	1	540	8	3
PE031044	2	0	 	 
PE031045	1	24	3	24
PE031050	2	0	 	 
PE031052	1	0	 	 
PE031053	1	0	 	 
PE031056	1	0	 	 
PE031057	1	10	2	36
PE031059	1	0	 	 
PE031061	1	30	3	17
PE031065	2	0	 	 
PE031067	2	55	8	1
PE031074	1	20	5	2
PE031077	1	0	 	 
PE031079	1	0	 	 
PE031081	1	0	 	 
PE031082	1	0	 	 
PE031082	2	5	2	360
PE031084	1	0	 	 
PE031087	1	15	2	305
PE031093	1	5	2	200
PE031097	1	0	 	 
PE031100	2	0	 	 
PE041005	4	0	 	 
PE041007	2	75	3	52
PE041007	2	120	5	12
PE041009	1	0	 	 
PE041010	1	0	 	 
PE041011	1	50	8	1
PE041012	1	0	 	 
PE041015	1	100	8	1
PE041015	2	100	8	1
PE041015	4	168	5	4
PE041015	5	168	5	2
PE041019	1	0	 	 
PE041020	1	0	 	 
PE041021	1	0	 	 
PE041022	1	0	 	 
PE041022	2	0	 	 
PE041026	2	0	 	 
PE041027	2	0	 	 
PE041028	1	0	 	 
PE041028	2	0	 	 
PE041029	1	30	3	6
PE041032	1	0	 	 
PE041033	8	0	 	 
PE041033	9	0	 	 
PE041034	1	0	 	 
PE041034	2	0	 	 
PE041034	7	0	 	 
PE041039	2	2	2	12
PE041041	5	7	2	26
PE041045	1	18	3	30
PE041051	1	20	7	2
PE041051	2	20	7	1
PE041056	1	0	 	 
PE041062	1	3.5	2	240
PE041064	2	0	 	 
PE041066	1	0	 	 
PE041067	2	0	 	 
PE041071	1	0	 	 
PE041075	1	 	 	 
PE041077	1	0	 	 
PE041080	1	0	 	 
PE041080	2	0	 	 
PE041080	4	0	 	 
PE041080	5	0	 	 
PE041088	2	0	 	 
PE041092	1	36	3	52
PE041092	2	36	3	44
PE041093	7	30	3	8
PE041097	16	0	 	 
PE041099	1	7	2	70
PE041101	1	0	 	 
PE051001	6	0	 	 
PE051001	8	0	 	 
PE051001	9	0	 	 
PE051002	1	0	 	 
PE051003	1	0	 	 
PE051003	16	0	 	 
PE051010	1	0	 	 
PE051011	3	0	 	 
PE051012	1	0	 	 
PE051012	2	0	 	 
PE051014	1	0	 	 
PE051014	6	0	 	 
PE051014	7	0	 	 
PE051017	1	50	8	1
PE051018	1	0	 	 
PE051018	2	0	 	 
PE051019	4	0	 	 
PE051023	1	0	 	 
PE051025	1	60	8	1
PE051027	1	0	 	 
PE051029	1	0	 	 
PE051031	1	192	5	12
PE051033	1	0	 	 
PE051035	1	0	 	 
PE051036	2	0	 	 
PE051036	4	0	 	 
PE051036	5	0	 	 
PE051036	6	0	 	 
PE051037	1	12	3	52
PE051045	1	0	 	 
PE051045	2	0	 	 
PE051045	3	0	 	 
PE051045	5	60	5	5
PE051046	1	0	 	 
PE051046	4	0	 	 
PE051047	1	0	 	 
PE051048	1	0	 	 
PE051048	2	0	 	 
PE051060	1	0	 	 
PE051063	1	0	 	 
PE051063	2	0	 	 
PE051064	1	0	 	 
PE051064	2	0	 	 
PE051065	1	100	7	2
PE051067	1	0	 	 
PE051067	2	0	 	 
PE051069	16	0	 	 
PE051069	17	0	 	 
PE051071	1	0	 	 
PE051071	2	0	 	 
PE051072	8	0	 	 
PE051072	15	0	 	 
PE051074	2	0	 	 
PE051075	1	0	 	 
PE051075	3	0	 	 
PE051075	4	0	 	 
PE051079	1	36	3	52
PE051080	1	0	 	 
PE051081	1	0	 	 
PE051082	1	0	 	 
PE051083	2	0	 	 
PE051084	2	112	5	12
PE051086	1	0	 	 
PE051086	2	0	 	 
PE051088	10	0	 	 
PE051089	4	0	 	 
PE051089	5	0	 	 
PE051094	1	0	 	 
PE051094	2	0	 	 
PE051094	3	0	 	 
PE051095	1	500	6	3
PE051098	1	30	5	24
PE051099	1	0	 	 
PE051099	3	0	 	 
PE051099	4	0	 	 
PE051100	1	0	 	 
PE051102	1	0	 	 
PE051102	3	0	 	 
PE051103	1	9	3	52
PE051105	5	10	8	1
PE061001	1	0	 	 
PE061003	1	2205	8	1
PE061004	1	0	 	 
PE061004	2	0	 	 
PE061004	3	0	 	 
PE061005	6	0	 	 
PE061006	1	50	7	2
PE061008	1	0	 	 
PE061009	1	30	8	1
PE061012	4	160	8	1
PE061012	5	90	8	1
PE061013	2	0	 	 
PE061014	2	0	 	 
PE061015	1	0	 	 
PE061017	1	0	 	 
PE061017	2	0	 	 
PE061018	1	0	 	 
PE061022	1	50	8	1
PE061022	2	0	 	 
PE061023	1	0	 	 
PE061026	1	350	8	1
PE061027	2	0	 	 
PE061031	1	0	 	 
PE061032	1	0	 	 
PE061033	2	0	 	 
PE061035	1	21	3	52
PE061037	3	700	7	2
PE061038	2	0	 	 
PE061040	2	60	8	1
PE061041	1	250	2	1
PE061043	1	0	 	 
PE061044	1	0	 	 
PE061045	1	55	8	1
PE061047	6	0	 	 
PE061049	2	0	 	 
PE061049	5	0	 	 
PE061052	1	0	 	 
PE061052	2	0	 	 
PE061052	6	80	8	1
PE061053	3	580	8	1
PE061054	1	240	6	3
PE061056	5	0	 	 
PE061057	2	0	 	 
PE061058	1	0	 	 
PE061061	1	500	5	8
PE061061	2	300	5	10
PE061062	1	0	 	 
PE061065	5	 	 	 
PE061067	1	45	8	1
PE061068	1	400	8	1
PE061069	2	0	 	 
PE061070	1	 	 	 
PE061071	1	0	 	 
PE061071	2	0	 	 
PE061071	3	10	8	1
PE061076	4	0	 	 
PE061077	1	0	 	 
PE061077	3	18	3	30
PE061078	1	0	 	 
PE061082	7	50	5	8
PE061082	18	0	 	 
PE061083	9	18	3	52
PE061084	90	0	 	 
PE061086	1	100	8	1
PE061086	6	0	 	 
PE061088	3	20	8	1
PE061090	1	0	 	 
PE061090	5	200	8	1
PE061090	6	60	8	1
PE061090	7	33	8	1
PE061092	1	0	 	 
PE061092	2	0	 	 
PE061093	1	 	 	 
PE061095	7	0	 	 
PE061095	9	0	 	 
PE061095	13	0	 	 
PE061096	1	0	 	 
PE061097	3	0	 	 
PE061097	5	0	 	 
PE061098	1	0	 	 
PE061099	1	0	 	 
PE061099	6	0	 	 
PE061100	2	0	 	 
PE061100	6	0	 	 
PE061101	4	0	 	 
PE061103	1	0	 	 
PE071001	1	0	 	 
PE071001	2	0	 	 
PE071002	4	0	 	 
PE071002	5	0	 	 
PE071002	7	0	 	 
PE071003	5	10	8	1
PE071004	1	520	5	11
PE071007	1	150	8	1
PE071007	3	150	8	1
PE071008	1	6000	8	1
PE071011	1	0	 	 
PE071013	1	120	3	34
PE071013	1	171	8	1
PE071013	1	125	8	2
PE071014	5	70	8	2
PE071014	7	70	8	2
PE071014	8	70	8	2
PE071017	1	0	 	 
PE071017	2	0	 	 
PE071020	2	0	 	 
PE071021	1	 	 	 
PE071022	1	0	 	 
PE071022	2	0	 	 
PE071023	1	 	 	 
PE071023	4	 	 	 
PE071024	5	0	 	 
PE071025	1	0	 	 
PE071026	1	0	 	 
PE071028	17	50	8	1
PE071029	7	0	 	 
PE071033	1	0	 	 
PE071033	2	500	8	1
PE071034	2	30	7	2
PE071035	1	550	8	1
PE071035	1	100	3	17
PE071036	5	0	 	 
PE071037	1	50	2	182
PE071037	1	20	2	182
PE071037	1	120	6	4
PE071039	1	200	7	2
PE071040	1	384	5	288
PE071040	2	0	 	 
PE071041	1	0	 	 
PE071041	2	0	 	 
PE071042	1	920	8	1
PE071042	2	0	 	 
PE071042	6	820	8	1
PE071042	8	500	8	1
PE071044	1	12	2	365
PE071044	2	12	2	365
PE071045	4	174	5	12
PE071046	1	0	 	 
PE071047	1	0	 	 
PE071049	1	0	 	 
PE071049	2	100	8	2
PE071049	18	0	 	 
PE071051	1	400	8	2
PE071051	1	42	3	52
PE071052	1	0	 	 
PE071053	1	0	 	 
PE071054	2	28	5	2
PE071055	1	56	3	52
PE071055	1	35	7	2
PE071055	2	24.5	3	52
PE071056	2	0	 	 
PE071057	2	0	 	 
PE071058	5	150	5	7
PE071059	2	240	3	2
PE071060	1	0	 	 
PE071061	1	160	8	1
PE071061	3	30	5	12
PE071064	1	0	 	 
PE071066	1	0	 	 
PE071068	1	55	6	2
PE071069	1	0	 	 
PE071069	2	0	 	 
PE071069	5	0	 	 
PE071069	6	240	7	2
PE071070	3	0	 	 
PE071070	4	8	2	288
PE071070	7	0	 	 
PE071070	8	0	 	 
PE071071	1	 	 	 
PE071072	1	100	8	1
PE071072	3	 	 	 
PE071073	1	0	 	 
PE071073	2	150	8	1
PE071075	5	18	3	45
PE071076	2	120	8	1
PE071078	2	3000	8	1
PE071079	1	8	3	52
PE071079	3	0	 	 
PE071080	1	80	8	1
PE071081	1	0	 	 
PE071081	2	0	 	 
PE071083	7	20	8	1
PE071084	1	900	6	1
PE071087	1	60	5	12
PE071087	4	21	3	52
PE071088	1	0	 	 
PE071089	6	0	 	 
PE071090	1	0	 	 
PE071090	4	0	 	 
PE071090	6	0	 	 
PE071091	1	100	1	2
PE071092	5	0	 	 
PE071093	1	100	8	1
PE071093	2	0	 	 
PE071094	1	300	8	1
PE071095	2	54	3	48
PE071095	90	60	8	1
PE071096	1	0	 	 
PE071096	2	300	7	2
PE071098	1	30	8	1
PE071099	1	0	 	 
PE071100	1	200	7	2
PE071101	12	0	 	 
PE071102	1	2740	8	1
PE071103	1	24	3	34
PE071103	1	28	3	13
PE071103	3	24	3	21
PE071104	2	200	8	1
PE071105	1	0	 	 
PE071106	2	36	3	52
PE071109	2	20	8	1
PE081002	5	0	 	 
PE081004	6	0	 	 
PE081004	7	0	 	 
PE081005	1	200	7	2
PE081005	6	0	 	 
PE081006	1	0	 	 
PE081007	3	0	 	 
PE081008	1	0	 	 
PE081009	1	0	 	 
PE081011	3	0	 	 
PE081013	6	120	8	1
PE081014	2	288	5	12
PE081015	2	0	 	 
PE081015	4	0	 	 
PE081015	5	0	 	 
PE081015	6	0	 	 
PE081015	7	0	 	 
PE081016	2	0	 	 
PE081020	3	0	 	 
PE081020	4	240	5	12
PE081022	3	0	 	 
PE081022	4	96	5	3
PE081023	17	96	5	12
PE081025	1	 	 	 
PE081025	18	 	 	 
PE081027	1	0	 	 
PE081027	2	0	 	 
PE081030	2	0	 	 
PE081030	5	100	8	1
PE081030	6	0	 	 
PE081031	1	0	 	 
PE081032	1	40	8	1
PE081033	18	3	2	144
PE081034	2	0	 	 
PE081035	1	0	 	 
PE081036	3	0	 	 
PE081036	5	48	3	52
PE081036	6	36	3	52
PE081036	8	36	3	52
PE081038	1	4	2	240
PE081040	7	150	8	1
PE081041	2	0	 	 
PE081042	6	12	3	52
PE081042	7	0	 	 
PE081043	1	100	8	1
PE081044	1	0	 	 
PE081045	1	200	5	8
PE081045	2	500	5	4
PE081045	3	12	5	30
PE081046	1	0	 	 
PE081046	2	0	 	 
PE081049	2	42	5	7
PE081050	5	0	 	 
PE081050	6	0	 	 
PE081051	2	0	 	 
PE081052	17	120	7	2
PE081054	1	0	 	 
PE081056	2	0	 	 
PE081057	2	0	 	 
PE081057	5	150	8	1
PE081060	1	0	 	 
PE081061	1	0	 	 
PE081062	1	0	 	 
PE081065	5	60	8	1
PE081067	2	0	 	 
PE081068	4	0	 	 
PE081069	1	15	2	286
PE081070	8	0	 	 
PE081072	2	0	 	 
PE081073	1	60	8	1
PE081073	2	24	3	26
PE081074	1	5	2	45
PE081075	2	20	3	26
PE081075	2	200	8	1
PE081076	1	0	 	 
PE081077	20	2	8	1
PE081078	1	900	8	310
PE081078	1	150	8	2
PE081079	7	3	2	204
PE081080	1	170	8	1
PE081084	1	48	3	52
PE081086	1	200	8	1
PE081086	1	120	5	12
PE081087	20	3.5	2	156
PE081088	1	4240	8	1
PE081088	16	0	 	 
PE081088	18	0	 	 
PE081091	1	0	 	 
PE081091	3	50	8	1
PE081092	1	280	8	1
PE081093	1	260	5	10
PE081093	1	200	8	1
PE081095	2	0	 	 
PE081095	5	0	 	 
PE081096	2	0	 	 
PE081099	2	3600	8	1
PE081102	9	48	3	44
PE091001	1	0	 	 
PE091003	1	780	7	1
PE091004	1	24	3	24
PE091006	1	0	 	 
PE091007	1	105	8	1
PE091008	1	0	 	 
PE091009	1	0	 	 
PE091009	2	0	 	 
PE091011	1	0	 	 
PE091011	4	0	 	 
PE091013	1	0	 	 
PE091013	2	0	 	 
PE091014	1	240	5	2
PE091015	2	80	8	1
PE091015	8	0	 	 
PE091022	2	0	 	 
PE091022	5	0	 	 
PE091022	6	0	 	 
PE091023	14	162	8	1
PE091025	1	4.5	2	278
PE091026	2	0	 	 
PE091027	1	0	 	 
PE091027	3	0	 	 
PE091028	1	0	 	 
PE091028	3	0	 	 
PE091029	1	 	 	 
PE091029	2	 	 	 
PE091030	2	30	3	21
PE091030	3	30	3	10
PE091030	4	30	3	10
PE091031	2	0	 	 
PE091032	1	0	 	 
PE091032	2	0	 	 
PE091033	6	50	3	44
PE091035	1	150	8	1
