childid	monincid	montypr3	mnclssr3	monpebr3
PE011001	1	12	1	20
PE011002	1	7	1	20
PE011003	1	12	1	11
PE011003	2	7	2	9
PE011004	1	12	1	14
PE011004	2	9	2	6
PE011005	1	12	1	12
PE011005	2	6	2	5
PE011005	3	9	3	3
PE011006	1	3	1	20
PE011007	1	12	1	20
PE011008	1	12	1	20
PE011009	1	12	1	15
PE011009	2	7	2	5
PE011010	1	12	1	13
PE011010	2	7	2	7
PE011011	1	5	1	16
PE011011	2	7	2	4
PE011012	1	12	1	15
PE011012	2	7	2	5
PE011013	1	6	1	20
PE011014	1	11	1	11
PE011014	2	7	2	9
PE011015	1	12	1	15
PE011015	2	9	2	5
PE011016	1	12	1	20
PE011017	1	11	1	12
PE011017	2	7	2	8
PE011018	1	7	1	20
PE011019	1	9	1	11
PE011019	2	6	2	5
PE011019	3	7	3	4
PE011020	1	12	1	20
PE011021	1	12	1	11
PE011021	2	7	2	9
PE011022	1	12	1	16
PE011022	2	7	2	4
PE011023	1	9	1	20
PE011023	2	12	2	0
PE011024	1	6	1	20
PE011025	1	12	1	20
PE011026	1	12	1	16
PE011026	2	9	2	4
PE011027	1	12	1	20
PE011028	1	1	1	20
PE011029	1	12	1	13
PE011029	2	6	2	7
PE011030	1	2	1	11
PE011030	2	7	2	9
PE011031	1	2	1	14
PE011031	2	12	2	6
PE011032	1	8	1	16
PE011032	2	12	2	4
PE011033	1	6	1	6
PE011033	2	12	2	5
PE011033	3	3	3	4
PE011033	4	2	4	2
PE011033	5	7	5	2
PE011033	6	9	6	1
PE011034	1	7	1	12
PE011034	2	12	2	8
PE011035	1	12	1	18
PE011035	2	7	2	2
PE011036	1	5	1	14
PE011036	2	9	2	3
PE011036	3	7	3	2
PE011036	4	12	4	1
PE011037	1	12	1	12
PE011037	2	7	2	8
PE011038	1	9	1	20
PE011039	1	11	1	16
PE011039	2	12	2	4
PE011040	1	12	1	20
PE011041	1	12	1	20
PE011042	1	12	1	20
PE011043	1	9	1	20
PE011044	1	9	1	13
PE011044	2	7	2	7
PE011046	1	12	1	20
PE011047	1	12	1	12
PE011047	2	9	2	5
PE011047	3	7	3	3
PE011048	1	8	1	20
PE011049	1	12	1	20
PE011050	1	12	1	14
PE011050	2	9	2	6
PE011051	1	1	1	9
PE011051	2	7	2	7
