childid	workid	wrkactr3	wrkpayr3	paynmer3
PE011001	1	3	0	 
PE011002	1	2	0	 
PE011005	1	4	0	 
PE011006	1	3	0	 
PE011007	1	2	0	 
PE011008	1	2	0	 
PE011008	2	3	0	 
PE011009	1	4	0	 
PE011011	1	2	0	 
PE011012	1	4	0	 
PE011012	2	2	0	 
PE011012	3	3	0	 
PE011014	1	2	0	 
PE011016	1	3	0	 
PE011018	1	2	0	 
PE011019	1	2	0	 
PE011019	2	3	0	 
PE011022	1	3	0	 
PE011023	1	2	0	 
PE011024	1	2	0	 
PE011024	2	3	0	 
PE011025	1	2	0	 
PE011026	1	2	0	 
PE011026	2	3	0	 
PE011027	1	2	0	 
PE011028	1	2	0	 
PE011029	1	4	0	 
PE011032	1	2	0	 
PE011032	2	1	0	 
PE011033	1	3	0	 
PE011035	1	2	0	 
PE011038	1	2	0	 
PE011039	1	2	5	1
PE011040	1	2	0	 
PE011042	1	2	0	 
PE011042	2	3	0	 
PE011044	1	2	0	 
PE011045	1	4	0	 
PE011046	1	2	0	 
PE011046	2	3	0	 
PE011047	1	2	0	 
PE011047	2	3	0	 
PE011048	1	4	1	2
PE011050	1	2	0	 
PE011050	2	2	0	 
PE011051	1	4	0	 
PE011051	2	4	0	 
PE011052	1	2	2	1
PE011054	1	2	0	 
PE011056	1	2	0	 
PE011057	1	3	0	 
PE011060	1	2	0	 
PE011061	1	4	0	 
PE011063	1	2	0	 
PE011063	2	2	0	 
PE011064	1	2	0	 
PE011066	1	2	0	 
PE011066	2	3	0	 
PE011069	1	2	0	 
PE011070	1	2	0	 
PE011073	1	2	0	 
PE011077	1	3	0	 
PE011077	2	2	0	 
PE011079	1	3	0	 
PE011080	1	2	0	 
PE011080	2	3	0	 
PE011081	1	2	0	 
PE011084	1	2	0	 
PE011084	2	3	0	 
PE011085	1	2	0	 
PE011088	1	2	0	 
PE011088	2	3	0	 
PE011089	1	2	0	 
PE011090	1	2	0	 
PE011091	1	2	0	 
PE011094	1	2	0	 
PE011094	2	1	0	 
PE011096	1	2	0	 
PE011100	1	2	0	 
PE011100	2	3	0	 
PE021001	1	3	0	 
PE021002	1	2	0	 
PE021002	2	1	0	 
PE021004	1	3	0	 
PE021005	1	3	0	 
PE021010	1	2	0	 
PE021012	1	2	0	 
PE021012	2	3	0	 
PE021015	1	2	0	 
PE021016	1	2	0	 
PE021018	1	2	0	 
PE021019	1	2	0	 
PE021019	2	2	0	 
PE021022	1	2	0	 
PE021022	2	3	0	 
PE021025	1	2	0	 
PE021031	1	2	0	 
PE021033	1	2	0	 
PE021034	1	2	0	 
PE021035	1	2	0	 
PE021035	2	3	0	 
PE021036	1	2	0	 
PE021036	2	3	0	 
PE021037	1	2	0	 
PE021040	1	2	0	 
PE021041	1	2	0	 
PE021042	1	3	0	 
PE021042	2	2	0	 
PE021042	3	2	0	 
PE021043	1	2	0	 
PE021044	1	2	0	 
PE021044	2	3	0	 
PE021046	1	2	0	 
PE021047	1	2	0	 
PE021048	1	2	0	 
PE021051	1	2	0	 
PE021051	2	4	0	 
PE021052	1	2	0	 
PE021053	1	2	1	1
PE021054	1	2	0	 
PE021055	1	2	5	1
PE021056	1	2	0	 
PE021056	2	3	0	 
PE021060	1	2	5	1
PE021060	2	3	0	 
PE021063	1	2	5	1
PE021065	1	3	0	 
PE021066	1	2	0	 
PE021066	2	3	0	 
PE021068	1	3	0	 
PE021068	2	2	0	 
PE021069	1	2	0	 
PE021071	1	2	0	 
PE021071	2	2	0	 
PE021072	1	2	0	 
PE021072	2	3	0	 
PE021074	1	2	0	 
PE021074	2	3	0	 
PE021075	1	4	0	 
PE021076	1	2	0	 
PE021082	1	2	0	 
PE021083	1	2	0	 
PE021083	2	3	0	 
