childid	donfdid	dontypr3	donrcvr3	donamtr3	donmsrr3	donprcr3	prcmsrr3
PE011003	1	10	54	1	8	.5	8
PE011003	2	9	54	1	7	.100000001490116	7
PE011003	3	10	54	1	9	2	9
PE011003	4	2	36	1	2	1.5	2
PE011003	5	10	198	1	7	.200000002980232	7
PE011005	1	9	160	1	7	.200000002980232	7
PE011006	1	1	6	1	2	2	2
PE011006	2	9	120	1	7	.5	7
PE011010	1	10	17	1	5	1	5
PE011012	1	1	8	2	2	3	2
PE011012	2	9	160	1	7	.5	7
PE011014	1	10	288	2	8	.5	8
PE011014	2	1	180	3	8	.5	8
PE011014	3	9	180	3	7	.200000002980232	7
PE011014	4	10	180	1	5	2	5
PE011015	1	10	52	2	8	3	8
PE011015	2	10	52	2	5	4.5	5
PE011015	3	9	52	2	7	.5	7
PE011017	1	1	100	3	6	2.70000004768372	6
PE011017	2	8	100	1	2	1	2
PE011017	3	9	180	1	7	.5	7
PE011017	4	1	180	1	8	1	8
PE011018	1	10	4	3	6	7.19999980926514	6
PE011018	2	1	60	1	8	1	8
PE011018	3	9	60	1	7	.200000002980232	7
PE011019	1	1	160	1	2	2	2
PE011019	2	9	160	1	7	.400000005960464	7
PE011022	1	9	90	1	7	.5	7
PE011022	2	1	90	1	2	2	2
PE011023	1	10	180	2	8	.5	8
PE011023	2	1	10	1	2	1.5	2
PE011023	3	9	10	1	9	.200000002980232	7
PE011024	1	1	125	1	8	1	8
PE011024	2	9	125	1	7	.200000002980232	7
PE011025	1	1	100	1	8	.5	8
PE011025	2	9	100	1	7	.200000002980232	7
PE011025	3	1	45	1	4	1	4
PE011026	1	10	170	4	8	.5	8
PE011026	2	9	170	3	7	.300000011920929	7
PE011029	1	1	180	1	8	.5	8
PE011029	2	9	180	1	7	.5	7
PE011032	1	1	3	3	6	2.70000004768372	6
PE011032	2	3	3	1	2	2	2
PE011033	1	10	160	4	8	.5	8
PE011033	2	9	180	2	7	.200000002980232	7
PE011033	3	1	180	2	3	1.5	3
PE011034	1	10	188	2	8	.5	8
PE011034	2	9	188	2	7	.5	7
PE011035	1	1	5	1	2	1.5	2
PE011035	2	9	100	1	7	.200000002980232	7
PE011036	1	10	200	2	8	.5	8
PE011036	2	6	6	3	4	1.5	4
PE011036	3	8	6	3	2	1.79999995231628	2
PE011036	4	7	6	3	6	2	6
PE011036	5	5	6	1	1	6	1
PE011037	1	1	64	1	8	.5	8
PE011037	2	10	64	1	7	1	7
PE011037	3	15	32	2	7	.200000002980232	7
PE011041	1	10	240	2	8	1	8
PE011041	2	10	120	1	8	.5	8
PE011041	3	9	120	1	7	.200000002980232	7
PE011043	1	1	4	3	6	2.70000004768372	6
PE011043	2	8	4	1	2	1.5	2
PE011043	3	2	160	2	2	2	2
PE011043	4	9	320	2	7	.300000011920929	7
PE011045	1	10	20	1	8	1	8
PE011045	2	9	180	2	7	.200000002980232	7
PE011045	3	1	180	2	8	1	8
PE011046	1	1	110	1	8	.5	8
PE011046	2	9	110	1	7	.150000005960464	7
PE011048	1	10	80	1	5	4.5	5
PE011049	1	9	240	1	7	.200000002980232	7
PE011049	2	10	240	1	8	5	8
PE011050	1	1	110	1	2	2	2
PE011050	2	9	110	1	7	.200000002980232	7
PE011051	1	1	12	2	2	3	2
PE011053	1	2	80	2	2	1	2
PE011053	2	9	80	2	7	.300000011920929	7
PE011061	1	10	180	2	8	1	8
PE011061	2	9	180	1	7	.5	7
PE011061	3	1	180	2	8	.5	8
PE011062	1	1	120	1	8	.5	8
PE011062	2	9	120	1	7	.200000002980232	7
PE011063	1	9	160	1	7	.200000002980232	7
PE011065	1	1	80	1	8	.5	8
PE011065	2	9	80	1	7	.5	7
PE011065	3	10	288	2	8	.5	8
PE011072	1	10	200	1	8	.5	8
PE011072	2	9	200	1	7	.100000001490116	7
PE011073	1	10	240	2	8	1	8
PE011075	1	9	180	1	7	.300000011920929	7
PE011075	2	1	180	1	3	1	3
PE011076	1	9	180	1	7	.100000001490116	7
PE011077	1	9	40	1	7	.5	7
PE011077	2	8	40	1	4	1.5	4
PE011080	1	1	130	1	8	1	8
PE011080	2	9	130	1	7	.150000005960464	7
PE011081	1	9	180	2	7	.5	7
PE011081	2	1	30	2	3	.699999988079071	3
PE011082	1	1	24	1	2	2.5	2
PE011085	1	10	8	20	8	1	8
PE011089	1	1	200	1	8	.5	8
PE011089	2	9	200	1	7	.300000011920929	7
PE011095	1	9	17	2	7	.300000011920929	7
PE011095	2	1	17	2	8	.5	8
PE011099	1	8	1	6	2	2	2
PE011099	2	9	180	6	7	.5	7
PE011099	3	1	180	6	3	1	3
PE011100	1	1	4	2	6	2.79999995231628	6
PE011100	2	3	4	1	2	2	2
PE021001	1	8	12	4	2	1.39999997615814	2
PE021001	2	5	12	2	1	6	1
PE021001	3	6	12	1	2	3.5	2
PE021001	4	1	12	4	1	2.59999990463257	1
PE021001	5	3	12	1	2	2	2
PE021004	1	10	144	2	8	.699999988079071	8
PE021004	2	8	12	2	2	1.5	2
PE021004	3	6	12	1	3	2	3
PE021004	4	5	12	1	1	6	1
PE021004	5	4	10	3	2	3	2
PE021005	1	8	21	2	2	1.39999997615814	2
PE021005	2	5	21	2	1	6.19999980926514	1
PE021005	3	6	21	1	2	2.59999990463257	2
PE021005	4	4	21	3	2	1.5	2
PE021006	1	10	336	2	1	2.5	1
PE021007	1	3	12	1	4	2	4
PE021007	2	1	12	2	6	2.5	6
PE021009	1	8	12	2	2	1.20000004768372	2
PE021009	2	6	12	1	4	2	4
PE021009	3	5	12	2	1	1.29999995231628	1
PE021011	1	10	26	1	8	.5	8
PE021012	1	10	12	1	8	1	8
PE021015	1	8	7	2	2	2	2
PE021015	2	6	7	1	4	1.5	4
PE021015	3	5	7	1	1	5	1
PE021021	1	10	52	1	8	.5	8
PE021026	1	1	6	3	6	3	6
PE021026	2	3	6	1	2	3	2
PE021028	1	10	180	2	8	1	8
PE021028	2	3	12	1	2	2.5	2
PE021028	3	1	12	2	6	3.20000004768372	6
PE021029	1	10	34	1	8	.300000011920929	8
PE021029	2	8	3	3	2	2	2
PE021029	3	5	3	1	1	1	1
PE021029	4	6	3	1	2	3	2
PE021031	1	8	12	2	2	1.79999995231628	2
PE021031	2	5	12	1	1	7	1
PE021031	3	6	12	1	4	1	4
PE021031	4	1	12	3	6	2	6
PE021031	5	3	12	1	2	3	2
PE021033	1	1	12	2	6	2.5	6
PE021033	2	5	12	1	1	5	1
PE021033	3	8	12	1	2	1.79999995231628	2
PE021033	4	6	12	1	2	2.5	2
PE021035	1	10	12	4	8	1	8
PE021035	2	3	12	1	2	1.5	2
PE021035	3	1	4	3	2	1.5	2
PE021035	4	8	4	2	2	1.5	2
PE021035	5	6	4	1	2	2	2
PE021035	6	5	4	1	1	4	1
PE021036	1	1	180	3	8	.5	8
PE021037	1	3	11	1	2	1.5	2
PE021037	2	1	11	3	6	2.79999995231628	6
PE021039	1	10	12	7	8	1	8
PE021040	1	3	11	1	2	4	2
PE021040	2	1	11	3	6	2.5	6
PE021040	3	8	8	4	2	2	2
PE021040	4	5	8	1	1	6	1
PE021040	5	7	8	3	6	3	6
PE021040	6	6	8	1	2	3.79999995231628	2
PE021044	1	1	170	1	8	.200000002980232	8
PE021044	2	9	170	1	7	.300000011920929	7
PE021044	3	10	150	5	8	.200000002980232	8
PE021045	1	1	21	2	6	2.5	6
PE021045	2	3	21	2	2	2	2
PE021046	1	3	12	1	2	2.5	2
PE021049	1	15	3	30	2	1.20000004768372	2
PE021051	1	10	52	1	8	.5	8
PE021053	1	5	12	3.75	1	8	1
PE021056	1	1	96	2	1	1.20000004768372	1
PE021058	1	5	12	1.25	1	8	1
PE021058	2	8	12	2	2	2	2
PE021058	3	6	12	1	2	2.5	2
PE021059	1	10	52	1	8	1	8
PE021060	1	1	8	3	6	2.29999995231628	6
PE021060	2	3	8	1	2	2	2
PE021062	1	10	144	1	8	1	8
PE021062	2	10	242	2	9	2	9
PE021063	1	3	12	4	2	9	2
PE021063	2	15	12	5	2	5	2
PE021063	3	10	200	3	9	3.5	9
PE021065	1	1	2	2	6	3	6
PE021065	2	3	10	1	2	3	2
PE021066	1	1	12	3	6	3.5	6
PE021066	2	3	12	1	4	2	4
PE021066	3	1	5	1	4	2	4
PE021066	4	8	5	2	2	1.60000002384186	2
PE021066	5	5	5	.5	1	3.5	1
PE021066	6	6	5	1	3	1.20000004768372	3
PE021068	1	3	12	1	2	3	2
PE021068	2	1	12	2	6	2.5	6
PE021068	3	10	200	1	8	.5	8
PE021069	1	10	240	1	8	.5	8
PE021069	2	10	90	1	5	.800000011920929	5
PE021069	3	10	90	 	8	.5	8
PE021070	1	1	3	3	6	2.5	6
PE021070	2	10	21	1	8	.5	8
PE021074	1	1	12	3	6	3	6
PE021074	2	3	12	2	4	4.80000019073486	4
PE021075	1	10	52	2	8	.5	8
PE021075	2	10	16	1	5	1	5
PE021079	1	8	3	2	2	2	2
PE021079	2	5	3	1	1	6	1
PE021079	3	7	3	3	6	2	6
PE021079	4	6	3	1	2	2	2
PE021086	1	10	240	2	8	2	8
PE021091	1	3	12	1	2	2.79999995231628	2
PE021091	2	1	12	3	6	2.59999990463257	6
PE021093	1	1	135	1	8	5	8
PE021093	2	3	135	1	8	.5	8
PE021094	1	10	240	1	8	2	8
PE021094	2	8	12	1	2	2	2
PE021094	3	5	12	.25	1	6.80000019073486	1
PE021094	4	6	12	1	4	1.5	4
PE021094	5	4	12	2	2	3.59999990463257	2
PE021095	1	3	12	2	2	2.79999995231628	2
PE021095	2	1	12	3	6	3	6
PE021095	3	8	5	2	2	2.79999995231628	2
PE021095	4	6	5	1	2	3.5	2
PE021096	1	10	40	12	5	1.5	5
PE021097	1	8	1	150	2	1.60000002384186	2
PE021098	1	8	3	2	2	2	2
PE021098	2	5	3	1	1	7.59999990463257	1
PE021098	3	2	3	2	2	1	2
PE031002	1	1	240	3	8	.5	8
PE031002	2	8	12	1	2	2	2
PE031002	3	1	6	1	2	1.5	2
PE031002	4	9	240	3	7	.300000011920929	7
PE031002	5	10	60	1	9	2	9
PE031002	6	8	12	1	2	2	2
PE031002	7	5	12	1	1	6	1
PE031003	1	9	180	2	7	.300000011920929	7
PE031003	2	8	10	1	2	2	2
PE031004	1	1	180	2	2	1	2
PE031004	2	9	180	2	7	.300000011920929	7
PE031004	3	10	100	1	8	.5	8
PE031005	1	1	10	1	2	1	2
PE031005	2	9	240	2	7	.200000002980232	7
PE031006	1	8	12	2	2	3.20000004768372	2
PE031006	2	5	12	.5	1	3	1
PE031007	1	1	12	1	8	.5	8
PE031007	2	9	180	1	7	.300000011920929	7
PE031007	3	10	180	1	9	1.5	9
PE031007	4	4	6	1	2	5	2
PE031008	1	1	80	3	8	.5	8
PE031008	2	1	5	1	2	2	2
PE031008	3	9	180	1	7	.300000011920929	7
PE031009	1	9	180	3	7	.300000011920929	7
PE031009	2	2	180	3	2	4	2
PE031011	1	1	120	1	8	5	8
PE031011	2	9	120	1	7	.5	7
PE031011	3	3	1	1	4	1	4
PE031013	1	5	44	2	1	7	1
PE031013	2	8	44	6	2	1.5	2
PE031013	3	6	44	2	2	1.29999995231628	2
PE031013	4	9	39	2	7	.300000011920929	7
PE031013	5	1	44	1	8	.5	8
PE031014	1	9	240	1	7	.200000002980232	7
PE031014	2	1	240	1	8	1	8
PE031015	1	1	144	2	8	.5	8
PE031015	2	10	100	1	5	2.5	5
PE031015	3	9	160	1	7	.5	7
PE031016	1	1	80	4	8	.5	8
PE031016	2	1	3	1	2	3	2
PE031016	3	9	220	1	7	.300000011920929	7
PE031017	1	1	312	1	8	.300000011920929	8
PE031017	2	3	12	1	2	1.5	2
PE031017	3	10	180	1	9	1	9
PE031017	4	1	36	1	2	1	2
PE031019	1	1	52	1	8	.5	8
PE031019	2	9	160	1	7	.300000011920929	7
PE031020	1	9	288	1	7	.400000005960464	7
PE031020	2	10	288	1	8	.5	8
PE031021	1	1	12	1	8	.200000002980232	8
PE031021	2	3	12	1	2	6	2
PE031022	1	1	180	1	3	.5	3
PE031022	2	9	180	1	7	1	7
PE031022	3	10	180	1	5	1	5
PE031023	1	1	170	1	8	.5	8
PE031023	2	10	170	1	5	2	5
PE031023	3	3	11	1	2	2	2
PE031024	1	9	220	1	7	.5	7
PE031024	2	1	10	1	2	2	2
PE031024	3	10	140	1	9	1	9
PE031024	4	1	140	1	8	.5	8
PE031025	1	1	288	1	8	.600000023841858	8
PE031025	2	1	10	1	2	2.5	2
PE031025	3	3	4	1	2	2.5	2
PE031025	4	9	80	1	7	.300000011920929	7
PE031025	5	10	200	1	5	3	5
PE031025	6	10	200	1	8	.5	8
PE031026	1	8	12	2	2	1.5	2
PE031026	2	1	12	1	8	.300000011920929	8
PE031026	3	1	50	1	8	.5	8
PE031026	4	10	50	1	9	2	9
PE031027	1	9	100	1	7	.5	7
PE031027	2	1	100	1	2	2.5	2
PE031031	1	9	140	1	7	.5	7
PE031031	2	1	140	1	8	.5	8
