childid	cropid	cropr3	qnthrvr3	qntuntr3
PE011012	1	45	300	8
PE011028	1	53	7000	2
PE011051	1	4	1000	8
PE011051	2	53	4000	2
PE011051	3	44	100	2
PE011051	4	56	10	8
PE011051	5	45	100	8
PE011051	6	51	30	8
PE011051	7	108	40	8
PE011054	1	44	200	10
PE011081	1	53	200	10
PE021003	1	4	16848	2
PE021004	1	4	6384	2
PE021004	2	85	25	2
PE021004	3	89	15	2
PE021004	4	93	4	8
PE021005	1	4	2400	11
PE021007	1	4	17280	2
PE021009	1	4	80	11
PE021014	1	4	5400	2
PE021016	1	4	7200	11
PE021021	1	53	1220	10
PE021022	1	4	700	11
PE021023	1	53	44	10
PE021024	1	4	900	2
PE021024	2	69	.5	10
PE021024	3	85	.5	3
PE021024	4	89	50	2
PE021027	1	4	480	11
PE021027	2	89	1	10
PE021027	3	132	15	2
PE021027	4	93	50	8
PE021028	1	53	10000	2
PE021033	1	53	180	10
PE021035	1	53	90	10
PE021038	1	53	235	10
PE021042	1	53	80	10
PE021043	1	4	1920	11
PE021043	2	4	36000	8
PE021045	1	4	8000	8
PE021046	1	53	350	10
PE021049	1	4	3600	8
PE021050	1	53	97	10
PE021051	1	53	115	10
PE021051	2	4	840	11
PE021052	1	4	72000	8
PE021052	2	53	40	10
PE021053	1	89	20	2
PE021053	2	56	10	2
PE021053	3	69	20	10
PE021055	1	53	2300	10
PE021055	2	89	4.5	1
PE021055	3	85	3	1
PE021055	4	82	25	10
PE021055	5	69	5	1
PE021058	1	53	48	10
PE021066	1	4	84000	8
PE021067	1	53	200	10
PE021068	1	53	25	10
PE021069	1	53	18	10
PE021073	1	53	37000	2
PE021075	1	44	280	11
PE021077	1	53	480	10
PE021078	1	53	3	4
PE021079	1	4	24000	8
PE021079	2	53	180	10
PE021080	1	4	80000	8
PE021081	1	53	320	10
PE021083	1	4	3600	8
PE021083	2	53	99	10
PE021084	1	4	5000	8
PE021090	1	4	10	7
PE021092	1	4	360	2
PE021094	1	53	8	10
PE021095	1	4	216	11
PE021099	1	53	700	10
PE031002	1	44	5	10
PE031002	2	75	12	10
PE031002	3	55	20	10
PE031002	4	89	3	10
PE031003	1	44	10	5
PE031003	2	75	10	5
PE031004	1	99	1	5
PE031004	2	75	8	5
PE031004	3	44	5	5
PE031006	1	44	12	5
PE031006	2	75	12	5
PE031006	3	89	2	 
PE031007	1	44	24	5
PE031007	2	75	10	5
PE031007	3	99	2	5
PE031007	4	89	3	10
PE031008	1	44	12	5
PE031008	2	75	12	5
PE031008	3	55	8	10
PE031009	1	75	12	5
PE031009	2	44	12	3
PE031009	3	99	1	5
PE031009	4	55	10	10
