childid	id	nmprsmr3	nmmnthr3	mnwager3	tlwagmr3
PE011028	1	1	12	600	7200
PE011030	1	2	12	120	1440
PE011031	1	1	12	180	2160
PE011048	1	3	12	480	17280
PE011048	2	5	3	600	9000
PE011095	1	1	12	140	1680
PE011095	2	2	12	140	1680
PE011095	3	3	12	140	1680
PE021004	3	1	2	380	760
PE021016	1	1	12	480	5760
PE021016	2	7	12	1050	12600
PE021043	1	1	7	360	2520
PE021073	1	6	4	105	2520
PE021084	1	1	6	15	90
PE031017	1	2	1	600	1200
PE031018	1	1	12	200	200
PE031029	1	1	12	500	6000
PE031033	1	1	5	100	500
PE031049	1	60	3	6	180
PE031099	1	1	1	200	200
PE051021	1	28	1	15	420
PE051021	2	5	1	 	720
PE051027	1	10	10	12	1200
PE051043	1	12	4	300	3600
PE051059	1	20	12	12	2880
PE051087	1	7	5	1000	5000
PE061031	1	1	2	200	400
PE061033	1	1	12	600	7200
PE061048	1	10	2	3000	6000
PE061091	1	1	1	720	720
PE061101	1	5	12	900	54000
PE071004	1	1	11	320	3840
PE071005	1	2	12	650	156000
PE071012	1	15	12	700	126000
PE071019	1	1	12	240	2880
PE071056	1	2	12	920	11040
PE071058	1	1	1	360	360
PE071076	1	1	12	600	3600
PE071096	1	4	1	800	800
PE081001	1	1	12	775	9300
PE081017	1	1	12	600	1200
PE081087	1	4	2	600	4800
PE081095	1	1	6	80	480
PE091010	1	2	1	400	800
PE091010	2	3	10	400	1200
PE091025	1	8	2	360	5760
PE101006	1	2	12	500	6000
PE101007	1	2	12	300	7200
PE101009	1	3	2	1800	3600
PE101009	2	3	1	2200	2200
PE101018	1	1	12	480	5760
PE101022	1	1	3	198	594
PE101027	1	1	12	240	2880
PE101028	1	15	12	500	90000
PE101058	1	2	10	150	300
PE101075	1	1	4	100	400
PE101079	1	2	12	600	7.2
PE101085	1	1	 	300	 
PE101097	1	3	8	300	900
PE101104	1	1	12	360	4320
PE101105	1	2	12	440	5280
PE111012	1	2	12	600	14400
PE111102	1	4	7	40	280
PE121012	1	1	1	300	300
PE121017	1	7	12	7000	84000
PE121021	1	2	2	800	1600
PE121026	1	1	2	600	1200
PE121030	1	5	7	800	28000
PE121043	1	2	1	160	160
PE121047	1	1	8	408	3264
PE121070	1	1	3	320	960
PE121075	1	3	12	480	1440
PE121086	1	2	12	720	17280
PE121088	1	2	12	350	8400
PE121096	1	5	12	700	3500
PE131001	1	5	2	600	3000
PE131007	1	1	1	960	960
PE131010	1	2	0	720	1440
PE131013	1	2	4	2400	9600
PE131045	1	1	1	720	720
PE131060	1	1	7	240	2880
PE131076	1	3	6	888	15984
PE131076	2	3	12	222	10656
PE131088	1	1	12	 	 
PE141006	1	2	2	150	600
PE141015	1	3	6	240	720
PE141015	2	1	6	1000	6000
PE141030	1	3	4	3000	3000
PE141036	1	1	10	450	4500
PE141036	2	1	11	400	4400
PE141036	3	1	2	350	700
PE141036	4	1	1	300	300
PE141042	1	1	12	400	4800
PE141042	2	1	12	300	3600
PE141081	1	40	5	57080	285000
PE141081	2	1	9	2400	21600
PE141081	3	8	4	19840	79360
PE141081	4	28	2	39120	78240
PE141087	1	3	12	550	1650
PE141092	1	4	12	4000	48000
PE141093	1	2	12	2400	28800
PE141095	1	7	12	720	60480
PE141095	2	3	12	520	18720
PE151001	1	1	3	360	1080
PE151004	1	2	12	300	600
PE151011	1	1	2	360	720
PE151014	1	1	11	300	3300
PE151033	1	2	1	300	600
PE151043	1	1	2	360	720
PE151052	1	1	4	1120	1120
PE151076	1	1	6	480	2880
PE151080	1	2	3	720	4320
PE151090	1	1	12	1060	12720
PE151091	1	1	11	360	3960
PE151097	1	3	180	15	8100
PE151110	1	2	1	500	500
PE161066	1	2	12	500	12000
PE161108	1	1	2	30	1440
PE171053	1	4	2	900	7200
PE171081	1	1	11	300	3300
PE181001	1	5	3	500	7500
PE181077	1	1	1	360	360
PE191002	1	1	12	160	1920
PE191010	1	10	1	750	7500
PE191056	1	1	12	200	2400
PE191057	1	30	35	30	1050
PE191057	2	30	30	40	1200
PE191057	3	150	45	45	6750
PE191071	1	1	2	300	600
PE191096	1	1	1	240	240
PE191098	1	1	6	200	1200
PE191098	2	1	4	80	320
PE191100	1	1	4	1080	4320
PE191103	1	1	12	2352	28224
PE201004	1	1	2	450	900
PE201005	1	1	2	200	400
PE201012	1	1	12	240	2880
PE201014	1	1	4	150	600
PE201016	1	2	3	350	2100
PE201016	2	2	1	350	700
PE201018	1	2	3	200	1200
PE201028	1	2	12	1200	14400
PE201028	2	2	12	1400	16800
PE201028	3	3	2	2160	4320
PE201038	1	1	12	300	3600
PE201042	1	9	2	2160	8640
PE201064	1	1	12	1800	21600
PE201066	1	2	1	120	480
PE201068	1	2	12	800	9600
PE201092	1	2	6	800	3200
PE201093	1	1	2	150	300
