childid	cdintday	cdintmth	cdintyr	cdint	cpda	sibling	enrschr3	misschr3	tmabstr3	scwhyr31	scwhyr32	scwhyr33	bstschr3	wrstscr3	cmpothr3	dngschr3	scriskr3	tcphothr3	tcphyur3	chwrkr3	mnpdacr3	mstlkr3	lstlkr3	stnprsr3	ctrustr3	cgovrgr3	csfeowr3	csrvcmr3	cfrnstr3	cleadr3	ctryhdr3	cashshr3	cpldecr3	cftrwrr3	ccltrgr3	cashclr3	cembbkr3	cwrunir3	cbrjobr3	cashwkr3	cnochcr3	numthgr3	ppltrtr3	aresfer3	anyhlpr3	nmfrndr3	leaderr3	incgmer3	hrdtlkr3	hlpchlr3	ftrwrkr3	wusinr31	wusinr32	wusinr33	tmoninr3	hvpetr3	pettypr3	petnmer3	rsppetr3	riskavr3	riskar32	sasday	sasmnt	sasyear	vsimpr3	ppvtlow	ppvthigh	strthrpp	strtmnpp	ppvt001	ppvt002	ppvt003	ppvt004	ppvt005	ppvt006	ppvt007	ppvt008	ppvt009	ppvt010	ppvt011	ppvt012	ppvt013	ppvt014	ppvt015	ppvt016	ppvt017	ppvt018	ppvt019	ppvt020	ppvt021	ppvt022	ppvt023	ppvt024	ppvt025	ppvt026	ppvt027	ppvt028	ppvt029	ppvt030	ppvt031	ppvt032	ppvt033	ppvt034	ppvt035	ppvt036	ppvt037	ppvt038	ppvt039	ppvt040	ppvt041	ppvt042	ppvt043	ppvt044	ppvt045	ppvt046	ppvt047	ppvt048	ppvt049	ppvt050	ppvt051	ppvt052	ppvt053	ppvt054	ppvt055	ppvt056	ppvt057	ppvt058	ppvt059	ppvt060	ppvt061	ppvt062	ppvt063	ppvt064	ppvt065	ppvt066	ppvt067	ppvt068	ppvt069	ppvt070	ppvt071	ppvt072	ppvt073	ppvt074	ppvt075	ppvt076	ppvt077	ppvt078	ppvt079	ppvt080	ppvt081	ppvt082	ppvt083	ppvt084	ppvt085	ppvt086	ppvt087	ppvt088	ppvt089	ppvt090	ppvt091	ppvt092	ppvt093	ppvt094	ppvt095	ppvt096	ppvt097	ppvt098	ppvt099	ppvt100	ppvt101	ppvt102	ppvt103	ppvt104	ppvt105	ppvt106	ppvt107	ppvt108	ppvt109	ppvt110	ppvt111	ppvt112	ppvt113	ppvt114	ppvt115	ppvt116	ppvt117	ppvt118	ppvt119	ppvt120	ppvt121	ppvt122	ppvt123	ppvt124	ppvt125	finhrpp	finmnpp	ceiling	minerr	rawscre	stdscre	ppfwlang	ppcdlang	testlang	sasdate	vrbsthr	vrbstmn	vrbitm01	vrbitm02	vrbenhr	vrbenmn	egrasthr	egrastmn	wridonex	wridread	wridincr	wridcrct	wridsecs	canread	chrdread	chrdincr	chrdcrct	chrdsecs	readps01	readps02	readps03	readps04	readps05	readps06	readps07	readps08	lsntcm01	lsntcm02	lsntcm03	lsntcm04	lsntcm05	lsntcm06	egraenhr	egraenmn	salngad	salngch	salngts	sblngad	sblngch	sblngts	sclngad	sclngch	sclngts	cndsthr	cndstmn	mthitm01	mthitm02	mthitm03	mthitm04	mthitm05	mthitm06	mthitm07	mthitm08	mthitm09	cndenhr	cndenmn	cmpsthr	cmpstmn	mthitm10	mthitm11	mthitm12	mthitm13	mthitm14	mthitm15	mthitm16	mthitm17	mthitm18	mthitm19	mthitm20	mthitm21	mthitm22	mthitm23	mthitm24	mthitm25	mthitm26	mthitm27	mthitm28	mthitm29	mthlst5	mthlst10	cmpenhr	cmpenmn	mthlngad	mthlngch	mthlngts	pr2lngad	pr2lngch	pr2lngts	sibid	sibday	sibmnt	sibyear	sbvsimr3	sppvtlow	sppvthgh	strthrsb	strtmnsb	stvip001	stvip002	stvip003	stvip004	stvip005	stvip006	stvip007	stvip008	stvip009	stvip010	stvip011	stvip012	stvip013	stvip014	stvip015	stvip016	stvip017	stvip018	stvip019	stvip020	stvip021	stvip022	stvip023	stvip024	stvip025	stvip026	stvip027	stvip028	stvip029	stvip030	stvip031	stvip032	stvip033	stvip034	stvip035	stvip036	stvip037	stvip038	stvip039	stvip040	stvip041	stvip042	stvip043	stvip044	stvip045	stvip046	stvip047	stvip048	stvip049	stvip050	stvip051	stvip052	stvip053	stvip054	stvip055	stvip056	stvip057	stvip058	stvip059	stvip060	stvip061	stvip062	stvip063	stvip064	stvip065	stvip066	stvip067	stvip068	stvip069	stvip070	stvip071	stvip072	stvip073	stvip074	stvip075	stvip076	stvip077	stvip078	stvip079	stvip080	stvip081	stvip082	stvip083	stvip084	stvip085	stvip086	stvip087	stvip088	stvip089	stvip090	stvip091	stvip092	stvip093	stvip094	stvip095	stvip096	stvip097	stvip098	stvip099	stvip100	stvip101	stvip102	stvip103	stvip104	stvip105	stvip106	stvip107	stvip108	stvip109	stvip110	stvip111	stvip112	stvip113	stvip114	stvip115	stvip116	stvip117	stvip118	stvip119	stvip120	stvip121	stvip122	stvip123	stvip124	stvip125	finhrsb	finmnsb	sceiling	sminerr	srawscre	sstdscre	sppfwlng	sppcdlng	stestlng	chlang_gr	chsex	ppvtlang2	egralang2	mathlang2	bppvtlang2	wordrec	readflu	egra	math	ppvt	sppvt	egra_co	math_co	rppvt_co	rsppvt_co	regra_co	rmath_co	gegra	gegra_co	rgegra_co	readci	writeci	numerci	bmi	zwfa	zhfa	zbfa	fwfa	fhfa	fbfa
PE011001	11	8	2009	8/11/2009	0	1	1	0	 	 	 	 	5	15	3	0	 	0	0	0	 	 	 	9	2	 	2	4	4	2	5	4	4	4	4	5	2	4	5	 	 	1	1	2	1	6	0	2	2	1	17	2	 	 	1	1	4	0	1	3	1	11	8	2009	0	38	86	14	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	3	3	3	2	1	2	1	4	2	2	1	3	2	2	3	3	4	4	1	1	1	1	4	1	1	2	3	2	4	2	4	1	3	1	4	1	3	2	3	2	1	1	2	4	2	3	4	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	30	86	6	80	121	31	31	31	8/11/2009	14	30	4	2	14	33	14	35	1	44	6	38	 	1	71	3	68	 	1	1	1	2	1	 	1	1	1	1	1	2	3	3	14	42	31	31	31	31	31	31	31	31	31	14	47	1	1	1	1	1	2	1	1	1	14	54	14	55	5	5	79	15	67	165	3	21	875	767	624	45	176	9	5	 	 	 	 	 	18	24	15	3	31	31	31	31	31	31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	1	1	 	38	68	9	21	80	 	9	21	318.683227539063	 	301.177032470703	316.766937255859	300.445068359375	300.445068359375	300.222045898438	4	2	1	17.6032733917236	-.629999995231628	-2.29999995231628	.990000009536743	0	0	0
PE011002	19	8	2009	8/19/2009	1	0	1	0	 	 	 	 	10	15	3	0	 	0	0	0	 	 	 	9	1	2	3	3	4	5	5	4	2	3	4	5	5	4	4	 	 	1	1	1	1	4	1	1	3	2	11	5	 	 	2	0	 	 	 	6	2	19	8	2009	0	34	55	8	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	4	1	2	3	3	3	1	1	4	1	4	2	1	4	3	1	3	3	2	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8	47	55	8	47	82	31	31	31	8/19/2009	8	47	4	2	8	49	8	49	1	60	0	60	 	1	81	7	74	 	1	2	1	2	2	2	2	1	1	1	1	1	1	3	9	1	31	31	31	31	31	31	31	31	31	9	1	1	1	1	1	1	1	1	2	1	9	5	9	8	5	11	79	15	67	165	3	21	78	 	613	44	76	 	 	 	 	 	 	 	15	22	9	16	31	31	31	31	31	31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	1	1	 	60	74	8	16	47	 	8	16	296.475982666016	 	297.102783203125	304.314208984375	306.1259765625	306.1259765625	306.271392822266	4	2	1	14.4916763305664	-1.5900000333786	-1.75	-.720000028610229	0	0	0
PE011003	20	8	2009	8/20/2009	0	1	1	0	 	 	 	 	10	10	3	0	 	1	1	0	 	 	 	8	2	2	4	4	3	2	4	4	3	4	4	3	4	4	4	 	 	3	1	1	1	30	1	2	2	2	28	1	 	 	 	1	5	1	1	2	2	20	8	2009	0	43	77	15	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	1	4	2	2	1	3	2	2	3	2	4	4	2	4	1	1	4	4	4	2	3	4	1	2	4	3	3	1	3	2	2	4	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	15	77	12	65	101	31	31	31	8/20/2009	15	16	4	3	15	17	15	18	1	60	0	60	44	1	95	1	94	 	2	2	1	2	1	1	1	1	1	2	1	1	1	3	15	29	31	31	31	31	31	31	31	31	31	15	30	1	1	1	1	1	2	1	2	1	15	31	15	34	5	5	79	15	67	155	1	15	875	777	624	45	88	 	 	 	 	 	 	 	20	22	15	42	31	31	31	31	31	31	3	20	8	2009	0	9	48	15	45	 	 	 	 	 	 	 	 	4	2	3	3	3	3	2	2	4	1	2	3	4	3	2	3	2	3	3	4	2	2	3	1	1	4	1	2	1	4	1	3	3	4	3	3	1	3	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	54	48	16	32	93	31	31	31	1	1	1	1	1	1	81.8181838989258	94	9	15	65	65	9	15	308.155914306641	284.642364501953	300.692016601563	301.837036132813	317.744934082031	317.744934082031	317.510406494141	4	3	1	21.5869598388672	1.76999998092651	-.439999997615814	2.60999989509583	0	0	0
PE011004	20	8	2009	8/20/2009	1	1	1	0	 	 	 	 	10	10	3	0	 	1	0	0	 	 	 	9	4	3	2	4	4	2	4	4	4	4	4	4	4	4	4	 	 	1	1	0	1	13	0	1	3	1	30	2	 	 	3	0	 	 	 	5	1	20	8	2009	0	43	88	17	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	1	4	2	2	1	3	2	2	3	1	4	4	1	3	1	1	3	4	4	2	2	1	1	2	4	2	3	1	1	1	4	2	4	3	3	4	1	3	3	1	1	3	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	17	21	88	16	72	107	31	31	31	8/20/2009	17	21	4	2	17	23	17	23	1	45	1	44	 	1	61	1	59	 	1	1	1	1	1	1	1	1	1	1	1	2	1	1	17	37	31	31	31	31	31	31	31	31	31	17	37	1	1	1	1	1	2	1	1	2	17	39	17	42	5	5	79	15	68	165	3	61	 	 	 	 	 	 	 	 	 	 	 	 	17	18	17	50	31	31	31	31	31	31	3	20	8	2009	0	26	61	17	52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	4	2	4	3	2	4	4	4	4	4	3	4	3	2	2	1	2	1	4	4	4	4	3	4	2	3	4	1	3	1	3	4	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	18	0	61	14	47	99	31	31	31	1	1	1	1	1	1	44	59	13	13	72	72	13	13	312.151702880859	294.8623046875	324.070495605469	297.485290527344	307.066955566406	307.066955566406	307.82275390625	4	2	0	18.1313133239746	1.42999994754791	.959999978542328	1.26999998092651	0	0	0
PE011005	13	8	2009	8/13/2009	0	0	1	0	 	 	 	 	5	10	3	1	1	1	0	0	 	 	 	9	5	4	3	3	5	4	5	4	3	3	5	4	5	4	3	 	 	2	1	2	1	5	0	1	2	1	36	1	 	 	 	0	 	 	 	6	1	13	8	2009	0	45	63	14	50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	4	2	2	1	3	4	2	4	1	4	1	1	1	1	4	2	4	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	56	63	8	55	86	31	31	31	8/13/2009	14	56	4	3	14	58	14	59	1	46	0	46	 	1	88	3	85	 	1	 	1	2	1	2	2	1	1	1	1	2	1	3	15	11	31	31	31	31	31	31	31	31	31	15	11	1	1	1	1	2	2	1	2	1	15	14	15	18	5	5	79	15	13	165	3	21	875	833	624	45	 	 	 	 	 	 	 	 	18	21	15	26	31	31	31	31	31	31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	1	 	46	85	8	16	55	 	8	16	300.548583984375	 	296.520751953125	304.046417236328	304.276062011719	304.276062011719	304.210998535156	4	3	1	15.1720905303955	-1.97000002861023	-2.39000010490417	-.449999988079071	0	0	0
PE011006	19	8	2009	8/19/2009	1	1	1	0	 	 	 	 	5	30	2	0	 	1	0	1	 	 	 	9	4	5	2	4	5	2	5	2	4	5	4	2	2	4	4	3	4	3	1	1	1	14	0	1	2	1	11	1	 	 	 	1	1	1	1	1	2	19	8	2009	0	29	63	16	26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	3	2	4	4	1	4	3	2	4	3	4	1	1	4	3	4	2	3	1	4	3	2	3	4	4	2	1	3	4	3	1	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	16	34	63	16	47	85	31	31	31	8/19/2009	16	34	4	2	16	36	16	36	1	40	2	38	 	1	43	2	41	 	1	2	1	2	1	2	1	1	1	1	2	2	1	1	16	49	31	31	31	31	31	31	31	31	31	16	49	1	1	1	1	2	2	1	1	2	16	52	16	55	5	 	79	15	50	30	15	21	875	860	624	0	 	 	 	 	 	 	 	 	17	21	17	3	31	31	31	31	31	31	5	19	8	2009	0	1	20	17	12	2	1	1	1	1	4	3	3	1	2	3	3	3	4	2	1	2	2	4	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	17	17	20	11	9	68	31	31	31	1	0	1	1	1	1	38	41	9	12	47	47	9	12	294.401245117188	267.122467041016	301.177032470703	295.275909423828	295.302368164063	295.302368164063	295.035614013672	4	2	0	13.0540313720703	-2.65000009536743	-2.19000005722046	-1.76999998092651	0	0	0
PE011007	16	8	2009	8/16/2009	0	0	1	0	 	 	 	 	10	28	3	0	 	1	1	0	 	 	 	5	4	5	1	3	4	2	4	5	3	4	3	5	3	5	5	 	 	2	1	1	1	4	0	1	3	1	3	3	 	 	3	1	1	1	1	2	1	16	8	2009	0	50	75	14	37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	4	2	3	3	4	4	1	1	1	1	3	4	4	2	3	2	1	1	4	3	3	3	2	2	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	47	75	10	65	101	31	31	31	8/16/2009	14	47	4	3	14	49	14	50	1	54	2	52	 	1	76	0	76	 	2	1	1	1	1	1	1	1	1	1	1	2	1	2	15	2	31	31	31	31	31	31	31	31	31	15	3	1	1	1	1	1	1	1	1	1	15	6	15	8	5	11	79	15	67	165	3	21	875	235	624	25	 	 	 	 	 	 	 	 	19	21	15	17	31	31	31	31	31	31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	1	1	 	52	76	12	18	65	 	12	18	308.155914306641	 	315.921997070313	309.067657470703	310.89794921875	310.89794921875	310.648712158203	4	3	1	22.5640888214111	1.86000001430511	-.370000004768372	2.50999999046326	0	0	0
PE011008	17	8	2009	8/17/2009	1	1	1	0	 	 	 	 	19	15	3	0	 	0	0	0	 	 	 	9	4	3	1	3	2	4	5	4	4	4	5	5	3	5	4	 	 	1	1	1	1	3	1	2	3	1	11	1	 	 	 	0	 	 	 	3	2	17	8	2009	0	40	94	16	56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	2	1	2	1	4	2	3	4	3	2	3	3	3	4	4	1	3	1	3	3	1	4	2	3	3	3	3	3	2	3	1	4	2	1	2	3	3	3	4	3	3	3	4	4	2	4	2	4	3	3	2	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	17	9	94	22	72	109	31	31	31	8/17/2009	17	9	4	3	17	11	17	11	1	48	3	45	 	1	72	1	71	 	1	2	1	1	1	2	1	1	1	1	1	2	2	2	17	22	31	31	31	31	31	31	31	31	31	17	22	1	1	1	1	2	2	1	2	1	17	24	17	27	6	5	79	15	67	165	3	21	875	767	524	45	68	 	 	 	 	 	 	 	15	22	17	35	31	31	31	31	31	31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	1	 	45	71	11	16	72	 	11	16	311.613800048828	 	309.907592773438	304.046417236328	306.311706542969	306.311706542969	305.695556640625	4	3	1	15.4835376739502	-1.08000004291534	-1.47000002861023	-.180000007152557	0	0	0
PE011009	15	8	2009	8/15/2009	0	1	1	1	5	16	 	 	4	15	2	0	 	0	0	0	 	 	 	9	2	3	5	4	3	4	4	5	3	4	4	4	4	4	5	 	 	1	1	1	1	3	0	2	2	2	36	3	 	 	 	0	 	 	 	6	2	15	8	2009	0	38	87	15	26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	3	3	3	2	1	2	1	4	2	2	1	3	4	2	3	3	4	4	1	1	1	1	3	2	4	2	3	3	1	2	2	3	3	1	4	1	1	2	2	3	3	4	2	4	1	4	1	4	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	37	87	14	73	113	31	31	31	8/15/2009	15	37	4	3	15	40	15	41	1	30	1	29	 	1	42	1	41	 	1	1	1	2	1	1	1	1	1	1	 	1	1	2	15	35	31	31	31	31	31	31	31	31	31	15	54	1	1	1	1	2	2	1	1	1	15	56	15	59	5	5	79	15	67	165	3	21	875	767	624	 	 	 	 	 	 	 	 	 	16	20	16	7	31	31	31	31	31	31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	1	 	29	41	12	18	73	 	12	18	313.227478027344	 	315.630981445313	308.799865722656	297.750244140625	297.750244140625	297.290771484375	4	3	1	18.2159671783447	.230000004172325	-1.27999997138977	1.39999997615814	0	0	0
PE011010	21	8	2009	8/21/2009	0	1	1	0	 	 	 	 	11	33	3	0	 	1	1	0	 	 	 	3	4	5	5	5	4	2	5	4	5	5	4	5	4	5	4	 	 	3	1	1	1	5	0	 	1	3	27	2	5	 	3	1	2	1	1	6	2	21	8	2009	0	10	50	14	19	 	 	 	 	 	 	 	 	 	2	3	3	3	3	2	2	1	4	2	2	4	1	2	1	4	3	4	4	4	4	2	2	4	4	3	3	3	2	4	1	3	1	1	4	4	4	2	3	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	32	42	13	29	55	31	31	31	8/21/2009	14	33	1	1	14	36	14	37	2	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	1	1	2	 	 	 	14	47	31	31	31	31	31	31	31	31	31	14	49	2	2	1	2	2	2	2	2	2	14	53	14	59	3	3	6	9	4	3	3	2	 	 	 	 	100	13	8	3	 	 	 	 	13	25	15	8	31	31	31	31	31	31	16	21	8	2009	0	1	21	15	42	2	4	1	2	1	4	1	1	4	2	3	3	3	3	2	1	4	2	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	47	21	6	15	84	31	31	31	1	1	1	1	1	1	0	0	2	2	29	29	2	2	283.028686523438	274.652954101563	266.351806640625	265.282196044922	265.155578613281	265.155578613281	264.760772705078	1	1	0	17.0567092895508	.879999995231628	.629999995231628	.740000009536743	0	0	0
