childid	outid	remrel	remest	remgood
PE018003	1	5	200	 
PE018003	2	13	300	 
PE018004	1	13	50	50
PE018012	1	6	 	150
PE018013	1	6	300	 
PE018015	1	5	50	 
PE018020	1	13	 	70
PE018021	1	21	5	 
PE018024	1	7	50	150
PE018025	1	5	350	 
PE018026	1	5	2640	50
PE018030	1	21	 	30
PE018035	1	14	150	 
PE018036	1	5	 	50
PE018041	1	10	 	1850
PE018042	1	9	240	170
PE018045	1	21	 	20
PE018047	1	13	 	30
PE028003	1	13	 	15
PE028003	2	13	 	15
PE028006	1	21	30	 
PE028009	1	7	440	 
PE028011	1	21	20	 
PE028012	1	7	1000	 
PE028024	1	6	1200	 
PE038006	1	13	 	8
PE038014	1	9	4800	240
PE038023	1	13	200	 
PE048002	1	13	30	50
PE048005	1	7	4200	 
PE048006	1	21	 	40
PE048007	1	6	 	30
PE048009	1	14	30	30
PE048011	1	21	55	5
PE048015	1	9	400	 
PE048016	1	13	0	80
PE048016	2	13	0	40
PE048019	1	13	 	20
PE058001	1	7	 	45
PE058016	1	5	 	5
PE058019	2	21	5	10
PE058026	1	5	 	20
PE058027	1	13	 	40
PE068008	1	21	0	30
PE068009	1	6	300	 
PE068010	1	7	300	 
PE068015	1	9	 	500
PE068016	1	5	200	 
PE068019	1	7	 	200
PE068023	1	21	 	20
PE068025	1	7	230	75
PE078004	1	13	500	300
PE078006	1	13	50	 
PE078018	1	21	0	150
PE078024	1	6	200	0
PE078026	1	6	600	 
PE078029	1	21	200	0
PE078032	1	8	1200	 
PE078037	1	6	300	 
PE078038	1	5	1200	 
PE078044	1	6	400	50
PE078044	2	5	300	50
PE078045	1	13	250	 
PE078049	1	5	200	 
PE078050	1	7	300	 
PE088004	1	21	 	150
PE088004	2	21	 	20
PE088008	1	17	100	70
PE088011	1	13	3000	 
PE098010	1	13	 	100
PE098010	2	13	 	100
PE098010	3	13	 	100
PE098010	4	13	 	100
PE098010	5	13	 	100
PE098010	6	13	 	100
PE098011	1	7	 	50
PE098012	1	1	 	30
PE098017	1	5	 	20
PE098020	1	13	 	600
PE098020	2	7	 	900
PE098022	1	7	 	150
PE098029	1	7	 	300
PE108002	1	5	 	1000
PE108006	1	6	150	 
PE108009	1	19	0	35
PE108013	1	13	1000	 
PE118004	1	7	7200	2400
PE118005	1	7	 	10
PE118006	1	7	3600	 
PE118013	1	6	 	80
PE118018	1	7	 	50
PE118027	1	8	 	70
PE118029	1	6	 	70
PE128005	1	13	 	30
PE128008	1	21	 	10
PE128009	1	1	300	 
PE128012	1	21	150	50
PE128017	1	5	 	300
PE128020	1	21	 	100
PE128023	1	21	100	 
PE128032	1	5	500	 
PE128039	1	13	 	200
PE128042	1	5	50	 
PE128043	1	6	200	 
PE128046	1	13	 	30
PE128048	1	21	50	 
PE128049	1	13	100	 
PE138009	1	7	4000	300
PE138011	1	5	 	140
PE138016	1	21	150	 
PE138025	1	5	 	100
PE138027	1	7	7000	 
PE138034	1	7	 	100
PE138035	1	5	 	100
PE138036	1	6	500	 
PE138049	1	19	150	80
PE148001	1	6	100	 
PE148013	1	13	500	 
PE148019	1	6	 	60
PE148020	1	5	200	0
PE148025	1	5	 	180
PE148026	1	13	0	240
PE148027	1	6	 	100
PE148027	2	13	 	145
PE148030	1	5	100	 
PE148032	1	13	600	0
PE148034	1	21	 	20
PE148036	1	21	 	40
PE148044	1	5	80	200
PE148045	1	14	 	160
PE148049	1	5	 	40
PE148051	1	14	 	30
PE158001	1	13	1000	 
PE158003	1	17	100	 
PE158010	1	6	400	650
PE158011	1	13	800	 
PE158011	2	5	1100	 
PE158011	3	7	600	 
PE158012	1	7	500	 
PE158024	1	13	500	 
PE158025	1	6	350	190
PE158033	1	13	20	15
PE158037	1	5	150	 
PE158039	1	7	 	240
PE158041	1	5	300	 
PE158044	1	6	100	 
PE158049	1	7	200	 
PE158056	1	5	130	 
PE158057	1	7	350	0
PE168002	1	21	 	50
PE168018	1	7	2400	0
PE178004	1	14	0	30
PE178009	1	9	150	80
PE178016	1	9	 	30
PE178028	1	7	300	60
PE178033	1	7	0	30
PE188002	1	5	 	10
PE188002	2	6	 	10
PE188010	1	13	 	18
PE188011	1	19	 	30
PE188013	1	21	 	50
PE188014	1	1	50	60
PE188021	1	7	0	111
PE188022	1	13	0	20
PE188026	1	7	0	30
PE198002	1	13	3000	 
PE198003	1	5	60	 
PE198013	1	13	 	200
PE198016	1	7	7200	 
PE198025	1	21	 	80
PE198026	1	19	300	0
PE198027	1	7	250	0
PE198031	1	9	1500	 
PE208001	1	18	 	20
PE208008	1	7	2640	0
PE208008	2	8	4560	0
PE208012	1	5	 	100
PE208022	1	5	50	50
PE208032	1	6	20	0
PE208033	1	21	40	0
PE208033	2	13	0	30
PE208033	3	5	0	15
PE208033	4	6	0	15
PE208034	1	5	150	 
PE208038	1	6	20	0
PE208038	2	5	20	0
PE208040	1	7	480	150
PE208046	1	5	1200	240
