childid	orgid	orgcode	orgyrs	orgmths
PE018003	1	8	1	0
PE018004	1	6	12	0
PE018004	2	8	2	0
PE018005	1	6	2	9
PE018007	1	6	0	10
PE018010	1	11	5	0
PE018011	1	11	4	0
PE018012	1	6	4	0
PE018012	2	11	2	0
PE018013	1	6	6	0
PE018013	2	11	4	0
PE018016	1	6	5	0
PE018017	1	12	1	0
PE018018	1	11	1	0
PE018019	1	6	12	0
PE018019	2	11	5	0
PE018019	3	5	0	1
PE018019	4	12	1	2
PE018020	1	6	3	0
PE018020	2	11	4	0
PE018022	1	5	6	0
PE018026	1	6	1	0
PE018028	1	6	12	10
PE018029	1	13	9	0
PE018031	1	11	6	0
PE018035	1	11	4	0
PE018038	1	6	12	3
PE018039	1	6	12	0
PE018040	1	6	5	0
PE018044	1	6	13	0
PE018044	2	13	7	0
PE018046	1	13	2	 
PE018047	1	12	0	1
PE028006	1	6	12	10
PE028007	1	6	13	0
PE028008	1	6	3	0
PE028011	1	6	1	8
PE028014	1	6	1	5
PE028014	2	5	0	1
PE028016	1	6	6	0
PE028017	1	6	5	0
PE028020	1	6	15	0
PE028022	1	6	12	0
PE028022	2	5	0	7
PE028023	1	6	4	0
PE038001	1	6	11	5
PE038002	1	6	7	0
PE038003	1	6	1	6
PE038004	1	6	2	0
PE038004	2	11	6	0
PE038006	1	6	9	0
PE038006	2	12	1	0
PE038007	1	13	2	0
PE038008	1	12	2	0
PE038009	1	12	3	6
PE038010	1	12	5	3
PE038011	1	6	0	4
PE038011	2	12	2	0
PE038012	1	12	4	7
PE038014	1	12	3	7
PE038015	1	6	10	0
PE038015	2	12	4	7
PE038016	1	12	5	7
PE038017	1	12	6	0
PE038019	1	12	5	0
PE038020	1	6	14	0
PE038020	2	13	14	0
PE038021	1	12	3	0
PE038022	1	12	3	7
PE038023	1	6	11	0
PE038024	1	13	5	0
PE038025	1	13	6	0
PE048001	1	12	0	7
PE048001	2	11	5	7
PE048002	1	6	4	11
PE048003	1	6	2	2
PE048005	1	9	1	0
PE048007	1	6	12	1
PE048007	2	11	12	1
PE048010	1	11	5	0
PE048011	1	6	0	11
PE048012	1	6	12	5
PE048013	1	12	10	0
PE048015	1	11	6	0
PE048017	1	13	5	0
PE048019	1	6	21	0
PE048019	2	11	2	0
PE048019	3	12	0	6
PE048020	1	8	2	0
PE048020	2	11	5	0
PE048021	1	6	8	6
PE048024	1	11	3	9
PE048025	1	6	22	0
PE048026	1	11	5	8
PE058002	1	12	6	0
PE058004	1	11	3	8
PE058005	1	11	4	0
PE058006	1	6	4	0
PE058006	2	11	8	0
PE058007	1	12	5	6
PE058008	1	6	2	6
PE058012	1	6	11	9
PE058013	1	6	0	0
PE058013	2	11	5	2
PE058015	1	6	5	0
PE058015	2	11	2	0
PE058015	3	12	2	0
PE058016	1	6	10	0
PE058016	2	11	0	6
PE058016	3	8	0	6
PE058017	1	11	7	0
PE058019	1	6	11	11
PE058019	2	11	4	0
PE058020	1	6	9	1
PE058020	2	11	3	0
PE058022	1	11	20	0
PE058025	1	6	10	0
PE058025	2	11	6	0
PE058026	1	6	4	0
PE058026	2	11	12	0
PE058026	3	8	0	8
PE058027	1	6	10	0
PE058027	2	11	6	4
PE058028	1	11	6	2
PE058029	1	6	2	0
PE058029	2	12	3	0
PE058030	1	11	4	0
PE068001	1	6	4	0
PE068009	1	6	1	0
PE068014	1	6	5	0
PE068014	2	12	1	0
PE068017	1	12	7	4
PE068017	2	6	6	0
PE068020	1	6	0	3
PE078009	1	6	1	0
PE078011	1	5	0	1
PE078014	1	6	12	0
PE078019	1	6	12	0
PE078030	1	6	10	0
PE078033	1	6	3	0
PE078035	1	6	5	0
PE078036	1	6	2	0
PE078045	1	6	4	0
PE088001	1	10	6	0
PE088002	1	10	5	0
PE088008	1	10	4	0
PE088013	1	6	0	3
PE088014	1	10	5	0
PE088015	1	6	12	7
PE088017	1	10	3	0
PE088019	1	6	2	0
PE088023	1	6	0	1
PE088027	1	10	4	0
PE088029	1	6	0	1
PE098001	1	11	5	0
PE098002	1	6	12	0
PE098003	1	6	1	0
PE098004	1	6	3	0
PE098006	1	13	4	0
PE098008	1	6	12	0
PE098008	2	13	5	0
PE098011	1	6	15	0
PE098011	2	11	15	0
PE098012	1	11	2	0
PE098013	1	6	9	0
PE098016	1	11	3	0
PE098018	1	13	7	0
PE098019	1	13	4	0
PE098022	1	6	2	0
PE098023	1	6	10	0
PE098024	1	6	2	0
PE098026	1	11	5	0
PE098028	1	6	7	0
PE098028	2	5	0	8
PE098029	1	11	10	0
PE108004	1	6	11	0
PE108004	2	8	1	0
PE108004	3	11	1	0
PE108004	4	12	1	0
PE108006	1	6	5	0
PE108006	2	12	2	0
PE108007	1	6	1	0
PE108008	1	6	2	0
PE108009	1	6	1	11
PE108009	2	11	0	11
PE108013	1	6	3	0
PE108016	1	6	8	0
PE108020	1	6	4	2
PE108020	2	12	0	7
PE108023	1	6	1	0
PE108024	1	6	8	0
PE108025	1	11	1	5
PE108026	1	11	7	0
PE108027	1	11	6	0
PE108029	1	11	6	0
PE118001	1	6	4	0
PE118002	1	6	4	5
PE118002	2	11	4	9
PE118003	1	6	10	0
PE118003	2	11	8	0
PE118006	1	13	1	0
PE118007	1	10	9	0
PE118008	1	6	3	9
PE118009	1	6	0	1
PE118009	2	5	0	1
PE118010	1	6	8	0
PE118010	2	11	8	0
PE118011	1	6	2	0
PE118012	1	6	6	0
PE118013	1	6	3	0
PE118014	1	12	3	0
PE118014	2	6	4	0
PE118015	1	6	2	0
PE118017	1	6	3	0
PE118018	1	6	10	0
PE118020	1	6	4	0
PE118021	1	6	0	0
PE118022	1	6	11	5
PE118022	2	11	8	0
PE118023	1	6	5	0
PE118027	1	6	5	0
PE118027	2	11	5	0
PE118028	1	6	5	0
PE118028	2	11	5	0
PE118028	3	12	3	0
PE118029	1	6	20	0
PE118029	2	11	4	0
PE118030	1	3	0	1
PE118030	2	6	15	0
PE128002	1	11	4	0
PE128004	1	6	4	0
PE128004	2	11	3	0
PE128005	1	6	12	7
PE128006	1	6	10	0
PE128007	1	6	12	0
PE128009	1	6	6	0
PE128009	2	13	3	0
PE128011	1	6	4	0
PE128011	2	11	0	9
PE128014	1	6	2	0
PE128015	1	6	10	0
PE128015	2	11	6	0
PE128016	1	6	28	0
PE128016	2	8	15	0
PE128018	1	6	5	0
PE128019	1	6	7	0
PE128020	1	6	26	0
PE128020	2	11	18	0
PE128021	1	6	12	0
PE128021	2	8	0	6
PE128022	1	6	10	0
PE128024	1	6	3	0
PE128028	1	6	1	0
PE128028	2	11	4	0
PE128029	1	6	5	6
PE128031	1	6	6	0
PE128031	2	11	3	0
PE128032	1	6	8	0
PE128032	2	11	8	0
PE128034	1	6	12	0
PE128037	1	6	16	0
PE128041	1	6	23	0
PE128042	1	6	12	0
PE128044	1	6	13	0
PE128045	1	11	1	0
PE128046	1	6	5	0
PE128047	1	6	6	0
PE128050	1	6	7	0
PE128051	1	6	0	1
PE128051	2	11	6	0
PE138009	1	6	18	0
PE138016	1	6	12	0
PE138023	1	6	3	0
PE138024	1	6	22	0
PE138028	1	6	1	2
PE138030	1	13	3	7
PE138034	1	11	10	0
PE138036	1	6	8	0
PE138036	2	13	6	0
PE138037	1	13	8	0
PE138039	1	6	1	3
PE138042	1	5	0	2
PE138044	1	13	0	0
PE138046	1	6	12	0
PE138048	1	6	2	0
PE138048	2	11	4	0
PE138053	1	6	3	0
PE138053	2	13	6	0
PE148001	1	6	5	0
PE148002	1	6	7	0
PE148004	1	6	3	6
PE148004	2	13	0	2
PE148005	1	6	17	0
PE148006	1	6	1	0
PE148010	1	6	10	0
PE148011	1	6	5	0
PE148011	2	13	3	0
PE148014	1	6	6	0
PE148015	1	11	3	0
PE148017	1	6	3	0
PE148018	1	6	2	0
PE148018	2	13	3	0
PE148019	1	6	2	0
PE148021	1	6	7	0
PE148021	2	13	0	1
PE148022	1	6	5	0
PE148024	1	6	6	0
PE148025	1	6	6	0
PE148026	1	6	20	0
PE148026	2	13	4	0
PE148027	1	6	20	0
PE148028	1	6	4	0
PE148028	2	8	2	0
PE148029	1	6	6	0
PE148030	1	6	8	0
PE148030	2	13	6	0
PE148031	1	6	11	0
PE148031	2	11	6	0
PE148033	1	6	5	0
PE148034	1	6	4	0
PE148034	2	13	0	1
PE148035	1	6	7	0
PE148035	2	10	6	0
PE148037	1	6	4	0
PE148038	1	6	4	0
PE148039	1	6	6	0
PE148040	1	6	5	0
PE148040	2	7	5	0
PE148041	1	6	12	0
PE148042	1	6	3	0
PE148043	1	6	12	0
PE148043	2	13	0	1
PE148045	1	6	4	0
PE148046	1	6	3	4
PE148047	1	6	10	0
