childid	rcfid	cocdmove	agemove	whymove
PE018001	1	1	14	1
PE018001	2	8888	15	4
PE018001	3	8888	16	1
PE018001	4	1	 	 
PE018003	1	1	18	13
PE018003	2	1	 	 
PE018004	1	1	16	13
PE018004	2	8888	22	5
PE018004	3	8888	25	14
PE018004	4	1	 	 
PE018005	1	1	1	8
PE018005	2	8888	27	5
PE018005	3	1	 	 
PE018008	1	1	24	13
PE018008	2	1	 	 
PE018009	1	1	26	13
PE018009	2	8888	35	16
PE018009	3	1	 	 
PE018010	1	1	19	13
PE018010	2	1	 	 
PE018012	1	1	16	1
PE018012	2	8888	18	13
PE018012	3	1	 	 
PE018015	1	1	16	13
PE018015	2	8888	17	1
PE018015	3	8888	19	21
PE018015	4	1	 	 
PE018016	1	1	18	13
PE018016	2	1	 	 
PE018017	1	1	18	13
PE018017	2	8888	19	6
PE018017	3	8888	26	6
PE018017	4	8888	33	7
PE018017	5	8888	36	5
PE018017	6	1	 	 
PE018021	1	1	29	5
PE018021	2	1	 	 
PE018023	1	1	23	15
PE018023	2	8888	24	1
PE018023	3	1	 	 
PE018025	1	1	6	4
PE018025	2	8888	7	8
PE018025	3	8888	9	2
PE018025	4	1	 	 
PE018026	1	1	22	10
PE018026	2	1	 	 
PE018027	1	1	18	1
PE018027	2	8888	25	1
PE018027	3	8888	31	1
PE018027	4	1	 	 
PE018029	1	26	5	15
PE018029	2	8888	20	13
PE018029	3	1	 	 
PE018030	1	10	19	2
PE018030	2	8888	28	13
PE018030	3	1	 	 
PE018031	1	1	10	6
PE018031	2	8888	17	6
PE018031	3	8888	22	13
PE018031	4	8888	31	5
PE018031	5	8888	33	6
PE018031	6	8888	34	6
PE018031	7	1	 	 
PE018036	1	9999	3	4
PE018036	2	8888	17	4
PE018036	3	1	 	 
PE018038	1	1	17	13
PE018038	2	1	 	 
PE018039	1	1	5	16
PE018039	2	8888	22	5
PE018039	3	1	 	 
PE018042	1	1	18	2
PE018042	2	8888	28	10
PE018042	3	8888	29	5
PE018042	4	1	 	 
PE018046	1	1	19	13
PE018046	2	1	 	 
PE018050	1	1	17	13
PE018050	2	8888	20	6
PE018050	3	1	 	 
PE028006	1	42	20	21
PE028006	2	63	 	 
PE028009	1	48	17	13
PE028009	2	8888	29	21
PE028009	3	63	 	 
PE028011	1	1	18	13
PE028011	2	8888	27	1
PE028011	3	8888	29	8
PE028011	4	46	 	 
PE028015	1	1	11	1
PE028015	2	46	 	 
PE028016	1	9999	7	 
PE028016	2	8888	10	1
PE028016	3	8888	12	13
PE028016	4	8888	16	 
PE028016	5	46	 	 
PE028023	1	1	4	8
PE028023	2	8888	13	1
PE028023	3	47	 	 
PE038002	1	64	17	15
PE038002	2	30	 	 
PE038003	1	29	20	13
PE038003	2	8888	30	1
PE038003	3	8888	31	19
PE038003	4	30	 	 
PE038007	1	5	38	1
PE038007	2	21	 	 
PE038008	1	29	10	1
PE038008	2	8888	16	15
PE038008	3	8888	18	13
PE038008	4	24	 	 
PE038012	1	9999	19	13
PE038012	2	1	 	 
PE038013	1	1	0	4
PE038013	2	8888	17	2
PE038013	3	8888	20	1
PE038013	4	8888	27	2
PE038013	5	8888	29	19
PE038013	6	1	 	 
PE038014	1	1	13	1
PE038014	2	1	 	 
PE038016	1	8	23	1
PE038016	2	8888	26	15
PE038016	3	8888	27	13
PE038016	4	8888	30	6
PE038016	5	8888	32	5
PE038016	6	1	 	 
PE038017	1	22	13	8
PE038017	2	8888	18	13
PE038017	3	8888	30	5
PE038017	4	1	 	 
PE038019	1	6	19	13
PE038019	2	7	 	 
PE038023	1	12	18	13
PE038023	2	1	 	 
PE038024	1	62	16	1
PE038024	2	1	 	 
PE048001	1	1	19	2
PE048001	2	8888	22	2
PE048001	3	8888	23	1
PE048001	4	8888	25	1
PE048001	5	8888	28	1
PE048001	6	2	 	 
PE048006	1	1	30	2
PE048006	2	66	 	 
PE048008	1	26	6	1
PE048008	2	8888	16	13
PE048008	3	8888	33	1
PE048008	4	35	 	 
PE048009	1	1	21	5
PE048009	2	58	 	 
PE048010	1	1	19	13
PE048010	2	8888	37	2
PE048010	3	1	 	 
PE048012	1	1	5	1
PE048012	2	40	 	 
PE048013	1	1	40	1
PE048013	2	14	 	 
PE048015	1	23	10	4
PE048015	2	8888	14	4
PE048015	3	8888	31	13
PE048015	4	8888	37	10
PE048015	5	8888	42	2
PE048015	6	1	 	 
PE048022	1	8	24	8
PE048022	2	1	 	 
PE048024	1	55	33	2
PE048024	2	1	 	 
PE048025	1	1	22	13
PE048025	2	40	 	 
PE058001	1	1	4	1
PE058001	2	8888	41	2
PE058001	3	1	 	 
PE058002	1	3	29	1
PE058002	2	1	 	 
PE058003	1	38	11	2
PE058003	2	8888	29	13
PE058003	3	8888	40	1
PE058003	4	3	 	 
PE058004	1	45	12	1
PE058004	2	8888	23	13
PE058004	3	8888	36	2
PE058004	4	1	 	 
PE058005	1	15	8	8
PE058005	2	8888	17	13
PE058005	3	3	 	 
PE058006	1	100	3	1
PE058006	2	8888	16	13
PE058006	3	3	 	 
PE058007	1	1	6	15
PE058007	2	8888	20	9
PE058007	3	8888	32	9
PE058007	4	8888	39	1
PE058007	5	48	 	 
PE058008	1	1	24	13
PE058008	2	8888	 	 
PE058008	3	6	 	 
PE058011	1	41	11	14
PE058011	2	8888	20	13
PE058011	3	8888	21	1
PE058011	4	8888	23	1
PE058011	5	8888	28	1
PE058011	6	8888	30	1
PE058011	7	5	 	 
PE058012	1	38	6	5
PE058012	2	4	 	 
PE058013	1	34	23	1
PE058013	2	8888	23	5
PE058013	3	4	 	 
PE058014	1	32	7	5
PE058014	2	8888	16	13
PE058014	3	4	 	 
PE058015	1	1	4	14
PE058015	2	8888	14	13
PE058015	3	8888	20	21
PE058015	4	8888	49	21
PE058015	5	4	 	 
PE058016	1	1	5	14
PE058016	2	8888	6	14
PE058016	3	8888	31	1
PE058016	4	1	 	 
PE058019	1	12	2	8
PE058019	2	8888	23	8
PE058019	3	8888	24	1
PE058019	4	8888	24	5
PE058019	5	22	 	 
PE058020	1	3	18	8
PE058020	2	8888	29	5
PE058020	3	22	 	 
PE058021	1	1	8	15
PE058021	2	8888	10	 
PE058021	3	8888	11	8
PE058021	4	8888	16	13
PE058021	5	8888	17	1
PE058021	6	8888	23	1
PE058021	7	1	 	 
PE058022	1	9	1	5
PE058022	2	8888	5	2
PE058022	3	8888	13	5
