childid	passid	passet	numpass	valpass	decpass
PE018002	1	37	1	1500	1
PE018003	1	18	2	45	80
PE018003	2	19	4	11.6	80
PE018003	3	8	1	280	80
PE018003	4	1	0	 	 
PE018003	5	16	0	 	 
PE018003	6	21	0	 	 
PE018004	1	40	1	10	3
PE018004	2	40	1	10	3
PE018004	3	33	2	7	3
PE018004	4	33	1	5	3
PE018004	5	33	2	5	3
PE018004	6	18	0	 	 
PE018004	7	22	1	150	17
PE018004	8	36	1	2880	80
PE018007	1	18	2	10	1
PE018007	2	18	2	15	1
PE018007	3	19	2	10	1
PE018008	1	33	1	100	1
PE018008	2	33	2	8	1
PE018008	3	40	3	45	1
PE018008	4	40	2	8	1
PE018009	1	33	0	 	 
PE018009	2	33	0	 	 
PE018009	3	33	0	 	 
PE018011	1	18	2	10	1
PE018011	2	18	2	10	1
PE018012	1	18	1	20	1
PE018012	2	19	1	20	1
PE018013	1	37	1	3000	80
PE018013	2	33	3	5	1
PE018013	3	33	8	10	1
PE018015	1	38	1	100	80
PE018016	1	18	2	25	1
PE018016	2	19	3	9	1
PE018016	3	18	1	12	1
PE018018	1	37	1	2000	1
PE018018	2	18	1	5	4
PE018018	3	19	2	10	4
PE018018	4	36	1	1000	5
PE018020	1	36	1	500	4
PE018021	1	38	1	30	1
PE018021	2	21	1	33	1
PE018022	1	33	15	5	1
PE018023	1	33	0	 	1
PE018024	1	37	1	2500	1
PE018024	2	36	1	500	2
PE018025	1	18	2	10	1
PE018025	2	33	1	1	1
PE018026	1	37	0	 	 
PE018028	1	18	3	40	80
PE018028	2	19	2	15	80
PE018029	1	33	1	25	1
PE018029	2	33	1	200	1
PE018030	1	33	4	50	1
PE018030	2	39	1	30	1
PE018030	3	33	3	150	1
PE018031	1	1	0	 	 
PE018031	2	26	1	20	1
PE018031	3	33	3	10	1
PE018031	4	33	9	10	1
PE018034	1	37	1	1000	80
PE018034	2	35	5	5000	80
PE018035	1	33	6	80	2
PE018035	2	33	24	6	2
PE018036	1	18	0	 	 
PE018036	2	18	0	 	 
PE018036	3	33	1	1.2	1
PE018036	4	33	1	3	1
PE018038	1	21	1	50	1
PE018039	1	18	0	 	 
PE018039	2	19	0	 	 
PE018039	3	3	0	 	 
PE018041	1	33	1	3000	1
PE018042	1	21	1	200	80
PE018042	2	19	4	5	80
PE018042	3	21	1	5	80
PE018043	1	18	2	17.5	80
PE018043	2	33	1	18	80
PE018043	3	20	1	15	80
PE018043	4	19	1	10	80
PE018043	5	40	1	10	80
PE018043	6	33	1	30	80
PE018044	1	37	1	1000	1
PE018044	2	39	1	30	1
PE018044	3	36	1	100	1
PE018045	1	33	1	10	1
PE018045	2	18	1	20	1
PE018045	3	33	1	3	2
PE018047	1	33	1	200	1
PE018047	2	33	1	200	1
PE018047	3	33	1	20	1
PE018047	4	39	1	30	2
PE018047	5	33	2	50	2
PE018047	6	36	1	200	2
PE018048	1	18	1	10	1
PE018048	2	19	2	5	1
PE018049	1	26	2	500	1
PE018049	2	30	1	300	1
PE018049	3	33	1	300	1
PE018049	4	40	3	10	1
PE018049	5	40	1	5	1
PE018049	6	33	2	1	1
PE018050	1	34	1	4000	1
PE028001	1	21	0	 	 
PE028002	1	18	1	30	1
PE028002	2	19	2	10	1
PE028003	1	20	1	10	1
PE028003	2	19	1	15	1
PE028003	3	18	1	50	1
PE028006	1	33	1	800	1
PE028007	1	19	1	5	1
PE028007	2	18	1	10	1
PE028008	1	18	1	5	1
PE028008	2	19	2	5	1
PE028009	1	18	2	45	1
PE028009	2	19	2	15	1
PE028009	3	21	1	5	1
PE028009	4	21	1	5	1
PE028010	1	33	1	150	80
PE028011	1	18	1	20	18
PE028011	2	19	1	15	18
PE028011	3	33	1	400	1
PE028011	4	33	9	1	1
PE028011	5	33	9	1	1
PE028011	6	33	3	1	1
PE028012	1	18	1	40	1
PE028012	2	19	3	25	1
PE028013	1	18	1	20	1
PE028013	2	19	2	20	1
PE028014	1	18	1	5	1
PE028014	2	19	2	5	1
PE028015	1	18	1	40	1
PE028015	2	19	2	15	1
PE028015	3	18	1	15	1
PE028016	1	19	1	15	1
PE028016	2	21	2	10	1
PE028017	1	19	3	8	1
PE028017	2	18	1	50	1
PE028017	3	21	2	10	1
PE028018	1	19	1	20	1
PE028018	2	18	1	60	1
PE028019	1	18	1	40	1
PE028019	2	21	1	30	1
PE028019	3	20	1	15	1
PE028019	4	18	1	5	1
PE028019	5	33	3	4	2
PE028019	6	23	1	10	2
PE028020	1	18	2	10	1
PE028020	2	19	3	10	1
PE028021	1	18	3	10	3
PE028021	2	8	2	50	3
PE028021	3	19	1	10	3
PE028021	4	20	1	15	3
PE028022	1	18	1	12	1
PE028022	2	19	2	7	1
PE028022	3	21	70	.5	1
PE028022	4	16	0	 	 
PE028023	1	8	1	100	1
PE028023	2	18	1	20	1
PE028023	3	19	1	10	1
PE028024	1	21	2	20	1
PE028024	2	1	0	 	 
PE028025	1	18	1	10	1
PE028025	2	19	3	5	1
PE038001	1	19	2	10	2
PE038001	2	18	3	15	2
PE038001	3	20	3	33	2
PE038002	1	19	3	20	80
PE038002	2	20	1	40	80
PE038002	3	18	8	30	80
PE038002	4	21	1	10	80
PE038002	5	5	1	30	80
PE038003	1	20	2	20	1
PE038003	2	5	1	50	1
PE038003	3	7	1	100	1
PE038003	4	19	1	20	1
PE038004	1	20	8	27.5	1
PE038004	2	18	4	20	1
PE038004	3	19	4	10	1
PE038004	4	19	4	20	1
PE038006	1	5	2	10	1
PE038006	2	18	3	10	1
PE038006	3	20	5	13	1
PE038006	4	19	2	10	1
PE038007	1	19	1	8.5	1
PE038007	2	18	1	15	1
PE038007	3	20	1	30	1
PE038008	1	18	4	10	80
PE038008	2	19	2	10	80
PE038008	3	20	2	45	80
PE038008	4	18	1	5	80
PE038008	5	5	1	30	80
PE038008	6	8	1	150	80
PE038009	1	18	4	20	4
PE038009	2	20	3	25	4
PE038009	3	19	4	30	4
PE038011	1	25	1	3840	1
PE038011	2	33	1	150	1
PE038011	3	33	2	120	1
PE038011	4	33	3	180	1
PE038012	1	18	2	15	1
PE038012	2	20	1	15	1
PE038012	3	19	1	10	1
PE038013	1	33	3	25	2
PE038013	2	39	1	30	4
PE038015	1	18	3	18	3
PE038015	2	20	2	52	3
PE038015	3	19	1	15	3
PE038015	4	22	1	200	3
PE038016	1	18	3	15	1
PE038016	2	20	1	40	1
PE038016	3	20	1	30	1
PE038016	4	5	2	25	1
PE038017	1	18	5	15	1
PE038017	2	20	1	20	1
PE038019	1	20	1	45	1
PE038019	2	18	4	21	1
PE038019	3	21	2	15	1
PE038019	4	19	1	10	1
PE038019	5	5	1	20	1
PE038020	1	20	1	30	1
PE038020	2	18	2	18	1
PE038020	3	19	2	18	1
PE038021	1	20	3	30	80
PE038021	2	18	1	10	80
PE038021	3	18	3	12	80
PE038022	1	18	2	16	1
PE038022	2	20	3	36.5	1
PE038022	3	5	1	50	1
PE038022	4	19	3	10	1
PE038023	1	39	1	120	2
PE038023	2	33	2	300	2
PE038023	3	36	1	1600	2
PE038024	1	20	1	15	2
PE038024	2	18	1	10	2
PE038024	3	21	1	20	2
PE038024	4	18	1	15	2
PE038024	5	3	1	60	2
PE048002	1	18	1	20	1
PE048002	2	19	1	10	1
PE048003	1	18	10	5	80
PE048003	2	18	2	5	80
PE048003	3	19	3	5	80
PE048004	1	20	1	20	80
PE048004	2	18	2	15	80
PE048004	3	19	2	10	80
PE048004	4	5	1	30	80
PE048004	5	21	1	30	80
PE048005	1	18	1	15	2
PE048005	2	18	1	12	2
PE048005	3	19	2	5	2
PE048005	4	18	2	10	2
PE048006	1	18	4	33	1
PE048006	2	19	3	15	1
PE048006	3	21	3	15	1
PE048006	4	20	3	26	1
PE048006	5	7	2	20	1
PE048007	1	18	2	15	80
PE048007	2	19	3	10	80
PE048007	3	20	4	18	80
PE048008	1	19	5	7	1
PE048008	2	18	3	10	1
PE048008	3	20	2	10	1
PE048008	4	34	1	29700	1
PE048009	1	18	17	25	1
PE048009	2	20	5	60	1
PE048009	3	19	4	15	1
PE048009	4	5	3	25	1
PE048010	1	5	2	30	80
PE048010	2	8	1	200	80
PE048010	3	7	5	40	80
PE048010	4	18	10	40	80
PE048010	5	19	2	20	80
PE048011	1	18	11	5	1
PE048011	2	20	2	15	1
PE048011	3	21	2	10	1
PE048011	4	13	1	1000	1
PE048011	5	5	2	0	1
PE048011	6	19	2	5	1
PE048012	1	18	6	36	1
PE048012	2	21	1	20	1
PE048012	3	19	3	20	1
PE048012	4	5	1	 	1
PE048012	5	8	1	280	1
PE048012	6	7	1	30	1
PE048013	1	19	6	10	80
PE048013	2	18	3	25	80
PE048013	3	18	4	15	80
PE048014	1	18	4	90	80
PE048014	2	18	2	40	80
PE048014	3	21	1	13	80
PE048014	4	19	1	12	80
PE048014	5	20	1	40	80
PE048015	1	33	2	1500	1
PE048015	2	33	2	80	1
PE048015	3	33	2	200	1
PE048015	4	33	2	15	1
PE048015	5	33	3	70	1
PE048015	6	33	3	180	1
PE048016	1	18	7	15	1
PE048016	2	20	2	60	1
PE048016	3	7	2	25	1
PE048016	4	5	3	50	1
PE048016	5	8	3	200	1
PE048016	6	3	1	300	1
PE048017	1	18	7	45	1
PE048017	2	21	1	12	1
PE048017	3	22	1	250	1
PE048017	4	5	2	50	1
PE048017	5	20	1	50	1
PE048018	1	18	6	20	1
PE048018	2	19	2	10	1
PE048018	3	20	2	15	1
PE048018	4	18	1	10	1
PE048019	1	18	7	18	1
PE048019	2	19	2	9	1
PE048019	3	18	2	30	1
PE048019	4	21	2	15	1
PE048019	5	20	1	30	1
PE048019	6	21	8	5	1
PE048020	1	18	7	15	80
PE048020	2	18	2	15	80
PE048020	3	21	6	6	80
PE048020	4	21	2	30	80
PE048020	5	19	3	10	80
PE048020	6	8	2	200	80
PE048021	1	18	6	30	80
PE048021	2	20	2	50	80
PE048021	3	5	2	25	80
PE048021	4	19	2	10	80
PE048021	5	18	4	12	80
PE048022	1	18	6	20	1
PE048022	2	19	4	6	1
PE048022	3	18	6	10	1
