childid	foodid	foodcode	foodnum	foodamt	foodcost
PE198025	2	9	180	1	.300000011920929
PE198025	3	2	12	2	3
PE198028	1	8	8	1	1
PE198031	1	10	180	1	1
PE198031	2	9	180	1	.5
PE208001	1	10	153	3	.5
PE208001	2	9	153	3	.5
PE208002	1	10	140	2	.5
PE208002	2	9	140	2	.5
PE208008	1	1	120	1	.5
PE208008	2	9	120	1	.200000002980232
PE208017	1	1	4	8	2
PE208017	2	3	4	2	2.5
PE208017	3	9	140	2	.5
PE208017	4	1	7	2	3
PE208018	1	1	12	4	1.5
PE208018	2	3	12	1	2
PE208019	1	1	12	4	1.5
PE208019	2	3	12	1	1
PE208020	1	1	12	4	1.79999995231628
PE208020	2	3	12	1	2.5
PE208022	1	1	8	4	2.20000004768372
PE208022	2	8	8	900	3
PE208024	1	2	12	1	2
PE208024	2	9	160	1	.5
PE208025	1	9	140	1	.200000002980232
PE208025	2	1	8	1	1
PE208027	1	9	184	1	2
PE208030	1	1	12	4	1.5
PE208030	2	8	12	1	2
PE208030	3	9	210	3	.300000011920929
PE208030	4	2	21	3	1
PE208031	1	1	12	4	1.5
PE208031	2	8	12	1	3.5
PE208033	1	1	12	4	2
PE208033	2	8	12	1	2
PE208033	3	9	184	1	.5
PE208035	1	1	8	8	2
PE208035	2	3	8	2	1
PE208037	1	8	3	2	2
PE208037	2	1	3	6	2
PE208037	3	10	184	2	.5
PE208037	4	9	184	2	.100000001490116
PE208040	1	9	360	2	.300000011920929
PE208042	1	9	184	1	.5
PE208049	1	1	4	12	1.5
PE208049	2	8	4	3	2
PE208051	1	1	4	3	1
PE208051	2	3	4	2	2
