childid	foodid	foodcode	foodnum	foodamt	foodcost
PE068017	1	10	180	1	1.5
PE068017	2	3	12	1	1
PE068020	1	1	360	1	1.20000004768372
PE068020	2	11	12	2	2
PE078009	1	3	8	4	5
PE078009	2	11	8	5	10
PE078011	1	4	1	9	1
PE078014	1	1	240	4	.200000002980232
PE078019	1	1	360	4	.300000011920929
PE078030	1	1	365	2	.25
PE078033	1	8	12	1	1.79999995231628
PE078035	1	1	365	1	1
PE078036	1	1	365	2	.25
PE078045	1	1	360	2	.5
PE088001	1	10	170	1	.5
PE088002	1	2	180	1	.5
PE088002	2	9	180	1	.200000002980232
PE088008	1	1	160	1	.5
PE088008	2	9	160	1	.100000001490116
PE088013	1	10	72	3	1.5
PE088014	1	1	102	1	.5
PE088014	2	9	204	2	.100000001490116
PE088015	1	3	120	1	.5
PE088015	2	1	120	1	.5
PE088017	1	1	0	1	1
PE088017	2	9	0	1	.100000001490116
PE088019	1	3	4	3	2.5
PE088019	2	2	1	2	2
PE088023	1	3	15	8	.5
PE088023	2	10	15	8	.5
PE088027	1	10	10	1	.5
PE088029	1	10	20	8	.5
PE098001	1	1	180	1	1
PE098001	2	9	180	1	.5
PE098002	1	3	6	3	3
PE098002	2	1	6	6	2.20000004768372
PE098003	1	1	4	1	2
PE098003	2	3	4	.5	3
PE098004	1	1	6	6	2
PE098004	2	8	6	1	7.5
PE098006	1	1	240	1	.5
PE098006	2	9	240	1	.5
PE098008	1	3	6	1	6
PE098008	2	1	6	6	2.20000004768372
PE098008	3	10	360	2	1
PE098011	1	1	6	6	2.20000004768372
PE098011	2	8	6	1	10
PE098011	3	2	120	1	.5
PE098011	4	9	120	1	.5
PE098012	1	1	180	1	1
PE098012	2	9	180	1	.5
PE098013	1	1	6	6	2
PE098013	2	3	6	1	6
PE098016	1	9	180	1	.5
PE098016	2	2	180	1	1
PE098018	1	9	360	2	.5
PE098018	2	2	360	2	.5
PE098019	1	1	180	1	1
PE098019	2	9	180	1	8
PE098022	1	1	6	8	2.20000004768372
PE098022	2	3	6	4	3
PE098023	1	3	6	2	10.5
PE098023	2	1	6	12	2.20000004768372
PE098024	1	8	12	1	3.5
PE098024	2	1	12	2	2.20000004768372
PE098026	1	2	180	1	.5
PE098026	2	9	180	1	.200000002980232
PE098028	1	1	12	2	2
PE098028	2	3	6	3	1
PE098028	3	4	8	3	2
PE098028	4	11	6	1	2
PE098029	1	2	320	1	1
PE098029	2	9	320	1	.5
PE108004	1	1	12	4	2.20000004768372
PE108004	2	3	12	1	3
PE108004	3	10	240	4	.600000023841858
PE108004	4	10	140	1	.5
PE108004	5	10	140	1	1
PE108006	1	1	12	4	2
PE108006	2	3	12	1	3
PE108006	3	10	180	1	2
PE108007	1	3	12	6	.600000023841858
PE108007	2	1	12	3	1.79999995231628
PE108008	1	1	12	4	2
PE108008	2	8	12	5	.800000011920929
PE108009	1	1	12	3	2.20000004768372
PE108009	2	3	12	1	3
PE108009	3	9	14	1	.5
PE108009	4	10	140	1	.5
PE108013	1	1	12	4	1.5
PE108013	2	3	12	1	2.5
PE108016	1	1	12	4	2.20000004768372
PE108016	2	3	12	4	.800000011920929
PE108020	1	3	12	1	2.79999995231628
PE108020	2	1	12	3	2
PE108020	3	10	140	1	2
PE108023	1	1	12	4	2
PE108023	2	3	12	1	3
PE108024	1	1	12	3	2
PE108024	2	3	12	1	1
PE108025	1	1	200	2	.100000001490116
PE108025	2	9	200	2	.200000002980232
PE108026	1	2	180	1	.5
PE108026	2	9	180	1	.5
PE108027	1	2	180	1	1
PE108027	2	9	180	1	.5
PE108029	1	2	180	1	1
PE108029	2	9	180	1	.5
PE118001	1	3	12	2	3
PE118002	1	8	36	3	1.5
PE118002	2	1	160	1	1
PE118002	3	9	160	1	.300000011920929
PE118003	1	8	36	3	1.5
PE118003	2	9	140	1	1
PE118003	3	1	140	0	1
PE118006	1	1	180	1	1
PE118006	2	9	180	1	.5
PE118007	1	1	12	1	4
PE118008	1	8	12	1	2
PE118009	1	8	2	3	1
PE118009	2	4	1	900	1.5
PE118010	1	8	12	1	1
PE118010	2	1	180	1	.5
PE118010	3	9	180	1	.5
PE118011	1	3	12	1	2
PE118012	1	3	12	2	1.5
PE118013	1	3	12	1	2
PE118014	1	10	60	4	2
PE118014	2	1	12	6	2.20000004768372
PE118015	1	8	12	3	2
PE118017	1	8	12	3	2
PE118018	1	8	24	2	2
PE118020	1	8	12	2	1.20000004768372
PE118021	1	3	12	1	2
PE118022	1	8	36	3	1.5
PE118022	2	1	100	1	1
PE118022	3	9	100	1	1
PE118023	1	8	12	2	1
PE118027	1	8	140	3	1
PE118027	2	9	120	1	.5
PE118027	3	1	120	1	.5
PE118028	1	8	36	3	1
PE118028	2	9	160	1	.5
PE118028	3	1	160	1	.5
PE118028	4	10	120	1	2.5
