childid	plotid	larea	lunit	lown	luse	trans	transid1	transid2	collat	collat1	collat2
PE018001	1	160	1	4	4	2	1	 	1	1	 
PE018002	1	100	1	4	4	2	1	2	1	1	2
PE018003	1	137.5	1	4	4	1	2	1	1	2	1
PE018003	2	.5	2	2	1	 	 	 	 	 	 
PE018003	3	180	1	2	1	 	 	 	 	 	 
PE018003	4	1	2	1	1	 	 	 	 	 	 
PE018004	1	160	1	4	4	1	1	3	1	1	3
PE018004	2	120	1	6	4	 	 	 	 	 	 
PE018005	1	200	1	4	4	4	1	2	1	1	2
PE018006	1	130	1	4	4	0	 	 	1	4	5
PE018007	1	130	1	4	4	2	1	2	1	1	2
PE018008	1	175	1	4	4	1	1	2	1	1	2
PE018009	1	201.600006103516	1	4	4	1	1	2	1	1	2
PE018010	1	150	1	4	4	1	1	2	1	1	2
PE018011	1	32	1	2	4	 	 	 	 	 	 
PE018011	2	400	1	4	4	1	1	2	1	1	2
PE018012	1	147	1	4	4	2	1	2	1	1	2
PE018012	2	1	2	1	1	 	 	 	 	 	 
PE018013	1	150	1	4	4	2	1	2	1	1	2
PE018015	1	120	1	4	4	2	1	2	1	1	2
PE018016	1	150	1	4	4	1	1	2	1	1	2
PE018016	2	10000	1	4	1	1	1	2	1	1	2
PE018017	1	48	1	4	4	1	2	 	1	2	 
PE018018	1	150	1	4	4	2	4	5	1	4	5
PE018019	1	24	1	2	4	 	 	 	 	 	 
PE018020	1	280	1	4	4	2	4	 	1	4	 
PE018021	1	150	1	4	4	1	1	2	1	1	2
PE018022	1	24	1	2	4	 	 	 	 	 	 
PE018022	2	160	1	4	8	1	1	2	1	1	2
PE018023	1	180	1	4	4	1	1	2	1	1	2
PE018023	2	71	1	4	4	1	1	2	1	1	2
PE018024	1	150	1	4	4	1	1	2	1	1	2
PE018025	1	162	1	4	4	1	2	 	1	2	 
PE018026	1	176.399993896484	1	4	4	3	1	2	1	1	2
PE018027	1	150	1	7	4	 	 	 	 	 	 
PE018028	1	60	2	4	4	1	1	2	1	1	2
PE018029	1	185	1	4	4	1	1	 	1	1	 
PE018030	1	150	1	4	4	2	1	 	1	1	 
PE018031	1	16	1	1	4	 	 	 	 	 	 
PE018032	1	18	1	2	4	 	 	 	 	 	 
PE018033	1	48	1	4	4	1	1	 	1	1	 
PE018034	1	150	1	4	4	1	1	2	1	1	2
PE018035	1	180	1	4	4	1	2	 	1	2	 
PE018036	1	 	1	4	4	2	1	 	0	 	 
PE018037	1	192	1	4	4	0	 	 	1	1	2
PE018038	1	162	1	4	4	1	1	2	1	1	2
