childid	actid	actyest	actsuper	actcare	choice
PE018001	1	1	1	0	1
PE018001	2	2	0	0	1
PE018001	3	12	0	0	1
PE018001	4	35	1	0	1
PE018002	1	2	1	0	1
PE018002	2	5	0	1	1
PE018002	3	34	0	1	1
PE018002	4	1	0	0	1
PE018003	1	1	1	0	1
PE018003	2	2	0	0	1
PE018003	3	5	0	0	1
PE018003	4	35	0	0	1
PE018003	5	12	0	0	1
PE018004	1	1	1	0	1
PE018004	2	2	1	1	1
PE018004	3	5	0	1	1
PE018004	4	12	1	0	1
PE018004	5	34	1	1	1
PE018004	6	35	0	1	1
PE018004	7	3	1	1	1
PE018005	1	5	0	1	0
PE018005	2	2	0	1	1
PE018005	3	12	0	1	1
PE018005	4	1	1	0	1
PE018005	5	34	0	1	1
PE018006	1	2	1	0	1
PE018006	2	5	0	0	1
PE018006	3	1	1	0	1
PE018006	4	12	0	0	1
PE018006	5	34	0	0	1
PE018007	1	1	1	0	0
PE018007	2	2	1	0	0
PE018007	3	12	1	1	1
PE018007	4	23	1	1	0
PE018008	1	1	1	0	0
PE018008	2	2	1	0	0
PE018008	3	12	0	0	2
PE018008	4	35	0	0	2
PE018009	1	1	1	0	1
PE018009	2	12	0	0	1
PE018009	3	2	1	0	1
PE018009	4	34	1	0	1
PE018009	5	5	1	0	2
PE018009	6	3	0	0	2
PE018010	1	1	1	0	0
PE018010	2	2	0	0	0
PE018010	3	35	0	0	1
PE018011	1	1	1	0	1
PE018011	2	2	1	0	1
PE018011	3	17	1	1	1
PE018011	4	12	1	1	1
PE018012	1	5	1	0	1
PE018012	2	12	0	0	1
PE018012	3	2	1	0	1
PE018012	4	1	1	0	1
PE018013	1	1	1	0	1
PE018013	2	2	1	0	2
PE018013	3	12	1	0	1
PE018013	4	34	1	0	1
PE018013	5	5	1	0	2
PE018015	1	5	1	0	1
PE018015	2	1	1	0	1
PE018015	3	2	1	0	1
PE018015	4	12	1	0	1
PE018015	5	34	0	0	1
PE018016	1	1	1	0	0
PE018016	2	2	1	0	2
PE018016	3	12	0	0	2
PE018016	4	34	0	0	2
PE018017	1	12	0	0	1
PE018017	2	34	0	0	1
PE018018	1	2	1	0	1
PE018018	2	5	0	0	2
PE018018	3	1	1	0	1
PE018018	4	12	1	0	1
PE018019	1	1	1	0	0
PE018019	2	2	0	1	0
PE018019	3	35	0	0	0
PE018019	4	12	0	1	0
PE018020	1	2	1	1	1
PE018020	2	12	0	1	1
PE018020	3	5	0	0	1
PE018020	4	1	1	0	1
PE018021	1	1	0	0	1
PE018021	2	12	0	0	1
PE018022	1	5	1	0	0
PE018022	2	2	0	1	0
PE018022	3	1	0	1	0
PE018022	4	12	0	0	0
PE018023	1	1	1	0	0
PE018023	2	2	1	0	1
PE018023	3	35	1	0	1
PE018023	4	12	0	0	1
PE018024	1	1	0	0	1
PE018024	2	2	0	0	1
PE018024	3	5	0	0	1
PE018024	4	34	1	0	1
PE018024	5	12	0	0	1
PE018025	1	5	1	0	1
PE018025	2	23	1	0	1
PE018025	3	2	1	0	1
PE018025	4	12	1	0	1
PE018025	5	1	1	0	1
PE018025	6	10	1	0	1
PE018026	1	5	1	0	0
PE018026	2	2	1	0	1
PE018026	3	12	1	0	1
PE018026	4	1	1	0	1
PE018026	5	35	1	0	1
PE018027	1	1	1	1	1
PE018027	2	2	0	1	1
PE018027	3	3	0	1	1
PE018027	4	12	0	1	1
PE018027	5	5	0	1	1
PE018028	1	1	1	0	0
PE018028	2	35	0	1	1
PE018028	3	12	0	1	1
PE018028	4	2	0	0	0
PE018029	1	1	1	0	0
PE018029	2	13	0	0	1
PE018029	3	2	0	0	1
PE018029	4	35	0	0	0
PE018030	1	1	1	0	1
PE018030	2	12	1	1	1
PE018030	3	10	1	1	1
PE018031	1	1	1	0	1
PE018031	2	2	1	0	1
PE018031	3	34	1	0	1
PE018031	4	12	0	1	1
PE018032	1	2	1	0	0
PE018032	2	23	0	0	0
PE018032	3	1	1	0	0
PE018032	4	35	0	1	1
PE018032	5	12	0	0	1
PE018033	1	2	1	0	1
PE018033	2	12	0	0	1
PE018033	3	1	0	0	1
PE018034	1	5	1	0	1
PE018034	2	11	1	0	1
PE018034	3	1	1	0	1
PE018034	4	2	1	0	1
PE018035	1	1	1	0	1
PE018035	2	2	1	0	1
PE018035	3	35	0	1	1
PE018036	1	1	1	1	1
PE018036	2	2	0	1	1
PE018036	3	12	0	1	1
PE018036	4	18	0	1	1
PE018037	1	1	1	0	1
PE018037	2	12	0	0	1
PE018037	3	2	1	0	1
PE018037	4	35	1	0	1
PE018038	1	1	0	0	0
PE018038	2	2	0	0	1
PE018038	3	35	0	0	1
PE018038	4	12	1	0	1
PE018039	1	2	1	0	2
PE018039	2	5	1	1	1
PE018039	3	3	1	1	1
PE018039	4	1	1	0	1
PE018039	5	12	1	1	1
PE018039	6	35	0	1	1
PE018040	1	3	0	1	1
PE018040	2	5	0	0	0
PE018040	3	1	1	0	0
PE018040	4	2	1	0	1
PE018040	5	12	1	0	1
PE018041	1	2	0	0	1
PE018041	2	34	0	0	1
PE018041	3	5	1	0	0
PE018041	4	1	1	0	1
PE018042	1	5	1	0	1
PE018042	2	12	0	0	1
PE018042	3	2	1	0	1
PE018042	4	1	1	0	1
PE018043	1	1	1	0	1
PE018043	2	2	1	0	1
PE018043	3	35	1	0	1
PE018043	4	12	1	0	1
PE018043	5	5	1	0	1
PE018044	1	1	1	0	0
PE018044	2	36	0	0	1
PE018044	3	35	0	0	1
PE018044	4	2	1	0	0
PE018044	5	12	0	0	1
PE018045	1	1	1	1	1
PE018045	2	5	1	1	1
PE018045	3	2	1	1	1
PE018045	4	35	0	1	1
PE018046	1	1	1	0	0
PE018046	2	2	1	0	0
PE018046	3	12	0	0	1
PE018046	4	13	0	0	1
PE018047	1	2	1	1	1
PE018047	2	5	0	0	1
PE018047	3	5	0	0	1
PE018047	4	1	0	0	1
PE018047	5	12	0	1	1
PE018048	1	5	0	0	1
PE018048	2	1	0	0	1
PE018048	3	12	0	0	1
PE018049	1	2	1	0	1
PE018049	2	1	1	0	1
PE018049	3	36	1	0	1
PE018049	4	12	1	0	1
PE018050	1	2	0	0	1
PE018050	2	5	0	0	0
PE018050	3	1	0	0	1
PE018050	4	12	0	0	1
PE028001	1	1	1	0	1
PE028001	2	35	0	1	1
PE028001	3	2	0	0	0
PE028001	4	12	1	0	1
PE028002	1	1	1	0	2
PE028002	2	5	0	0	1
PE028002	3	6	0	0	1
PE028002	4	34	0	0	1
PE028002	5	2	0	0	1
PE028003	1	7	0	0	1
PE028003	2	1	0	0	1
PE028003	3	2	1	0	1
PE028003	4	12	0	0	1
PE028004	1	1	1	0	0
PE028004	2	2	1	0	0
PE028004	3	7	0	0	2
PE028006	1	1	1	0	1
PE028006	2	2	0	1	1
PE028006	3	5	0	1	1
PE028007	1	1	1	0	2
PE028007	2	36	1	0	0
PE028007	3	2	0	0	1
PE028007	4	7	1	0	2
PE028008	1	1	1	1	2
PE028008	2	36	0	0	1
PE028008	3	12	1	0	1
PE028008	4	2	1	0	1
PE028009	1	1	1	0	1
PE028009	2	2	1	0	1
PE028009	3	35	0	0	1
PE028009	4	12	0	0	1
PE028010	1	1	1	0	1
PE028010	2	2	1	0	1
PE028010	3	5	0	0	1
PE028010	4	12	1	0	1
PE028011	1	1	0	0	1
PE028011	2	3	0	1	1
PE028011	3	5	1	1	1
PE028011	4	2	0	1	1
PE028012	1	1	1	0	0
PE028012	2	12	0	0	1
PE028012	3	2	1	0	1
PE028012	4	6	1	0	1
PE028013	1	1	0	0	1
PE028013	2	35	0	0	1
PE028013	3	5	0	0	1
PE028013	4	4	0	0	1
PE028013	5	12	0	0	1
PE028014	1	1	0	0	1
PE028014	2	5	0	0	1
PE028014	3	2	0	1	1
PE028014	4	18	0	1	1
PE028015	1	1	1	0	1
PE028015	2	2	0	0	1
PE028015	3	5	0	0	1
PE028015	4	12	0	0	2
PE028015	5	34	0	0	1
PE028016	1	5	0	0	1
PE028016	2	1	1	1	1
PE028016	3	2	1	0	1
PE028016	4	35	0	0	1
PE028017	1	1	1	0	0
PE028017	2	2	1	0	0
PE028017	3	12	0	0	2
PE028018	1	1	1	0	0
PE028018	2	35	0	0	1
PE028018	3	2	0	0	0
PE028018	4	12	0	0	1
PE028019	1	1	1	0	1
PE028019	2	2	1	0	1
PE028019	3	12	0	0	1
PE028020	1	2	1	0	1
PE028020	2	1	1	0	1
PE028020	3	36	1	0	1
PE028021	1	1	1	0	1
PE028021	2	10	0	0	1
PE028021	3	36	0	0	1
PE028021	4	12	1	0	1
PE028021	5	2	1	0	1
PE028022	1	5	0	1	1
PE028022	2	2	1	0	1
PE028022	3	1	0	0	1
PE028022	4	12	0	1	1
PE028022	5	8	1	1	1
PE028023	1	5	0	0	1
PE028023	2	2	0	0	1
PE028023	3	12	0	1	1
PE028023	4	1	1	0	1
PE028024	1	1	0	0	1
PE028024	2	36	1	0	1
PE028024	3	12	1	0	1
PE028024	4	10	0	0	1
PE028024	5	2	1	0	1
PE028025	1	1	1	0	 
PE038001	1	1	0	0	0
PE038001	2	8	0	0	0
PE038001	3	2	0	0	0
PE038001	4	34	0	0	1
PE038002	1	1	1	0	0
PE038002	2	7	0	0	1
PE038002	3	17	1	1	1
PE038003	1	7	0	0	1
PE038003	2	5	0	0	1
PE038003	3	1	0	0	1
PE038003	4	2	0	0	1
PE038003	5	34	0	0	1
PE038004	1	1	1	0	0
PE038004	2	7	0	0	2
PE038004	3	5	0	0	1
PE038004	4	35	1	0	1
PE038006	1	1	1	0	1
PE038006	2	5	0	1	1
PE038006	3	2	0	0	1
PE038007	1	1	0	0	1
PE038007	2	2	0	0	1
PE038007	3	5	1	0	0
PE038008	1	5	0	0	1
PE038008	2	1	1	0	1
PE038008	3	17	0	1	1
PE038009	1	1	0	0	1
PE038009	2	2	0	0	1
PE038009	3	5	0	0	1
PE038010	1	1	1	0	1
PE038010	2	2	0	0	1
PE038010	3	36	0	1	1
PE038011	1	1	1	1	1
PE038011	2	34	1	1	1
PE038011	3	2	1	0	1
PE038011	4	12	1	1	1
PE038011	5	20	1	0	1
PE038012	1	1	0	0	1
PE038012	2	2	0	0	1
PE038013	1	1	0	0	2
PE038013	2	2	0	0	1
PE038013	3	35	0	0	1
PE038014	1	1	1	0	1
PE038014	2	2	1	0	1
PE038015	1	1	1	0	1
PE038015	2	2	1	0	2
PE038015	3	35	0	0	1
PE038016	1	1	1	0	0
PE038016	2	6	0	0	0
PE038016	3	7	0	0	1
PE038016	4	2	1	0	1
PE038016	5	35	0	0	1
PE038016	6	18	1	0	1
PE038017	1	2	0	0	0
PE038017	2	1	0	0	0
PE038017	3	2	0	0	1
PE038019	1	1	1	0	2
PE038019	2	2	0	0	2
PE038019	3	34	0	0	1
PE038019	4	12	0	0	1
PE038020	1	1	1	0	0
PE038020	2	2	0	1	0
PE038020	3	34	0	1	1
PE038020	4	35	0	0	1
PE038021	1	1	1	0	0
PE038021	2	18	1	0	1
PE038022	1	1	0	0	0
PE038022	2	7	0	0	0
PE038022	3	2	1	0	1
PE038022	4	35	0	0	1
PE038023	1	1	1	0	0
PE038023	2	2	0	0	0
PE038023	3	5	0	1	0
PE038023	4	20	0	0	0
PE038023	5	35	0	1	1
PE038023	6	12	1	1	1
PE038024	1	1	1	0	0
PE038024	2	35	0	0	1
PE038024	3	12	0	0	1
PE038024	4	2	1	0	0
PE038025	1	1	1	0	1
PE038025	2	35	1	0	1
PE038025	3	2	0	0	0
PE038025	4	12	0	0	0
PE048001	1	1	0	1	1
PE048001	2	11	1	1	1
PE048001	3	36	0	1	1
PE048001	4	12	0	1	1
PE048001	5	10	0	1	1
PE048002	1	5	0	0	0
PE048002	2	1	1	0	1
PE048002	3	7	0	0	1
PE048002	4	2	0	0	1
PE048004	1	1	1	0	0
PE048004	2	2	0	0	0
PE048004	3	35	0	0	1
PE048005	1	1	0	0	1
PE048005	2	5	0	0	0
PE048005	3	35	0	0	1
PE048005	4	12	0	0	1
PE048006	1	5	0	0	1
PE048006	2	2	0	0	1
PE048006	3	35	0	0	1
PE048006	4	1	1	0	0
PE048006	5	34	1	0	1
PE048007	1	1	1	0	0
PE048007	2	2	1	1	0
PE048007	3	7	0	0	1
PE048008	1	1	0	0	0
PE048008	2	2	0	0	1
PE048008	3	10	1	0	1
PE048008	4	34	0	0	1
PE048008	5	7	0	0	1
PE048008	6	5	0	0	1
PE048009	1	1	1	0	1
PE048009	2	5	0	0	0
PE048009	3	35	0	0	1
PE048010	1	1	1	1	1
PE048010	2	35	0	0	1
PE048010	3	5	0	0	1
PE048010	4	2	0	0	1
PE048012	1	1	1	0	1
PE048012	2	2	1	0	1
PE048012	3	5	1	0	0
PE048013	1	1	1	0	0
PE048013	2	2	0	0	1
PE048013	3	34	0	0	1
PE048013	4	8	1	0	0
PE048014	1	1	1	0	1
PE048014	2	7	0	1	0
PE048014	3	2	1	0	1
PE048014	4	7	0	0	1
PE048014	5	12	1	1	1
PE048015	1	2	0	1	1
PE048015	2	1	0	0	1
PE048015	3	5	0	0	1
PE048015	4	5	1	0	1
PE048015	5	2	0	0	1
PE048016	1	5	0	0	0
PE048016	2	1	1	0	1
PE048016	3	5	0	0	0
PE048016	4	2	0	0	1
PE048017	1	1	1	0	1
PE048017	2	2	0	0	1
PE048017	3	34	0	1	1
PE048017	4	5	1	0	1
PE048018	1	1	0	1	1
PE048018	2	12	0	1	1
PE048018	3	2	0	0	1
PE048019	1	1	1	0	1
PE048019	2	2	0	0	0
PE048019	3	7	0	0	1
PE048020	1	1	1	0	1
PE048020	2	2	1	0	1
PE048020	3	5	1	0	1
PE048020	4	7	1	0	1
PE048021	1	1	1	0	0
PE048021	2	8	1	0	0
PE048021	3	34	1	1	0
PE048021	4	3	1	1	0
PE048022	1	1	1	0	0
PE048022	2	17	0	1	0
PE048022	3	8	0	0	1
PE048022	4	2	0	0	1
PE048022	5	12	0	0	1
PE048023	1	5	1	1	0
PE048023	2	2	0	0	1
PE048023	3	5	0	0	1
PE048023	4	35	0	0	1
PE048024	1	1	1	0	0
PE048024	2	2	0	0	1
PE048024	3	34	0	0	1
PE048024	4	20	1	0	1
PE048025	1	1	1	0	1
PE048025	2	5	0	0	1
PE048025	3	5	0	0	1
PE048025	4	1	1	1	1
PE048026	1	1	1	0	1
PE048026	2	2	0	0	1
PE048026	3	23	0	0	0
PE048026	4	12	1	0	0
PE058001	1	5	1	0	1
PE058001	2	2	1	0	1
PE058001	3	3	1	1	1
PE058001	4	1	0	0	1
PE058001	5	12	0	0	1
PE058002	1	1	1	0	0
PE058002	2	2	1	1	0
PE058002	3	34	1	1	1
PE058003	1	1	1	0	1
PE058003	2	2	1	0	1
PE058003	3	34	0	0	1
PE058004	1	1	1	0	1
PE058004	2	2	1	0	0
PE058004	3	35	1	0	1
PE058005	1	1	0	0	0
PE058005	2	5	1	0	0
PE058005	3	34	1	0	1
PE058005	4	35	0	0	1
PE058005	5	2	0	0	1
PE058006	1	5	1	0	0
PE058006	2	1	1	0	0
PE058006	3	2	1	0	1
PE058007	1	1	1	0	0
PE058007	2	2	0	0	2
PE058007	3	35	0	0	1
PE058008	1	1	1	0	0
PE058008	2	2	1	0	0
PE058008	3	35	0	0	1
PE058011	1	1	1	0	1
PE058011	2	8	1	0	1
PE058011	3	2	1	0	1
PE058011	4	5	1	0	1
PE058012	1	30	0	0	1
PE058012	2	17	1	1	1
PE058013	1	17	0	1	1
PE058013	2	5	0	0	1
PE058013	3	5	0	1	1
PE058014	1	1	1	0	1
PE058014	2	2	0	0	0
PE058014	3	35	0	0	1
PE058015	1	1	0	1	1
PE058015	2	2	1	1	1
PE058015	3	12	1	1	2
PE058015	4	34	0	1	1
PE058016	1	5	1	1	1
PE058016	2	35	1	1	1
PE058016	3	12	1	1	1
PE058017	1	1	1	0	0
PE058017	2	2	0	0	2
PE058017	3	35	0	0	1
PE058019	1	5	1	1	0
PE058019	2	8	1	1	0
PE058019	3	35	0	1	1
PE058020	1	1	1	0	1
PE058020	2	2	0	0	1
PE058020	3	5	1	0	0
PE058020	4	35	0	0	1
PE058021	1	1	1	0	1
PE058021	2	18	0	1	1
PE058021	3	34	0	1	1
PE058021	4	2	0	1	1
PE058022	1	1	1	0	0
PE058022	2	2	0	0	0
PE058022	3	35	0	0	1
PE058022	4	34	0	0	1
PE058023	1	1	1	0	1
PE058023	2	2	1	0	1
PE058023	3	35	1	0	2
PE058023	4	7	0	0	1
PE058023	5	34	0	0	1
PE058025	1	1	1	0	0
PE058025	2	2	1	0	0
PE058025	3	34	0	1	1
PE058025	4	3	0	1	1
PE058026	1	1	1	0	1
PE058026	2	2	1	0	1
PE058026	3	5	1	1	1
PE058026	4	34	0	1	1
PE058027	1	1	1	0	1
PE058027	2	2	0	0	1
PE058027	3	8	0	0	0
PE058027	4	35	0	0	1
PE058027	5	31	0	1	0
PE058028	1	10	1	0	1
PE058028	2	1	1	0	1
PE058029	1	1	1	0	0
PE058029	2	8	1	1	1
PE058029	3	2	0	0	1
PE058029	4	12	0	0	1
PE058030	1	7	0	0	0
PE058030	2	5	1	0	0
PE058030	3	1	1	0	1
PE058030	4	35	1	0	1
PE058030	5	34	1	0	1
PE058030	6	12	1	1	0
PE058030	7	37	1	0	1
PE068001	1	2	1	0	1
PE068001	2	31	0	0	1
PE068001	3	1	1	0	1
PE068002	1	1	1	0	0
PE068002	2	2	0	0	0
PE068002	3	5	0	0	2
PE068003	1	1	1	0	0
PE068003	2	5	0	0	0
PE068003	3	2	0	0	0
PE068003	4	34	0	0	1
PE068004	1	1	1	0	1
PE068004	2	36	0	0	1
PE068004	3	2	0	0	1
PE068005	1	2	0	0	1
PE068005	2	1	1	0	1
PE068005	3	12	1	0	1
PE068005	4	35	0	1	1
PE068006	1	2	0	0	1
PE068006	2	37	0	0	1
PE068006	3	1	0	0	1
PE068006	4	12	0	0	1
PE068007	1	1	0	0	1
PE068007	2	2	0	0	1
PE068007	3	17	0	1	1
PE068008	1	1	1	0	1
PE068008	2	12	1	0	1
PE068008	3	2	1	0	1
PE068008	4	35	1	0	1
PE068008	5	20	1	0	1
PE068009	1	1	1	0	1
PE068009	2	2	1	0	1
PE068009	3	5	0	1	1
PE068010	1	1	1	0	0
PE068010	2	12	1	1	1
PE068010	3	5	1	1	1
PE068010	4	2	0	0	1
PE068010	5	35	1	1	1
PE068011	1	1	1	0	1
PE068011	2	3	0	1	1
PE068011	3	2	0	1	1
PE068012	1	5	0	0	1
PE068012	2	2	0	0	1
PE068012	3	1	1	0	1
PE068013	1	2	0	0	0
PE068013	2	35	0	0	1
PE068013	3	1	1	0	1
PE068013	4	12	0	0	0
PE068014	1	1	1	0	0
PE068014	2	36	0	0	1
PE068014	3	2	1	0	1
PE068014	4	5	1	0	1
PE068014	5	22	1	0	1
PE068015	1	1	1	1	1
PE068015	2	2	1	0	1
PE068015	3	35	0	0	1
PE068015	4	12	0	0	1
PE068016	1	5	1	0	2
PE068016	2	2	1	0	1
PE068016	3	1	1	0	0
PE068016	4	36	1	0	1
PE068016	5	12	1	0	1
PE068017	1	1	1	0	1
PE068017	2	5	1	0	1
PE068017	3	34	1	1	1
PE068017	4	2	1	0	1
PE068018	1	1	0	0	1
PE068018	2	2	0	0	1
PE068018	3	35	0	0	1
PE068018	4	12	0	0	1
PE068019	1	2	0	0	1
PE068019	2	5	0	0	1
PE068019	3	12	0	0	1
PE068019	4	1	0	0	1
PE068020	1	1	1	0	0
PE068020	2	36	0	0	1
PE068020	3	35	0	0	1
PE068020	4	2	1	0	1
PE068021	1	1	1	0	1
PE068021	2	2	1	0	1
PE068021	3	34	1	0	1
PE068022	1	1	1	0	1
PE068022	2	2	1	0	1
PE068022	3	20	1	0	1
PE068023	1	5	1	0	1
PE068023	2	2	1	0	1
PE068023	3	12	1	0	1
PE068023	4	13	1	0	1
PE068024	1	1	0	0	1
PE068024	2	2	0	0	1
PE068024	3	13	0	0	1
PE068024	4	35	0	0	1
PE068025	1	5	0	0	0
PE068025	2	23	0	0	1
PE068025	3	34	0	0	1
PE068025	4	1	0	0	1
PE068025	5	2	0	0	1
PE078001	1	1	0	1	1
PE078001	2	2	0	1	1
PE078001	3	34	1	0	1
PE078001	4	5	1	0	0
PE078002	1	1	0	0	1
PE078002	2	2	0	0	1
PE078002	3	34	0	1	1
PE078003	1	5	1	0	1
PE078003	2	2	0	0	1
PE078003	3	1	1	0	0
PE078003	4	18	1	0	1
PE078003	5	12	1	0	1
PE078004	1	1	0	0	1
PE078004	2	2	0	0	1
PE078004	3	34	0	0	1
PE078005	1	1	1	0	0
PE078005	2	23	0	0	1
PE078005	3	2	0	0	0
PE078005	4	23	1	0	1
PE078006	1	1	1	0	1
PE078006	2	12	1	1	1
PE078006	3	2	0	1	1
PE078006	4	3	0	1	1
PE078007	1	1	1	0	0
PE078007	2	12	0	0	2
PE078007	3	2	0	0	2
PE078008	1	1	1	0	0
PE078008	2	2	0	0	0
PE078008	3	15	0	0	1
PE078008	4	23	1	0	1
PE078008	5	34	0	0	1
PE078008	6	12	1	0	1
PE078009	1	1	1	0	0
PE078009	2	2	0	0	1
PE078009	3	35	0	0	1
PE078009	4	12	0	0	1
PE078010	1	1	1	0	0
PE078010	2	23	1	0	2
PE078010	3	2	0	0	0
PE078010	4	12	0	1	1
PE078011	1	2	0	0	1
PE078011	2	12	0	1	1
PE078011	3	1	1	0	1
PE078012	1	1	0	0	1
PE078012	2	34	0	1	1
PE078012	3	2	0	0	1
PE078013	1	1	1	1	0
PE078013	2	11	0	0	1
PE078013	3	12	1	1	1
PE078013	4	34	0	1	1
PE078014	1	1	0	0	1
PE078014	2	34	0	1	1
PE078014	3	2	0	0	1
PE078014	4	12	0	1	1
PE078015	1	1	1	0	0
PE078015	2	2	1	0	0
PE078015	3	20	1	0	0
PE078015	4	12	0	0	1
PE078016	1	2	1	0	0
PE078016	2	1	0	0	0
PE078016	3	36	1	0	0
PE078016	4	12	1	0	1
PE078017	1	2	1	0	0
PE078017	2	1	0	0	0
PE078017	3	36	0	0	0
PE078017	4	35	1	1	0
PE078017	5	12	0	1	0
PE078018	1	1	0	0	0
PE078018	2	36	0	0	0
PE078018	3	5	0	0	1
PE078018	4	2	0	0	0
PE078018	5	12	0	0	1
PE078019	1	2	1	1	0
PE078019	2	1	0	0	0
PE078019	3	36	1	0	1
PE078019	4	9	0	0	1
PE078019	5	12	1	1	0
PE078020	1	1	0	0	0
PE078020	2	36	0	0	1
PE078020	3	2	0	0	0
PE078020	4	5	0	0	0
PE078020	5	12	0	0	1
PE078021	1	1	1	0	0
PE078021	2	2	0	1	1
PE078021	3	12	0	1	1
PE078021	4	3	1	1	2
PE078022	1	1	1	0	0
PE078022	2	2	1	0	0
PE078022	3	35	0	0	1
PE078022	4	12	0	0	1
PE078023	1	1	0	0	1
PE078023	2	2	0	0	1
PE078023	3	12	0	0	1
PE078024	1	1	0	0	1
PE078024	2	2	0	0	1
PE078024	3	34	0	1	1
PE078024	4	12	0	1	1
PE078026	1	1	1	0	0
PE078026	2	2	1	0	1
PE078026	3	35	0	0	1
PE078027	1	2	0	0	1
PE078027	2	1	1	0	1
PE078027	3	12	0	0	1
PE078028	1	1	1	0	0
PE078028	2	2	1	0	0
PE078028	3	23	1	0	1
PE078028	4	12	1	0	1
PE078029	1	1	0	0	1
PE078029	2	2	0	1	1
PE078029	3	12	0	1	1
PE078029	4	5	1	0	1
PE078030	1	2	0	0	1
PE078030	2	5	1	0	1
PE078030	3	12	0	0	1
PE078030	4	1	0	0	1
PE078031	1	1	0	0	0
PE078031	2	36	1	0	0
PE078031	3	5	0	0	1
PE078031	4	2	0	0	1
PE078031	5	35	0	0	0
PE078032	1	1	1	0	0
PE078032	2	2	0	0	1
PE078032	3	35	0	0	1
PE078032	4	23	0	1	1
PE078033	1	1	0	0	0
PE078033	2	2	0	0	1
PE078033	3	12	0	0	1
PE078034	1	1	1	1	1
PE078034	2	2	0	0	1
PE078035	1	2	0	0	1
PE078035	2	1	0	0	1
PE078035	3	12	0	0	1
PE078036	1	1	1	0	0
PE078036	2	2	1	0	1
PE078036	3	14	1	0	1
