childid	rcbid	cocdborn	ageborn	whyborn
PE018011	1	1	31	1
PE018011	2	1	 	 
PE018013	1	1	19	13
PE018013	2	8888	22	1
PE018013	3	1	 	 
PE018018	1	1	29	1
PE018018	2	8888	 	 
PE018019	1	1	26	15
PE018019	2	8888	29	18
PE018019	3	1	 	 
PE018020	1	1	25	13
PE018020	2	8888	28	4
PE018020	3	1	 	 
PE018037	1	1	24	4
PE018037	2	8888	26	1
PE018037	3	1	 	 
PE028004	1	42	38	1
PE028004	2	8888	41	15
PE028004	3	42	 	 
PE028008	1	46	17	1
PE028008	2	8888	18	1
PE028008	3	46	 	 
PE028019	1	46	14	1
PE028019	2	8888	18	3
PE028019	3	8888	18	8
PE028019	4	8888	20	13
PE028019	5	46	 	 
PE028020	1	47	24	1
PE028020	2	8888	27	14
PE028020	3	47	 	 
PE028021	1	47	19	1
PE028021	2	8888	20	15
PE028021	3	8888	22	13
PE028021	4	8888	24	7
PE028021	5	47	 	 
PE038010	1	1	16	1
PE038010	2	8888	17	3
PE038010	3	8888	17	4
PE038010	4	1	 	 
PE038011	1	1	17	2
PE038011	2	8888	20	2
PE038011	3	8888	25	1
PE038011	4	8888	28	1
PE038011	5	1	 	 
PE038022	1	1	15	1
PE038022	2	8888	16	15
PE038022	3	1	 	 
PE048005	1	1	11	15
PE048005	2	8888	15	10
PE048005	3	1	 	 
PE048014	1	1	9	8
PE048014	2	8888	10	8
PE048014	3	8888	14	12
PE048014	4	8888	25	1
PE048014	5	8888	27	2
PE048014	6	1	 	 
PE048016	1	1	12	1
PE048016	2	8888	15	1
PE048016	3	8888	17	15
PE048016	4	1	 	 
PE048026	1	1	29	8
PE048026	2	8888	30	19
PE048026	3	1	 	 
PE078003	1	1	18	13
PE078003	2	8888	26	8
PE078003	3	8888	31	1
PE078003	4	1	 	 
PE078012	1	1	30	1
PE078012	2	8888	30	1
PE078012	3	8888	30	1
PE078012	4	8888	30	1
PE078012	5	8888	31	1
PE078012	6	8888	31	1
PE078012	7	8888	32	1
PE078012	8	8888	33	1
PE078012	9	8888	33	1
PE078012	10	8888	34	1
