childid	workid	workact	workpay	payname	rankpay
PE178036	1	14	2	1	1
PE188001	1	1	1	2	1
PE188003	1	4	1	0	 
PE188003	2	4	1	0	1
PE188009	1	5	1	0	1
PE188014	1	2	2	0	1
PE188015	1	1	1	2	1
PE188016	1	1	1	2	1
PE188017	1	1	1	2	1
PE188019	1	1	1	2	 
PE188019	2	14	1	2	 
PE188019	3	15	1	2	1
PE188020	1	1	1	2	1
PE188022	1	1	1	2	1
PE188026	1	2	1	1	1
PE188027	1	1	1	0	1
PE198004	1	4	1	2	1
PE198011	1	1	1	2	1
PE198013	1	5	1	2	1
PE198014	1	5	1	2	1
PE198017	1	17	1	1	1
PE198018	1	5	1	1	1
PE198024	1	2	3	2	1
PE198025	1	4	2	2	1
PE198027	1	2	3	2	1
PE198031	1	1	1	2	 
PE198031	2	17	1	2	1
PE198031	3	17	1	2	 
PE208003	1	5	1	0	1
PE208006	1	5	2	1	1
PE208009	1	5	1	1	1
PE208014	1	17	1	1	1
PE208017	1	5	1	2	1
PE208018	1	5	1	1	1
PE208018	2	5	2	1	1
PE208020	1	5	1	0	1
PE208021	1	5	1	2	1
PE208025	1	4	1	2	1
PE208025	2	4	1	0	1
PE208030	1	4	1	1	1
PE208034	1	4	1	2	1
PE208041	1	1	1	1	1
PE208044	1	17	1	1	1
