childid	cropid	crop	qntharv
PE098003	2	44	6
PE098003	3	53	50
PE098003	4	89	30
PE098004	1	75	15
PE098004	2	5	3
PE098004	3	44	5
PE098004	4	101	2
PE098004	5	99	.5
PE098004	6	55	8
PE098005	1	75	4
PE098005	2	55	2
PE098005	3	44	3
PE098005	4	5	6
PE098005	5	101	2
PE098005	6	99	2
PE098005	7	87	2
PE098007	1	44	3
PE098007	2	75	2
PE098007	3	5	2
PE098007	4	99	1
PE098007	5	101	12
PE098007	6	87	5
PE098008	1	44	8
PE098008	2	75	15
PE098008	3	101	4
PE098008	4	99	3
PE098008	5	55	5
PE098008	6	5	5
PE098008	7	87	20
PE098009	1	44	2
PE098009	2	75	2
PE098009	3	5	2
PE098009	4	55	5
PE098009	5	101	1
PE098010	1	55	5
PE098010	2	75	2
PE098010	3	99	1
PE098010	4	44	6
PE098010	5	5	3
PE098011	1	44	2
PE098011	2	75	3
PE098011	3	101	1
PE098011	4	55	2
PE098011	5	5	3
PE098012	1	44	2
PE098012	2	75	2
PE098012	3	99	2
PE098012	4	5	2
PE098013	1	75	18
PE098013	2	44	9
PE098013	3	89	1
PE098013	4	5	1
PE098013	5	101	6
PE098013	6	87	6
PE098013	7	55	2
PE098014	1	44	3
PE098014	2	75	2
PE098014	3	99	4
PE098014	4	5	2.5
PE098014	5	101	2
PE098014	6	89	1
PE098015	1	55	15
PE098015	2	101	2
PE098015	3	5	2
PE098015	4	44	11
PE098015	5	99	2
PE098016	1	44	3
PE098016	2	75	2
PE098016	3	99	.5
PE098016	4	5	1
PE098017	1	99	1
PE098017	2	75	2
PE098017	3	44	7
PE098017	4	101	2
PE098017	5	89	2
PE098019	1	55	2
PE098019	2	44	1
PE098019	3	75	1
PE098020	1	75	12
PE098020	2	44	18
PE098020	3	99	4
PE098020	4	89	2
PE098020	5	55	18
PE098020	6	69	2
PE098020	7	108	50
PE098021	1	44	10
PE098021	2	75	8
PE098021	3	5	8
PE098021	4	83	4
PE098021	5	101	1
PE098021	6	99	2
PE098021	7	89	1
PE098021	8	55	2
PE098022	1	75	4
PE098022	2	101	2
PE098022	3	99	100
PE098022	4	5	3
PE098022	5	44	6
PE098022	6	89	6
PE098022	7	87	4
PE098023	1	75	2
PE098023	2	99	1
PE098023	3	5	1.5
PE098023	4	44	24
PE098023	5	89	1
PE098023	6	101	2
PE098023	7	87	5
PE098023	8	108	5
PE098024	1	99	12
PE098024	2	44	1
PE098025	1	44	1
PE098025	2	75	4
PE098025	3	99	2
PE098025	4	55	1
PE098026	1	44	5
PE098026	2	75	8
PE098026	3	99	3
PE098026	4	5	2
PE098027	1	108	30
PE098029	1	75	7
PE098029	2	44	2
PE108008	1	75	1
PE108008	2	44	1
PE108015	1	55	2
PE108015	2	44	3
PE118001	1	44	80
PE118002	1	44	30
PE118002	2	101	18
PE118003	1	55	20
PE118003	2	44	30
PE118003	3	99	1
PE118003	4	75	2
PE118003	5	5	3
