PLACEID	DISTIDR4	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	PRCEFFCT
121	1	12	3	5	77	1
120	1	12	3	6	13	1
618	1	2	3	12	8	1
618	2	9	2	7	9	1
627	1	2	4	12	8	1
627	2	6	4	10	10	1
627	3	8	4	3	8	1
630	1	10	3	12	10	2
630	2	6	4	9	10	1
631	1	11	3	4	5	2
631	2	10	1	2	10	1
631	3	6	2	10	10	3
633	1	2	3	9	8	1
643	1	11	1	7	5	1
306	1	9	3	9	6	1
305	1	11	2	8	5	1
324	1	9	2	10	5	2
324	2	2	2	5	9	1
324	3	14	2	5	10	1
324	4	13	4	9	3	1
314	1	11	2	10	5	1
315	1	7	1	12	10	4
315	2	3	2	4	10	3
316	1	11	3	2	5	1
317	1	11	2	3	5	1
318	1	7	1	12	10	4
302	1	6	4	7	8	3
308	1	11	2	8	5	2
308	2	2	4	5	9	1
308	3	3	4	4	10	3
309	1	6	4	9	15	1
309	2	11	1	10	5	1
309	3	4	4	4	3	1
309	4	3	1	3	10	1
311	1	14	4	6	8	1
312	1	9	3	5	6	2
312	2	9	4	4	6	2
303	1	2	4	5	9	3
303	2	11	2	9	5	1
303	3	6	4	4	8	1
319	1	6	4	9	10	4
320	1	12	2	10	13	1
726	1	2	4	7	8	1
617	1	6	4	8	10	1
721	1	6	4	8	10	1
722	1	6	2	4	10	3
722	2	2	3	10	10	2
409	1	2	2	7	10	4
731	1	2	3	8	8	1
730	1	10	3	6	10	2
514	1	2	4	10	8	1
514	2	12	4	5	6	1
527	1	2	4	11	8	1
527	2	6	4	10	8	1
513	2	12	3	7	6	1
507	1	2	4	10	8	1
503	1	2	4	10	8	1
503	2	12	4	12	6	1
503	3	12	4	4	6	1
519	1	2	4	10	1	1
520	1	12	3	4	13	1
520	2	2	4	10	8	1
530	1	12	3	11	6	1
530	2	12	3	6	6	1
531	1	2	4	10	8	1
531	2	11	4	7	5	2
531	3	12	4	6	6	1
528	1	2	4	10	10	2
529	1	2	2	9	9	1
529	2	2	4	10	9	1
529	3	11	4	9	5	1
501	1	2	4	10	8	1
525	1	2	4	10	8	1
525	2	11	4	5	5	1
525	3	6	4	11	14	1
526	1	2	4	10	1	1
526	2	6	2	10	11	1
526	3	12	4	2	13	1
602	1	2	4	10	8	1
602	2	9	4	7	5	2
108	1	12	4	4	6	1
108	2	11	4	12	5	1
109	1	9	3	10	6	1
109	2	11	3	12	5	1
109	3	2	4	9	10	1
110	1	12	4	8	6	1
110	2	11	4	8	5	1
110	3	11	4	3	5	1
110	4	2	2	3	10	1
625	1	6	4	8	10	3
625	2	3	4	11	10	3
624	1	12	4	2	6	1
624	2	11	1	2	5	1
624	3	3	4	3	6	3
710	1	11	1	3	5	2
710	2	3	4	3	10	3
710	3	6	4	6	10	2
614	1	11	2	3	5	1
614	2	12	3	5	6	1
724	1	6	3	8	10	2
724	2	3	3	3	10	1
724	3	11	4	12	5	1
724	4	10	2	7	10	2
652	1	9	4	1	77	2
733	1	11	1	6	5	1
733	2	10	3	5	14	1
211	1	2	4	3	8	1
613	1	2	4	8	8	1
701	1	11	2	7	5	1
