PLACEID	MNTRIDR4	TRANS	TITRANS
121	1	4	3
121	2	3	10
121	3	1	20
121	4	6	5
120	1	3	30
120	2	4	20
120	3	5	20
120	4	6	15
120	5	1	60
618	1	4	15
618	2	3	30
618	3	6	12
715	1	4	10
715	2	7	12
711	1	4	10
711	2	7	10
627	1	4	15
627	2	7	20
630	1	4	30
630	2	7	45
631	1	4	25
631	2	7	30
631	3	13	60
633	1	4	15
633	2	3	35
642	1	4	20
642	2	7	30
643	1	4	15
643	2	7	20
743	1	4	10
743	2	3	15
743	3	1	25
306	1	6	15
306	2	4	20
321	1	4	10
321	2	6	10
305	1	4	25
305	2	6	20
322	1	4	20
322	2	3	50
323	1	4	15
323	2	6	10
324	1	4	30
324	2	3	50
314	1	4	5
314	2	1	15
315	1	4	45
315	2	8	60
316	1	4	20
316	2	3	40
317	1	4	10
317	2	3	30
318	1	4	90
318	2	8	120
302	1	4	10
302	2	6	10
307	1	4	45
307	2	1	210
325	1	4	15
325	2	1	50
325	3	3	30
301	1	4	35
301	2	1	90
308	1	4	60
308	2	7	90
309	1	4	60
309	2	3	180
310	1	4	20
310	2	7	25
311	1	4	15
311	2	3	20
312	1	4	30
312	2	3	60
313	1	4	45
313	2	7	50
313	3	3	120
303	1	4	120
303	2	3	240
319	1	4	30
319	2	1	150
320	1	4	35
320	2	1	180
746	1	4	15
746	2	3	35
727	1	4	10
727	2	3	15
728	1	4	30
728	2	3	45
728	3	8	25
639	1	4	10
639	2	3	20
726	1	4	10
726	2	3	20
654	1	4	7
654	2	3	20
617	1	4	30
617	2	3	40
617	3	8	50
717	1	4	20
717	2	3	30
718	1	4	12
718	2	3	30
718	3	5	12
719	1	4	30
720	1	4	20
721	1	4	20
722	1	4	20
722	2	3	30
409	1	4	25
409	2	3	45
409	3	6	25
731	1	4	15
731	2	3	35
730	1	4	20
730	2	3	35
730	3	6	15
634	1	4	20
634	2	3	40
725	1	4	10
725	2	1	20
725	3	3	15
514	1	4	5
514	2	6	5
514	3	3	10
527	1	4	16
527	2	3	20
527	3	6	16
513	1	4	17
513	2	3	26
513	3	6	18
508	1	4	12
508	2	6	12
508	3	3	16
507	1	4	10
507	2	6	12
507	3	3	20
503	1	4	7
503	2	3	10
503	3	6	7
519	1	4	10
519	2	6	10
519	3	3	18
520	1	4	5
520	2	6	5
520	3	9	5
530	1	4	12
530	2	6	12
530	3	3	16
531	1	4	10
531	2	6	10
531	3	3	15
528	1	4	30
528	2	3	60
528	3	6	30
529	1	4	20
529	2	3	40
529	3	6	15
501	1	4	16
501	2	6	16
501	3	3	25
525	1	4	7
525	2	6	10
525	3	3	15
526	1	4	4
526	2	6	4
526	3	3	7
602	1	4	15
602	2	7	20
101	1	4	45
106	1	4	80
107	1	4	30
108	1	4	2
108	2	3	5
108	3	1	10
109	1	4	15
109	2	8	25
110	1	4	25
110	2	8	30
622	1	4	10
622	2	6	10
625	1	4	30
624	1	4	5
624	2	6	5
710	1	4	15
710	2	13	40
614	1	4	5
614	2	3	15
724	1	4	10
737	1	4	10
737	2	3	20
651	1	4	10
651	2	3	15
647	1	4	15
647	2	3	20
647	3	1	30
652	1	4	15
652	2	3	20
652	3	1	30
738	1	4	10
738	2	3	15
740	1	4	10
740	2	3	15
740	3	1	20
645	1	4	15
645	2	3	20
739	1	4	10
739	2	6	10
739	3	3	17
646	1	4	10
646	2	6	8
646	3	7	13
736	1	4	5
736	2	6	5
736	3	7	15
734	1	4	35
734	2	6	25
734	3	7	40
644	1	4	10
733	1	4	30
201	1	4	5
201	2	3	10
201	3	7	10
217	1	4	10
217	2	7	20
215	1	4	25
215	2	8	20
211	1	4	20
211	2	7	30
211	3	3	60
745	1	4	30
745	2	8	35
744	1	4	10
709	1	4	5
708	1	4	15
708	2	8	15
613	1	4	20
741	1	4	20
610	1	4	10
610	2	3	20
610	3	5	10
732	1	4	15
218	1	4	15
218	2	3	30
742	1	4	10
703	1	4	2
703	2	3	5
703	3	1	7
701	1	4	10
701	2	3	30
701	3	6	10
707	1	4	30
702	1	4	15
729	1	4	3
729	2	13	7
714	1	4	20
706	1	4	15
706	2	8	25
706	3	6	15
735	1	4	45
705	1	4	5
705	2	3	10
705	3	6	5
716	1	4	15
716	2	6	15
716	3	8	20
609	1	4	10
609	2	3	20
609	3	6	10
723	1	4	3
723	2	13	7
704	1	4	45
704	2	5	45
704	3	6	50
713	1	4	10
713	2	3	20
640	1	6	15
640	2	4	25
712	1	4	7
629	1	4	5
629	2	6	5
