PLACEID	SCPRIDR4	PRBLCTLY
121	1	1
121	2	1
121	3	0
121	4	0
121	5	0
121	6	0
121	7	0
121	8	0
121	9	0
121	10	0
120	1	0
120	2	0
120	3	0
120	4	0
120	5	0
120	6	0
120	7	0
120	8	0
120	9	0
120	10	0
618	1	0
618	2	1
618	3	0
618	4	0
618	5	0
618	6	0
618	7	1
618	8	1
618	9	0
618	10	0
715	1	1
715	2	1
715	3	0
715	4	0
715	5	0
715	6	1
715	7	1
715	8	1
715	9	1
715	10	0
711	1	1
711	2	1
711	3	0
711	4	0
711	5	0
711	6	1
711	7	1
711	8	0
711	9	1
711	10	0
627	1	1
627	2	1
627	3	0
627	4	0
627	5	0
627	6	1
627	7	1
627	8	1
627	9	0
627	10	0
630	1	0
630	2	1
630	3	0
630	4	0
630	5	0
630	6	0
630	7	1
630	8	1
630	9	0
630	10	0
631	1	0
631	2	1
631	3	0
631	4	0
631	5	0
631	6	0
631	7	1
631	8	1
631	9	1
631	10	0
633	1	1
633	2	1
633	3	0
633	4	0
633	5	0
633	6	1
633	7	1
633	8	1
633	9	0
633	10	0
642	1	1
642	2	1
642	3	0
642	4	0
642	5	0
642	6	0
642	7	1
642	8	1
642	9	0
642	10	0
643	1	1
643	2	1
643	3	1
643	4	0
643	5	0
643	6	1
643	7	1
643	8	1
643	9	1
643	10	0
743	1	1
743	2	1
743	3	0
743	4	0
743	5	0
743	6	1
743	7	1
743	8	1
743	9	0
743	10	0
306	1	0
306	2	0
306	3	0
306	4	0
306	5	0
306	6	1
306	7	0
306	8	1
306	9	1
306	10	0
321	1	1
321	2	1
321	3	0
321	4	0
321	5	0
321	6	1
321	7	1
321	8	0
321	9	0
321	10	0
305	1	1
305	2	1
305	3	0
305	4	0
305	5	0
305	6	1
305	7	1
305	8	1
305	9	0
305	10	0
322	1	0
322	2	1
322	3	0
322	4	0
322	5	0
322	6	0
322	7	1
322	8	0
322	9	0
322	10	0
323	1	0
323	2	1
323	3	0
323	4	0
323	5	0
323	6	1
323	7	1
323	8	0
323	9	0
323	10	0
324	1	0
324	2	1
324	3	0
324	4	0
324	5	0
324	6	1
324	7	1
324	8	1
324	9	1
324	10	0
314	1	1
314	2	1
314	3	0
314	4	0
314	5	0
314	6	1
314	7	1
314	8	1
314	9	0
314	10	0
315	1	1
315	2	1
315	3	0
315	4	0
315	5	0
315	6	1
315	7	1
315	8	1
315	9	0
315	10	0
316	1	1
316	2	1
316	3	0
316	4	0
316	5	0
316	6	1
316	7	1
316	8	1
316	9	0
316	10	0
317	1	1
317	2	1
317	3	0
