PLACEID	DWAGIDR4	MAVWG	FAVWG
121	1	130	120
120	1	130	120
618	1	200	180
715	1	-11	-11
711	1	150	150
627	1	150	120
630	1	180	120
631	1	150	120
633	1	150	150
642	1	160	160
643	1	-11	-11
743	1	-11	-11
306	1	200	200
321	1	-11	11
305	1	200	200
322	1	150	150
323	1	120	120
324	1	40	40
314	1	150	150
315	1	130	130
316	1	150	150
317	1	150	150
318	1	150	150
302	1	150	150
307	1	120	120
325	1	130	130
301	1	150	150
308	1	150	150
309	1	150	120
310	1	200	150
311	1	150	130
312	1	110	90
313	1	150	150
303	1	150	150
319	1	140	140
320	1	100	100
746	1	150	150
727	1	-11	-11
728	1	-11	-11
639	1	150	-11
638	1	180	180
726	1	150	150
654	1	200	200
617	1	170	170
717	1	180	180
718	1	150	120
719	1	200	180
720	1	200	200
721	1	200	200
722	1	170	170
409	1	150	150
731	1	170	170
730	1	200	180
634	1	150	150
725	1	150	150
514	1	200	200
527	1	180	150
513	1	-77	-77
508	1	-11	-11
507	1	250	220
503	1	120	120
519	1	-11	-11
520	1	-77	-77
530	1	120	120
531	1	200	200
528	1	150	120
529	1	150	120
501	1	150	150
525	1	180	150
526	1	-11	-11
602	1	150	150
101	1	100	100
106	1	150	150
107	1	120	120
108	1	100	80
109	1	150	130
110	1	150	150
622	1	-11	-11
625	1	150	150
624	1	150	130
710	1	250	-11
614	1	150	150
724	1	150	130
737	1	100	100
651	1	-22	-11
647	1	-11	-11
652	1	-11	-22
738	1	-11	-11
740	1	-11	-22
645	1	-11	-11
739	1	-11	-11
646	1	170	170
736	1	150	120
734	1	150	150
644	1	120	100
733	1	160	80
201	1	120	-11
217	1	120	80
215	1	150	120
211	1	170	150
745	1	120	100
744	1	150	120
709	1	130	120
708	1	150	120
613	1	150	120
741	1	-77	-77
610	1	200	200
732	1	150	130
218	1	100	70
742	1	0	0
703	1	-11	-11
701	1	180	180
707	1	120	120
702	1	-77	-77
729	1	-11	-11
714	1	150	120
706	1	200	200
735	1	25	2520
705	1	130	120
716	1	200	200
609	1	200	180
723	1	-11	100
704	1	150	130
713	1	-77	-77
640	1	120	120
712	1	-11	-11
629	1	70	70
