PLACEID	STRTDINT	LOCLSITE	CHRINF1	CHRINF2	CHRINF3	POPSIZE	FAMLOC	PAVEDN	UNPAVEDN	TRACKSN	OTTRANN	FACTORY	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10
121	09/01/2014 06:43:25	VN121	1	2	88	7390	1857	1	0	1	0	1	1	1	2	88	1	2	88	1	2	88	4	3	88	 	 	 	 	 	 	 
120	09/01/2014 09:11:05	VN120	1	2	88	10053	2448	1	1	1	0	0	1	1	2	88	1	2	88	1	2	88	3	4	88	 	 	 	 	 	 	 
618	17/01/2014 06:07:07	VN618	2	3	88	8125	2400	1	1	0	0	1	1	2	3	4	3	2	5	1	3	7	9	8	6	88	 	 	 	 	 	 
715	01/08/2014 14:10:37	VN715	1	2	88	16744	3537	1	1	0	0	1	0	1	2	88	1	2	88	1	2	88	2	3	4	4	88	 	 	 	 	 
711	29/07/2014 08:17:03	VN711	1	2	3	17382	4235	1	1	0	1	1	0	1	2	3	1	2	3	1	2	3	1	2	3	4	88	 	 	 	 	 
627	11/03/2014 08:02:56	VN627	1	2	88	13480	2960	1	1	0	1	1	1	1	2	88	1	2	88	1	2	3	1	2	3	4	88	 	 	 	 	 
630	26/02/2014 03:13:27	VN630	1	2	3	6124	1723	0	1	0	1	1	1	1	2	3	1	2	3	2	3	4	2	3	4	5	88	 	 	 	 	 
631	28/02/2014 02:08:37	VN631	1	2	3	7399	1677	0	1	0	1	0	1	1	2	3	1	2	3	2	3	5	2	3	5	4	88	 	 	 	 	 
633	25/02/2014 08:46:24	VN633	1	88	 	18974	5300	1	0	0	0	1	1	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
642	04/03/2014 14:23:01	VN642	1	2	88	15878	3675	1	1	0	1	1	0	1	2	3	1	2	3	2	3	4	2	3	4	88	 	 	 	 	 	 
643	04/03/2014 08:20:48	VN643	1	2	88	17525	4176	1	1	0	0	1	1	1	2	3	1	2	3	1	2	3	2	3	4	88	 	 	 	 	 	 
743	15/03/2014 13:39:23	VN743	1	88	 	11182	2970	1	0	0	0	2	0	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
306	01/01/2014 20:18:10	VN306	1	2	88	11040	3100	1	0	0	0	0	1	1	2	88	1	2	88	1	2	3	1	2	3	4	5	88	 	 	 	 
321	20/01/2014 09:39:01	VN321	1	2	4	10344	2693	1	1	0	0	1	0	1	2	4	1	2	4	1	2	4	2	3	4	5	88	 	 	 	 	 
305	25/11/2013 09:23:59	VN305	1	2	88	18032	4192	1	0	0	0	0	1	1	1	88	1	2	88	1	2	3	1	2	3	4	5	88	 	 	 	 
322	06/01/2014 15:04:59	VN322	1	2	3	120	340	1	0	0	1	1	0	1	2	4	2	3	4	1	3	4	2	3	4	5	88	 	 	 	 	 
323	09/01/2014 14:28:51	VN323	1	2	3	4221	1447	1	1	0	0	1	0	1	2	3	1	2	3	1	2	3	2	3	4	5	88	 	 	 	 	 
324	06/01/2014 09:26:06	VN324	1	2	88	4390	873	1	1	0	0	1	1	1	2	3	1	2	3	2	2	3	2	3	4	5	88	 	 	 	 	 
314	21/01/2014 08:57:11	VN314	5	88	 	5000	1500	1	1	0	0	2	1	5	88	 	5	88	 	5	88	 	1	2	3	4	88	 	 	 	 	 
315	16/01/2014 08:51:14	VN315	3	88	 	5262	1224	1	1	1	0	2	1	3	88	 	3	88	 	3	88	 	1	2	88	 	 	 	 	 	 	 
316	17/01/2014 08:58:06	VN316	3	88	 	3427	966	1	1	1	0	1	1	3	88	 	3	88	 	3	88	 	1	1	88	 	 	 	 	 	 	 
317	20/01/2014 09:02:19	VN317	3	88	 	6082	1351	1	0	0	0	0	1	3	88	 	3	88	 	3	88	 	1	2	88	 	 	 	 	 	 	 
318	15/01/2014 08:52:56	VN318	3	88	 	1950	450	1	1	1	0	0	1	3	88	 	3	88	 	3	88	 	1	2	88	 	 	 	 	 	 	 
302	21/07/2014 08:58:13	VN302	1	2	88	4932	1379	1	1	1	0	0	1	1	2	3	1	2	3	1	2	3	1	2	3	4	88	 	 	 	 	 
307	06/01/2014 08:26:53	VN307	1	2	88	2321	429	1	1	1	0	0	0	1	2	88	1	2	88	1	2	88	3	4	88	 	 	 	 	 	 	 
325	 	VN325	1	2	88	1172	328	1	1	1	0	0	0	1	2	88	1	2	88	1	2	88	3	4	88	 	 	 	 	 	 	 
301	06/01/2014 08:14:12	VN301	1	2	88	2773	550	1	1	1	0	0	0	1	2	88	1	2	88	1	2	88	3	4	88	 	 	 	 	 	 	 
308	22/07/2014 09:28:11	VN308	1	2	88	2756	588	1	1	1	1	0	1	1	2	88	1	2	3	1	2	3	2	3	4	88	 	 	 	 	 	 
309	02/01/2014 14:42:21	VN309	1	2	5	9346	2344	1	0	1	1	1	1	1	2	5	1	2	3	1	3	5	2	3	4	5	6	88	 	 	 	 
310	09/01/2014 09:06:24	VN310	1	2	3	15736	3850	1	1	1	1	1	0	1	2	3	1	2	3	1	2	3	2	3	4	5	3	88	 	 	 	 
311	25/12/2013 08:55:14	VN311	1	2	4	3287	1002	1	1	1	1	1	1	1	4	3	1	2	5	1	2	3	2	4	5	6	88	 	 	 	 	 
312	24/12/2013 08:03:23	VN312	1	2	88	4017	1052	1	0	0	0	0	1	1	2	88	1	2	3	1	88	 	4	5	88	 	 	 	 	 	 	 
313	21/01/2014 09:42:28	VN313	1	2	4	3830	772	1	0	1	1	0	0	1	4	88	1	2	4	1	2	3	2	3	4	5	88	 	 	 	 	 
303	07/01/2014 15:24:20	VN303	1	3	6	7150	1673	0	0	1	1	0	1	2	3	5	3	4	6	2	3	4	2	3	5	6	7	8	88	 	 	 
319	13/01/2014 07:57:34	VN319	1	2	88	2568	454	1	1	1	0	0	1	1	2	88	1	2	88	1	2	88	3	4	88	 	 	 	 	 	 	 
320	14/01/2014 07:49:55	VN320	1	2	88	3353	624	1	1	1	0	0	1	1	2	88	1	2	88	1	2	88	3	4	88	 	 	 	 	 	 	 
746	18/03/2014 08:43:30	VN746	1	88	 	8889	2239	1	1	0	0	2	0	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
727	04/03/2014 13:21:16	VN727	1	88	 	19072	5452	1	0	0	0	1	0	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
728	03/03/2014 14:17:49	VN728	1	88	 	14080	3668	1	0	0	0	1	0	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
639	06/03/2014 13:34:13	VN639	1	88	 	8050	2151	1	0	0	0	1	0	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
638	07/03/2014 13:13:48	VN638	1	88	 	13176	3711	1	0	0	0	1	0	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
726	13/03/2014 13:18:29	VN726	1	88	 	10560	2900	1	1	0	0	1	1	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
654	12/03/2014 08:45:05	VN654	1	88	 	16890	2830	1	0	0	0	1	0	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
617	10/03/2014 13:33:26	VN617	1	88	 	13600	3300	1	1	0	0	1	1	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
717	04/08/2014 08:47:26	VN717	1	2	88	13490	3202	1	1	0	1	0	0	1	2	88	1	2	88	1	2	3	1	2	3	4	88	 	 	 	 	 
718	20/01/2014 03:58:30	VN718	1	2	4	4400	1200	1	1	0	0	2	0	3	5	1	1	3	2	1	2	5	6	7	5	88	 	 	 	 	 	 
719	30/05/2014 07:51:13	VN719	1	88	 	5790	1600	1	0	0	0	1	0	4	88	 	1	88	 	2	88	 	3	4	88	 	 	 	 	 	 	 
720	31/07/2014 14:19:03	VN720	1	2	88	17743	4943	1	1	0	0	1	0	1	2	88	1	2	3	1	2	3	1	2	3	4	88	 	 	 	 	 
721	02/06/2014 09:54:56	VN721	2	88	 	6818	1708	1	0	0	0	0	1	3	88	 	1	88	 	1	88	 	4	88	 	 	 	 	 	 	 	 
722	15/08/2014 09:02:17	VN722	1	2	88	5667	1467	1	1	0	0	1	1	1	2	88	1	2	88	1	2	4	1	2	3	4	88	 	 	 	 	 
409	26/12/2013 07:55:51	VN409	1	2	88	7513	2030	1	0	0	0	1	1	3	2	88	2	88	 	2	88	 	3	4	5	7	88	 	 	 	 	 
731	01/03/2014 08:39:47	VN731	1	88	 	9345	2700	1	0	0	0	1	1	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
730	11/03/2014 09:26:55	VN730	1	2	4	8000	2015	1	1	0	0	2	1	2	4	3	2	3	5	2	4	6	7	6	5	88	 	 	 	 	 	 
634	28/02/2014 08:20:40	VN634	1	88	 	8032	2644	1	0	0	0	2	0	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
725	26/02/2014 13:42:04	VN725	1	88	 	8206	2040	1	0	0	0	1	0	1	88	 	1	88	 	1	88	 	2	3	4	5	88	 	 	 	 	 
514	17/01/2014 03:12:44	VN514	1	2	88	4990	10110	1	0	0	0	1	1	1	2	88	1	2	88	1	2	3	3	4	5	6	7	8	9	88	 	 
527	14/01/2014 01:32:54	VN527	1	2	88	16994	4516	1	0	0	0	1	1	1	2	88	1	2	88	1	2	88	3	4	5	6	7	8	7	9	88	 
513	08/01/2014 20:33:40	VN513	1	2	3	19800	4200	1	0	0	0	0	1	1	2	88	1	2	3	1	1	88	4	5	6	7	8	9	10	12	11	13
508	13/01/2014 13:25:23	VN508	1	2	88	22478	3228	1	0	0	0	1	0	1	2	88	1	2	88	1	2	88	3	4	6	5	7	8	9	10	11	88
507	16/01/2014 19:35:21	VN507	2	2	88	20095	4200	1	0	0	0	2	1	1	2	2	1	2	2	1	2	88	3	4	5	6	7	8	9	10	11	88
503	10/01/2014 01:55:12	VN503	1	2	88	22063	5455	1	0	0	0	1	1	1	2	88	1	3	88	1	2	88	3	4	5	6	7	7	8	9	10	11
519	10/01/2014 04:20:05	VN519	1	88	 	24781	5320	1	0	0	0	2	1	1	88	 	1	88	 	1	88	 	2	3	88	 	 	 	 	 	 	 
520	29/12/2013 14:31:57	VN520	1	88	 	17222	4168	1	1	0	0	2	1	1	88	 	1	88	 	1	88	 	2	3	88	 	 	 	 	 	 	 
530	09/01/2014 22:09:51	VN530	1	2	88	19087	4518	1	0	0	0	2	1	1	2	88	1	2	88	1	2	88	3	4	5	6	7	8	9	10	11	12
531	13/01/2014 21:48:07	VN531	1	10	88	13200	3200	1	0	0	0	0	1	1	10	88	1	10	3	1	10	5	2	3	4	5	6	7	8	9	88	 
528	10/01/2014 19:14:14	VN528	1	2	6	13357	3676	1	0	0	0	1	1	1	2	88	1	2	88	1	2	88	3	4	5	6	7	8	9	10	88	 
529	27/12/2013 09:16:54	VN529	1	88	 	5138	1378	1	0	0	0	1	1	1	88	 	1	88	 	1	88	 	2	3	88	 	 	 	 	 	 	 
501	14/01/2014 10:16:46	VN501	1	2	88	21189	5267	1	0	0	0	2	1	2	1	88	1	2	88	1	2	88	1	2	4	5	6	7	8	9	10	11
525	15/01/2014 20:18:37	VN525	1	2	88	10669	2758	1	0	0	0	1	1	1	2	3	1	2	4	1	2	5	3	4	5	6	7	8	9	88	 	 
526	09/01/2014 09:08:47	VN526	1	88	 	15900	4456	1	0	0	0	1	1	1	88	 	1	88	 	1	88	 	2	3	88	 	 	 	 	 	 	 
602	24/02/2014 10:27:27	VN602	1	2	88	17764	4181	1	1	0	0	1	1	1	2	3	2	3	88	2	3	88	2	3	4	5	88	 	 	 	 	 
101	06/01/2014 08:02:30	VN101	1	88	 	4391	1070	1	1	0	0	0	0	1	88	 	2	88	 	2	88	 	3	4	5	6	88	 	 	 	 	 
106	07/01/2014 08:12:27	VN106	1	88	 	1400	400	0	1	0	0	0	0	1	88	 	1	88	 	1	88	 	2	3	4	5	6	88	 	 	 	 
107	08/01/2014 13:35:41	VN107	1	88	 	2018	424	1	1	0	0	0	0	1	88	 	1	88	 	1	88	 	3	4	5	6	88	 	 	 	 	 
108	03/01/2014 13:32:07	VN108	1	2	88	11335	2900	1	0	0	0	2	1	1	88	 	1	88	 	2	88	 	3	4	5	6	7	88	 	 	 	 
109	08/01/2014 07:39:39	VN109	1	2	88	3842	821	1	0	0	0	0	1	1	88	 	2	2	2	3	88	 	3	4	5	88	 	 	 	 	 	 
110	03/01/2014 07:48:07	VN110	1	88	 	5270	1200	1	0	1	0	1	1	1	88	 	1	88	 	1	88	 	2	3	4	88	 	 	 	 	 	 
622	18/03/2014 13:49:11	VN622	2	1	88	9934	1880	1	0	0	0	0	0	2	88	 	2	88	 	1	88	 	1	3	88	 	 	 	 	 	 	 
625	02/03/2014 08:16:19	VN625	1	88	 	10131	2243	1	1	0	0	1	1	1	88	 	1	88	 	1	88	 	2	3	88	 	 	 	 	 	 	 
624	04/03/2014 07:22:08	VN624	1	88	 	6390	1658	1	1	0	0	1	1	1	88	 	1	88	 	1	88	 	2	88	 	 	 	 	 	 	 	 
710	14/03/2014 19:54:40	VN710	1	88	 	7107	1607	1	1	0	0	0	1	1	88	 	1	88	 	1	88	 	2	88	 	 	 	 	 	 	 	 
614	12/03/2014 09:06:58	VN614	1	88	 	4100	1000	1	0	0	0	1	1	1	88	 	1	88	 	1	88	 	2	88	 	 	 	 	 	 	 	 
724	07/03/2014 14:40:53	VN724	1	2	88	17638	3970	1	1	0	1	1	1	1	2	88	1	2	88	1	2	3	2	3	4	88	 	 	 	 	 	 
737	12/03/2014 21:00:15	VN737	6	7	88	54000	12500	1	0	0	0	1	0	6	7	88	6	88	 	6	7	7	1	2	3	4	5	88	 	 	 	 
651	07/03/2014 08:43:44	VN651	1	4	5	31000	8200	1	0	0	0	1	0	2	88	 	4	88	 	1	88	 	7	8	6	9	88	 	 	 	 	 
647	12/03/2014 09:08:17	VN647	7	2	88	16542	3491	1	0	0	0	0	0	7	3	2	2	7	3	7	88	 	4	5	6	8	3	88	 	 	 	 
652	04/03/2014 14:59:11	VN652	3	88	 	55922	11887	1	0	0	0	1	1	4	88	 	1	88	 	2	6	88	8	7	9	4	88	 	 	 	 	 
738	14/03/2014 13:20:48	VN738	1	8	88	35200	14800	1	0	0	0	1	0	1	2	8	1	8	88	2	88	 	4	3	5	7	6	88	 	 	 	 
740	08/03/2014 19:54:22	VN740	1	88	 	33923	6406	1	0	0	0	0	0	1	2	88	1	2	88	1	88	 	4	3	5	88	 	 	 	 	 	 
645	05/03/2014 09:38:34	VN645	1	88	 	33500	12400	1	0	0	0	1	0	2	1	88	2	88	 	1	88	 	4	3	5	88	 	 	 	 	 	 
739	04/03/2014 15:29:41	VN739	1	88	 	14088	4467	1	0	0	0	0	0	1	2	3	1	3	4	1	2	4	1	3	4	88	 	 	 	 	 	 
646	10/03/2014 08:34:14	VN646	1	88	 	11972	2516	1	0	0	0	1	0	1	2	88	1	2	3	1	3	88	1	2	3	88	 	 	 	 	 	 
736	10/03/2014 08:47:49	VN736	1	88	 	21000	5000	1	0	0	0	1	0	1	3	88	1	2	3	1	2	3	1	2	3	88	 	 	 	 	 	 
734	12/03/2014 13:33:53	VN734	1	88	 	85000	42000	1	0	0	0	1	0	1	3	88	1	4	88	3	2	3	3	4	2	88	 	 	 	 	 	 
644	10/03/2014 08:33:31	VN644	2	88	 	6314	1467	1	0	0	0	2	0	1	2	88	1	2	88	2	88	 	3	4	88	 	 	 	 	 	 	 
733	11/03/2014 13:40:53	VN733	1	2	88	8255	2297	1	0	0	0	1	1	1	2	88	1	2	88	1	2	88	3	4	88	 	 	 	 	 	 	 
