PLACEID	RSID	CAPAC
121	1	7
121	2	8
121	3	10
121	4	10
120	1	7
120	2	8
120	3	10
120	4	10
618	1	7
618	2	7
618	3	7
618	4	1
618	5	1
618	6	6
618	7	2
618	8	3
618	9	10
715	1	7
715	2	7
715	3	10
715	4	10
711	1	7
711	2	7
711	3	10
711	4	10
627	1	7
627	2	3
627	3	10
627	4	10
630	1	7
630	2	7
630	3	3
630	4	10
630	5	10
631	1	7
631	2	7
631	3	3
631	4	10
631	5	10
633	1	7
633	2	10
633	3	10
633	4	10
633	5	10
642	1	7
642	2	3
642	3	10
642	4	10
643	1	7
643	2	3
643	3	10
643	4	10
743	1	7
743	2	10
743	3	10
743	4	10
743	5	10
306	1	8
306	2	3
306	3	10
306	4	10
306	5	10
321	1	7
321	2	7
321	3	10
321	4	3
321	5	10
305	1	7
305	2	3
305	3	10
305	4	10
305	5	10
322	1	7
322	2	7
322	3	10
322	4	3
322	5	10
323	1	7
323	2	7
323	3	3
323	4	10
323	5	10
324	1	7
324	2	7
324	3	3
324	4	10
324	5	10
314	1	10
314	2	10
314	3	10
314	4	10
314	5	7
315	1	10
315	2	10
315	3	7
316	1	10
316	2	10
316	3	7
317	1	10
317	2	10
317	3	7
318	1	10
318	2	10
318	3	7
302	1	7
302	2	7
302	3	10
302	4	10
307	1	7
307	2	8
307	3	10
307	4	10
325	1	7
325	2	8
325	3	10
325	4	10
301	1	7
301	2	8
301	3	10
301	4	10
308	1	7
308	2	7
308	3	10
308	4	10
309	1	7
309	2	8
309	3	10
309	4	10
309	5	3
309	6	4
310	1	7
310	2	7
310	3	3
310	4	10
310	5	10
311	1	7
311	2	2
311	3	2
311	4	3
311	5	4
311	6	10
312	1	1
312	2	3
312	3	4
312	4	10
312	5	10
312	6	10
313	1	7
313	2	6
313	3	10
313	4	3
313	5	10
303	1	7
303	2	7
303	3	2
303	4	2
303	5	3
303	6	4
303	7	10
303	8	10
319	1	7
319	2	8
319	3	10
319	4	10
320	1	7
320	2	8
320	3	10
320	4	10
746	1	7
746	2	10
746	3	10
746	4	10
746	5	10
727	1	7
727	2	10
727	3	10
727	4	10
727	5	10
728	1	7
728	2	10
728	3	10
728	4	10
728	5	10
639	1	7
639	2	10
639	3	10
639	4	10
639	5	10
638	1	7
638	2	10
638	3	10
638	4	10
638	5	10
726	1	7
726	2	10
726	3	10
726	4	10
726	5	10
654	1	7
654	2	10
654	3	10
654	4	10
654	5	10
617	1	7
617	2	10
617	3	10
617	4	10
617	5	10
717	1	7
717	2	7
717	3	10
717	4	10
718	1	7
718	2	2
718	3	1
718	4	1
718	5	6
718	6	10
718	7	3
719	1	8
719	2	7
719	3	8
719	4	3
720	1	7
720	2	7
720	3	10
720	4	10
721	1	8
721	2	8
721	3	8
721	4	8
722	1	7
722	2	7
722	3	10
722	4	10
409	1	7
409	2	8
409	3	10
409	4	10
409	5	10
409	6	10
409	7	10
731	1	7
731	2	10
731	3	10
731	4	10
731	5	10
730	1	7
730	2	2
730	3	6
730	4	2
730	5	3
730	6	4
730	7	10
634	1	7
634	2	10
634	3	10
634	4	10
634	5	10
725	1	7
725	2	10
725	3	10
725	4	10
725	5	10
514	1	7
514	2	8
514	3	10
514	4	10
514	5	10
514	6	10
514	7	10
514	8	10
514	9	10
527	1	7
527	2	8
527	3	10
527	4	10
527	5	10
527	6	10
527	7	10
527	8	10
527	9	10
513	1	7
513	2	8
513	3	7
513	4	10
513	5	10
513	6	10
513	7	10
513	8	10
513	9	10
513	10	10
513	11	10
513	12	10
513	13	10
508	1	7
508	2	7
508	3	10
508	4	10
508	5	10
508	6	10
508	7	10
508	8	10
508	9	10
508	10	10
508	11	10
507	1	7
507	2	8
507	3	10
507	4	10
507	5	10
507	6	10
507	7	10
507	8	10
507	9	10
507	10	10
507	11	10
503	1	8
503	2	7
503	3	10
503	4	10
503	5	10
503	6	10
503	7	10
503	8	10
503	9	10
503	10	10
503	11	10
519	1	7
519	2	10
519	3	10
520	1	8
520	2	10
520	3	10
530	1	8
530	2	7
530	3	10
530	4	10
530	5	10
530	6	10
530	7	10
530	8	10
530	9	10
530	10	10
530	11	10
530	12	10
531	1	7
531	2	10
531	3	10
531	4	10
531	5	10
531	6	10
531	7	10
531	8	10
531	9	10
531	10	8
528	1	7
528	2	8
528	3	10
528	4	10
528	5	10
528	6	10
528	7	10
528	8	10
528	9	10
528	10	10
529	1	8
529	2	10
529	3	10
501	1	8
501	2	7
501	3	10
501	4	10
501	5	10
501	6	10
501	7	10
501	8	10
501	9	10
501	10	10
501	11	10
525	1	7
525	2	8
525	3	10
525	4	10
525	5	10
525	6	10
525	7	10
525	8	10
525	9	10
525	10	10
526	1	8
526	2	10
526	3	10
602	1	7
602	2	7
602	3	3
602	4	2
602	5	4
101	1	7
101	2	6
101	3	10
101	4	10
101	5	10
101	6	10
101	7	10
106	1	7
106	2	10
106	3	3
106	4	10
106	5	10
106	6	10
107	1	7
107	2	7
107	3	3
107	4	10
107	5	10
107	6	10
108	1	7
108	2	7
108	3	10
108	4	10
108	5	10
108	6	10
108	7	10
109	1	9
109	2	9
109	3	8
109	4	10
109	5	10
110	1	7
110	2	3
110	3	10
110	4	10
622	1	7
622	2	7
622	3	10
625	1	7
625	2	10
625	3	10
624	1	7
624	2	10
624	3	10
710	1	7
710	2	6
614	1	7
614	2	7
724	1	7
724	2	3
724	3	10
724	4	10
737	1	10
737	2	10
737	3	10
737	4	10
737	5	10
737	6	7
737	7	7
651	1	7
651	2	6
651	3	7
651	4	7
651	5	7
651	6	10
651	7	10
651	8	10
651	9	10
647	1	7
647	2	7
647	3	7
647	4	10
647	5	10
647	6	10
647	7	7
647	8	10
652	1	7
652	2	3
652	3	7
652	4	2
652	5	7
652	6	7
652	7	10
652	8	10
652	9	10
738	1	7
738	2	7
738	3	10
738	4	10
738	5	10
738	6	10
738	7	10
738	8	7
740	1	7
740	2	7
740	3	10
740	4	10
740	5	10
645	1	7
645	2	7
645	3	3
645	4	10
645	5	10
739	1	8
739	2	3
739	3	10
739	4	10
646	1	8
646	2	10
646	3	10
736	1	8
736	2	10
736	3	8
734	1	7
734	2	1
734	3	10
734	4	10
644	1	8
644	2	8
644	3	10
644	4	10
733	1	8
733	2	8
733	3	10
733	4	10
201	1	8
201	2	10
201	3	3
201	4	10
201	5	10
201	6	10
201	7	10
201	8	10
201	9	10
201	10	10
201	11	10
201	12	10
201	13	10
201	14	10
201	15	10
217	1	8
217	2	10
217	3	10
217	4	10
217	5	10
217	6	10
217	7	10
215	1	7
215	2	8
215	3	8
215	4	8
215	5	10
215	6	10
215	7	10
215	8	10
215	9	10
215	10	10
211	1	8
211	2	10
211	3	10
211	4	10
211	5	10
211	6	10
211	7	10
211	8	10
211	9	10
211	10	10
211	11	10
745	1	8
745	2	8
745	3	8
745	4	3
744	1	8
744	2	10
744	3	10
709	1	1
709	2	6
709	3	10
709	4	10
708	1	8
708	2	10
708	3	8
708	4	10
613	1	8
613	2	8
613	3	10
613	4	10
741	1	8
610	1	7
610	2	10
732	1	8
218	1	8
742	1	8
703	1	2
703	2	10
701	1	7
701	2	10
707	1	8
702	1	8
729	1	8
729	2	8
729	3	8
729	4	8
729	5	8
729	6	10
729	7	10
729	8	10
714	1	7
714	2	8
714	3	10
714	4	3
706	1	7
706	2	10
735	1	8
705	1	7
705	2	10
716	1	7
716	3	10
716	4	3
609	1	7
609	2	10
723	1	9
723	2	8
723	3	8
723	4	8
723	5	6
723	6	10
723	7	10
723	8	10
723	9	10
704	1	7
704	2	10
713	1	7
713	2	3
713	3	10
640	1	6
640	2	1
640	3	8
640	4	8
640	5	10
640	6	10
640	7	10
712	1	8
712	2	10
629	1	8
629	2	6
629	3	8
629	4	8
629	5	10
629	6	10
629	7	10
629	8	10
