CHILDCODE	LIDR5	GAVCRDR5	WHORCVR5	TKEOUTR5	LOANMTR5	LOANYRR5	AMTCRDR5	INTRTR5	AMTINTR5	FINPAYR5	PYTIMER5	NOBACKR5
11001	1	10	3	2	11	2007	200	0	 	1	1	 
11001	2	8	3	19	12	2008	2300	0	 	0	 	 
11003	1	8	2	2	6	2008	1000	0	 	1	1	 
11004	1	8	2	7	10	2008	5000	0	 	0	 	 
11005	1	8	1	16	6	2007	10000	0	 	0	 	 
11006	1	8	0	2	10	2007	2000	0	 	0	 	 
11007	1	7	2	2	10	2008	200	5	 	1	1	 
11008	1	8	2	2	3	2008	200	0	 	1	1	 
11009	1	8	9	2	10	2008	1700	0	 	0	 	 
11010	1	10	1	15	12	2008	600	0	 	1	1	 
11014	1	8	1	19	2	2009	5000	0	 	0	 	 
11018	1	8	2	19	2	2008	10000	0	 	1	0	11
11019	1	10	2	2	1	2009	2000	0	 	1	1	 
11019	2	10	2	2	10	2008	600	0	 	0	 	 
11021	1	10	0	2	2	2009	1500	0	 	1	1	 
11022	1	7	2	4	2	2006	1000	-77	960	1	1	 
11025	1	7	3	2	77	2007	2000	0	 	1	1	 
11026	1	10	5	2	2	2009	2000	0	 	1	1	 
11026	2	10	0	6	11	2008	300	0	 	1	1	 
11028	1	10	2	2	12	2008	250	0	 	1	0	6
11029	1	8	1	2	11	2008	300	0	 	1	1	 
11030	1	8	0	41	6	2008	1000	0	 	0	 	 
11031	1	8	1	16	2	2008	1000	0	 	1	1	 
11034	1	10	0	16	1	2009	400	0	 	1	1	 
11034	2	10	3	2	3	2009	300	0	 	1	1	 
11038	1	10	2	2	12	2008	2000	0	 	1	1	 
11039	1	8	2	8	5	2007	500	0	 	1	1	 
11040	1	10	1	2	2	2009	2000	0	 	0	 	 
11040	2	10	1	2	2	2008	2000	0	 	1	1	 
11040	3	10	1	2	2	2007	2000	0	 	1	1	 
11042	1	10	2	2	1	2009	2000	0	 	0	 	 
11042	2	8	2	13	5	2008	10000	0	 	0	 	 
11043	1	10	4	19	2	2009	5000	0	 	0	 	 
11043	2	10	0	2	7	2008	3000	0	 	1	0	11
11045	1	10	1	2	2	2009	150	0	 	1	1	 
11045	2	10	1	7	1	2009	1000	0	 	1	1	 
11049	1	2	1	2	10	2008	8000	0	 	0	 	 
21002	1	10	7	2	10	2007	2007	0	 	1	1	 
21002	2	10	7	2	11	2008	200	0	 	1	1	 
21004	1	10	2	2	3	2008	200	0	 	1	1	 
21004	2	10	2	2	1	2009	200	0	 	1	1	 
21006	1	10	1	7	2	2009	500	0	 	1	1	 
21006	2	10	2	2	6	2008	500	0	 	1	1	 
21006	3	8	2	2	11	2007	600	0	 	1	1	 
21010	1	7	2	4	3	2008	5000	22	 	0	 	 
21021	1	7	2	19	4	2007	3000	18	 	1	1	 
21030	1	7	2	19	3	2007	5000	-77	-77	0	 	 
21031	1	10	1	2	12	2008	2000	0	 	0	 	 
21036	1	10	1	19	3	2008	200	0	 	1	1	 
21036	2	10	1	19	5	2008	300	0	 	1	1	 
21036	3	10	1	19	6	2008	300	0	 	1	1	 
21045	1	10	2	2	4	2008	1000	0	 	0	 	 
31006	1	7	2	3	6	2007	5000	10	 	1	1	 
31009	1	10	3	2	6	2008	300	0	 	1	1	 
31009	2	7	1	41	4	2007	5000	12	 	1	1	 
31017	1	10	2	2	4	2006	300	0	 	1	1	 
31017	2	10	2	2	6	2007	200	0	 	1	1	 
31017	3	10	2	2	1	2009	100	0	 	1	1	 
31022	1	6	2	7	1	2008	13000	-77	1400	0	 	 
31029	1	7	2	19	8	2007	2000	18	 	0	 	 
31033	1	8	1	2	1	2008	1000	0	 	1	1	 
31033	2	8	1	2	1	2009	1000	0	 	0	 	 
31036	1	10	1	2	3	2007	3000	0	 	0	 	 
31037	1	7	2	19	12	2007	20000	12	 	0	 	 
31038	1	8	1	2	3	2007	2000	0	 	1	1	 
31039	1	12	2	19	1	2007	3000	-77	250	1	1	 
31046	1	2	2	19	8	2008	5000	-77	524	0	 	 
31047	1	8	1	7	2	2009	300	0	 	1	1	 
31050	1	8	1	16	3	2008	3000	0	 	0	 	 
41001	1	11	2	8	2	2007	200000	18	 	0	 	 
41005	1	13	0	10	2	2009	700	0	 	1	1	 
41012	1	7	1	8	11	2008	6000	18	 	0	 	 
41013	1	2	3	8	1	2009	15000	-77	6480	0	 	 
41014	1	2	1	2	4	2007	10000	-77	1640	0	 	 
41014	2	4	1	2	1	2009	400	0	 	1	1	 
41015	1	7	7	8	2	2007	40000	18	 	0	 	 
41018	1	7	1	4	8	2007	8000	18	 	0	 	 
41020	1	10	3	17	6	2008	1000	0	 	1	1	 
41021	1	2	4	5	6	2008	30000	-77	-77	0	 	 
41022	1	7	1	2	9	2008	7000	18	 	0	 	 
41023	1	2	1	2	11	2007	8000	5	 	0	 	 
41023	2	2	1	2	11	2008	1000	5	 	0	 	 
41024	1	7	17	19	11	2008	30000	15	 	0	 	 
41025	1	10	0	10	4	2008	300	0	 	1	1	 
41025	2	10	0	2	77	2008	700	0	 	1	1	 
41026	1	13	17	2	77	2008	200	0	 	1	1	 
41027	1	2	2	8	12	2008	6000	-77	1950	0	 	 
41027	2	2	2	2	10	2005	7000	-77	2000	1	1	 
41032	1	7	2	8	2	2008	4000	18	 	0	 	 
41035	1	11	1	19	9	2007	45000	-77	12000	0	 	 
41036	1	8	1	10	11	2008	2000	0	 	0	 	 
41037	1	2	2	4	12	2008	2000	-77	480	0	 	 
41037	2	2	1	1	9	2007	3000	-77	1080	1	1	 
41038	1	10	4	10	6	2008	2000	0	 	1	0	11
41040	1	7	1	19	2	2009	30000	16	 	0	 	 
41041	1	7	2	4	3	2008	7000	18	 	0	 	 
41042	1	8	1	6	12	2008	5000	0	 	0	 	 
41043	1	7	1	8	8	2006	50000	18	 	0	 	 
41044	1	2	2	7	8	2007	10000	5	 	0	 	 
41046	1	2	1	4	2	2009	100000	10	 	0	 	 
41050	1	7	2	4	2	2007	9000	18	 	0	 	 
51007	1	8	0	4	1	2008	500	0	 	0	 	 
51008	1	10	1	2	11	2008	400	0	 	0	 	 
51008	2	3	1	77	77	2006	2000	-77	300	0	 	 
51009	1	10	12	2	11	2008	1000	0	 	0	 	 
51018	1	7	2	1	9	2007	7000	18	 	0	 	 
51025	1	11	1	2	10	2007	1800	15	 	1	1	 
51028	1	7	1	2	9	2008	12000	18	 	0	 	 
51034	1	8	1	2	2	2009	300	0	 	1	0	12
51035	1	10	3	4	7	2008	500	0	 	1	1	 
51037	1	10	0	2	1	2009	100	0	 	1	1	 
51039	1	2	2	1	9	2008	6000	-77	1300	0	 	 
51041	1	7	5	4	9	2008	12000	18	 	0	 	 
51042	1	7	2	1	3	2009	5000	15	 	0	 	 
51043	1	10	1	2	3	2009	1000	0	 	0	 	 
51048	1	8	21	2	2	2008	600	0	 	1	0	12
