CHILDCODE	MEMIDR5	MEMMOVR5	LIVHSER5	YRDIEDR5	AGER4	MEMAGER5	MEAGMTR5	MEMSEXR5	RELATER5	GETMOMBIRTH	GETCHILDBIRTH	THSVILR5	BURBRLR5	BRNREGR5	BRNZONR5	RELHHR5	MRTLSTR5	DISABR5	MTHRHHR5	FTHRHHR5	STRT18R5	GRDE18R5	STLL18R5	HSSTRTR5	GRADER5	STILLR5	TYPATDR5	WHYNOTR5	AGEGRDR5
11001	0	 	1	 	18	21	 	1	0	0	0	 	 	 	 	26	0	0	4	1	1	10	0	 	 	 	 	 	 
11001	1	 	1	 	38	41	 	1	1	0	0	 	 	 	 	23	1	1	3	99	1	6	0	 	 	 	 	 	 
11001	2	 	2	 	35	38	 	2	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11001	3	 	1	 	72	75	 	2	6	0	0	 	 	 	 	 	3	0	99	99	0	 	 	 	 	 	 	 	 
11001	4	 	1	 	13	16	 	2	15	0	0	 	 	 	 	26	0	0	99	99	 	 	 	1	6	1	4	 	 
11001	5	 	2	 	25	28	 	2	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11003	0	 	1	 	19	22	 	2	0	0	0	 	 	 	 	23	0	0	2	1	1	38	0	 	 	 	 	 	 
11003	1	 	1	 	56	59	 	1	1	0	0	 	 	 	 	 	1	0	99	99	1	43	0	 	 	 	 	 	 
11003	2	 	1	 	47	50	 	2	1	0	0	 	 	 	 	0	1	0	99	99	1	12	0	 	 	 	 	 	 
11003	3	 	4	 	29	32	 	2	20	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11003	4	 	1	 	23	26	 	2	7	0	0	 	 	 	 	23	0	0	2	1	1	26	0	 	 	 	 	 	 
11003	15	 	1	 	14	17	 	2	7	0	0	 	 	 	 	23	0	0	2	1	 	 	 	1	21	1	4	 	 
11003	16	 	1	 	14	17	 	1	7	0	0	 	 	 	 	23	0	0	2	1	 	 	 	1	9	1	4	 	 
11004	0	 	1	 	18	21	 	1	0	0	0	 	 	 	 	23	0	0	2	99	1	9	0	 	 	 	 	 	 
11004	1	 	3	2006	61	-88	 	1	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11004	2	 	1	 	51	54	 	2	1	0	0	 	 	 	 	 	3	0	99	99	1	7	0	 	 	 	 	 	 
11004	3	 	1	 	35	38	 	1	7	0	0	 	 	 	 	23	1	0	2	99	1	9	0	 	 	 	 	 	 
11004	4	 	2	 	33	36	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11004	5	 	1	 	29	32	 	1	7	0	0	 	 	 	 	23	0	0	2	99	1	7	0	 	 	 	 	 	 
11004	6	 	1	 	28	31	 	1	7	0	0	 	 	 	 	23	0	0	2	99	1	5	0	 	 	 	 	 	 
11004	7	 	1	 	25	28	 	2	7	0	0	 	 	 	 	23	0	0	2	99	1	10	0	 	 	 	 	 	 
11005	0	 	1	 	19	22	 	2	0	0	0	 	 	 	 	23	0	0	2	1	1	34	0	 	 	 	 	 	 
11005	1	 	1	 	42	45	 	1	1	0	0	 	 	 	 	 	1	0	17	99	1	9	0	 	 	 	 	 	 
11005	2	 	1	 	40	43	 	2	1	0	0	 	 	 	 	0	1	0	99	99	1	8	0	 	 	 	 	 	 
11005	15	 	1	 	14	17	 	2	7	0	0	 	 	 	 	23	0	0	2	1	 	 	 	1	9	1	4	 	 
11005	16	 	1	 	6	9	 	2	7	0	0	 	 	 	 	23	 	0	2	1	 	 	 	1	2	1	4	 	 
11005	17	 	1	 	70	73	 	2	5	0	0	 	 	 	 	1	3	0	99	99	0	 	 	 	 	 	 	 	 
11006	0	 	1	 	19	22	 	2	0	0	0	 	 	 	 	0	1	0	98	99	1	38	1	 	 	 	 	 	 
11006	1	 	4	 	39	42	 	2	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	2	 	4	 	31	34	 	1	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	3	 	4	 	23	26	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	4	 	4	 	16	19	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	5	 	4	 	29	32	 	2	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	6	 	4	 	30	33	 	2	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	7	 	1	 	26	29	 	1	25	0	0	 	 	 	 	 	1	0	98	98	1	12	0	 	 	 	 	 	 
11007	0	 	1	 	19	22	 	2	0	0	0	 	 	 	 	15	0	0	99	98	1	38	1	 	 	 	 	 	 
11007	1	 	3	2008	84	-88	 	2	5	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	2	 	1	 	49	52	 	2	13	0	0	 	 	 	 	 	4	0	99	99	1	8	0	 	 	 	 	 	 
11007	3	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	4	 	4	 	33	36	 	2	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	5	 	4	 	42	45	 	2	19	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11008	0	 	1	 	18	21	 	2	0	0	0	 	 	 	 	23	0	0	2	1	1	37	1	 	 	 	 	 	 
11008	1	 	1	 	66	69	 	1	1	0	0	 	 	 	 	 	1	0	99	99	1	6	0	 	 	 	 	 	 
11008	2	 	1	 	45	48	 	2	1	0	0	 	 	 	 	0	1	0	99	99	0	 	 	 	 	 	 	 	 
11008	3	 	2	 	29	32	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11008	4	 	1	 	27	30	 	2	7	0	0	 	 	 	 	23	1	0	2	1	1	10	0	 	 	 	 	 	 
11008	5	 	1	 	25	28	 	2	7	0	0	 	 	 	 	23	0	0	2	1	1	12	0	 	 	 	 	 	 
11008	6	 	1	 	23	26	 	2	7	0	0	 	 	 	 	23	0	0	2	1	1	10	0	 	 	 	 	 	 
11008	7	 	1	 	12	15	 	2	19	0	0	 	 	 	 	19	0	0	8	99	 	 	 	1	8	1	4	 	 
11008	8	 	1	 	32	35	 	2	14	0	0	 	 	 	 	22	0	0	99	99	1	8	0	 	 	 	 	 	 
11008	9	 	1	 	 	1	 	1	15	 	 	 	 	 	 	26	 	0	4	98	 	 	 	 	 	 	 	 	 
11009	0	1	1	 	18	21	 	2	0	0	0	 	 	 	 	16	0	0	98	98	1	43	0	 	 	 	 	 	 
11009	1	0	4	 	73	76	 	1	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	2	0	4	 	59	62	 	2	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	3	0	4	 	46	49	 	1	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	4	0	4	 	39	42	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	5	0	4	 	37	40	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	6	0	4	 	36	39	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	7	0	4	 	31	34	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	8	0	4	 	29	32	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	9	1	1	 	28	31	 	2	7	0	0	 	 	 	 	0	1	0	98	98	1	39	0	 	 	 	 	 	 
11009	10	0	4	 	26	29	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	11	0	4	 	23	26	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
