CHILDCODE	ASSTIDR5	ASSETR5	NUMASSR5	ASACTR5	NMOWNR5	VLASTR5
21037	2	 	 	 	 	 
21037	3	 	 	 	 	 
21038	1	30	3	31	3	-77
21038	2	88	 	 	 	 
21038	3	88	 	 	 	 
21039	1	 	 	 	 	 
21039	2	 	 	 	 	 
21039	3	 	 	 	 	 
21040	1	 	 	 	 	 
21040	2	 	 	 	 	 
21040	3	 	 	 	 	 
21041	1	 	 	 	 	 
21041	2	 	 	 	 	 
21041	3	 	 	 	 	 
21042	1	 	 	 	 	 
21042	2	 	 	 	 	 
21042	3	 	 	 	 	 
21043	1	 	 	 	 	 
21043	2	 	 	 	 	 
21043	3	 	 	 	 	 
21045	1	11	13	3	13	20000
21045	2	17	5	16	0	 
21045	3	88	 	 	 	 
21046	1	 	 	 	 	 
21046	2	 	 	 	 	 
21046	3	 	 	 	 	 
21047	1	30	3	31	3	-77
21047	2	88	 	 	 	 
21047	3	88	 	 	 	 
21048	1	 	 	 	 	 
21048	2	 	 	 	 	 
21048	3	 	 	 	 	 
31001	1	 	 	 	 	 
31001	2	 	 	 	 	 
31001	3	 	 	 	 	 
31002	1	23	3	23	3	14800
31002	2	88	 	 	 	 
31002	3	88	 	 	 	 
31003	1	 	 	 	 	 
31003	2	 	 	 	 	 
31003	3	 	 	 	 	 
31004	1	 	 	 	 	 
31004	2	 	 	 	 	 
31004	3	 	 	 	 	 
31006	1	15	56	12	54	30000
31006	2	88	 	 	 	 
31006	3	88	 	 	 	 
31009	1	26	3	25	3	600
31009	2	88	 	 	 	 
31009	3	88	 	 	 	 
31010	1	 	 	 	 	 
31010	2	 	 	 	 	 
31010	3	 	 	 	 	 
31011	1	 	 	 	 	 
31011	2	 	 	 	 	 
31011	3	 	 	 	 	 
31012	1	 	 	 	 	 
31012	2	 	 	 	 	 
31012	3	 	 	 	 	 
31013	1	 	 	 	 	 
31013	2	 	 	 	 	 
31013	3	 	 	 	 	 
31015	1	 	 	 	 	 
31015	2	 	 	 	 	 
31015	3	 	 	 	 	 
31016	1	 	 	 	 	 
31016	2	 	 	 	 	 
31016	3	 	 	 	 	 
31017	1	 	 	 	 	 
31017	2	 	 	 	 	 
31017	3	 	 	 	 	 
31018	1	 	 	 	 	 
31018	2	 	 	 	 	 
31018	3	 	 	 	 	 
31019	1	13	12	7	12	500
31019	2	25	1	24	0	 
31019	3	12	2	8	2	200
31020	1	13	5	7	5	2900
31020	2	88	 	 	 	 
31020	3	88	 	 	 	 
31022	1	 	 	 	 	 
31022	2	 	 	 	 	 
31022	3	 	 	 	 	 
31023	1	25	1	24	1	-77
31023	2	88	 	 	 	 
31023	3	88	 	 	 	 
31024	1	 	 	 	 	 
31024	2	 	 	 	 	 
31024	3	 	 	 	 	 
31025	1	 	 	 	 	 
31025	2	 	 	 	 	 
31025	3	 	 	 	 	 
31027	1	13	10	7	10	10000
31027	2	25	1	24	0	 
31027	3	88	 	 	 	 
31029	1	 	 	 	 	 
31029	2	 	 	 	 	 
31029	3	 	 	 	 	 
31031	1	16	1	20	0	 
31031	2	88	 	 	 	 
31031	3	88	 	 	 	 
31033	1	 	 	 	 	 
31033	2	 	 	 	 	 
31033	3	 	 	 	 	 
31034	1	 	 	 	 	 
31034	2	 	 	 	 	 
31034	3	 	 	 	 	 
31035	1	 	 	 	 	 
31035	2	 	 	 	 	 
31035	3	 	 	 	 	 
