CHILDCODE	ASSTIDR5	ASSETR5	NUMASSR5	ASACTR5	NMOWNR5	VLASTR5
81012	2	 	 	 	 	 
81012	3	 	 	 	 	 
81013	1	 	 	 	 	 
81013	2	 	 	 	 	 
81013	3	 	 	 	 	 
81014	1	40	1	30	1	1500
81014	2	1	2	11	2	100
81014	3	88	 	 	 	 
81015	1	1	3	11	3	150
81015	2	4	1	11	1	120
81015	3	88	 	 	 	 
81016	1	4	2	11	1	600
81016	2	8	8	11	6	200
81016	3	1	6	11	4	120
81017	1	4	1	11	1	600
81017	2	1	5	11	4	150
81017	3	40	1	30	0	 
81018	1	1	3	11	3	150
81018	2	4	1	11	1	50
81018	3	88	 	 	 	 
81019	1	4	1	11	1	500
81019	2	8	6	11	5	180
81019	3	1	5	11	3	60
81020	1	5	1	11	0	 
81020	2	4	1	11	1	500
81020	3	8	8	11	5	180
81021	1	2	1	24	1	4000
81021	2	1	1	11	1	10
81021	3	4	1	11	1	5
81022	1	4	1	11	1	800
81022	2	3	1	11	1	500
81022	3	1	4	11	4	250
81023	1	4	1	11	1	800
81023	2	1	5	11	5	200
81023	3	88	 	 	 	 
81024	1	1	3	11	3	250
81024	2	4	2	11	2	240
81024	3	8	2	12	2	210
81025	1	5	1	11	1	18000
81025	2	4	2	11	2	300
81025	3	1	5	11	5	250
81026	1	1	4	11	4	150
81026	2	4	1	11	1	50
81026	3	88	 	 	 	 
81027	1	5	1	11	1	8000
81027	2	3	1	11	1	600
81027	3	1	1	11	1	50
81028	1	1	1	11	1	60
81028	2	4	1	11	1	45
81028	3	88	 	 	 	 
81029	1	2	1	24	1	6000
81029	2	1	1	11	1	100
81029	3	4	1	11	1	80
81030	1	1	1	11	1	40
81030	2	4	1	11	1	20
81030	3	88	 	 	 	 
81031	1	4	1	11	1	700
81031	2	1	2	11	1	80
81031	3	40	1	30	1	70
81032	1	5	1	11	0	 
81032	2	4	1	11	1	500
81032	3	8	6	11	4	150
81033	1	4	1	11	1	500
81033	2	8	5	11	3	220
81033	3	1	7	11	4	80
81034	1	1	1	11	1	60
81034	2	4	1	11	1	50
81034	3	88	 	 	 	 
81035	1	13	4	14	4	1000
81035	2	88	 	 	 	 
81035	3	88	 	 	 	 
81036	1	4	2	11	1	100
81036	2	8	2	11	2	90
81036	3	88	 	 	 	 
81037	1	1	3	11	2	200
81037	2	4	1	11	1	120
81037	3	8	3	11	2	120
81038	1	40	2	30	2	700
81038	2	15	2	12	2	200
81038	3	1	2	11	2	100
81039	1	 	 	 	 	 
81039	2	 	 	 	 	 
81039	3	 	 	 	 	 
81040	1	1	2	11	2	120
81040	2	4	1	11	1	50
81040	3	88	 	 	 	 
81041	1	1	2	11	2	150
81041	2	4	1	11	1	50
81041	3	88	 	 	 	 
81043	1	4	2	11	2	1000
81043	2	40	1	30	1	700
81043	3	1	4	11	4	150
81044	1	4	2	11	2	1300
81044	2	1	4	11	4	250
81044	3	88	 	 	 	 
81045	1	1	1	11	1	90
81045	2	88	 	 	 	 
81045	3	88	 	 	 	 
81046	1	 	 	 	 	 
81046	2	 	 	 	 	 
81046	3	 	 	 	 	 
81047	1	1	1	11	1	60
81047	2	4	1	11	1	40
81047	3	88	 	 	 	 
81048	1	4	1	11	1	500
81048	2	8	6	11	6	220
81048	3	1	8	11	4	100
81049	1	4	1	11	1	600
81049	2	40	1	30	1	500
81049	3	15	2	12	2	300
91001	1	 	 	 	 	 
91001	2	 	 	 	 	 
91001	3	 	 	 	 	 
91002	1	1	2	11	2	200
91002	2	4	1	11	1	180
91002	3	8	2	11	2	150
91003	1	 	 	 	 	 
91003	2	 	 	 	 	 
91003	3	 	 	 	 	 
91004	1	 	 	 	 	 
91004	2	 	 	 	 	 
91004	3	 	 	 	 	 
91005	1	 	 	 	 	 
91005	2	 	 	 	 	 
91005	3	 	 	 	 	 
91006	1	 	 	 	 	 
91006	2	 	 	 	 	 
91006	3	 	 	 	 	 
91007	1	4	2	11	2	1600
91007	2	8	8	11	6	800
91007	3	3	1	11	0	 
91008	1	4	1	11	1	100
91008	2	1	1	11	1	90
91008	3	88	 	 	 	 
91010	1	4	1	11	1	600
91010	2	8	5	11	5	250
91010	3	3	1	11	0	 
91011	1	 	 	 	 	 
91011	2	 	 	 	 	 
91011	3	 	 	 	 	 
91012	1	4	2	11	0	 
91012	2	3	2	11	0	 
91012	3	1	10	11	0	 
91013	1	4	1	11	1	600
91013	2	3	1	11	1	500
91013	3	1	5	11	3	100
91014	1	4	1	11	1	80
91014	2	88	 	 	 	 
91014	3	88	 	 	 	 
91015	1	4	1	11	1	200
91015	2	1	3	11	3	80
91015	3	88	 	 	 	 
91016	1	3	1	11	1	500
91016	2	4	2	11	2	240
91016	3	8	3	11	3	230
91017	1	 	 	 	 	 
91017	2	 	 	 	 	 
91017	3	 	 	 	 	 
91018	1	1	2	11	1	160
91018	2	4	1	11	1	120
91018	3	8	2	11	2	100
91019	1	 	 	 	 	 
91019	2	 	 	 	 	 
91019	3	 	 	 	 	 
91020	1	 	 	 	 	 
91020	2	 	 	 	 	 
91020	3	 	 	 	 	 
91021	1	1	2	11	2	400
91021	2	1	3	11	3	200
91021	3	88	 	 	 	 
91022	1	1	5	11	5	200
91022	2	4	1	11	1	130
91022	3	88	 	 	 	 
91023	1	 	 	 	 	 
91023	2	 	 	 	 	 
91023	3	 	 	 	 	 
91024	1	4	1	11	1	800
91024	2	8	8	11	5	350
91024	3	3	1	11	0	 
91025	1	4	1	11	1	600
91025	2	8	8	11	5	400
91025	3	3	1	11	0	 
91026	1	3	1	11	1	400
91026	2	1	5	11	5	200
91026	3	4	3	11	3	150
91027	1	4	2	11	2	800
91027	2	1	6	11	6	400
91027	3	88	 	 	 	 
91028	1	4	1	11	1	140
91028	2	1	1	11	1	100
91028	3	88	 	 	 	 
91029	1	4	2	11	2	600
91029	2	1	6	11	4	250
91029	3	88	 	 	 	 
91030	1	1	5	11	5	100
91030	2	88	 	 	 	 
91030	3	88	 	 	 	 
91031	1	4	2	11	2	1000
91031	2	3	1	11	1	500
91031	3	1	7	11	7	250
91032	1	4	1	11	1	90
91032	2	88	 	 	 	 
91032	3	88	 	 	 	 
91033	1	1	2	11	2	100
91033	2	4	1	11	1	90
91033	3	88	 	 	 	 
91034	1	 	 	 	 	 
91034	2	 	 	 	 	 
91034	3	 	 	 	 	 
91035	1	1	2	11	2	180
91035	2	8	2	11	2	220
91035	3	4	1	11	1	150
91036	1	1	3	11	3	300
91036	2	4	3	11	3	280
91036	3	8	4	11	3	220
91037	1	4	4	11	4	400
91037	2	1	5	11	5	350
91037	3	88	 	 	 	 
91038	1	4	2	11	2	800
91038	2	23	1	23	1	600
91038	3	1	6	11	6	300
91040	1	1	1	11	1	90
91040	2	4	1	11	1	60
91040	3	88	 	 	 	 
91041	1	1	3	11	3	450
91041	2	4	2	11	2	300
91041	3	8	2	11	2	200
91042	1	4	1	11	1	150
91042	2	1	5	11	5	100
91042	3	88	 	 	 	 
91043	1	4	1	11	1	80
91043	2	1	1	11	1	40
91043	3	88	 	 	 	 
91044	1	4	1	11	1	800
91044	2	8	7	11	7	600
91044	3	1	3	11	3	120
91045	1	 	 	 	 	 
91045	2	 	 	 	 	 
91045	3	 	 	 	 	 
91046	1	1	1	11	1	500
91046	2	1	6	11	6	200
91046	3	88	 	 	 	 
91047	1	1	3	11	3	175
91047	2	4	1	11	1	130
91047	3	8	2	11	2	120
91048	1	1	2	11	2	200
91048	2	15	2	8	2	80
91048	3	88	 	 	 	 
91049	1	4	1	11	1	800
91049	2	8	3	11	3	600
91049	3	3	1	11	1	400
91050	1	4	1	11	1	800
91050	2	8	6	11	4	600
91050	3	3	1	11	0	 
101001	1	30	3	31	3	-77
101001	2	30	2	11	2	-77
101001	3	88	 	 	 	 
101003	1	 	 	 	 	 
101003	2	 	 	 	 	 
101003	3	 	 	 	 	 
101004	1	25	1	24	1	80000
101004	2	88	 	 	 	 
101004	3	88	 	 	 	 
101006	1	4	1	11	1	600
101006	2	1	2	11	2	100
101006	3	88	 	 	 	 
101009	1	30	2	23	2	150
101009	2	88	 	 	 	 
101009	3	88	 	 	 	 
101011	1	 	 	 	 	 
101011	2	 	 	 	 	 
101011	3	 	 	 	 	 
101012	1	25	1	24	1	500000
101012	2	88	 	 	 	 
101012	3	88	 	 	 	 
101013	1	 	 	 	 	 
101013	2	 	 	 	 	 
101013	3	 	 	 	 	 
101014	1	30	1	26	1	200000
101014	2	30	2	31	2	200000
101014	3	88	 	 	 	 
101016	1	25	2	24	2	1600000
101016	2	30	2	26	2	50000
101016	3	88	 	 	 	 
101017	1	30	1	31	1	800000
101017	2	88	 	 	 	 
101017	3	88	 	 	 	 
101018	1	15	8	12	8	500
101018	2	88	 	 	 	 
101018	3	88	 	 	 	 
101019	1	 	 	 	 	 
101019	2	 	 	 	 	 
101019	3	 	 	 	 	 
101020	1	13	10	7	10	500
101020	2	88	 	 	 	 
101020	3	88	 	 	 	 
101021	1	15	17	12	17	1000
101021	2	88	 	 	 	 
101021	3	88	 	 	 	 
101022	1	15	8	12	8	1000
101022	2	88	 	 	 	 
101022	3	88	 	 	 	 
101024	1	15	3	12	3	1050
101024	2	88	 	 	 	 
101024	3	88	 	 	 	 
101025	1	 	 	 	 	 
101025	2	 	 	 	 	 
101025	3	 	 	 	 	 
101027	1	30	4	26	4	2000
101027	2	88	 	 	 	 
101027	3	88	 	 	 	 
101028	1	 	 	 	 	 
101028	2	 	 	 	 	 
101028	3	 	 	 	 	 
101029	1	 	 	 	 	 
101029	2	 	 	 	 	 
101029	3	 	 	 	 	 
101030	1	 	 	 	 	 
101030	2	 	 	 	 	 
101030	3	 	 	 	 	 
101031	1	 	 	 	 	 
101031	2	 	 	 	 	 
101031	3	 	 	 	 	 
101032	1	30	2	26	2	200
101032	2	88	 	 	 	 
101032	3	88	 	 	 	 
101035	1	25	1	24	1	500000
101035	2	30	1	26	1	100000
101035	3	88	 	 	 	 
101036	1	 	 	 	 	 
101036	2	 	 	 	 	 
101036	3	 	 	 	 	 
101037	1	15	3	23	3	130
101037	2	88	 	 	 	 
101037	3	88	 	 	 	 
101040	1	 	 	 	 	 
101040	2	 	 	 	 	 
101040	3	 	 	 	 	 
101041	1	 	 	 	 	 
101041	2	 	 	 	 	 
101041	3	 	 	 	 	 
101044	1	 	 	 	 	 
101044	2	 	 	 	 	 
101044	3	 	 	 	 	 
101045	1	11	4	14	4	300
101045	2	15	4	12	4	150
101045	3	88	 	 	 	 
101046	1	24	1	23	1	-77
101046	2	88	 	 	 	 
101046	3	88	 	 	 	 
101048	1	 	 	 	 	 
101048	2	 	 	 	 	 
101048	3	 	 	 	 	 
111002	1	 	 	 	 	 
111002	2	 	 	 	 	 
111002	3	 	 	 	 	 
111003	1	1	8	11	8	700
111003	2	4	2	11	2	1000
111003	3	88	 	 	 	 
111004	1	1	10	11	10	1000
111004	2	4	2	11	2	900
111004	3	5	1	11	1	400
111005	1	1	5	11	5	500
111005	2	4	1	11	1	300
111005	3	88	 	 	 	 
111006	1	1	4	11	4	600
111006	2	88	 	 	 	 
111006	3	88	 	 	 	 
111008	1	1	4	11	4	600
111008	2	4	2	11	2	800
111008	3	88	 	 	 	 
111009	1	1	8	11	8	800
111009	2	4	3	11	3	900
111009	3	13	1	26	1	500
111011	1	 	 	 	 	 
111011	2	 	 	 	 	 
111011	3	 	 	 	 	 
111012	1	4	2	11	2	1000
111012	2	1	8	11	8	800
111012	3	88	 	 	 	 
111013	1	1	10	11	10	800
111013	2	4	2	11	2	1000
111013	3	88	 	 	 	 
111015	1	 	 	 	 	 
111015	2	 	 	 	 	 
111015	3	 	 	 	 	 
111016	1	4	1	11	1	850
111016	2	1	7	11	7	720
111016	3	88	 	 	 	 
111017	1	4	1	11	1	400
111017	2	4	5	11	5	250
111017	3	88	 	 	 	 
111018	1	1	1	11	1	110
111018	2	13	1	26	1	250
111018	3	88	 	 	 	 
111019	1	1	6	11	6	550
111019	2	4	1	11	1	600
111019	3	88	 	 	 	 
111020	1	1	8	11	8	8
111020	2	4	2	11	2	2
111020	3	88	 	 	 	 
111021	1	9	3	2	3	3000
111021	2	4	3	11	3	1500
111021	3	1	9	11	9	1300
111022	1	 	 	 	 	 
111022	2	 	 	 	 	 
111022	3	 	 	 	 	 
111023	1	 	 	 	 	 
111023	2	 	 	 	 	 
111023	3	 	 	 	 	 
111024	1	 	 	 	 	 
111024	2	 	 	 	 	 
111024	3	 	 	 	 	 
111025	1	1	10	11	10	1000
111025	2	4	2	11	2	1200
111025	3	88	 	 	 	 
111027	1	 	 	 	 	 
111027	2	 	 	 	 	 
111027	3	 	 	 	 	 
111028	1	4	2	11	2	1000
111028	2	1	4	11	4	600
111028	3	3	1	11	1	400
111030	1	1	8	11	8	1000
111030	2	4	1	11	1	400
111030	3	88	 	 	 	 
111031	1	2	1	24	1	20000
111031	2	4	4	11	4	1600
111031	3	1	8	11	8	1500
111032	1	4	4	11	4	2800
111032	2	1	8	11	8	1100
111032	3	3	1	11	1	500
111034	1	4	12	11	12	820
111034	2	1	9	11	9	810
111034	3	88	 	 	 	 
111035	1	 	 	 	 	 
111035	2	 	 	 	 	 
111035	3	 	 	 	 	 
111036	1	2	11	11	11	1000
111036	2	4	2	11	2	1200
111036	3	88	 	 	 	 
111037	1	25	1	24	1	500000
111037	2	23	2	23	2	22000
111037	3	4	3	11	3	1725
111040	1	1	8	11	8	500
111040	2	4	1	11	1	600
111040	3	88	 	 	 	 
111041	1	13	2	26	0	 
111041	2	88	 	 	 	 
111041	3	88	 	 	 	 
111042	1	1	3	11	3	300
111042	2	88	 	 	 	 
111042	3	88	 	 	 	 
111043	1	1	10	11	10	950
111043	2	4	2	11	2	1200
111043	3	88	 	 	 	 
111044	1	12	2	8	2	100
111044	2	88	 	 	 	 
111044	3	88	 	 	 	 
111045	1	30	5	5	5	1200
111045	2	88	 	 	 	 
111045	3	88	 	 	 	 
111047	1	4	1	11	1	450
111047	2	1	4	11	4	300
111047	3	88	 	 	 	 
111048	1	1	8	88	8	700
111048	2	4	2	88	2	900
111048	3	88	 	 	 	 
121002	1	4	1	11	1	400
121002	2	1	6	11	6	220
121002	3	8	1	11	1	500
121003	1	1	4	11	4	600
121003	2	88	 	 	 	 
121003	3	88	 	 	 	 
121005	1	1	3	11	3	550
121005	2	2	1	24	1	2500
121005	3	88	 	 	 	 
121007	1	30	1	24	1	80000
121007	2	88	 	 	 	 
121007	3	88	 	 	 	 
121008	1	13	3	14	3	120
121008	2	88	 	 	 	 
121008	3	88	 	 	 	 
121009	1	4	1	11	1	320
121009	2	8	2	11	2	850
121009	3	9	9	2	9	10000
121010	1	23	3	23	3	2000
121010	2	88	 	 	 	 
121010	3	88	 	 	 	 
121011	1	4	1	11	1	200
121011	2	1	3	11	1	200
121011	3	88	 	 	 	 
121012	1	1	4	11	4	300
121012	2	88	 	 	 	 
121012	3	88	 	 	 	 
121013	1	23	3	23	3	1500
121013	2	88	 	 	 	 
121013	3	88	 	 	 	 
121014	1	13	12	7	11	560
121014	2	88	 	 	 	 
121014	3	88	 	 	 	 
121015	1	1	4	11	4	340
121015	2	88	 	 	 	 
121015	3	88	 	 	 	 
121018	1	4	6	11	6	100
121018	2	1	5	11	4	225
121018	3	88	 	 	 	 
121020	1	25	1	24	1	500000
121020	2	23	2	23	2	1200
121020	3	88	 	 	 	 
121021	1	 	 	 	 	 
121021	2	 	 	 	 	 
121021	3	 	 	 	 	 
121022	1	1	3	11	3	130
121022	2	88	 	 	 	 
121022	3	88	 	 	 	 
121023	1	1	6	11	6	520
121023	2	5	1	11	1	2000
121023	3	88	 	 	 	 
121024	1	 	 	 	 	 
121024	2	 	 	 	 	 
121024	3	 	 	 	 	 
121026	1	23	2	23	2	1300
121026	2	88	 	 	 	 
121026	3	88	 	 	 	 
121027	1	 	 	 	 	 
121027	2	 	 	 	 	 
121027	3	 	 	 	 	 
121028	1	4	12	11	12	500
121028	2	1	10	11	10	800
121028	3	88	 	 	 	 
121030	1	24	2	11	2	830
121030	2	25	1	23	1	-77
121030	3	88	 	 	 	 
121031	1	23	2	23	2	1000
121031	2	88	 	 	 	 
121031	3	88	 	 	 	 
121034	1	23	1	23	1	700
121034	2	88	 	 	 	 
121034	3	88	 	 	 	 
121037	1	9	8	2	8	4000
121037	2	23	2	23	2	1580
121037	3	88	 	 	 	 
121038	1	30	10	26	10	10000
121038	2	88	 	 	 	 
121038	3	88	 	 	 	 
121039	1	4	1	11	1	150
121039	2	1	9	11	9	850
121039	3	88	 	 	 	 
121040	1	 	 	 	 	 
121040	2	 	 	 	 	 
121040	3	 	 	 	 	 
121043	1	1	3	11	3	120
121043	2	8	1	11	1	300
121043	3	88	 	 	 	 
121046	1	1	4	11	4	700
121046	2	88	 	 	 	 
121046	3	88	 	 	 	 
121047	1	25	1	24	1	110000
121047	2	17	4	24	4	2500
121047	3	88	 	 	 	 
121050	1	 	 	 	 	 
121050	2	 	 	 	 	 
121050	3	 	 	 	 	 
121053	1	23	2	23	2	300
121053	2	88	 	 	 	 
121053	3	88	 	 	 	 
121054	1	 	 	 	 	 
121054	2	 	 	 	 	 
121054	3	 	 	 	 	 
121055	1	1	4	11	4	1500
121055	2	88	 	 	 	 
121055	3	88	 	 	 	 
121057	1	1	4	11	4	500
121057	2	88	 	 	 	 
121057	3	88	 	 	 	 
131001	1	 	 	 	 	 
131001	2	 	 	 	 	 
131001	3	 	 	 	 	 
131002	1	15	28	12	28	1400
131002	2	88	 	 	 	 
131002	3	88	 	 	 	 
131004	1	15	7	12	7	340
131004	2	88	 	 	 	 
131004	3	88	 	 	 	 
131005	1	23	12	23	12	2000
131005	2	24	1	23	1	5000
131005	3	88	 	 	 	 
131006	1	 	 	 	 	 
131006	2	 	 	 	 	 
131006	3	 	 	 	 	 
131007	1	15	23	12	23	2400
131007	2	88	 	 	 	 
131007	3	88	 	 	 	 
131008	1	 	 	 	 	 
131008	2	 	 	 	 	 
131008	3	 	 	 	 	 
131009	1	15	78	23	78	50000
131009	2	88	 	 	 	 
131009	3	88	 	 	 	 
131010	1	 	 	 	 	 
131010	2	 	 	 	 	 
131010	3	 	 	 	 	 
131011	1	15	22	23	22	1800
131011	2	88	 	 	 	 
131011	3	88	 	 	 	 
131012	1	8	3	11	3	60
131012	2	1	2	11	2	130
131012	3	88	 	 	 	 
131013	1	 	 	 	 	 
131013	2	 	 	 	 	 
131013	3	 	 	 	 	 
131015	1	4	1	11	1	80
131015	2	1	5	11	5	260
131015	3	8	3	11	3	110
131016	1	1	4	11	4	200
131016	2	88	 	 	 	 
131016	3	88	 	 	 	 
131017	1	25	1	24	1	300000
131017	2	88	 	 	 	 
131017	3	88	 	 	 	 
131018	1	 	 	 	 	 
131018	2	 	 	 	 	 
131018	3	 	 	 	 	 
131020	1	13	3	7	3	350
131020	2	4	1	11	1	120
131020	3	8	4	11	4	140
131021	1	 	 	 	 	 
131021	2	 	 	 	 	 
131021	3	 	 	 	 	 
131022	1	23	5	23	5	42
131022	2	15	102	23	102	12000
131022	3	88	 	 	 	 
131023	1	15	24	12	24	5000
131023	2	88	 	 	 	 
131023	3	88	 	 	 	 
131024	1	 	 	 	 	 
131024	2	 	 	 	 	 
131024	3	 	 	 	 	 
131025	1	23	13	23	13	1230
131025	2	88	 	 	 	 
131025	3	88	 	 	 	 
131026	1	23	6	23	6	200
131026	2	88	 	 	 	 
131026	3	88	 	 	 	 
131027	1	 	 	 	 	 
131027	2	 	 	 	 	 
131027	3	 	 	 	 	 
131028	1	23	8	23	8	580
131028	2	24	1	24	1	6000
131028	3	88	 	 	 	 
131029	1	25	1	24	1	80000
131029	2	8	3	11	3	180
131029	3	88	 	 	 	 
131030	1	23	8	23	8	500
131030	2	88	 	 	 	 
131030	3	88	 	 	 	 
131031	1	1	8	11	8	200
131031	2	88	 	 	 	 
131031	3	88	 	 	 	 
131032	1	 	 	 	 	 
131032	2	 	 	 	 	 
131032	3	 	 	 	 	 
131033	1	23	5	23	5	200
131033	2	88	 	 	 	 
131033	3	88	 	 	 	 
131034	1	 	 	 	 	 
131034	2	 	 	 	 	 
131034	3	 	 	 	 	 
131035	1	2	1	24	1	400
131035	2	88	 	 	 	 
131035	3	88	 	 	 	 
131036	1	25	1	24	1	700000
131036	2	88	 	 	 	 
131036	3	88	 	 	 	 
131037	1	23	3	23	3	300
131037	2	88	 	 	 	 
131037	3	88	 	 	 	 
131038	1	1	8	11	8	350
131038	2	13	10	7	10	1200
131038	3	4	1	11	1	280
131039	1	1	5	11	5	200
131039	2	4	2	11	2	100
131039	3	6	1	11	1	60
131041	1	15	81	23	81	16000
131041	2	1	8	11	8	300
131041	3	88	 	 	 	 
131042	1	15	40	12	40	3000
131042	2	88	 	 	 	 
131042	3	88	 	 	 	 
131043	1	30	4	12	4	430000
131043	2	24	2	23	2	-77
131043	3	88	 	 	 	 
131044	1	 	 	 	 	 
131044	2	 	 	 	 	 
131044	3	 	 	 	 	 
131045	1	 	 	 	 	 
131045	2	 	 	 	 	 
131045	3	 	 	 	 	 
131046	1	17	100	24	100	30000
131046	2	25	1	24	1	25000
131046	3	88	 	 	 	 
131047	1	23	8	23	8	800
131047	2	25	1	24	1	6500
131047	3	88	 	 	 	 
131048	1	 	 	 	 	 
131048	2	 	 	 	 	 
131048	3	 	 	 	 	 
131049	1	2	1	24	1	8000
131049	2	88	 	 	 	 
131049	3	88	 	 	 	 
131050	1	23	50	23	50	2500
131050	2	24	1	23	1	3000
131050	3	88	 	 	 	 
141001	1	14	1	9	1	9000
141001	2	88	 	 	 	 
141001	3	88	 	 	 	 
141004	1	30	4	31	4	300000
141004	2	88	 	 	 	 
141004	3	88	 	 	 	 
141005	1	 	 	 	 	 
141005	2	 	 	 	 	 
141005	3	 	 	 	 	 
141006	1	15	1	11	1	15
141006	2	12	1	8	1	80
141006	3	30	8	31	8	600000
141007	1	 	 	 	 	 
141007	2	 	 	 	 	 
141007	3	 	 	 	 	 
141008	1	 	 	 	 	 
141008	2	 	 	 	 	 
141008	3	 	 	 	 	 
141009	1	21	2	21	2	6000
141009	2	88	 	 	 	 
141009	3	88	 	 	 	 
141010	1	23	10	23	10	1000
141010	2	24	1	23	1	50
141010	3	88	 	 	 	 
141011	1	 	 	 	 	 
141011	2	 	 	 	 	 
141011	3	 	 	 	 	 
141012	1	 	 	 	 	 
141012	2	 	 	 	 	 
141012	3	 	 	 	 	 
141013	1	23	1	23	1	9000
141013	2	15	8	12	8	560
141013	3	30	1	31	1	150000
141014	1	30	1	31	1	-77
141014	2	88	 	 	 	 
141014	3	88	 	 	 	 
141015	1	 	 	 	 	 
141015	2	 	 	 	 	 
141015	3	 	 	 	 	 
141016	1	30	1	31	1	-77
141016	2	88	 	 	 	 
141016	3	88	 	 	 	 
141017	1	 	 	 	 	 
141017	2	 	 	 	 	 
141017	3	 	 	 	 	 
141018	1	16	1	20	0	 
141018	2	88	 	 	 	 
141018	3	88	 	 	 	 
141019	1	30	4	31	4	400000
141019	2	88	 	 	 	 
141019	3	88	 	 	 	 
141020	1	14	5	9	5	3000
141020	2	30	1	9	1	3000
141020	3	30	400	9	400	2000
141022	1	11	5	7	5	260
141022	2	13	2	4	2	90
141022	3	88	 	 	 	 
141023	1	 	 	 	 	 
141023	2	 	 	 	 	 
141023	3	 	 	 	 	 
141024	1	25	1	24	1	70000
141024	2	23	3	23	3	2500
141024	3	88	 	 	 	 
141025	1	 	 	 	 	 
141025	2	 	 	 	 	 
141025	3	 	 	 	 	 
141026	1	25	1	24	1	90000
141026	2	13	1	26	1	1200
141026	3	88	 	 	 	 
141028	1	23	1	23	1	1500
141028	2	88	 	 	 	 
141028	3	88	 	 	 	 
141029	1	 	 	 	 	 
141029	2	 	 	 	 	 
141029	3	 	 	 	 	 
141030	1	 	 	 	 	 
141030	2	 	 	 	 	 
141030	3	 	 	 	 	 
141031	1	 	 	 	 	 
141031	2	 	 	 	 	 
141031	3	 	 	 	 	 
141032	1	23	25	23	25	50000
141032	2	24	1	23	1	700
141032	3	88	 	 	 	 
141033	1	30	8	31	8	400000
141033	2	88	 	 	 	 
141033	3	88	 	 	 	 
141034	1	 	 	 	 	 
141034	2	 	 	 	 	 
141034	3	 	 	 	 	 
141035	1	17	4	23	4	100
141035	2	88	 	 	 	 
141035	3	88	 	 	 	 
141036	1	30	4	31	4	200000
141036	2	88	 	 	 	 
141036	3	88	 	 	 	 
141038	1	30	1	24	1	8000000
141038	2	13	100	26	100	2500
141038	3	30	3	31	3	550000
141039	1	21	1	21	1	5000
141039	2	15	1	12	1	3000
141039	3	88	 	 	 	 
141040	1	30	1	20	0	 
141040	2	30	1	23	1	40
141040	3	88	 	 	 	 
141041	1	13	5	7	5	120
141041	2	30	7	23	7	17
141041	3	30	1	23	1	30
141042	1	17	1	16	1	-77
141042	2	88	 	 	 	 
141042	3	88	 	 	 	 
141044	1	4	1	11	1	150
141044	2	1	7	11	7	200
141044	3	88	 	 	 	 
141045	1	13	1	7	1	500
141045	2	8	1	11	1	30
141045	3	23	2	12	2	1200
141046	1	 	 	 	 	 
141046	2	 	 	 	 	 
141046	3	 	 	 	 	 
141047	1	13	4	26	4	200
141047	2	88	 	 	 	 
141047	3	88	 	 	 	 
141048	1	30	1	31	1	200000
141048	2	88	 	 	 	 
141048	3	88	 	 	 	 
141049	1	30	10	31	10	300000
141049	2	15	5	12	5	1500
141049	3	88	 	 	 	 
141050	1	 	 	 	 	 
141050	2	 	 	 	 	 
141050	3	 	 	 	 	 
151001	1	1	11	11	11	680
151001	2	23	5	23	5	1500
151001	3	88	 	 	 	 
151002	1	 	 	 	 	 
151002	2	 	 	 	 	 
151002	3	 	 	 	 	 
151004	1	1	5	11	5	500
151004	2	88	 	 	 	 
151004	3	88	 	 	 	 
151005	1	 	 	 	 	 
151005	2	 	 	 	 	 
151005	3	 	 	 	 	 
151008	1	1	6	11	6	600
151008	2	88	 	 	 	 
151008	3	88	 	 	 	 
151009	1	1	7	11	7	400
151009	2	88	 	 	 	 
151009	3	88	 	 	 	 
151010	1	1	5	11	5	320
151010	2	88	 	 	 	 
151010	3	88	 	 	 	 
151011	1	 	 	 	 	 
151011	2	 	 	 	 	 
151011	3	 	 	 	 	 
151012	1	1	8	11	8	640
151012	2	25	1	24	0	 
151012	3	88	 	 	 	 
151014	1	1	6	11	6	300
151014	2	25	1	24	1	4000
151014	3	88	 	 	 	 
151015	1	1	5	11	5	300
151015	2	88	 	 	 	 
151015	3	88	 	 	 	 
151016	1	1	7	11	7	350
151016	2	88	 	 	 	 
151016	3	88	 	 	 	 
151018	1	1	7	11	7	400
151018	2	88	 	 	 	 
151018	3	88	 	 	 	 
151019	1	 	 	 	 	 
151019	2	 	 	 	 	 
151019	3	 	 	 	 	 
151020	1	1	8	11	8	200
151020	2	30	1	31	1	70000
151020	3	88	 	 	 	 
151021	1	1	7	11	7	750
151021	2	88	 	 	 	 
151021	3	88	 	 	 	 
151023	1	1	6	11	6	320
151023	2	2	1	24	1	3000
151023	3	88	 	 	 	 
151024	1	1	6	11	6	300
151024	2	13	3	23	3	1100
151024	3	30	4	31	4	70000
151025	1	1	7	11	7	180
151025	2	25	1	24	1	35000
151025	3	88	 	 	 	 
151026	1	1	7	11	7	500
151026	2	23	2	23	2	1300
151026	3	25	1	24	0	 
151027	1	1	7	11	7	340
151027	2	88	 	 	 	 
151027	3	88	 	 	 	 
151028	1	1	6	11	6	150
151028	2	25	1	24	1	20000
151028	3	88	 	 	 	 
151029	1	88	 	 	 	 
151029	2	88	 	 	 	 
151029	3	88	 	 	 	 
151030	1	1	3	11	1	50
151030	2	88	 	 	 	 
151030	3	88	 	 	 	 
151031	1	1	3	11	3	240
151031	2	88	 	 	 	 
151031	3	88	 	 	 	 
