CHILDCODE	SPPGIDR5	SUPKNDR5	SUPWHOR5	SUPSRTR5	SUPENDR5	SUPFRQR5	SUPRIDR5
41028	1	7	6	1999	9999	5	70
41032	1	12	38	2000	9999	1	6
41035	1	12	54	2008	9999	1	17
41035	2	5	40	2007	9999	8	1
41036	1	28	15	2006	2008	8	80
41036	2	28	36	2005	9999	9	70
41037	1	28	38	2000	2008	9	3
41037	2	28	15	2005	2007	1	15
41038	1	7	6	2003	9999	4	70
41040	1	7	6	1997	9999	7	70
41040	2	8	6	1998	2009	5	1
41041	1	5	13	2008	9999	8	70
41043	1	17	55	1999	9999	5	70
41045	1	7	6	2000	9999	7	80
41047	1	7	6	2002	9999	4	70
41049	1	7	6	1998	9999	7	1
41050	1	28	6	2001	9999	7	70
41050	2	5	13	2007	9999	9	2
51001	1	3	39	2003	9999	8	80
51001	2	4	39	2003	9999	8	80
51004	1	20	25	2008	9999	7	80
51006	1	7	6	2002	9999	2	70
51007	1	5	13	2006	2008	2	0
51008	1	4	39	1997	9999	8	80
51008	2	12	15	2009	2009	77	80
51008	3	22	25	2008	2008	9	70
51008	4	3	39	1997	9999	9	80
51013	1	25	39	1997	9999	8	80
51015	1	7	15	-77	9999	7	0
51016	1	4	39	2002	9999	8	80
51016	2	3	39	2002	9999	8	80
51017	1	4	39	1999	9999	9	80
51017	2	3	39	1999	9999	8	80
51018	1	20	25	2008	9999	7	80
51021	1	25	39	1997	9999	8	80
51022	1	25	39	1998	9999	9	80
51024	1	25	39	2004	9999	9	1
51025	1	1	5	1994	9999	6	70
51025	2	3	39	1999	9999	9	70
51025	3	4	39	1999	9999	8	70
51025	4	28	5	2008	9999	1	70
51025	5	19	36	2008	9999	8	16
51026	1	4	39	1997	9999	8	80
51026	2	3	39	1997	9999	8	80
51027	1	20	25	2008	9999	7	2
51028	1	3	39	2004	9999	8	80
51028	2	4	39	2004	9999	8	80
51028	3	14	25	2006	2008	1	1
51028	4	25	39	1999	9999	8	4
51028	5	19	36	2008	9999	8	3
51030	1	7	6	2007	9999	5	0
51033	1	22	5	2008	2008	9	70
51034	1	25	39	1989	9999	8	80
51034	2	5	13	2007	9999	8	0
51035	1	8	6	2007	9999	5	0
51036	1	22	25	2008	2008	7	80
51036	2	1	5	2006	9999	2	70
51037	1	7	6	2004	9999	7	70
51037	2	17	6	2004	9999	7	70
51039	1	22	25	2008	2009	7	70
51041	1	3	39	2004	9999	8	80
51041	2	4	39	2004	9999	8	80
51042	1	3	39	2003	9999	8	80
51042	2	4	39	2003	9999	8	80
51042	5	1	5	2003	9999	5	70
51043	1	4	39	2000	9999	8	70
51043	2	3	39	2000	9999	8	70
51046	1	25	39	1998	9999	9	80
51050	1	25	39	1999	9999	8	70
61008	1	5	13	2001	9999	4	1
61008	2	1	5	2000	2007	2	70
61009	1	17	6	2000	9999	2	70
61009	2	5	13	2000	9999	1	1
61009	3	1	5	2001	9999	2	1
61010	1	1	5	2003	9999	2	80
61011	1	1	5	2000	9999	2	3
61012	1	1	5	2003	9999	2	70
61012	2	5	13	2001	9999	1	1
61015	1	5	13	2002	9999	1	1
61016	1	1	1	1971	9999	1	1
61019	1	1	5	2006	9999	2	9
61023	1	5	13	2007	9999	1	0
61023	2	17	6	-77	9999	9	70
61026	1	1	5	1980	9999	6	1
61026	2	5	13	2005	9999	1	2
61027	1	1	5	2000	2006	1	70
61029	1	1	5	1995	9999	7	2
61029	2	25	38	2001	9999	6	80
61029	3	17	6	1998	9999	1	2
61029	4	5	13	2001	9999	1	2
61031	1	1	5	2002	9999	2	2
61033	1	1	5	1995	9999	1	1
61033	2	5	13	2005	9999	1	2
61033	3	17	6	2004	9999	1	80
61034	1	1	5	2001	9999	1	70
61038	1	1	5	1975	9999	6	1
61038	2	5	13	1994	9999	1	1
61039	1	1	5	1998	9999	1	70
61043	1	1	5	2003	9999	2	70
61043	2	5	13	2008	9999	1	2
61044	1	1	5	2003	9999	2	1
61046	1	1	1	1982	9999	1	1
61046	2	5	13	2006	9999	1	2
61046	3	17	6	2007	9999	7	80
61049	1	5	13	2004	9999	2	1
61050	1	1	5	1983	9999	1	1
61050	2	17	6	-77	2007	2	1
61050	3	5	13	1988	9999	1	2
61052	1	1	5	2003	9999	1	1
61052	2	5	13	1998	9999	1	1
61054	1	31	15	2005	9999	2	3
61054	2	17	6	1999	9999	9	80
61054	3	1	5	2004	9999	7	70
61054	4	3	39	1987	9999	6	7
61056	1	5	13	2000	9999	9	1
61058	1	1	5	2004	9999	2	18
61059	1	1	5	2003	9999	6	2
61059	2	10	5	2009	9999	1	80
61059	3	17	6	2005	9999	5	80
71001	1	1	5	2000	9999	2	1
71003	1	2	5	1999	9999	7	2
71003	2	7	6	1999	9999	7	80
71003	3	11	6	1999	9999	7	80
71003	4	14	5	1987	9999	1	2
71003	5	17	6	1990	9999	7	80
71007	1	1	5	2007	9999	1	0
71009	1	17	6	-77	9999	1	70
71009	2	20	11	2007	2007	2	1
71010	1	7	6	2007	9999	8	0
71012	1	1	5	2004	9999	2	1
71013	1	1	5	2000	9999	2	1
71014	1	5	13	2004	9999	1	0
71014	2	8	6	2003	9999	1	0
71014	3	7	6	2003	9999	1	0
71014	4	17	6	2003	9999	1	70
71015	1	1	5	2002	9999	2	1
71016	1	1	5	1996	9999	2	1
71018	1	5	13	2008	9999	1	80
71018	2	8	6	2003	9999	5	0
71018	3	1	5	2008	2008	9	0
71019	1	17	6	2000	9999	6	70
71021	1	1	5	2001	9999	2	1
71022	1	1	5	1990	9999	6	70
71022	2	5	13	2007	9999	1	2
71024	1	1	5	1979	9999	1	1
71024	2	5	13	2002	9999	1	1
71024	3	17	6	1999	9999	2	70
71025	1	1	5	1995	9999	2	1
71026	1	7	6	2002	9999	5	1
71026	2	8	6	1997	9999	7	1
71026	3	11	6	2002	9999	5	1
71028	1	1	5	1998	9999	1	1
71029	1	6	77	2001	9999	1	15
71029	2	17	6	2001	9999	5	70
71029	3	20	15	2004	9999	1	70
