CHILDCODE	LANDIDR5	LNDTYPR5	TOTLNDR5	UNTLNDR5	PRIRRR5	TOTLIVR5	UNTLIVR5
11001	1	N	 	 	 	 	 
11001	2	Y	0	 	 	24	17
11003	1	Y	0	 	 	16	17
11003	2	N	 	 	 	 	 
11004	1	N	 	 	 	 	 
11004	2	Y	0	 	 	16	16
11005	1	N	 	 	 	 	 
11005	2	Y	0	 	 	250	17
11006	1	N	 	 	 	 	 
11006	2	Y	0	 	 	175	17
11007	1	N	 	 	 	 	 
11007	2	Y	0	 	 	16	17
11008	1	N	 	 	 	 	 
11008	2	Y	0	 	 	42	17
11009	1	N	 	 	 	 	 
11009	2	Y	0	 	 	21	17
11010	1	N	 	 	 	 	 
11010	2	Y	0	 	 	30	17
11012	1	Y	0	 	 	105	17
11012	2	N	 	 	 	 	 
11014	1	N	 	 	 	 	 
11014	2	Y	0	 	 	12	17
11015	1	N	 	 	 	 	 
11015	2	Y	0	 	 	20	17
11016	1	N	 	 	 	 	 
11016	2	Y	0	 	 	200	17
11017	1	N	 	 	 	 	 
11017	2	Y	0	 	 	20	17
11018	1	Y	0	 	 	200	17
11018	2	N	 	 	 	 	 
11019	1	Y	0	 	 	47	17
11019	2	N	 	 	 	 	 
11021	1	N	 	 	 	 	 
11021	2	Y	0	 	 	15	17
11022	1	Y	0	 	 	21	17
11022	2	N	 	 	 	 	 
11024	1	N	 	 	 	 	 
11024	2	Y	0	 	 	36	17
11025	1	N	 	 	 	 	 
11025	2	Y	0	 	 	20	17
11026	1	N	 	 	 	 	 
11026	2	Y	0	 	 	30	17
11027	1	Y	0	 	 	16	17
11027	2	N	 	 	 	 	 
11028	1	N	 	 	 	 	 
11028	2	Y	0	 	 	12	17
11029	1	N	 	 	 	 	 
11029	2	Y	0	 	 	31	17
11030	1	N	 	 	 	 	 
11030	2	Y	0	 	 	12	17
11031	1	N	 	 	 	 	 
11031	2	Y	0	 	 	38	17
11032	1	N	 	 	 	 	 
11032	2	Y	0	 	 	32	17
11033	1	N	 	 	 	 	 
11033	2	Y	0	 	 	20	17
11034	1	N	 	 	 	 	 
11034	2	Y	0	 	 	12	17
11037	1	N	 	 	 	 	 
11037	2	Y	0	 	 	12	17
11038	1	N	 	 	 	 	 
11038	2	Y	0	 	 	15	17
11039	1	N	 	 	 	 	 
11039	2	Y	0	 	 	6	17
11040	1	Y	0	 	 	20	17
11040	2	N	 	 	 	 	 
11041	1	Y	0	 	 	22	17
11041	2	N	 	 	 	 	 
11042	1	Y	0	 	 	150	17
11042	2	N	 	 	 	 	 
11043	1	Y	0	 	 	52	17
11043	2	N	 	 	 	 	 
11045	1	N	 	 	 	 	 
11045	2	Y	0	 	 	12	17
11046	1	N	 	 	 	 	 
11046	2	Y	0	 	 	8	17
11048	1	Y	0	 	 	24	17
11048	2	N	 	 	 	 	 
11049	1	N	 	 	 	 	 
11049	2	Y	0	 	 	30	17
11050	1	Y	0	 	 	250	17
11050	2	N	 	 	 	 	 
21002	1	N	 	 	 	 	 
21002	2	Y	0	 	 	20	17
21003	1	N	 	 	 	 	 
21003	2	Y	0	 	 	40	17
21004	1	N	 	 	 	 	 
21004	2	Y	0	 	 	120	17
21005	1	N	 	 	 	 	 
21005	2	Y	0	 	 	60	17
21006	1	N	 	 	 	 	 
21006	2	Y	0	 	 	48	17
21007	1	Y	0	 	 	250	17
21007	2	N	 	 	 	 	 
21008	1	N	 	 	 	 	 
21008	2	Y	0	 	 	27	17
21010	1	Y	0	 	 	194	17
21010	2	N	 	 	 	 	 
21011	1	Y	0	 	 	170	17
21011	2	N	 	 	 	 	 
21012	1	N	 	 	 	 	 
21012	2	Y	0	 	 	7	17
21013	1	N	 	 	 	 	 
21013	2	Y	0	 	 	200	17
21014	1	N	 	 	 	 	 
21014	2	Y	0	 	 	20	17
21015	1	N	 	 	 	 	 
21015	2	Y	0	 	 	25	17
21016	1	N	 	 	 	 	 
21016	2	Y	0	 	 	20	17
21017	1	N	 	 	 	 	 
21017	2	Y	0	 	 	20	17
21018	1	Y	0	 	 	49	17
21018	2	N	 	 	 	 	 
21019	1	N	 	 	 	 	 
21019	2	Y	0	 	 	12	17
21020	1	N	 	 	 	 	 
21020	2	Y	0	 	 	21	17
21021	1	N	 	 	 	 	 
21021	2	Y	0	 	 	18	17
21022	1	N	 	 	 	 	 
21022	2	Y	0	 	 	22	17
21023	1	N	 	 	 	 	 
21023	2	Y	0	 	 	40	17
21025	1	Y	0	 	 	200	17
21025	2	N	 	 	 	 	 
21030	1	Y	0	 	 	70	17
21030	2	N	 	 	 	 	 
21031	1	N	 	 	 	 	 
21031	2	Y	0	 	 	15	17
21032	1	N	 	 	 	 	 
21032	2	Y	1	4	5	54	17
21033	1	N	 	 	 	 	 
21033	2	Y	0	 	 	36	17
21035	1	N	 	 	 	 	 
21035	2	Y	0	 	 	39	17
21036	1	N	 	 	 	 	 
21036	2	Y	0	 	 	25	17
21037	1	N	 	 	 	 	 
21037	2	Y	0	 	 	24	17
21038	1	Y	0	 	 	150	17
21038	2	N	 	 	 	 	 
21039	1	N	 	 	 	 	 
21039	2	Y	0	 	 	16	17
21040	1	N	 	 	 	 	 
21040	2	Y	0	 	 	22	17
21041	1	N	 	 	 	 	 
21041	2	Y	0	 	 	16	17
21042	1	Y	0	 	 	70	17
21042	2	N	 	 	 	 	 
21043	1	Y	0	 	 	70	17
21043	2	N	 	 	 	 	 
21045	1	N	 	 	 	 	 
21045	2	Y	0	 	 	40	17
21046	1	N	 	 	 	 	 
21046	2	Y	0	 	 	40	17
21047	1	Y	0	 	 	250	17
21047	2	N	 	 	 	 	 
21048	1	N	 	 	 	 	 
21048	2	Y	0	 	 	40	17
31001	1	N	 	 	 	 	 
31001	2	Y	0	 	 	24	17
31002	1	Y	0	 	 	16	17
31002	2	Y	0	 	 	28	17
31003	1	N	 	 	 	 	 
31003	2	Y	0	 	 	20	17
31004	1	Y	0	 	 	72	17
31004	2	Y	0	 	 	20	17
31006	1	Y	1	4	5	0	 
31006	2	Y	0	 	 	120	17
31009	1	N	 	 	 	 	 
31009	2	Y	0	 	 	9	17
31010	1	N	 	 	 	 	 
31010	2	Y	0	 	 	60	17
31011	1	N	 	 	 	 	 
31011	2	Y	0	 	 	12	17
31012	1	N	 	 	 	 	 
31012	2	Y	0	 	 	16	17
31013	1	Y	0	 	 	25	17
31013	2	N	 	 	 	 	 
31015	1	N	 	 	 	 	 
31015	2	Y	0	 	 	20	17
31016	1	N	 	 	 	 	 
31016	2	Y	0	 	 	25	17
31017	1	N	 	 	 	 	 
31017	2	Y	0	 	 	24	17
31018	1	N	 	 	 	 	 
31018	2	Y	0	 	 	40	17
31019	1	N	 	 	 	 	 
31019	2	Y	0	 	 	20	17
31020	1	N	 	 	 	 	 
31020	2	Y	0	 	 	24	17
31022	1	Y	0	 	 	48	17
31022	2	N	 	 	 	 	 
31023	1	Y	0	 	 	47	17
31023	2	N	 	 	 	 	 
31024	1	N	 	 	 	 	 
31024	2	Y	0	 	 	16	17
31025	1	N	 	 	 	 	 
31025	2	Y	0	 	 	20	17
31027	1	N	 	 	 	 	 
31027	2	Y	0	 	 	16	17
31029	1	N	 	 	 	 	 
31029	2	Y	0	 	 	25	17
31031	1	N	 	 	 	 	 
31031	2	Y	0	 	 	24	17
31033	1	N	 	 	 	 	 
31033	2	Y	0	 	 	30	17
31034	1	N	 	 	 	 	 
31034	2	Y	0	 	 	18	17
31035	1	Y	0	 	 	81	17
31035	2	N	 	 	 	 	 
31036	1	N	 	 	 	 	 
31036	2	Y	0	 	 	16	17
31037	1	Y	0	 	 	47	17
31037	2	Y	0	 	 	16	17
31038	1	N	 	 	 	 	 
31038	2	Y	0	 	 	25	17
31039	1	N	 	 	 	 	 
31039	2	Y	0	 	 	36	17
31042	1	N	 	 	 	 	 
31042	2	Y	0	 	 	60	17
31043	1	Y	0	 	 	72	17
31043	2	Y	0	 	 	27	17
31044	1	N	 	 	 	 	 
31044	2	Y	0	 	 	16	17
31045	1	N	 	 	 	 	 
31045	2	Y	0	 	 	12	17
31046	1	N	 	 	 	 	 
31046	2	Y	0	 	 	9	17
31047	1	N	 	 	 	 	 
31047	2	Y	0	 	 	24	17
31050	1	N	 	 	 	 	 
31050	2	Y	0	 	 	20	17
41001	1	Y	3	4	5	500	17
41001	2	N	 	 	 	 	 
41002	1	Y	0	 	 	120	17
41002	2	Y	1	4	5	-88	 
41003	1	N	 	 	 	 	 
41003	2	Y	0	 	 	12	17
41005	1	Y	2	4	5	0	 
41005	2	Y	0	 	 	16	17
41006	1	N	 	 	 	 	 
41006	2	Y	10000	15	5	200	17
41007	1	Y	2	4	5	120	17
41007	2	N	 	 	 	 	 
41008	1	Y	2	4	5	300	17
41008	2	N	 	 	 	 	 
41009	1	N	 	 	 	 	 
41009	2	Y	0	 	 	20	17
41010	1	N	 	 	 	 	 
41010	2	N	 	 	 	 	 
41011	1	N	 	 	 	 	 
41011	2	Y	0	 	 	150	17
41012	1	Y	1.5	4	5	350	17
41012	2	N	 	 	 	 	 
41013	1	Y	0	 	 	150	17
41013	2	N	 	 	 	 	 
41014	1	Y	0	 	 	200	17
41014	2	N	 	 	 	 	 
41015	1	Y	2	4	5	350	17
41015	2	N	 	 	 	 	 
41016	1	N	 	 	 	 	 
