placeid	anmlfdid	item	price	account
PE01C01	1	RES	8	1
PE01C01	2	CARNERO	6	1
PE01C01	3	HUEVOS	.200000002980232	2
PE01C02	1	POLLO	5.5	1
PE01C02	2	PESCADO	2	1
PE01C02	3	RES	7	1
PE02C01	1	LECHE	1	3
PE02C01	2	PESCADO	3	1
PE02C01	3	POLLO	6	1
PE02C02	1	POLLO	5	1
PE02C02	2	RES	7	1
PE02C02	3	PESCADO	2	1
PE02C03	1	CARNE DE CERDO	5	1
PE02C03	2	PESCADO	3	1
PE02C03	3	POLLO	6	1
PE02C04	1	POLLO	5	1
PE02C04	2	PESCADO	3	1
PE02C04	3	RES	5	1
PE03C01	1	CERDO	6	1
PE03C01	2	GALLINA	15	2
PE03C01	3	HUEVOS	.25	2
PE03C04	1	CERDO	5	1
PE03C04	2	GALLINA	15	2
PE03C04	3	QUESO	15	2
PE03C05	1	GALLINA	14	2
PE03C05	2	CERDO	5	1
PE03C05	3	HUEVOS	.25	2
PE03C06	1	GALLINA	12	2
PE03C06	2	CERDO	6	1
PE03C06	3	QUESO	5	2
PE03C07	1	GALLINA	10	2
PE03C07	2	CERDO	6	1
PE03C07	3	QUESO	5	1
PE03C08	1	CARNE DE CERDO	6	1
PE03C08	2	CARNE DE RES	7	1
PE03C08	3	CARNE DE POLLO	12	1
PE03C09	1	GALLINA	12	2
PE03C09	2	CERDO	5	1
PE03C09	3	QUESO	3	2
PE04C01	1	RES	5	1
PE04C01	2	GALLINA	6	1
PE04C01	3	CUY	12	2
PE04C02	1	  RES	5	1
PE04C02	2	CERDO	5	1
PE04C02	3	CARNERO	5	1
PE04C03	1	CUY	5	2
PE04C03	2	CERDO	5	1
PE04C03	3	RES	5	1
PE04C04	1	GALLINA	10	1
PE04C04	2	CUY	6	2
PE04C04	3	RES	5	1
PE04C05	1	CUY	5	2
PE04C05	2	GALLINA	7	1
PE04C05	3	CERDO	5	1
PE04C06	1	CERDO	6	1
PE04C06	2	OVEJA	5	1
PE04C06	3	CUY	5	1
PE04C08	1	CUY	10	2
PE04C08	2	GALLINA	6.5	1
PE04C08	3	RES	5	1
PE04C10	1	CUY	5	2
PE04C10	2	GALLINA	6	1
PE04C10	3	RES	5	1
PE05C01	1	CERDO	6	2
PE05C01	2	GALLINA	14	2
PE05C01	3	POLLO	7	1
PE05C03	1	GALLINA	15	1
PE05C03	2	CUY	10	2
PE05C03	3	HUEVOS	.300000011920929	2
PE05C04	1	GALLINA	8	1
PE05C04	2	RES	7	1
PE05C04	3	CERDO	6	1
PE05C05	1	RES	6	1
PE05C05	2	POLLO	6	1
PE05C05	3	CERDO	7	1
PE05C07	1	GALLINA	15	2
PE05C07	2	HUEVOS	.400000005960464	2
PE05C07	3	CARNE DE RES	6	1
