placeid	rsid	module	section	ageres	sexres	capac	livres
PE02C02	11	1	1	39	1	8	39
PE02C02	12	1	1	24	1	8	24
PE02C03	1	1	1	53	1	1	53
PE02C03	2	1	1	44	1	1	44
PE02C03	3	1	1	36	2	1	36
PE02C03	4	1	1	67	1	8	54
PE02C03	5	1	1	25	1	8	25
PE02C03	6	1	1	38	1	8	38
PE02C03	7	1	1	31	2	8	5
PE02C03	8	1	1	28	2	8	15
PE02C03	9	1	1	74	2	8	65
PE02C03	10	1	1	57	1	8	33
PE02C03	11	1	5	29	2	7	29
PE02C03	12	1	5	33	1	7	33
PE02C03	13	1	5	62	2	7	10
PE02C03	14	1	5	41	1	7	2
PE02C03	15	1	5	17	1	7	17
PE02C03	16	1	5	20	1	7	20
PE02C03	17	2	1	41	2	4	7
PE02C03	18	2	1	36	2	4	4
PE02C03	19	2	1	53	2	4	12
PE02C03	20	2	3	46	1	4	5
PE02C03	21	2	4	28	2	3	3
PE02C03	22	2	5	31	2	8	12
PE02C03	88	 	 	 	 	 	 
PE02C04	1	1	1	57	1	1	57
PE02C04	2	1	1	58	1	1	58
PE02C04	3	1	1	25	2	6	25
PE02C04	4	1	1	48	2	6	48
PE02C04	5	1	1	40	2	6	40
PE02C04	6	1	1	36	1	8	36
PE02C04	7	2	1	57	1	4	30
PE02C04	8	2	3	40	2	4	17
PE02C04	9	2	2	21	2	4	21
PE02C04	10	2	4	35	1	3	6
PE02C04	11	2	4	27	2	3	27
PE02C04	12	2	4	49	2	3	12
PE02C04	13	1	5	55	2	7	55
PE02C04	14	1	5	57	2	7	20
PE02C04	15	1	5	41	1	7	2
PE02C04	16	1	5	20	1	7	20
PE02C04	17	1	5	62	2	7	10
PE02C04	18	1	5	17	1	7	17
PE02C04	19	2	5	31	2	2	31
PE02C04	20	1	1	52	2	8	52
PE02C04	21	1	1	48	2	8	24
PE02C04	22	1	1	42	2	8	42
PE02C04	23	1	1	23	2	8	23
PE02C04	24	1	1	35	2	8	35
PE02C04	88	 	 	 	 	 	 
PE03C01	1	1	1	50	1	1	50
PE03C01	2	1	1	46	1	2	46
PE03C01	3	1	1	54	1	2	50
PE03C01	4	1	1	26	1	1	26
PE03C01	5	1	1	46	2	1	46
PE03C01	6	1	1	62	1	8	62
PE03C01	7	1	1	45	1	8	45
PE03C01	8	1	1	51	2	8	51
PE03C01	9	2	1	29	2	4	29
PE03C01	10	2	3	46	1	4	1
PE03C01	11	2	3	45	1	4	18
PE03C01	12	2	4	25	1	3	3
PE03C01	13	2	4	29	1	3	6
PE03C01	14	1	5	28	2	7	28
PE03C01	15	1	5	34	2	7	34
PE03C01	16	1	5	44	2	7	44
PE03C01	17	1	5	26	2	7	26
PE03C01	18	1	5	23	2	7	23
PE03C01	19	2	3	38	2	2	15
PE03C01	88	 	 	 	 	 	 
PE03C04	1	1	1	42	1	1	18
PE03C04	2	1	1	58	1	2	58
PE03C04	3	1	1	42	1	1	42
PE03C04	4	2	5	36	1	1	36
PE03C04	5	2	3	42	2	4	42
PE03C04	6	2	1	44	2	4	20
PE03C04	7	1	1	38	2	1	38
PE03C04	8	1	1	22	2	1	22
PE03C04	9	1	1	49	2	1	49
PE03C04	10	1	1	52	1	8	52
PE03C04	11	1	1	39	2	8	39
PE03C04	12	1	1	55	2	8	55
PE03C04	13	2	4	6	2	3	0
PE03C04	14	1	5	31	1	7	31
