placeid	rsid	module	section	ageres	sexres	capac	livres
PE06C01	24	1	5	19	1	7	19
PE06C01	25	1	5	21	2	7	21
PE06C01	26	2	5	42	2	8	42
PE06C02	1	1	1	45	1	2	12
PE06C02	2	1	1	51	2	2	31
PE06C02	3	1	3	48	1	2	4
PE06C02	4	1	1	24	1	2	22
PE06C02	5	1	1	48	1	2	48
PE06C02	6	1	4	52	1	2	21
PE06C02	7	1	4	49	1	2	33
PE06C02	8	1	4	61	1	2	42
PE06C02	9	1	1	43	2	8	28
PE06C02	10	1	3	49	2	2	32
PE06C02	11	2	1	35	1	4	1
PE06C02	12	2	2	28	2	8	28
PE06C02	13	2	2	38	2	8	32
PE06C02	14	2	2	39	2	8	39
PE06C02	15	2	3	40	2	4	8
PE06C02	16	2	4	28	2	3	28
PE06C02	17	2	4	25	1	3	25
PE06C02	18	2	4	46	2	3	21
PE06C02	19	2	5	42	2	8	42
PE06C02	20	1	5	29	1	7	29
PE06C02	22	1	5	46	1	7	7
PE06C02	23	1	5	35	1	7	8
PE06C02	24	1	5	22	1	7	3
PE06C02	25	1	5	40	1	7	3
PE06C02	26	1	5	41	1	7	30
PE06C02	27	1	3	36	1	8	36
PE06C02	28	2	5	-77	2	99	-77
PE06C02	29	2	5	-77	2	99	-77
PE06C02	30	2	5	-77	1	99	-77
PE06C02	212	1	5	41	2	3	8
PE07C01	1	1	1	45	1	1	15
PE07C01	2	1	1	31	2	2	2
PE07C01	3	2	5	29	1	2	1
PE07C01	4	1	1	53	1	4	16
PE07C01	5	1	5	55	1	4	4
PE07C01	6	1	3	32	2	1	12
PE07C01	7	1	5	65	2	7	8
PE07C01	8	1	3	32	1	8	32
PE07C01	9	1	5	30	1	7	6
PE07C01	10	2	2	50	2	8	17
PE07C01	11	1	3	43	2	4	11
PE07C01	12	2	3	45	2	8	7
PE07C01	13	1	3	49	1	4	8
PE07C01	14	1	5	45	2	3	4
PE07C01	15	2	4	26	2	3	2
PE07C01	16	2	4	42	2	3	3
PE07C01	17	1	5	53	1	7	9
PE07C02	1	1	1	53	1	1	2
PE07C02	2	2	4	53	2	3	23
PE07C02	3	2	4	52	2	3	52
PE07C02	4	1	5	30	2	3	30
PE07C02	5	1	5	40	2	8	30
PE07C02	6	2	2	30	2	8	30
PE07C02	7	1	1	39	2	1	13
PE07C02	8	1	2	22	2	1	6
PE07C02	9	1	3	53	2	4	7
PE07C02	10	1	5	54	1	7	20
PE07C02	11	1	5	42	1	1	4
PE07C02	12	1	4	58	1	4	23
PE07C02	13	1	5	40	1	1	12
PE07C02	14	1	5	40	1	8	8
PE07C02	15	1	5	24	2	3	1
PE07C02	16	1	5	36	2	3	3
PE07C02	17	1	5	40	2	7	35
PE07C02	18	1	5	46	2	7	46
PE07C03	1	1	1	59	1	1	53
PE07C03	2	1	1	39	2	2	4
PE07C03	3	2	3	40	2	4	8
PE07C03	4	2	2	34	2	8	0
PE07C03	5	2	2	39	2	8	3
PE07C03	6	1	1	47	2	6	4
PE07C03	7	1	3	44	2	4	14
PE07C03	8	2	1	33	2	4	4
PE07C03	9	2	1	40	2	4	3
PE07C03	10	1	5	48	2	7	19
PE07C03	11	1	3	42	2	3	3
PE07C03	12	2	5	29	1	2	5
PE07C03	13	2	2	40	2	2	12
PE07C03	14	2	3	41	1	4	9
PE07C03	15	1	5	40	2	7	1
PE07C03	16	1	5	32	1	7	9
PE07C03	17	1	5	33	2	7	10
PE07C04	1	1	1	53	2	8	25
PE07C04	2	1	1	51	2	6	2
PE07C04	3	1	1	58	2	8	10
PE07C04	4	2	4	49	1	2	5
PE07C04	5	1	5	48	2	7	19
PE07C04	6	2	4	52	2	3	26
PE07C04	7	2	4	47	1	2	24
PE07C04	8	1	4	35	1	2	25
PE07C04	9	2	2	41	2	8	1
PE07C04	10	2	2	35	2	8	1
PE07C04	11	1	5	50	2	3	5
PE07C04	12	2	4	42	1	2	10
PE07C04	13	2	1	34	2	4	12
PE07C04	14	1	3	51	1	1	7
PE07C04	15	2	2	25	2	3	1
PE07C04	16	2	1	29	1	2	5
PE07C04	17	2	1	44	2	4	14
PE07C04	18	1	5	27	2	7	3
PE07C04	19	2	5	29	2	2	1
PE07C04	20	1	3	40	2	2	12
PE07C04	21	1	5	-88	88	7	88
PE07C04	22	1	5	33	2	7	10
PE08C01	1	2	3	47	1	4	12
PE08C01	2	1	1	50	2	3	17
PE08C01	3	2	4	40	1	2	5
PE08C01	4	1	5	62	2	7	32
PE08C01	5	1	5	33	2	7	32
PE08C01	6	1	5	49	2	7	25
PE08C01	7	1	5	30	2	7	1
PE08C01	8	1	5	23	1	7	7
PE08C01	9	2	3	36	2	4	13
PE08C01	10	1	2	56	2	6	12
PE08C01	11	2	5	39	2	8	2
PE08C01	12	2	5	45	1	2	1
PE08C01	13	2	3	39	2	4	5
PE08C01	14	2	5	45	1	2	3
PE08C01	15	1	1	40	2	6	13
PE08C01	16	1	2	55	1	2	1
PE08C01	17	2	5	28	2	2	0
PE08C01	18	1	1	61	1	1	35
PE08C01	19	1	5	-79	1	7	-79
PE08C01	20	1	5	-79	1	7	-79
PE08C01	88	 	 	 	 	 	 
PE08C02	2	1	1	46	2	8	41
PE08C02	3	1	1	42	2	8	42
PE08C02	4	2	4	54	2	3	12
PE08C02	5	2	4	36	2	3	5
PE08C02	6	2	1	54	1	4	10
PE08C02	7	2	2	54	2	1	26
PE08C02	8	2	2	44	2	8	23
PE08C02	9	1	3	25	2	8	25
PE08C02	10	2	2	43	2	8	12
PE08C02	11	2	2	52	2	1	19
PE08C02	12	1	13	36	2	8	16
PE08C02	13	1	5	33	1	7	10
PE08C02	14	1	5	52	2	7	36
PE08C02	15	1	5	26	2	3	2
PE09C01	1	1	5	21	2	7	3
PE09C01	2	2	5	27	2	1	4
PE09C01	3	1	1	45	2	1	10
PE09C01	4	1	1	39	2	1	39
PE09C01	5	1	2	45	1	1	0
PE09C01	6	1	1	69	1	1	69
PE09C01	7	1	3	51	2	4	51
PE09C01	8	2	3	36	2	4	7
PE09C01	9	1	5	34	2	8	36
PE09C01	10	2	1	48	2	4	23
PE09C01	11	1	3	36	2	3	36
PE09C01	12	1	5	59	1	1	59
PE09C01	13	1	5	27	2	3	3
PE09C01	14	1	5	30	2	3	0
PE09C01	15	1	5	68	1	7	0
PE09C01	16	1	3	40	1	8	8
PE09C01	17	1	3	32	2	4	4
PE09C01	88	 	 	 	 	 	 
PE09C02	1	1	1	27	2	3	3
PE09C02	2	1	1	45	1	4	2
PE09C02	3	1	5	76	2	7	77
PE09C02	4	1	5	41	2	7	41
PE09C02	5	1	3	68	2	8	68
PE09C02	6	1	2	36	1	1	36
PE09C02	7	1	3	60	1	1	60
PE09C02	8	1	1	43	2	4	22
PE09C02	9	1	5	52	1	7	25
PE09C03	1	1	1	52	1	1	52
PE09C03	2	1	1	48	1	8	25
PE09C03	3	1	1	35	1	8	10
PE09C03	4	1	3	30	1	3	4
PE09C03	5	2	4	24	2	8	24
PE09C03	6	1	1	37	1	1	37
PE09C03	7	1	4	46	1	4	16
PE09C03	8	1	5	84	2	7	84
PE09C03	9	1	5	50	2	7	50
PE09C03	10	1	5	46	1	7	30
PE09C03	11	1	5	36	2	7	6
PE09C03	12	1	5	57	2	7	50
PE09C03	13	1	5	36	1	3	8
PE09C03	14	2	3	26	2	4	2
PE09C03	15	2	3	-79	2	4	3
PE09C05	1	1	1	26	2	3	1
PE09C05	2	1	2	75	1	8	75
PE09C05	3	1	1	34	1	1	34
PE09C05	4	1	5	23	2	7	3
PE09C05	5	1	3	45	1	1	45
PE09C05	6	1	1	42	1	1	42
PE09C05	7	1	5	25	2	7	25
PE09C05	8	2	5	47	1	1	47
PE09C05	9	2	1	39	2	4	2
PE09C05	10	1	5	60	1	7	15
PE09C05	11	1	5	52	1	7	25
PE09C05	12	1	5	41	2	7	6
PE09C06	1	1	5	34	2	3	0
PE09C06	2	1	5	39	2	7	10
PE09C06	3	1	1	39	1	8	1
PE09C06	4	1	1	31	1	1	31
PE09C06	5	1	1	49	1	1	49
PE09C06	6	1	5	33	1	8	33
PE09C06	7	1	3	20	2	4	1
PE09C06	8	1	3	44	1	4	3
PE09C06	9	1	5	36	2	7	36
PE09C06	10	1	5	36	1	3	8
PE09C07	1	1	1	44	1	1	44
PE09C07	2	1	1	18	1	8	18
PE09C07	3	1	1	48	1	8	48
PE09C07	4	1	3	34	1	3	0
PE09C07	5	2	1	31	1	1	31
PE09C07	6	1	4	20	2	4	1
PE09C07	7	2	1	28	1	4	2
PE09C07	8	1	5	52	2	8	52
PE09C07	9	 	 	 	 	 	 
PE09C07	10	1	5	39	1	7	-77
PE09C07	11	1	5	36	2	7	36
PE09C08	1	1	3	36	1	3	8
PE09C08	2	1	1	42	1	1	4
PE09C08	3	1	5	13	1	7	15
PE09C08	4	1	1	39	1	5	7
PE09C08	5	1	2	42	1	1	1
PE09C08	6	1	5	60	1	7	15
PE09C08	7	1	5	52	1	7	25
PE09C08	8	1	5	41	2	7	6
PE09C08	9	1	1	33	1	2	0
PE09C08	10	2	3	40	2	4	2
PE09C08	11	2	3	39	2	4	12
PE09C08	88	 	 	 	 	 	 
PE09C09	1	1	3	35	2	3	1
PE09C09	2	1	3	61	2	8	61
PE09C09	3	1	1	73	1	8	73
PE09C09	4	1	3	41	2	8	41
PE09C09	5	1	5	59	2	7	59
PE09C09	6	1	1	50	1	8	50
PE09C09	7	1	1	86	1	8	86
PE09C09	8	1	4	49	1	1	49
PE09C09	9	1	4	30	1	3	1
PE09C09	10	2	4	50	2	3	6
PE09C09	11	1	3	38	1	1	38
PE09C09	12	2	3	-79	2	4	1
PE09C09	14	1	5	60	1	7	15
PE09C09	15	1	5	52	1	7	25
PE09C09	16	1	5	41	2	7	6
PE09C09	17	2	3	41	1	4	9
PE09C09	88	 	 	 	 	 	 
PE10C01	1	1	3	43	2	4	8
PE10C01	2	1	1	60	2	8	60
PE10C01	3	1	5	25	1	7	1
PE10C01	4	1	5	79	2	7	10
PE10C01	5	1	4	45	2	3	12
PE10C01	6	2	1	34	2	8	5
PE10C01	7	2	1	28	2	8	4
PE10C01	8	1	5	22	2	3	0
PE10C01	10	1	1	46	1	1	1
PE10C01	11	2	5	32	1	2	2
PE10C01	12	2	5	24	1	2	1
PE10C01	13	2	3	45	2	4	22
PE10C03	1	1	1	46	1	1	20
PE10C03	2	1	1	53	2	8	9
PE10C03	3	1	2	63	2	7	10
PE10C03	4	2	3	41	2	4	12
PE10C03	5	1	5	64	2	8	37
PE10C03	6	2	2	32	2	4	4
PE10C03	7	2	2	19	2	8	19
PE10C03	8	1	3	36	1	7	6
PE10C03	9	1	2	50	1	8	20
PE10C03	10	1	3	52	1	3	52
PE10C03	11	1	3	52	2	3	25
PE10C03	12	2	4	32	2	3	6
PE10C03	13	2	4	50	1	3	7
PE10C03	14	2	4	50	1	3	12
PE10C03	15	2	4	27	1	8	4
PE10C03	16	2	2	35	2	8	10
PE10C03	17	2	5	32	1	2	3
PE10C03	18	2	2	45	2	4	22
PE10C03	19	2	2	51	2	4	6
PE10C03	20	2	5	24	1	2	1
PE10C04	1	2	1	45	2	4	22
PE10C04	2	1	1	59	2	1	2
PE10C04	3	1	1	51	1	1	3
PE10C04	4	1	1	41	2	7	24
PE10C04	5	2	5	32	1	2	3
PE10C04	6	1	1	42	2	6	25
PE10C04	7	2	1	32	2	8	6
PE10C04	8	1	5	25	1	7	10
PE10C04	9	1	5	-79	2	7	10
PE10C04	10	1	5	26	2	7	9
PE10C04	11	1	4	51	2	4	6
PE10C04	12	2	3	37	2	4	6
PE10C04	13	2	4	52	2	2	25
PE10C04	14	2	4	32	2	2	6
PE10C04	15	2	5	24	1	2	1
PE10C05	1	1	1	40	1	1	40
PE10C05	2	2	4	52	2	3	25
PE10C05	3	2	4	32	2	3	6
PE10C05	4	2	4	50	1	3	7
PE10C05	5	2	4	50	1	3	12
PE10C05	6	2	4	27	1	2	4
PE10C05	7	1	1	35	1	8	16
PE10C05	8	1	1	45	1	8	17
PE10C05	9	1	1	36	2	1	36
PE10C05	10	2	2	26	2	8	0
PE10C05	11	1	5	46	2	7	30
PE10C05	12	1	5	48	2	7	20
PE10C05	13	2	1	45	2	4	22
PE10C05	14	2	1	51	2	4	99
PE10C05	15	2	5	32	1	2	3
PE10C05	16	1	5	52	1	3	25
PE10C05	17	2	1	38	2	4	8
PE11C01	1	1	5	17	2	7	17
PE11C01	2	1	5	23	2	7	23
PE11C01	3	1	1	40	1	1	40
PE11C01	4	1	4	36	2	8	36
PE11C01	5	1	4	65	2	8	65
PE11C01	6	1	4	50	2	8	50
PE11C01	7	1	3	24	2	3	0
PE11C01	8	1	3	29	2	2	0
PE11C01	9	2	5	48	1	1	48
PE11C01	10	2	5	66	1	1	66
PE11C01	11	1	3	52	1	8	52
PE11C01	12	1	2	40	1	1	40
PE11C01	13	2	1	41	1	4	41
PE11C01	14	1	2	30	1	1	30
PE11C01	15	2	1	36	2	4	2
PE11C01	16	1	5	45	2	7	45
PE11C01	17	2	4	44	1	3	44
PE11C01	18	2	1	38	1	4	39
PE11C02	1	2	3	44	1	4	6
PE11C02	2	1	1	60	1	1	60
PE11C02	3	1	5	33	1	1	33
PE11C02	4	1	1	27	1	1	27
PE11C02	5	 	2	35	2	4	5
PE11C02	6	1	5	47	1	8	1
PE11C02	7	1	5	31	2	7	1
PE11C02	8	1	1	53	1	1	16
PE11C02	9	1	3	30	2	3	2
PE11C02	10	1	5	22	2	7	22
PE11C02	11	1	5	46	1	8	46
PE11C02	12	1	5	27	1	3	27
PE11C03	1	2	3	38	1	4	2
PE11C03	2	2	3	29	2	4	3
PE11C03	3	2	4	38	2	3	0
PE11C03	4	1	1	41	1	2	0
PE11C03	5	1	1	38	2	2	0
PE11C03	6	1	3	26	2	4	26
PE11C03	7	1	2	54	1	8	54
PE11C03	8	1	1	20	1	8	20
PE11C03	9	1	4	22	1	7	22
PE11C03	10	1	2	40	1	1	40
PE11C04	1	1	3	29	1	4	4
PE11C04	2	2	1	32	2	2	7
PE11C04	3	1	3	38	2	3	0
PE11C04	4	1	1	64	1	1	64
PE11C04	5	1	5	56	1	8	96
PE11C04	6	1	1	43	1	8	43
PE11C04	7	1	4	30	1	8	30
PE11C04	8	1	3	42	1	8	42
PE11C04	9	1	1	56	1	8	56
PE11C04	10	1	4	24	1	8	20
PE11C04	11	1	5	22	2	7	22
PE11C04	12	1	5	46	1	8	46
PE11C04	13	2	4	27	1	3	27
PE11C05	1	2	3	36	2	4	5
PE11C05	2	1	3	43	2	4	12
PE11C05	3	1	3	27	1	3	27
PE11C05	4	1	3	42	1	4	4
PE11C05	5	1	2	71	1	8	71
PE11C05	6	1	5	22	2	7	22
PE11C05	7	1	5	27	1	8	27
PE11C05	8	1	1	38	1	8	38
PE11C05	9	1	1	45	1	8	45
PE11C05	10	1	1	39	1	8	39
PE11C05	11	1	5	46	1	8	46
PE11C05	12	1	2	54	2	1	30
PE11C05	13	1	5	58	1	1	58
PE11C05	14	2	5	44	1	1	44
PE11C05	15	1	5	41	1	4	41
PE11C06	1	1	1	57	1	1	57
PE11C06	2	1	1	36	1	1	36
PE11C06	3	1	1	45	1	8	45
PE11C06	4	2	3	42	1	1	42
PE11C06	5	1	5	21	2	7	21
PE11C06	6	2	1	23	2	4	1
PE11C06	7	2	1	37	1	4	4
PE11C06	8	2	1	47	2	4	9
PE11C06	9	1	4	30	2	3	2
PE11C06	10	1	5	47	1	8	1
PE11C06	11	1	5	22	2	7	22
PE11C06	12	1	5	46	1	8	46
PE11C06	13	1	 	27	1	3	27
PE11C07	1	1	1	51	2	7	15
PE11C07	2	1	4	10	1	8	10
PE11C07	3	1	4	17	1	8	17
PE11C07	4	1	4	13	1	8	13
PE11C07	5	2	1	33	2	8	6
PE11C07	6	1	1	57	1	1	50
PE11C07	7	2	3	25	2	4	2
PE11C07	8	2	4	40	1	3	4
PE11C07	9	1	2	60	2	8	54
PE11C07	10	1	5	46	1	8	15
PE12C02	1	1	1	61	1	1	31
PE12C02	2	1	1	60	1	1	31
PE12C02	3	1	1	54	1	1	30
PE12C02	4	1	1	42	2	1	22
PE12C02	5	1	1	50	2	1	31
PE12C02	6	1	1	54	2	1	30
PE12C02	7	1	1	48	1	1	28
PE12C02	8	1	1	50	1	1	31
PE12C02	9	1	1	44	2	1	22
PE12C02	10	1	1	55	2	1	30
PE12C02	11	1	5	26	2	7	6
PE12C02	12	1	5	25	2	7	25
PE12C02	13	1	5	29	2	7	1
PE12C02	14	1	5	17	1	7	17
PE12C02	15	1	5	36	2	7	10
PE12C02	16	1	5	34	2	7	10
PE12C02	17	1	5	24	2	7	6
PE12C02	18	1	5	40	1	7	8
PE12C02	19	2	3	55	1	4	20
PE12C02	20	2	3	38	2	4	5
PE12C02	21	2	2	31	2	8	2
PE12C02	22	2	2	29	2	8	2
PE12C02	23	2	4	31	1	3	7
PE12C02	24	2	4	32	2	3	4
PE12C02	25	2	4	40	2	3	7
PE12C02	26	2	5	29	2	2	0
PE12C02	88	 	 	 	 	 	 
PE12C03	1	1	1	58	1	1	31
PE12C03	2	1	1	57	1	1	30
PE12C03	3	1	1	59	1	1	31
PE12C03	4	1	1	67	1	1	31
PE12C03	5	1	1	66	2	8	31
PE12C03	6	1	5	40	1	7	18
PE12C03	7	1	5	20	2	7	3
PE12C03	8	1	5	23	1	7	3
PE12C03	9	1	5	17	1	7	2
PE12C03	10	1	5	36	2	7	10
PE12C03	11	1	5	36	2	7	10
PE12C03	12	1	5	24	2	7	6
PE12C03	13	2	2	31	2	8	2
PE12C03	14	2	2	29	2	8	2
PE12C03	15	2	3	52	1	4	18
PE12C03	16	2	3	58	1	4	20
PE12C03	17	2	3	46	2	4	7
PE12C03	18	2	3	32	2	4	5
PE12C03	19	2	3	45	2	4	8
PE12C03	20	2	4	57	1	3	14
PE12C03	21	2	4	38	2	3	1
PE12C03	22	2	4	58	2	2	31
PE12C03	23	1	1	39	1	8	17
PE12C03	24	1	1	35	1	8	15
PE12C03	25	1	5	40	1	7	12
PE12C03	26	1	5	38	2	7	18
PE12C03	27	2	5	55	1	8	3
PE13C02	1	2	1	49	1	4	1
PE13C02	2	2	1	44	2	4	15
PE13C02	3	2	1	44	2	4	7
PE13C02	4	1	1	46	1	1	12
PE13C02	5	1	1	42	1	1	15
PE13C02	6	1	1	44	1	1	21
PE13C02	7	1	5	28	2	7	1
PE13C02	8	1	5	-79	2	7	10
PE13C02	9	1	5	46	1	7	5
PE13C02	10	1	5	-79	1	7	77
PE13C02	11	2	4	27	2	7	1
PE13C02	12	2	4	28	2	8	5
PE13C02	13	2	2	47	2	1	20
PE13C02	14	2	2	42	2	8	20
PE13C02	15	2	4	37	2	3	4
PE13C02	16	2	5	45	1	8	3
PE13C02	17	1	5	-79	1	8	10
PE13C02	18	1	5	-79	2	8	5
PE13C03	1	2	3	45	1	4	0
PE13C03	2	2	4	46	1	3	8
PE13C03	3	2	4	31	2	3	6
PE13C03	4	2	4	40	2	3	10
PE13C03	5	2	3	42	2	4	6
PE13C03	6	2	5	45	1	2	3
PE13C03	7	2	1	28	2	2	2
PE13C03	8	2	1	22	2	8	1
PE13C03	9	1	5	32	1	7	1
PE13C03	10	1	5	26	1	7	2
PE13C03	11	1	1	50	2	6	4
PE13C03	12	1	1	44	2	6	5
PE13C03	13	2	1	29	2	6	5
PE13C03	14	1	1	26	2	6	3
PE13C03	15	1	5	23	2	7	4
PE13C03	16	1	5	33	1	7	8
PE13C04	1	1	1	41	2	3	9
PE13C04	2	2	4	32	1	3	12
PE13C04	3	2	4	30	2	3	3
PE13C04	4	2	4	50	2	3	8
PE13C04	5	1	1	32	2	2	4
PE13C04	6	2	1	52	2	8	2
PE13C04	7	2	1	27	2	8	1
PE13C04	8	1	1	46	1	1	16
PE13C04	9	2	4	45	2	3	10
PE13C04	10	2	4	-79	2	1	8
PE13C04	11	2	1	65	2	8	60
PE13C04	12	1	5	-79	1	7	15
PE13C04	13	1	5	36	1	7	10
PE13C04	14	1	1	7	1	7	7
PE13C04	15	1	5	10	1	8	10
PE13C04	16	2	3	48	2	4	12
PE13C04	17	2	3	60	2	4	10
PE13C04	18	2	3	38	2	4	5
PE13C04	19	2	3	45	2	4	12
PE13C04	20	2	3	40	2	4	11
PE14C02	1	1	1	75	1	8	50
PE14C02	2	1	1	56	1	4	12
PE14C02	3	2	3	37	2	4	5
PE14C02	4	1	2	67	1	8	45
PE14C02	5	1	2	69	1	1	37
PE14C02	6	2	4	53	2	3	10
PE14C02	7	2	5	32	1	2	0
PE14C02	8	2	5	26	2	2	0
PE14C02	9	1	5	28	2	7	28
PE14C02	10	2	2	29	2	8	2
PE14C02	11	1	5	27	1	3	0
PE14C02	12	2	3	56	1	4	0
PE14C02	13	1	5	20	2	7	0
PE14C02	14	1	5	33	1	7	5
PE14C02	15	1	5	19	2	7	0
PE14C02	16	1	5	43	2	7	15
PE14C02	17	1	5	30	2	7	7
PE14C02	18	1	5	33	2	7	2
PE14C02	19	1	5	55	1	7	0
PE14C02	20	1	5	23	1	7	0
PE14C02	88	 	 	 	 	 	 
PE14C03	1	1	3	58	2	1	36
PE14C03	2	2	5	30	1	2	0
PE14C03	3	1	1	72	1	1	40
PE14C03	4	1	5	60	2	7	40
PE14C03	5	1	1	59	1	1	33
PE14C03	6	1	1	53	2	1	34
PE14C03	7	2	3	43	2	4	11
PE14C03	8	2	3	58	1	4	10
PE14C03	9	1	5	35	2	7	-77
PE14C03	10	1	5	30	2	7	7
PE14C03	11	1	5	18	2	7	1
PE14C03	12	1	5	53	2	7	7
PE14C03	13	1	5	60	2	7	0
PE14C03	14	1	5	41	2	7	2
PE14C03	15	1	5	65	1	7	20
PE14C03	16	1	5	60	2	7	30
PE14C03	17	2	5	32	1	2	0
PE14C03	18	2	5	26	2	2	0
PE14C03	19	2	2	58	2	1	7
PE14C03	20	2	2	40	2	2	0
PE14C03	21	1	5	-79	2	7	1
PE14C03	22	1	5	-79	2	7	-77
PE14C03	23	1	5	-79	2	7	-77
PE14C03	24	2	4	40	1	4	6
PE14C03	25	2	4	52	2	3	10
PE14C03	26	1	5	40	2	3	5
PE14C03	27	 	 	43	1	8	20
PE14C03	28	 	 	42	1	8	20
PE14C04	1	2	3	62	1	4	1
PE14C04	2	2	3	34	2	4	5
PE14C04	3	2	3	40	2	4	5
PE14C04	4	1	5	35	2	7	77
PE14C04	5	1	5	30	2	7	7
PE14C04	6	1	5	18	2	7	1
PE14C04	7	1	5	-79	2	7	-77
PE14C04	8	1	1	34	1	1	7
PE14C04	9	1	1	50	1	1	20
PE14C04	10	1	5	35	2	7	2
PE14C04	11	1	5	58	1	7	20
PE14C04	12	1	5	55	1	7	0
PE14C04	13	1	5	23	1	7	0
PE14C04	14	2	4	52	2	3	10
PE14C04	15	2	4	40	2	3	5
PE14C04	16	2	4	43	1	3	20
PE14C04	17	2	5	32	1	2	0
PE14C04	18	2	5	26	2	2	0
PE14C04	19	1	5	79	2	7	0
PE15C01	1	1	3	26	2	3	3
PE15C01	2	1	1	44	2	7	20
PE15C01	3	1	1	46	2	7	15
PE15C01	4	1	2	40	2	8	40
PE15C01	5	1	1	74	1	1	17
PE15C01	6	1	3	41	1	4	15
PE15C01	7	1	5	40	2	8	10
PE15C01	8	2	2	45	2	2	8
PE15C01	9	2	1	36	2	8	6
PE15C01	10	1	2	37	2	6	14
PE15C01	11	1	5	56	2	7	8
PE15C01	12	2	1	32	2	4	0
PE15C01	13	1	4	60	1	8	20
PE15C01	14	2	5	-77	1	8	-77
PE15C02	1	1	1	40	1	1	23
PE15C02	2	1	1	53	1	8	14
PE15C02	3	1	5	24	2	7	1
PE15C02	4	1	5	34	1	7	7
PE15C02	5	1	2	32	2	3	4
PE15C02	6	2	4	33	2	3	7
PE15C02	7	1	1	45	1	4	94
PE15C02	8	2	1	34	2	4	7
PE15C02	9	1	5	47	2	8	22
PE15C02	10	2	4	26	1	3	1
PE15C02	11	1	4	32	2	8	16
PE15C02	12	1	4	28	2	8	28
PE15C02	13	1	1	37	1	2	37
PE15C02	14	1	1	40	2	2	4
PE15C02	15	1	5	35	2	7	35
PE15C03	1	1	1	44	1	4	15
PE15C03	2	1	1	46	1	8	38
PE15C03	3	2	1	36	2	4	1
PE15C03	4	1	1	37	1	2	0
PE15C03	5	1	2	40	1	1	40
PE15C03	6	2	4	38	1	3	38
PE15C03	7	1	2	32	2	3	4
PE15C03	8	1	5	24	2	7	1
PE15C03	9	1	5	34	1	7	7
PE15C03	10	2	4	26	1	3	1
PE15C03	11	1	5	47	2	8	22
PE15C03	12	2	1	32	2	8	28
PE15C03	13	1	1	40	2	2	4
PE15C03	14	1	5	50	2	7	50
PE15C04	1	1	1	29	2	7	29
PE15C04	2	1	5	54	2	7	25
PE15C04	3	1	5	26	2	3	26
PE15C04	4	1	2	46	1	7	16
PE15C04	5	1	3	56	1	8	16
PE15C04	6	1	1	48	1	1	22
PE15C04	7	1	1	27	1	8	16
PE15C04	8	1	5	32	1	8	0
PE15C04	9	2	1	38	1	4	5
PE15C04	10	2	1	39	2	4	4
PE15C04	11	2	3	27	2	4	1
PE15C04	12	2	3	37	1	4	12
PE15C04	13	2	3	38	1	4	1
PE15C04	14	1	5	25	2	7	0
PE15C04	15	1	5	48	2	7	0
PE15C04	16	1	5	45	1	7	0
PE15C04	17	1	5	35	1	7	0
PE15C04	18	1	5	26	1	3	0
PE15C04	19	1	5	34	1	3	0
PE15C04	20	1	3	25	2	3	0
PE15C04	21	2	5	30	2	2	0
PE15C04	88	 	 	 	 	 	 
PE15C05	1	1	1	30	1	1	30
PE15C05	2	1	2	30	1	8	30
PE15C05	3	1	1	38	1	2	16
PE15C05	4	1	1	24	1	8	24
PE15C05	5	1	4	35	2	4	17
PE15C05	6	2	3	30	2	4	20
PE15C05	7	1	5	30	1	7	8
PE15C05	8	1	3	34	1	3	1
PE15C05	9	1	5	22	2	7	1
PE15C05	10	1	5	26	2	3	0
PE15C05	11	2	5	30	2	2	0
PE15C05	12	1	3	25	2	8	0
PE15C05	13	1	5	45	1	7	0
PE15C05	14	1	5	35	1	7	0
PE15C05	15	1	5	25	2	7	0
PE15C05	16	1	5	48	2	7	0
PE15C05	88	 	 	 	 	 	 
PE15C06	1	1	3	27	1	3	0
PE15C06	2	1	4	32	1	4	3
PE15C06	3	2	2	28	1	4	4
PE15C06	4	2	3	29	2	4	4
PE15C06	5	2	5	63	1	1	30
PE15C06	6	1	1	58	1	1	30
PE15C06	7	1	1	48	1	1	20
PE15C06	8	2	3	46	1	4	15
PE15C06	9	1	5	38	1	7	5
PE15C06	10	1	5	38	2	7	10
PE15C06	11	1	5	33	2	8	33
PE15C06	12	1	5	29	2	8	8
PE15C06	13	1	5	35	2	4	2
PE15C06	14	1	5	18	1	8	2
PE15C06	15	2	2	35	2	8	15
PE15C06	16	1	4	28	1	3	2
PE15C06	17	1	4	27	2	3	0
PE15C06	18	1	3	25	2	3	0
PE15C06	19	1	5	26	1	3	0
PE15C06	20	2	2	31	2	8	0
PE15C07	1	1	1	44	2	8	44
PE15C07	2	1	1	40	1	1	40
PE15C07	3	1	3	36	2	3	1
PE15C07	4	1	3	26	2	3	1
PE15C07	5	1	4	68	1	8	46
PE15C07	6	1	2	46	1	1	21
PE15C07	7	1	4	39	2	4	0
PE15C07	8	1	5	32	2	7	32
PE15C07	9	1	5	50	2	7	30
PE15C07	10	1	5	35	2	7	35
PE15C07	11	1	5	24	2	7	1
PE15C08	1	1	1	48	1	4	48
PE15C08	2	2	1	23	2	4	23
PE15C08	3	1	1	58	1	8	30
PE15C08	4	1	1	44	1	8	16
PE15C08	5	1	5	30	1	8	30
PE15C08	6	1	4	32	1	8	32
PE15C08	7	1	5	38	1	7	0
