placeid	locentid	codeloc	routeacc	transpor	timeschl
PE15C01	2	6	2	1	20
PE15C01	3	3	2	1	30
PE15C01	4	3	2	1	60
PE15C01	5	3	2	7	20
PE15C02	1	6	1	1	25
PE15C02	2	6	2	1	30
PE15C02	3	6	2	1	30
PE15C02	4	6	1	1	10
PE15C02	5	6	1	5	15
PE15C03	1	6	3	1	5
PE15C04	1	1	2	1	-77
PE15C05	1	1	2	1	-77
PE15C05	2	3	2	6	240
PE15C05	3	3	3	1	20
PE15C06	1	1	1	1	-77
PE15C06	2	6	1	5	10
PE15C06	3	6	1	5	10
PE15C06	4	6	1	5	8
PE15C06	5	6	1	5	5
PE15C07	1	3	3	1	120
PE15C08	1	6	2	1	-77
PE15C08	2	3	2	1	15
PE15C09	1	1	1	1	-77
PE15C09	2	6	1	5	15
PE15C09	3	1	1	5	5
PE16C01	1	4	2	1	3
PE16C02	1	6	1	1	3
PE16C02	2	3	1	1	60
PE16C03	1	1	5	1	5
PE16C03	2	6	2	1	60
PE16C03	3	6	3	1	90
PE16C03	4	6	3	1	90
PE16C04	1	2	3	1	150
PE16C04	2	2	3	1	30
PE16C04	3	3	2	1	5
PE16C05	1	1	1	1	3
PE16C05	2	3	2	1	120
PE16C05	3	3	2	1	120
PE16C05	4	3	2	1	90
PE16C05	5	3	2	1	90
PE16C05	6	3	2	1	90
PE16C06	1	1	5	1	10
PE16C06	2	6	3	1	30
PE16C07	1	99	99	99	99
PE16C07	2	99	99	99	99
PE16C07	3	99	99	99	99
PE16C07	4	99	99	99	99
PE16C07	5	99	99	99	99
PE16C08	1	3	1	1	4
PE17C01	1	3	1	1	5
PE17C01	2	3	1	1	60
PE17C01	3	3	3	1	90
PE17C02	1	1	5	1	0
PE17C03	1	3	5	1	5
PE17C04	1	3	2	1	5
PE17C05	1	3	2	1	5
PE17C06	1	3	1	1	8
PE17C08	1	3	2	1	5
PE17C09	1	6	5	1	5
PE17C10	1	1	1	1	10
PE17C11	1	1	2	1	5
PE18C01	1	3	2	1	30
PE18C02	1	1	2	1	15
PE18C02	2	6	2	1	30
PE18C02	3	6	2	1	20
PE18C03	1	1	2	1	10
PE18C03	2	6	2	1	20
PE18C03	3	6	3	1	20
PE18C03	4	6	2	1	10
PE18C03	5	6	2	1	20
PE18C04	1	4	2	1	20
PE18C04	2	6	3	1	60
PE18C06	1	1	2	1	10
PE18C06	2	6	2	1	20
PE18C06	3	6	3	1	20
PE18C06	4	6	2	1	10
PE18C06	5	6	2	1	20
PE18C07	1	1	1	1	10
PE18C07	2	6	2	7	5
PE18C07	3	4	2	7	10
PE18C07	4	6	2	1	10
PE19C01	1	1	1	1	4
PE19C01	2	3	2	7	60
PE19C01	3	3	1	7	10
PE19C02	1	3	1	1	10
PE19C02	2	3	1	1	20
PE19C03	1	3	2	1	5
PE19C03	2	3	2	7	10
PE19C03	3	3	2	1	30
PE19C04	1	1	1	1	5
PE19C04	2	3	5	6	10
PE19C04	3	3	1	6	5
PE19C04	4	3	1	6	3
PE19C05	1	3	1	1	5
PE19C05	2	6	1	1	5
PE19C05	3	6	1	1	6
PE19C05	4	6	1	1	3
PE19C05	5	6	1	1	3
PE20C01	1	6	99	1	10
PE20C01	2	99	99	7	15
PE20C02	1	6	1	1	15
PE20C02	2	6	1	1	5
PE20C02	3	6	1	13	5
PE20C02	4	6	1	1	10
