placeid	locltyid	code	route	trnsptnt	timearrv
PE01C01	1	1	1	5	15
PE01C01	2	1	1	7	20
PE01C01	3	1	1	7	30
PE01C01	4	1	1	7	25
PE01C01	5	6	1	6	30
PE01C02	1	6	1	1	10
PE01C02	2	6	1	6	15
PE01C02	3	6	1	6	10
PE02C01	1	2	2	1	5
PE02C01	2	3	2	1	60
PE02C01	3	3	2	4	150
PE02C02	1	6	9	1	20
PE02C02	2	3	2	1	40
PE02C02	3	2	2	1	90
PE02C02	4	2	2	9	60
PE02C02	5	2	2	9	60
PE02C03	1	2	1	1	15
PE02C03	2	2	1	1	120
PE02C03	3	3	1	7	5
PE02C03	4	3	1	7	5
PE02C03	5	2	1	7	120
PE02C04	1	6	1	1	15
PE02C04	2	6	1	6	5
PE02C04	3	2	2	7	15
PE02C04	4	6	1	6	8
PE03C01	1	2	3	1	20
PE03C01	2	2	3	1	60
PE03C01	3	2	3	1	60
PE03C01	4	3	3	1	180
PE03C01	5	3	3	1	45
PE03C04	1	2	2	1	10
PE03C04	2	3	2	1	45
PE03C04	3	3	2	1	30
PE03C04	4	3	2	1	15
PE03C04	5	3	2	1	30
PE03C08	1	2	2	1	60
PE03C08	2	2	2	1	35
PE03C08	3	2	3	1	60
PE03C08	4	2	3	1	35
PE03C08	5	2	3	1	45
PE03C09	1	2	3	1	15
PE03C09	2	3	3	1	60
PE03C09	3	3	3	1	60
PE03C09	4	3	2	1	70
PE03C09	5	3	3	1	120
PE04C01	1	4	2	1	10
PE04C01	2	3	2	1	60
PE04C01	3	3	2	1	90
PE04C01	4	3	2	1	30
PE04C01	5	3	2	1	45
PE04C01	6	3	2	1	120
PE04C01	7	3	2	1	120
PE04C02	1	6	1	88	-88
PE04C02	2	4	3	1	50
PE04C02	3	4	3	1	40
PE04C02	4	4	2	1	60
PE04C03	1	4	2	1	5
PE04C03	2	3	3	1	60
PE04C03	3	3	3	1	60
PE04C03	4	3	3	1	90
PE04C03	5	3	3	1	120
PE04C06	1	3	3	1	5
PE04C06	2	3	3	1	30
PE04C06	3	2	3	1	15
PE04C06	4	2	3	1	10
PE04C06	5	88	88	88	88
PE04C08	1	3	2	1	5
PE04C08	2	3	2	1	45
PE04C10	1	6	3	1	5
PE04C10	2	6	3	1	20
PE04C10	3	6	3	1	35
PE04C10	4	6	3	1	60
PE04C10	5	6	3	1	180
PE05C01	1	6	1	1	10
PE05C01	2	2	3	1	190
PE05C01	3	2	3	1	60
PE05C01	4	2	1	6	10
PE05C01	5	2	1	6	30
PE05C03	1	6	1	1	5
PE05C03	2	3	3	2	120
PE05C03	3	3	3	2	240
PE05C03	4	3	1	6	10
PE05C03	5	2	1	6	10
PE05C04	1	6	1	1	5
PE05C04	2	3	3	1	60
PE05C04	3	3	3	1	30
PE05C04	4	3	3	1	60
PE05C04	5	3	3	1	20
PE05C08	1	1	2	1	-99
PE05C08	2	2	2	1	60
PE05C08	3	2	2	1	30
PE05C08	4	2	2	1	60
PE05C08	5	2	2	1	30
PE05C08	6	2	2	1	15
PE05C10	1	1	2	1	-99
PE05C10	2	2	2	1	60
PE05C10	3	2	2	1	30
PE05C10	4	2	2	1	60
PE05C10	5	2	2	1	30
PE05C11	1	6	1	5	10
PE05C11	2	6	1	6	25
PE05C11	3	6	1	6	45
PE06C01	1	6	2	1	5
PE06C01	2	6	2	5	15
PE06C01	3	6	2	5	10
PE06C01	4	6	2	1	5
PE06C01	5	6	2	5	15
PE06C02	1	6	1	5	5
PE06C02	2	6	1	5	15
PE06C02	3	6	1	5	10
PE06C02	4	6	1	6	90
PE06C02	5	6	1	5	15
PE07C01	1	6	1	1	-77
PE07C01	2	6	1	1	15
PE07C01	3	6	1	1	10
PE07C01	4	2	3	3	180
PE07C01	5	2	3	13	240
PE07C02	1	6	1	1	-77
PE07C02	2	6	1	1	10
PE07C02	3	2	2	1	180
PE07C02	4	6	1	1	15
PE07C02	5	2	1	1	60
PE07C03	1	6	1	1	5
PE07C03	2	6	1	1	15
PE07C03	3	6	1	1	10
PE07C03	4	2	3	13	180
PE07C03	5	2	3	13	240
PE07C04	1	6	1	7	25
PE08C01	1	6	1	1	15
PE08C01	2	6	1	5	8
PE08C01	3	6	1	5	8
PE08C01	4	6	1	5	12
PE08C01	5	6	1	1	12
PE08C02	1	6	1	1	-77
PE09C01	1	1	2	1	-77
PE09C01	2	4	2	1	35
PE09C01	3	4	2	1	240
PE09C02	1	6	2	1	5
PE09C02	2	3	2	1	15
PE09C02	3	3	3	1	120
PE09C03	1	4	2	1	-77
PE09C03	2	2	2	1	30
PE09C03	3	2	3	1	120
PE09C03	4	2	3	1	30
PE09C05	1	6	2	1	10
PE09C05	2	4	2	1	30
PE09C05	3	3	2	1	25
PE09C05	4	4	2	1	40
PE09C05	5	4	2	1	60
PE09C06	1	1	2	1	-77
PE09C06	2	2	3	1	40
PE09C06	3	2	2	1	20
PE09C06	4	2	2	1	25
PE09C06	5	1	2	1	25
PE09C07	1	1	2	1	-77
PE09C07	2	2	3	1	40
PE09C07	3	2	2	1	20
PE09C07	4	2	2	1	25
PE09C07	5	2	2	1	25
PE09C08	1	6	2	1	30
PE09C08	2	6	2	1	45
PE09C08	3	4	2	1	25
PE09C08	4	3	2	1	30
PE09C08	5	4	2	1	90
PE09C09	1	1	2	1	5
PE09C09	2	2	2	1	30
PE09C09	3	2	2	6	8
PE09C09	4	2	2	1	30
PE09C09	5	2	2	1	40
PE10C01	1	6	1	1	15
PE10C01	2	6	1	7	30
PE10C01	3	6	1	7	60
PE10C03	1	6	1	6	-77
PE10C03	2	6	1	6	5
PE10C03	3	6	1	6	10
PE10C04	1	6	1	6	5
PE10C04	2	6	1	6	5
PE10C04	3	6	1	6	10
PE10C05	1	6	1	6	-77
PE10C05	2	6	1	6	5
PE10C05	3	6	1	6	10
PE11C01	1	6	2	1	5
PE11C01	2	6	2	1	60
PE11C01	3	6	3	1	90
PE11C01	4	3	3	1	40
PE11C01	5	3	3	1	20
PE11C02	1	1	1	1	77
PE11C02	2	2	3	1	15
PE11C02	3	2	2	1	30
PE11C02	4	2	2	1	60
PE11C02	5	3	3	1	30
PE11C03	1	6	3	1	20
PE11C03	2	6	3	1	30
PE11C03	3	6	3	1	30
PE11C03	4	6	3	1	20
PE11C03	5	6	3	1	45
PE11C04	1	1	2	1	-77
PE11C04	2	2	2	1	20
PE11C04	3	2	3	1	20
PE11C04	4	1	3	1	60
PE11C04	5	2	3	1	40
PE11C05	1	1	3	1	45
PE11C05	2	1	3	1	90
PE11C05	3	6	2	1	140
PE11C05	4	6	3	1	240
PE11C05	5	6	3	1	240
PE11C06	1	1	2	1	-77
PE11C06	2	1	3	1	120
PE11C06	3	2	3	1	60
PE11C06	4	2	3	1	15
PE11C06	5	2	3	1	30
PE11C07	1	2	2	1	20
PE11C07	2	6	2	1	60
PE11C07	3	6	2	1	30
PE11C07	4	6	2	1	30
PE11C07	5	6	2	1	20
PE12C02	1	6	1	7	5
PE12C02	2	6	1	7	10
PE12C02	3	6	1	7	15
PE12C03	1	6	1	1	10
PE12C03	2	6	1	1	3
PE12C03	3	6	1	7	10
PE12C03	4	6	1	7	10
PE12C03	5	6	1	7	10
PE13C02	1	6	1	5	20
PE13C02	2	6	1	5	20
PE13C02	3	6	1	7	40
PE13C02	4	6	1	7	60
PE13C03	1	6	1	1	10
PE13C03	2	6	1	1	10
PE13C03	3	6	1	1	20
PE13C03	4	6	1	1	20
PE13C03	5	6	1	1	15
PE13C04	1	6	1	7	-77
PE13C04	2	6	1	7	60
PE13C04	3	6	1	1	5
PE13C04	4	6	1	7	15
PE13C04	5	6	1	5	15
PE14C02	1	6	1	5	15
PE14C02	2	6	1	5	15
PE14C02	3	6	1	5	15
PE14C03	1	6	1	5	5
PE14C03	2	6	1	5	5
PE14C03	3	6	1	5	10
PE14C03	4	6	1	5	10
PE14C03	5	6	1	5	5
PE14C04	1	6	1	5	5
PE14C04	2	6	1	5	5
PE14C04	3	6	1	5	10
PE14C04	4	6	1	5	10
PE14C04	5	6	1	5	5
PE15C01	1	3	2	1	10
PE15C01	2	3	2	1	60
PE15C01	3	3	2	1	45
PE15C01	4	3	2	1	90
PE15C02	1	6	1	1	30
PE15C02	2	6	2	1	45
PE15C02	3	6	2	1	120
PE15C02	4	3	2	1	180
PE15C02	5	6	1	1	40
PE15C03	1	6	1	1	30
PE15C03	2	6	2	1	45
PE15C03	3	6	2	1	120
PE15C03	4	3	2	1	180
PE15C03	5	6	1	1	40
PE15C04	1	1	2	1	-77
PE15C04	2	3	2	6	240
PE15C04	3	3	2	1	30
PE15C04	4	3	2	6	120
PE15C04	5	3	2	1	400
PE15C05	1	1	1	1	-77
PE15C05	2	3	2	6	480
PE15C05	3	3	2	6	240
PE15C05	4	3	2	6	440
PE15C05	5	3	2	6	600
PE15C06	1	1	1	1	-77
PE15C06	2	6	1	5	10
PE15C06	3	3	1	6	60
PE15C06	4	6	1	5	8
PE15C06	5	6	1	5	8
PE15C07	1	6	2	1	240
PE15C07	2	6	2	1	75
PE15C07	3	3	2	1	35
PE15C07	4	6	2	1	20
PE15C07	5	3	2	1	5
PE15C08	1	1	1	1	-77
PE15C08	2	6	1	5	10
PE15C08	3	3	1	6	60
PE15C08	4	1	1	5	8
PE15C08	5	6	1	5	8
PE15C09	1	1	1	1	-77
PE15C09	2	1	1	5	5
PE15C09	3	1	1	5	5
PE16C01	1	6	2	7	1
PE16C01	2	6	2	7	15
PE16C01	3	2	2	7	20
PE16C01	4	2	2	1	30
PE16C01	5	2	2	1	60
PE16C02	1	6	1	1	5
PE16C02	2	3	3	1	300
PE16C02	3	2	2	1	250
PE16C03	1	1	5	1	10
PE16C03	2	6	3	1	120
PE16C03	3	6	3	1	90
PE16C03	4	6	3	1	45
PE16C03	5	6	3	1	45
PE16C04	1	6	1	1	5
PE16C04	2	6	2	1	30
PE16C04	3	4	1	7	20
PE16C04	4	4	1	7	30
PE16C05	1	1	5	1	3
PE16C05	2	3	3	1	480
PE16C05	3	3	3	1	300
PE16C05	4	3	3	1	200
PE16C05	5	3	3	1	180
PE16C06	1	6	1	1	5
PE16C06	2	6	2	1	30
PE16C06	3	4	1	7	20
PE16C06	4	4	1	7	30
PE16C07	1	6	1	1	5
PE16C07	2	6	2	1	30
PE16C07	3	4	1	7	20
PE16C07	4	4	1	7	30
PE16C08	1	6	1	1	5
PE16C08	2	6	2	1	30
PE16C08	3	4	1	7	20
PE16C08	4	4	1	7	30
PE17C01	1	3	1	1	5
PE17C01	2	3	3	1	60
PE17C01	3	3	1	7	60
PE17C01	4	3	1	7	30
PE17C01	5	3	3	1	70
PE17C01	6	3	3	1	180
PE17C02	1	1	5	1	5
PE17C02	2	3	3	1	40
PE17C02	3	3	2	7	15
PE17C03	1	1	2	1	5
PE17C03	2	3	2	1	60
PE17C03	3	3	2	1	40
PE17C03	4	3	2	1	50
PE17C03	5	3	2	1	30
PE17C04	1	1	2	1	5
PE17C04	2	3	2	1	60
PE17C04	3	3	2	1	40
PE17C04	4	3	2	1	50
PE17C04	5	3	2	1	30
PE17C05	1	1	1	1	5
PE17C05	2	3	2	1	60
PE17C05	3	3	2	1	60
PE17C05	4	3	2	1	240
PE17C06	1	1	5	1	5
PE17C06	2	3	3	1	40
PE17C06	3	3	2	7	15
PE17C08	1	1	1	1	5
PE17C08	2	3	2	1	60
PE17C08	3	3	2	1	60
PE17C08	4	3	2	1	240
PE17C09	1	1	1	1	5
PE17C09	2	3	2	1	60
PE17C09	3	3	2	1	60
PE17C09	4	3	2	1	240
PE17C10	1	1	1	7	15
PE17C10	2	1	1	7	45
PE17C10	3	3	2	7	60
PE17C10	4	3	2	7	60
PE17C10	5	3	2	7	120
PE17C11	1	1	2	1	5
PE17C11	2	3	2	1	60
PE17C11	3	3	2	1	40
PE17C11	4	3	2	1	50
PE17C11	5	3	2	1	30
PE18C01	1	6	2	1	5
PE18C01	2	3	3	1	90
PE18C01	3	4	3	1	451
PE18C02	1	6	2	1	5
PE18C02	2	3	2	1	60
PE18C02	3	4	2	1	30
PE18C03	1	1	2	1	5
PE18C03	2	4	2	7	30
PE18C03	3	4	2	7	30
PE18C03	4	6	2	1	20
PE18C04	1	6	2	1	5
PE18C04	2	3	2	1	60
PE18C04	3	4	2	1	30
PE18C05	1	6	2	1	5
PE18C05	2	3	2	1	60
PE18C05	3	4	2	1	30
PE18C06	1	1	2	1	5
PE18C06	2	6	2	1	20
PE18C06	3	4	2	7	30
PE18C06	4	4	2	7	30
