placeid	disastid	disaster	longago	pplaftcd	askhelp1	askhelp2	askhelp3	recvhelp	typehlp1	youask1	enough1	typehlp2	youask2	enough2	typehlp3	youask3	enough3
PE01C02	0	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 	 
PE02C01	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE02C03	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE02C04	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE03C04	1	3	24	103	0	88	88	88	 	 	 	 	 	 	 	 	 
PE03C04	2	7	17	103	0	88	88	88	 	 	 	 	 	 	 	 	 
PE03C05	1	4	8	18	0	88	88	0	88	88	88	88	88	88	88	88	88
PE03C05	2	7	4	60	0	88	88	0	88	88	88	88	88	88	88	88	88
PE03C06	1	7	14	130	1	88	88	0	88	88	88	88	88	88	88	88	88
PE03C06	2	3	12	130	1	88	88	0	88	88	88	88	88	88	88	88	88
PE03C07	1	8	1	15	0	88	88	88	 	 	 	 	 	 	 	 	 
PE03C07	2	7	24	296	0	88	88	88	 	 	 	 	 	 	 	 	 
PE03C09	1	3	36	282	0	88	88	88	88	88	88	88	88	88	88	88	88
PE04C01	1	5	12	50	1	88	88	1	2	1	1	5	1	0	3	1	1
PE04C01	2	6	34	70	0	88	88	0	88	88	88	88	88	88	88	88	88
PE04C01	3	10	6	12	0	88	88	0	88	88	88	88	88	88	88	88	88
PE04C02	1	6	12	800	1	0	0	1	5	1	0	4	1	0	2	1	0
PE04C02	2	5	12	600	1	0	0	0	88	88	88	88	88	88	88	88	88
PE04C03	1	5	12	127	1	88	88	0	88	88	88	88	88	88	88	88	88
PE04C03	2	7	36	1200	0	88	88	0	88	88	88	88	88	88	88	88	88
PE04C03	3	9	24	300	1	88	88	0	88	88	88	88	88	88	88	88	88
PE04C03	4	4	6	3398	1	88	88	1	7	1	1	88	88	88	88	88	88
PE04C04	1	9	8	80	1	88	88	0	88	88	88	88	88	88	88	88	88
PE04C04	2	7	8	50	1	88	88	0	88	88	88	88	88	88	88	88	88
PE04C04	3	5	12	40	0	88	88	0	88	88	88	88	88	88	88	88	88
PE04C04	4	10	18	20	0	88	88	0	88	88	88	88	88	88	88	88	88
PE04C05	1	5	12	30	1	88	88	1	5	1	0	88	88	88	88	88	88
PE04C05	2	7	8	10	0	88	88	0	88	88	88	88	88	88	88	88	88
PE04C05	3	9	12	20	0	88	88	0	88	88	88	88	88	88	88	88	88
PE04C06	1	4	36	6	1	88	88	1	2	1	1	7	1	1	5	1	1
PE04C06	2	5	12	175	1	88	88	1	2	1	1	5	1	1	7	0	0
PE04C06	3	3	12	404	0	88	88	0	88	88	88	88	88	88	88	88	88
PE04C06	4	7	0	20	0	88	88	0	88	88	88	88	88	88	88	88	88
PE04C06	5	 	0	-88	88	88	88	88	 	 	 	 	 	 	 	 	 
PE04C08	1	5	12	14	1	88	88	0	88	88	88	88	88	88	88	88	88
PE04C08	2	10	8	220	0	88	88	0	88	88	88	88	88	88	88	88	88
PE04C08	3	7	12	250	0	88	88	0	88	88	88	88	88	88	88	88	88
PE04C10	1	5	12	3	1	88	88	0	88	88	88	88	88	88	88	88	88
PE04C10	2	7	0	102	0	88	88	88	88	88	88	88	88	88	88	88	88
PE04C10	3	9	18	84	0	88	88	88	88	88	88	88	88	88	88	88	88
PE04C10	4	9	12	109	4	88	88	0	88	88	88	88	88	88	88	88	88
PE04C10	5	8	0	2	0	88	88	88	88	88	88	88	88	88	88	88	88
PE05C01	1	2	16	4	0	88	88	0	88	88	88	88	88	88	88	88	88
PE05C01	2	5	15	25	1	0	0	0	88	88	88	88	88	88	88	88	88
PE05C01	3	4	14	120	0	88	88	0	88	88	88	88	88	88	88	88	88
PE05C03	1	6	26	5	1	88	88	0	88	88	88	88	88	88	88	88	88
PE05C03	2	4	26	0	0	88	88	0	88	88	88	88	88	88	88	88	88
PE05C04	1	5	16	28	1	0	0	0	88	88	88	88	88	88	88	88	88
PE05C05	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE05C07	1	6	20	25	1	0	0	0	88	88	88	88	88	88	88	88	88
PE05C07	2	6	1	16	1	0	0	0	88	88	88	88	88	88	88	88	88
PE05C08	1	6	44	96	1	88	88	1	2	1	1	4	1	1	7	1	1
PE05C08	2	6	3	50	1	88	88	0	88	88	88	88	88	88	88	88	88
PE05C09	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE05C10	1	6	0	146	1	0	0	1	2	1	0	7	1	0	88	88	88
PE05C10	2	6	24	70	1	0	0	1	2	1	0	88	88	88	88	88	88
PE05C11	1	1	26	10	1	88	88	0	88	88	88	88	88	88	88	88	88
PE06C01	1	5	16	40	1	0	0	1	7	1	0	88	88	88	88	88	88
PE06C02	1	5	16	260	1	0	0	1	4	1	1	5	0	1	2	0	1
PE06C02	2	6	46	3774	1	0	0	1	4	1	1	5	0	1	2	0	1
PE06C02	3	6	26	1350	1	0	0	1	5	1	1	4	0	1	2	0	1
PE06C02	4	6	2	1770	1	0	0	1	2	1	0	4	0	0	7	0	0
PE07C01	1	9	24	26	1	88	88	1	4	1	0	2	1	0	88	88	88
PE07C02	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE07C03	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE07C04	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE08C01	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE08C02	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE09C01	1	10	36	-77	0	88	88	0	88	88	88	88	88	88	88	88	88
PE09C01	2	9	2	60	0	88	88	0	88	88	88	88	88	88	88	88	88
PE09C02	1	7	5	443	1	88	88	0	88	88	88	88	88	88	88	88	88
PE09C03	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE09C05	1	7	46	300	1	88	88	0	88	88	88	88	88	88	88	88	88
PE09C06	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE09C07	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE09C09	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE10C01	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE10C03	1	9	3	600	1	4	88	0	7	1	0	88	88	88	88	88	88
PE10C03	2	9	3	600	1	4	88	0	7	1	0	88	88	88	88	88	88
PE10C04	1	6	1	40	1	88	88	0	88	88	88	88	88	88	88	88	88
PE10C05	1	9	30	4	4	88	88	3	7	1	0	88	88	88	88	88	88
PE10C05	2	9	36	60	4	1	88	1	5	1	0	88	88	88	88	88	88
