FORMNO	CHILDID	OUTID	REMREL	REMEST	REMGOOD
R2INDX	IN010006	1	13	-88	5000
R2INDX	IN010056	1	16	10000	-88
R2INDX	IN010092	1	19	5000	88
R2INDX	IN020004	1	7	200	600
R2INDX	IN020023	1	13	900	-88
R2INDX	IN020043	1	21	2000	0
R2INDX	IN020050	1	13	1000	88
R2INDX	IN020052	1	13	3000	-88
R2INDX	IN020059	1	7	500	400
R2INDX	IN020063	1	13	500	0
R2INDX	IN020066	1	21	500	-88
R2INDX	IN020073	1	13	20000	-88
R2INDX	IN020085	1	7	600	200
R2INDX	IN020086	1	7	500	160
R2INDX	IN020093	1	13	500	0
R2INDX	IN020100	1	6	2000	1200
R2INDX	IN030073	1	6	6000	2000
R2INDX	IN030081	1	13	20000	30000
R2INDX	IN030084	1	88	-88	-88
R2INDX	IN040010	1	13	2000	-88
R2INDX	IN040057	1	6	6000	-88
R2INDX	IN040065	1	7	1000	-88
R2INDX	IN040065	2	10	2000	-88
R2INDX	IN060002	1	19	-88	5000
R2INDX	IN060077	1	13	-88	5000
R2INDX	IN080019	1	21	-77	100
R2INDX	IN080078	1	20	200	-88
R2INDX	IN080078	2	21	-88	300
R2INDX	IN090026	1	20	1500	-88
R2INDX	IN090026	2	21	600	-88
R2INDX	IN090046	1	15	5000	-88
R2INDX	IN090067	1	21	-88	1500
R2INDX	IN090098	1	21	24000	300
R2INDX	IN100006	1	21	1016	-88
R2INDX	IN100013	1	21	1016	-88
R2INDX	IN100019	1	6	1500	0
R2INDX	IN100050	1	21	300	0
R2INDX	IN100096	1	21	400	0
R2INDX	IN110009	1	20	25000	10000
R2INDX	IN110045	1	13	0	500
R2INDX	IN110083	1	13	100	800
R2INDX	IN110104	1	21	3000	3000
R2INDX	IN120011	1	21	100	300
R2INDX	IN120014	1	13	1000	3000
R2INDX	IN120069	1	19	10000	-88
R2INDX	IN120085	1	20	300	0
R2INDX	IN130010	1	5	-88	500
R2INDX	IN130010	2	13	-88	500
R2INDX	IN130012	1	13	500	-88
R2INDX	IN130017	1	5	-88	500
R2INDX	IN130022	1	5	-88	1000
R2INDX	IN130022	2	5	-88	1000
R2INDX	IN130026	1	13	-88	1000
R2INDX	IN130063	1	13	5000	5000
R2INDX	IN130065	1	13	500	300
R2INDX	IN130066	1	13	-88	500
R2INDX	IN140004	1	7	500	-88
R2INDX	IN140004	2	1	1000	-88
R2INDX	IN140009	1	18	500	0
R2INDX	IN140012	1	13	1500	-88
R2INDX	IN140019	1	6	24000	0
R2INDX	IN140029	1	21	-88	2000
R2INDX	IN140030	1	13	300	-88
R2INDX	IN140033	1	19	-88	700
R2INDX	IN140033	2	6	18000	-88
R2INDX	IN140046	1	13	3000	-88
R2INDX	IN140051	1	13	10000	-88
R2INDX	IN140052	1	21	300	-88
R2INDX	IN140058	1	13	-88	5000
R2INDX	IN140061	1	13	50000	-88
R2INDX	IN140062	1	5	1000	-88
R2INDX	IN140066	1	19	400	-88
R2INDX	IN140067	1	19	1000	-88
R2INDX	IN140070	1	21	8000	-88
R2INDX	IN140073	1	19	3500	-88
R2INDX	IN140074	1	21	5000	-88
R2INDX	IN140078	1	5	-88	500
R2INDX	IN140080	1	13	0	3000
R2INDX	IN140080	2	19	2000	0
R2INDX	IN140084	1	13	25000	-88
R2INDX	IN140086	1	13	1000	0
R2INDX	IN140087	1	13	300	0
R2INDX	IN140093	1	19	2000	0
R2INDX	IN140099	1	13	-88	1200
R2INDX	IN140100	1	14	15000	0
R2INDX	IN150001	1	13	116	-88
R2INDX	IN150001	2	13	2000	-88
R2INDX	IN150016	1	13	2000	-88
R2INDX	IN150019	1	14	2000	-88
R2INDX	IN150022	1	13	1116	-88
R2INDX	IN150023	1	13	2000	-88
R2INDX	IN150025	1	19	1000	0
R2INDX	IN150029	1	19	500	0
R2INDX	IN150031	1	13	500	0
R2INDX	IN150078	1	19	5000	-88
R2INDX	IN150081	1	13	2000	-88
R2INDX	IN150081	2	21	1000	-88
R2INDX	IN160009	1	14	1000	0
R2INDX	IN160019	1	13	4000	0
R2INDX	IN160023	1	13	3000	0
R2INDX	IN160027	1	13	1500	0
R2INDX	IN160041	1	13	200	0
R2INDX	IN160045	1	13	-88	10000
R2INDX	IN160045	2	21	100	-88
R2INDX	IN160056	1	16	400	0
R2INDX	IN160061	1	13	200	-88
R2INDX	IN160061	2	6	100	300
R2INDX	IN160072	1	16	1000	0
R2INDX	IN160078	1	13	116	0
R2INDX	IN160084	1	13	-88	2000
R2INDX	IN160086	1	5	-88	5000
R2INDX	IN160091	1	19	400	0
R2INDX	IN170001	1	21	101	-88
R2INDX	IN170002	1	13	500	2000
R2INDX	IN170003	1	12	-88	300
R2INDX	IN170005	1	14	-88	300
R2INDX	IN170008	1	13	-88	600
R2INDX	IN170008	2	5	-88	300
R2INDX	IN170015	1	13	-88	300
R2INDX	IN170017	1	7	1000	3000
R2INDX	IN170018	1	13	-88	500
R2INDX	IN170018	2	21	32	-88
R2INDX	IN170019	1	13	-88	1000
R2INDX	IN170022	1	21	150	-88
R2INDX	IN170023	1	21	101	-88
R2INDX	IN170024	1	13	-88	500
R2INDX	IN170026	1	6	1000	500
R2INDX	IN170031	1	13	5000	-88
R2INDX	IN170032	1	6	-88	1700
R2INDX	IN170035	1	13	1000	500
R2INDX	IN170040	1	13	-88	500
R2INDX	IN170042	1	13	800	7000
R2INDX	IN170046	1	21	116	-88
R2INDX	IN170047	1	13	600	500
R2INDX	IN170049	1	13	300	200
R2INDX	IN170050	1	13	-88	10000
R2INDX	IN170051	1	13	-88	500
R2INDX	IN170052	1	13	200	1200
R2INDX	IN170054	1	13	-88	2000
R2INDX	IN170055	1	13	40000	1000
R2INDX	IN170059	1	13	-88	500
R2INDX	IN170060	1	14	-88	300
R2INDX	IN170062	1	6	1000	-88
R2INDX	IN170062	2	21	50	120
R2INDX	IN170063	1	13	-88	500
R2INDX	IN170069	1	13	-88	3000
R2INDX	IN170070	1	13	1200	1000
R2INDX	IN170070	2	21	101	-88
R2INDX	IN170070	3	14	400	300
R2INDX	IN170074	1	13	600	300
R2INDX	IN170076	1	7	1200	180
R2INDX	IN170077	1	18	500	250
R2INDX	IN170077	2	6	6000	300
R2INDX	IN170077	3	6	1000	200
R2INDX	IN170078	1	13	-88	5000
R2INDX	IN170078	2	19	2000	1500
R2INDX	IN170086	1	13	-88	500
R2INDX	IN170086	2	16	-88	1000
R2INDX	IN170087	1	19	200	1200
R2INDX	IN170087	2	21	150	-88
R2INDX	IN170089	1	21	200	-88
R2INDX	IN170090	1	13	-88	300
R2INDX	IN170090	2	21	50	-88
R2INDX	IN170091	1	21	110	-88
R2INDX	IN170091	2	15	300	150
R2INDX	IN170092	1	13	-88	1500
R2INDX	IN170092	2	21	1116	-88
R2INDX	IN170093	1	13	2000	-88
R2INDX	IN170094	1	13	500	200
R2INDX	IN170095	1	13	2000	500
R2INDX	IN170097	1	13	-88	2000
R2INDX	IN170099	1	14	-88	250
R2INDX	IN170100	1	13	-88	500
R2INDX	IN180005	1	13	-88	500
R2INDX	IN180008	1	13	-88	1000
R2INDX	IN180011	1	13	-88	6500
R2INDX	IN180011	2	21	150	-88
R2INDX	IN180013	1	21	40	-88
R2INDX	IN180014	1	7	200	2000
R2INDX	IN180014	2	13	-88	1000
R2INDX	IN180014	3	21	50	-88
R2INDX	IN180017	1	13	-88	500
R2INDX	IN180018	1	13	-88	1000
R2INDX	IN180019	1	13	-88	500
R2INDX	IN180020	1	13	-88	1500
R2INDX	IN180023	1	13	-88	800
R2INDX	IN180023	2	21	20	-88
R2INDX	IN180025	1	5	-88	200
R2INDX	IN180025	2	21	20	-88
R2INDX	IN180031	1	13	-88	1500
R2INDX	IN180031	2	21	51	-88
R2INDX	IN180032	1	13	-88	1000
R2INDX	IN180033	1	13	50	120
R2INDX	IN180033	2	21	40	-88
R2INDX	IN180034	1	13	100	800
R2INDX	IN180034	2	21	150	-88
R2INDX	IN180040	1	13	-88	2000
R2INDX	IN180040	2	18	-88	500
R2INDX	IN180044	1	13	-88	600
R2INDX	IN180047	1	13	200	2500
R2INDX	IN180047	2	19	-88	300
R2INDX	IN180047	3	21	100	-88
R2INDX	IN180048	1	19	-88	200
R2INDX	IN180048	2	21	50	100
R2INDX	IN180049	1	14	-88	100
R2INDX	IN180050	1	13	-88	1000
R2INDX	IN180058	1	13	-88	400
R2INDX	IN180059	1	13	0	3000
R2INDX	IN180063	1	13	200	1000
R2INDX	IN180066	1	13	400	800
R2INDX	IN180066	2	19	-88	150
R2INDX	IN180067	1	13	-88	700
R2INDX	IN180068	1	21	-88	150
R2INDX	IN180072	1	13	200	300
R2INDX	IN180073	1	14	-88	300
R2INDX	IN180073	2	7	100	500
R2INDX	IN180075	1	13	-88	300
R2INDX	IN180075	2	21	100	-88
R2INDX	IN180076	1	13	200	500
R2INDX	IN180076	2	21	150	-88
R2INDX	IN180078	1	13	-88	500
R2INDX	IN180079	1	13	-88	1000
R2INDX	IN180080	1	13	-88	1000
R2INDX	IN180081	1	14	70000	10000
R2INDX	IN180085	1	13	-88	500
R2INDX	IN180089	1	13	-88	200
R2INDX	IN180091	1	13	100	600
R2INDX	IN180091	2	21	50	-88
R2INDX	IN180093	1	13	200	150
R2INDX	IN180095	1	13	-88	250
R2INDX	IN180096	1	13	-88	250
R2INDX	IN180096	2	21	50	-88
R2INDX	IN180100	1	13	500	1500
R2INDX	IN180100	2	14	200	2000
