FORMNO	CHILDID	CRECHID	AGECRECH	CRECHDUR	CRECHTYP	PAYCRECH	CRCHQUAL	DAYSCREC	HRSCRECH	CRECHVIS
R2INDX	IN010091	1	28	1	1	1	2	6	4	1
R2INDX	IN020100	1	25	3	3	0	3	6	4	1
R2INDX	IN030039	1	30	1	1	1	3	6	6	1
R2INDX	IN030051	1	33	1	1	1	1	6	6	1
R2INDX	IN030081	1	29	2	1	1	3	6	6	1
R2INDX	IN030099	1	32	3	1	1	3	5	6	1
R2INDX	IN060012	1	26	2	3	0	3	4	3	1
R2INDX	IN090100	1	36	3	3	0	3	6	5	0
R2INDX	IN110099	1	25	2	3	0	4	5	2	0
R2INDX	IN120078	1	30	3	3	1	2	6	6	1
R2INDX	IN140012	1	26	3	3	0	3	3	3	1
R2INDX	IN140014	1	32	3	1	1	3	6	8	1
R2INDX	IN140021	1	36	77	1	1	3	6	7	1
R2INDX	IN140031	1	30	1	3	0	3	5	4	1
R2INDX	IN140032	1	29	2	3	0	2	6	4	0
R2INDX	IN140036	1	30	2	1	1	1	6	7	1
R2INDX	IN140041	1	30	1	3	0	3	3	3	1
R2INDX	IN140043	1	24	3	3	0	3	2	3	1
R2INDX	IN140050	1	27	2	3	0	2	4	6	0
R2INDX	IN140054	1	26	1	3	0	4	2	3	1
R2INDX	IN140059	1	35	2	1	1	2	6	8	1
R2INDX	IN140064	1	-77	3	1	1	3	6	6	1
R2INDX	IN140065	1	28	2	3	0	2	6	4	1
R2INDX	IN140074	1	30	2	1	1	2	6	8	1
R2INDX	IN140084	1	30	1	1	1	2	6	4	1
R2INDX	IN140089	1	30	2	3	0	4	6	8	1
R2INDX	IN150026	1	28	2	3	0	3	6	6	1
R2INDX	IN150045	1	28	3	3	0	3	4	6	1
R2INDX	IN150046	1	24	3	3	0	3	3	6	1
R2INDX	IN150048	1	30	2	3	0	2	3	3	1
R2INDX	IN150053	1	24	1	3	0	3	3	3	1
R2INDX	IN150058	1	26	2	3	0	3	3	3	1
R2INDX	IN150083	1	24	3	3	0	3	3	4	1
R2INDX	IN160009	1	26	3	3	0	4	6	3	1
R2INDX	IN160010	1	25	2	3	0	3	4	4	1
R2INDX	IN160013	1	38	2	3	0	2	3	3	1
R2INDX	IN160027	1	24	3	3	0	4	6	2	1
R2INDX	IN160068	1	30	1	3	0	4	4	4	1
R2INDX	IN170008	1	25	2	3	0	2	6	4	1
R2INDX	IN170009	1	14	3	3	0	2	6	3	1
R2INDX	IN170010	1	25	2	3	0	3	4	2	1
R2INDX	IN170012	1	30	1	3	0	3	6	3	1
R2INDX	IN170013	1	28	1	3	0	3	6	2	1
R2INDX	IN170014	1	26	3	3	0	3	6	3	1
R2INDX	IN170015	1	26	2	3	0	3	5	2	1
R2INDX	IN170017	1	25	2	3	0	2	4	2	1
R2INDX	IN170027	1	30	1	3	0	2	6	3	1
R2INDX	IN170031	1	28	2	3	0	3	4	2	1
R2INDX	IN170033	1	25	1	3	0	3	6	77	0
R2INDX	IN170034	1	30	1	3	0	2	6	3	1
R2INDX	IN170035	1	25	2	3	0	2	6	4	1
R2INDX	IN170036	1	30	1	3	0	3	6	3	1
R2INDX	IN170040	1	29	3	3	0	2	6	6	1
R2INDX	IN170041	1	30	2	3	0	2	6	4	1
R2INDX	IN170045	1	13	3	3	0	2	6	3	1
R2INDX	IN170049	1	25	2	3	0	3	6	3	1
R2INDX	IN170051	1	32	1	3	0	3	2	2	0
R2INDX	IN170053	1	30	2	3	1	2	6	5	0
R2INDX	IN170055	1	13	3	3	0	2	6	2	1
R2INDX	IN170056	1	24	2	3	0	2	6	3	1
R2INDX	IN170058	1	30	2	3	1	2	5	3	0
R2INDX	IN170059	1	30	1	3	0	3	5	4	0
R2INDX	IN170064	1	30	2	3	0	3	6	2	1
R2INDX	IN170065	1	25	2	3	0	3	6	2	0
R2INDX	IN170067	1	30	2	3	0	2	6	2	0
R2INDX	IN170071	1	13	3	3	0	2	6	3	1
R2INDX	IN170073	1	13	3	3	0	2	3	6	1
R2INDX	IN170074	1	13	3	3	0	2	6	3	1
R2INDX	IN170082	1	26	2	3	0	1	6	3	1
R2INDX	IN170087	1	30	1	3	0	3	3	2	1
R2INDX	IN170089	1	30	2	3	0	3	5	4	1
R2INDX	IN170090	1	25	2	3	0	3	4	3	1
R2INDX	IN170091	1	30	1	3	0	3	4	2	1
R2INDX	IN170094	1	28	1	3	0	3	6	3	1
R2INDX	IN170096	1	30	1	3	0	3	6	2	1
R2INDX	IN170097	1	14	3	3	0	2	6	3	1
R2INDX	IN170099	1	30	2	3	0	3	6	2	1
R2INDX	IN180001	1	13	3	3	1	2	6	3	1
