FORMNO	CHILDID	PREID	AGEPRESC	PRESCDUR	PRESCTYP	PAYPRESC	PRESCCRE	DAYSPRES	HRSPRESC	PRESCVIS
R2INDX	IN010001	1	45	4	1	1	2	6	6	1
R2INDX	IN010002	1	38	3	1	1	2	6	6	1
R2INDX	IN010003	1	38	1	3	0	2	4	2	0
R2INDX	IN010003	2	48	4	1	1	2	6	6	1
R2INDX	IN010004	1	34	4	1	1	2	6	5	1
R2INDX	IN010005	1	36	3	1	1	2	6	6	1
R2INDX	IN010006	1	37	3	1	1	2	6	5	1
R2INDX	IN010007	1	40	4	1	1	1	6	7	1
R2INDX	IN010008	1	42	4	3	0	2	6	5	1
R2INDX	IN010009	1	36	3	3	0	2	6	4	1
R2INDX	IN010010	1	36	2	3	0	2	6	4	1
R2INDX	IN010011	1	48	3	3	0	4	6	3	0
R2INDX	IN010012	1	38	2	3	0	4	6	4	0
R2INDX	IN010012	2	49	4	1	1	2	6	7	1
R2INDX	IN010013	1	39	2	1	1	1	6	6	1
R2INDX	IN010014	1	36	3	1	1	2	6	7	1
R2INDX	IN010015	1	38	4	1	1	2	6	5	1
R2INDX	IN010016	1	40	1	3	0	2	6	3	1
R2INDX	IN010016	2	48	4	1	1	2	6	8	1
R2INDX	IN010021	1	37	3	3	0	2	6	3	0
R2INDX	IN010025	1	48	4	1	1	2	6	7	1
R2INDX	IN010026	1	48	4	1	1	2	6	7	1
R2INDX	IN010027	1	48	4	1	1	2	6	9	1
R2INDX	IN010028	1	48	4	1	1	1	6	7	1
R2INDX	IN010029	1	48	4	1	1	3	6	7	1
R2INDX	IN010030	1	48	4	1	1	2	6	7	1
R2INDX	IN010031	1	48	4	1	1	2	6	7	1
R2INDX	IN010032	1	48	4	1	1	2	6	7	1
R2INDX	IN010033	1	48	4	1	1	2	6	6	1
R2INDX	IN010034	1	36	4	1	1	2	6	8	1
R2INDX	IN010039	1	36	1	1	1	2	6	6	1
R2INDX	IN010042	1	36	3	1	0	2	6	3	1
R2INDX	IN010043	1	36	2	1	0	3	6	3	1
R2INDX	IN010043	2	42	4	1	1	2	6	5	1
R2INDX	IN010044	1	36	3	1	1	2	6	5	1
