CHILDCODE	R2SchCode
10001	 
10002	2228
10003	 
10004	 
10005	2228
10006	2229
10007	 
10008	 
10009	98
10010	2231
10011	 
10012	 
10013	2232
10014	2228
10015	 
10016	 
10017	2228
10018	2228
10019	841
10020	2237
10021	843
10023	841
10024	2238
10025	122
10026	 
10027	 
10028	 
10029	 
10030	 
10031	 
10032	 
10033	 
10034	 
10035	2242
10036	2243
10037	2228
10038	 
10039	 
10040	 
10041	108
10042	 
10043	 
10044	2246
10045	2254
10046	2033
10047	 
10048	2256
10049	 
10050	 
10051	2259
10052	 
10053	 
10054	 
10055	 
10056	 
10057	122
10058	 
10059	 
10060	 
10062	 
10063	 
10064	 
10065	 
10066	 
10067	2263
10068	111
10069	 
10070	 
10071	 
10072	2264
10073	 
10074	 
10075	1378
10076	 
10077	 
10078	 
10079	 
10080	 
10081	124
10082	1775
10083	 
10084	124
10085	 
10086	 
10087	 
10088	2267
10089	 
10090	 
10091	 
10092	 
10093	 
10094	 
10095	124
10096	113
10097	124
10098	124
10099	857
10100	113
20001	 
20002	 
20003	 
20004	 
20005	2270
20006	 
20007	 
20008	2053
20009	 
20010	 
20011	 
20014	2273
20015	 
20016	859
20017	2275
20018	2276
20019	334
20020	 
20021	2277
20022	2052
20023	862
20024	327
20025	327
20026	 
20027	2279
20028	 
20029	2281
20030	 
20031	327
20032	 
20033	 
20034	 
20035	335
20036	347
20037	2285
20038	2286
20039	 
20040	2287
20041	335
20042	 
20043	338
20044	2288
20045	2285
20046	329
20047	329
20048	 
20049	2291
20050	321
20051	321
20052	329
20053	 
20054	321
20055	 
20056	321
20057	329
20058	321
20059	2293
20060	 
20061	321
20062	 
20063	342
20064	342
20065	 
20066	329
20067	2296
20068	329
20069	329
20070	 
20071	329
20072	862
20073	 
20074	322
20075	322
20076	 
20078	322
20079	 
20080	 
20081	2296
20082	 
20083	879
20084	 
20085	2296
20086	 
20087	2297
20088	 
20089	1579
20090	1579
20091	1579
20092	 
20093	1579
20094	2301
20095	862
20096	 
20097	2304
20098	2304
20099	 
20100	 
30001	 
30002	 
30003	 
30004	 
30005	 
30006	 
30007	 
30008	 
30009	 
30010	 
30011	 
30012	 
30013	 
30014	 
30015	 
30016	29
30017	 
30018	 
30019	 
30020	 
30021	 
30022	 
30023	 
30024	 
30026	 
30027	10
30028	 
30029	 
30030	 
30031	 
30032	901
30033	 
30034	 
30035	 
30036	 
30037	 
30038	 
30039	 
30040	2312
30042	 
30043	 
30045	 
30047	 
30048	 
30050	 
30051	 
30052	 
30053	898
30054	 
30055	 
30056	 
30057	 
30058	 
30059	 
30060	 
30061	 
30063	 
30064	 
30065	 
30066	 
30067	 
30068	 
30069	 
30070	 
30071	 
30072	 
30073	 
30074	 
30075	 
30076	 
30078	 
30079	 
30080	 
30081	 
30082	 
30083	 
30084	2318
30085	 
30086	 
30087	 
30088	 
30089	 
30090	 
30091	 
30092	 
30093	 
30094	 
30095	 
30096	 
30097	 
30098	2321
30099	 
30100	 
40001	2322
40002	2322
40003	 
40004	2322
40005	2322
40006	 
40007	2325
40008	1624
40009	2325
40010	 
40011	2322
40012	 
40013	2326
40014	 
40015	288
40016	288
40017	 
40018	288
40019	2328
40020	2330
40021	2328
40022	955
40023	 
40024	 
40025	2327
40027	2327
40028	 
40029	2327
40030	 
40031	292
40032	1652
40033	 
40034	 
40035	2331
40036	2328
40037	 
40038	2331
40039	300
40040	 
40041	289
40042	289
40043	 
40044	289
40045	289
40046	 
40047	 
40048	 
40049	923
40050	923
40051	 
40052	923
