formno	childid	id	age	memsex	relate	livhse	grade	still	chgrade	chstill	whynot	agegrade	agestsch	hhschtyp	perf	schoolen	disab	act1	months1	days1	hours1	act2	months2	days2	hours2	act3	months3	days3	hours3	sleep	chcare	hhchore	npaywork	paywork	school	study	play	inegsday	inegwage	inegchld	inegvill	inegcomp
R2INDX	IN010007	1	30	1	1	1	10	0	 	 	 	 	 	 	 	 	0	13	12	6	12	15	12	7	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010007	2	26	2	1	1	9	0	 	 	 	 	 	 	 	 	0	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010007	28	7	1	7	1	 	 	2	1	 	 	6	1	3	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	1	0	0	0	0	14	 	 	 	 	 
R2INDX	IN010008	0	5	2	0	1	 	 	0	0	30	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	12	0	0	0	0	5	0	7	 	 	 	 	 
R2INDX	IN010008	1	34	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010008	2	30	2	1	1	5	0	 	 	 	 	 	 	 	 	0	9	12	4	5	15	12	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010008	3	49	2	5	1	5	0	 	 	 	 	 	 	 	 	0	10	12	7	10	15	12	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010008	4	8	1	7	1	 	 	2	1	 	 	6	2	2	1	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	0	2	12	 	 	 	 	 
R2INDX	IN010009	0	5	2	0	1	 	 	2	1	 	 	5	3	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	1	0	0	0	7	3	3	 	 	 	 	 
R2INDX	IN010009	1	60	1	6	1	0	0	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010009	2	49	2	6	1	0	0	 	 	 	 	 	 	 	 	0	12	8	6	10	15	12	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010009	3	27	1	1	1	0	0	 	 	 	 	 	 	 	 	0	12	7	6	10	16	12	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010009	4	24	2	1	1	5	0	 	 	 	 	 	 	 	 	0	15	12	7	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010009	6	3	2	7	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010009	28	7	1	7	1	 	 	3	1	 	 	6	3	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	1	1	0	0	7	3	3	 	 	 	 	 
R2INDX	IN010010	0	5	2	0	1	 	 	0	1	 	 	5	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	0	0	0	7	0	8	 	 	 	 	 
R2INDX	IN010010	1	30	1	1	1	8	0	 	 	 	 	 	 	 	 	0	13	12	6	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010010	2	25	2	1	1	5	0	 	 	 	 	 	 	 	 	0	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010010	3	10	1	7	1	 	 	6	1	 	 	5	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	8	0	0	0	0	7	2	7	 	 	 	 	 
R2INDX	IN010010	4	9	1	7	1	 	 	5	1	 	 	5	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	0	0	0	7	2	6	 	 	 	 	 
R2INDX	IN010010	5	7	1	7	1	 	 	0	1	 	 	5	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	0	0	0	7	0	8	 	 	 	 	 
R2INDX	IN010011	0	4	2	0	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	11	0	0	0	0	7	0	6	 	 	 	 	 
R2INDX	IN010011	1	39	1	1	1	0	0	 	 	 	 	 	 	 	 	0	12	10	6	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010011	2	29	2	1	1	0	0	 	 	 	 	 	 	 	 	0	15	12	7	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010011	3	11	2	11	1	 	 	5	1	 	 	6	3	2	4	0	17	 	 	 	 	 	 	 	 	 	 	 	10	1	2	0	0	7	1	3	 	 	 	 	 
R2INDX	IN010011	4	7	2	7	1	 	 	3	1	 	 	5	3	2	3	0	17	 	 	 	 	 	 	 	 	 	 	 	10	1	0	0	0	7	1	5	 	 	 	 	 
R2INDX	IN010012	0	5	2	0	1	 	 	0	0	30	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	9	1	0	0	0	0	2	12	 	 	 	 	 
R2INDX	IN010012	1	30	1	1	1	11	0	 	 	 	 	 	 	 	 	0	9	12	6	6	9	12	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010012	2	24	2	1	1	6	0	 	 	 	 	 	 	 	 	0	15	12	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010012	3	2	2	7	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010013	0	5	2	0	1	 	 	1	1	 	 	4	3	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	4	0	10	 	 	 	 	 
