FORMNO	CHILDID	PLOTID	LAREA	LOWN	LUSE	TRANS	COLLAT	TRANSID	PLINCOME	PLVALUE	PLCOST	CRPRAIN1	CRPRAIN2	CROPDRY1	CROPDRY2	IRRIGAT	PERIRRIG
R2INDX	IN010001	1	.03	1	1	1	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010002	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010003	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010004	1	.05	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010005	1	.03	1	1	1	1	2	1	4800	0	 	 	 	 	 	 
R2INDX	IN010006	1	.04	2	1	0	0	88	 	 	 	 	 	 	 	 	 
R2INDX	IN010006	2	3	1	9	1	1	90	1	0	60000	 	 	 	 	 	 
R2INDX	IN010007	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010008	1	.03	1	1	1	1	3	0	-88	0	 	 	 	 	 	 
R2INDX	IN010009	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010010	1	.03	2	1	0	0	88	0	-88	12000	 	 	 	 	 	 
R2INDX	IN010011	1	.02	3	1	0	0	88	0	-88	5000	 	 	 	 	 	 
R2INDX	IN010012	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010013	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010014	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010015	1	.04	1	3	1	1	2	1	30000	0	 	 	 	 	 	 
R2INDX	IN010016	1	.02	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010017	1	.06	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010018	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010019	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010020	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010021	1	.05	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010023	1	.05	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN010023	2	1	1	5	1	1	2	1	31200	16000	53	88	53	88	1	4
R2INDX	IN010024	1	.02	2	1	0	0	88	0	-88	3600	 	 	 	 	 	 
R2INDX	IN010025	1	.08	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN010025	2	.07	1	1	1	1	2	1	28800	0	 	 	 	 	 	 
R2INDX	IN010026	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010027	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010028	1	.03	1	1	1	1	3	0	-88	0	 	 	 	 	 	 
R2INDX	IN010029	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010030	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010031	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010032	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010033	1	.02	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010034	1	.05	1	1	1	1	2	1	12000	0	 	 	 	 	 	 
R2INDX	IN010035	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010036	1	.03	1	1	1	1	3	0	-88	0	 	 	 	 	 	 
R2INDX	IN010037	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010038	1	.05	1	1	1	1	1	0	-88	25000	 	 	 	 	 	 
R2INDX	IN010038	2	2	1	5	1	1	1	1	33300	14000	53	88	53	88	1	4
R2INDX	IN010039	1	.06	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010040	1	.05	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN010041	1	.04	1	1	1	1	1	0	-88	150000	 	 	 	 	 	 
R2INDX	IN010042	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010043	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010044	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010045	1	.02	2	1	0	0	88	0	-88	2400	 	 	 	 	 	 
R2INDX	IN010046	1	.03	1	6	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010046	2	.02	1	1	1	1	90	0	-88	0	 	 	 	 	 	 
R2INDX	IN010047	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010048	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010049	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010050	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010051	1	.05	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010051	2	2	1	5	1	1	1	1	29600	16000	53	88	88	88	1	4
R2INDX	IN010051	3	1	1	5	1	1	1	1	14000	8000	53	88	88	88	1	4
R2INDX	IN010051	4	1	1	5	1	1	1	1	13200	8000	53	88	88	88	1	4
R2INDX	IN010052	1	.04	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010052	2	2	1	5	1	1	1	1	42000	20000	53	88	53	88	1	4
R2INDX	IN010053	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010054	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010055	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010056	1	.03	1	1	1	1	2	0	-88	20000	 	 	 	 	 	 
R2INDX	IN010057	1	.05	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010058	1	.02	2	1	0	0	88	0	-88	4800	 	 	 	 	 	 
R2INDX	IN010059	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010060	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010062	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010063	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010064	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010065	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010066	1	.02	1	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010067	1	.04	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010068	1	.03	1	1	1	1	4	0	-88	0	 	 	 	 	 	 
R2INDX	IN010069	1	.01	3	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010070	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010071	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010072	1	.02	3	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010073	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010074	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010075	1	.05	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN010076	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010077	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010078	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010079	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010080	1	.05	1	1	1	1	5	0	-88	0	 	 	 	 	 	 
R2INDX	IN010081	1	.03	1	1	1	1	1	0	-88	4000	 	 	 	 	 	 
R2INDX	IN010082	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010083	1	.02	1	1	1	1	1	0	-88	3000	 	 	 	 	 	 
R2INDX	IN010084	1	.03	1	1	1	1	1	0	-88	2000	 	 	 	 	 	 
R2INDX	IN010085	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010086	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010087	1	1	1	1	1	1	7	0	-88	0	 	 	 	 	 	 
R2INDX	IN010088	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010089	1	.02	1	1	1	1	90	0	-88	0	 	 	 	 	 	 
R2INDX	IN010090	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010091	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010092	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010093	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010094	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010095	1	.03	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN010096	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010097	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010098	1	.01	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN010099	1	.05	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN010099	2	1	1	5	1	1	3	1	6000	0	53	88	88	88	1	4
R2INDX	IN010100	1	.01	1	1	1	1	3	0	-88	0	 	 	 	 	 	 
R2INDX	IN020001	1	.02	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020002	1	.04	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020002	2	.5	1	5	1	1	1	1	5500	0	30	88	88	88	0	88
R2INDX	IN020002	3	1	1	5	1	1	1	1	24000	5000	48	88	88	88	0	88
R2INDX	IN020002	4	1	2	5	0	0	88	1	4500	2500	44	88	88	88	0	88
R2INDX	IN020003	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020003	2	1	1	7	1	1	1	1	6000	800	48	88	88	88	0	88
R2INDX	IN020004	1	.03	1	1	1	1	1	0	-88	2000	 	 	 	 	 	 
R2INDX	IN020004	2	2	1	7	1	1	1	1	8000	1500	48	88	88	88	0	88
R2INDX	IN020005	1	.04	1	1	0	0	88	0	-88	700	 	 	 	 	 	 
R2INDX	IN020005	2	1	1	7	1	1	1	1	18000	2500	48	88	88	88	0	88
R2INDX	IN020005	3	1	1	11	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020006	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020006	2	1.5	1	7	1	1	1	1	14400	2500	48	88	88	88	0	88
R2INDX	IN020007	1	.05	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020007	2	2	1	5	1	1	1	1	7000	6000	18	30	71	88	0	88
R2INDX	IN020007	3	1	1	7	0	0	88	0	-88	0	48	88	88	88	0	88
R2INDX	IN020008	1	.5	1	2	1	1	2	1	900	0	52	88	88	88	0	88
R2INDX	IN020008	2	1	1	5	1	1	2	1	3600	200	37	88	88	88	0	88
R2INDX	IN020008	3	1	1	5	1	1	2	1	6750	0	30	88	88	88	0	88
R2INDX	IN020009	1	.04	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN020009	2	1	1	5	1	1	2	1	1000	0	37	88	88	88	0	88
R2INDX	IN020010	1	2	1	2	1	1	2	1	4000	0	48	88	88	88	0	88
R2INDX	IN020010	2	1.5	1	5	1	1	2	1	900	0	57	52	88	88	0	88
R2INDX	IN020010	3	1.5	1	6	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN020011	1	.03	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN020011	2	3	1	5	1	1	2	1	5400	-88	37	88	88	88	0	88
R2INDX	IN020011	3	4	1	5	1	1	2	1	-88	4000	30	88	88	88	0	88
R2INDX	IN020012	1	.03	1	1	3	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020012	2	2	1	5	3	1	10	1	12000	0	48	88	88	88	0	88
R2INDX	IN020012	3	3	1	5	3	1	10	1	4000	0	48	88	88	88	0	88
R2INDX	IN020012	4	2	6	5	3	0	88	1	3000	0	37	88	88	88	0	88
R2INDX	IN020012	5	1	6	6	3	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020014	1	.05	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020014	2	1	6	5	0	0	88	1	3000	500	37	30	88	88	0	88
R2INDX	IN020014	3	.5	6	5	0	0	88	1	4800	0	48	88	88	88	0	88
R2INDX	IN020015	1	.05	1	1	1	0	88	0	-88	-88	 	 	 	 	 	 
R2INDX	IN020015	2	1	1	5	1	0	88	1	380	200	57	30	88	88	0	88
R2INDX	IN020015	3	1	1	7	1	0	88	1	10500	-88	48	88	88	88	0	88
R2INDX	IN020016	1	.03	1	1	1	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020016	2	2	1	7	1	1	1	0	-88	0	48	88	88	88	0	88
R2INDX	IN020017	1	.04	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN020017	2	1	6	5	0	0	88	0	-88	500	30	88	80	88	0	88
R2INDX	IN020018	1	.03	5	1	0	0	88	0	-88	600	 	 	 	 	 	 
R2INDX	IN020018	2	3	1	9	0	0	88	1	6000	-88	 	 	 	 	 	 
R2INDX	IN020018	3	2	1	7	0	0	88	1	36000	800	48	88	88	88	0	88
R2INDX	IN020018	4	3	1	5	0	0	88	1	3350	-88	37	30	88	88	0	88
R2INDX	IN020019	1	.03	1	1	1	1	90	0	-88	0	 	 	 	 	 	 
R2INDX	IN020019	2	1	1	1	1	1	90	1	5000	1000	48	88	88	88	0	88
R2INDX	IN020020	1	.02	1	1	0	0	88	1	-88	5000	 	 	 	 	 	 
R2INDX	IN020021	1	.03	1	1	1	1	1	0	-88	23000	 	 	 	 	 	 
R2INDX	IN020022	1	.05	1	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020022	2	3	1	5	0	0	88	1	12750	7500	18	88	88	88	0	88
R2INDX	IN020022	3	2	1	5	0	0	88	1	6600	1500	48	88	88	88	0	88
R2INDX	IN020023	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020024	1	.03	1	1	1	1	2	0	-88	-88	 	 	 	 	 	 
R2INDX	IN020024	2	2	1	5	1	1	2	0	-88	30000	21	88	88	88	0	88
R2INDX	IN020025	1	.02	1	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020025	2	.4	1	5	0	0	88	1	1350	450	37	88	88	88	0	88
R2INDX	IN020027	1	.02	1	2	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN020028	1	.02	1	1	1	1	6	0	-88	0	 	 	 	 	 	 
R2INDX	IN020029	1	.02	2	1	0	0	88	0	-88	1200	 	 	 	 	 	 
R2INDX	IN020030	1	.04	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020030	2	.15	6	5	0	0	88	0	-88	400	30	37	88	88	0	88
R2INDX	IN020031	1	.06	1	1	1	1	1	0	-88	60000	 	 	 	 	 	 
R2INDX	IN020031	2	2	1	7	1	1	1	1	200000	18250	48	88	88	88	0	88
R2INDX	IN020031	3	3	1	11	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020032	1	.04	5	1	3	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020033	1	.04	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN020033	2	1	1	5	1	1	1	1	4000	1500	30	88	88	88	0	88
R2INDX	IN020033	3	2	1	9	1	1	1	1	8000	0	48	88	88	88	0	88
R2INDX	IN020034	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020035	1	.03	3	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020036	1	.04	2	1	0	0	88	0	-88	2000	 	 	 	 	 	 
R2INDX	IN020037	1	.04	6	1	0	0	88	0	-88	1750	 	 	 	 	 	 
R2INDX	IN020038	1	.05	1	1	1	1	2	0	-88	7000	 	 	 	 	 	 
R2INDX	IN020039	1	.03	1	1	0	0	90	0	-88	2000	 	 	 	 	 	 
R2INDX	IN020040	1	.04	1	1	0	0	90	0	-88	0	 	 	 	 	 	 
R2INDX	IN020041	1	.1	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020042	1	.05	6	1	0	0	90	0	-88	0	 	 	 	 	 	 
R2INDX	IN020043	1	.2	1	1	1	1	3	0	-88	88	 	 	 	 	 	 
R2INDX	IN020043	2	.06	1	11	1	1	3	0	-88	88	 	 	 	 	 	 
R2INDX	IN020043	3	.3	1	16	1	1	3	0	-88	88	 	 	 	 	 	 
R2INDX	IN020043	4	.3	2	16	0	0	88	1	-88	30000	 	 	 	 	 	 
