FORMNO	CHILDID	GRPID	GROUP	IDGRP	YEARMEM	BENGRP1	BENGRP2	FRQATTEN	LEADMEM	YEARLEAD	PAREPOST	WHYJOIN	INFLNCE
R2INDX	IN010008	1	6	2	2004	3	6	3	0	-88	88	88	88
R2INDX	IN010008	2	6	3	2001	3	5	3	1	2001	0	5	2
R2INDX	IN010009	1	6	2	2006	4	3	3	0	-88	88	88	88
R2INDX	IN010011	1	6	2	2006	4	3	3	0	-88	88	88	88
R2INDX	IN010014	1	6	3	2006	11	1	3	0	-88	88	88	88
R2INDX	IN010021	1	6	2	2003	3	88	3	0	-88	88	88	88
R2INDX	IN010030	1	6	3	1999	3	5	3	0	-88	88	88	88
R2INDX	IN010035	1	6	2	2007	3	5	3	0	-88	88	88	88
R2INDX	IN010036	1	6	2	2006	3	5	3	0	-88	88	88	88
R2INDX	IN010037	1	6	2	2006	3	7	4	0	-88	88	88	88
R2INDX	IN010038	1	6	4	2005	3	4	4	1	2005	0	6	2
R2INDX	IN010038	2	6	7	2005	3	5	1	0	-88	88	88	88
R2INDX	IN010039	1	6	2	2006	3	5	77	0	-88	88	88	88
R2INDX	IN010043	1	6	2	2005	3	4	4	0	-88	88	88	88
R2INDX	IN010046	1	6	1	2007	4	3	3	1	-88	0	6	2
R2INDX	IN010051	1	6	2	2007	3	88	3	0	-88	88	88	88
R2INDX	IN010054	1	6	3	2000	3	5	3	0	-88	88	88	88
R2INDX	IN010059	1	6	2	2007	3	5	3	0	-88	88	88	88
R2INDX	IN010059	2	6	4	2007	3	5	3	0	-88	88	88	88
R2INDX	IN010070	1	6	2	2006	3	4	3	0	-88	88	88	88
R2INDX	IN010072	1	6	2	2007	4	3	3	0	-88	88	88	88
R2INDX	IN010073	1	6	4	2007	3	4	3	0	-88	88	88	88
R2INDX	IN010088	1	6	5	2007	3	4	3	0	-88	88	88	88
R2INDX	IN010090	1	6	5	2007	3	5	3	0	-88	88	88	88
R2INDX	IN010096	1	6	2	2004	3	6	3	0	-88	88	88	88
R2INDX	IN020002	1	6	2	2001	3	6	3	0	-88	88	88	88
R2INDX	IN020004	1	6	2	2002	3	6	3	1	2002	0	5	3
R2INDX	IN020005	1	6	2	2006	3	4	3	1	2006	0	6	2
R2INDX	IN020005	2	1	1	2007	3	6	6	0	-88	88	88	88
R2INDX	IN020006	1	6	2	2004	3	5	3	0	-88	88	88	88
R2INDX	IN020016	1	6	4	2004	3	88	3	0	-88	88	88	88
R2INDX	IN020020	1	6	2	2005	3	4	4	0	-88	88	88	88
R2INDX	IN020021	1	6	2	2006	3	88	4	0	-88	88	88	88
R2INDX	IN020022	1	6	4	2006	3	88	4	0	-88	88	88	88
R2INDX	IN020024	1	6	2	1998	3	6	3	1	1998	1	6	2
R2INDX	IN020025	1	6	1	2002	3	6	3	1	2006	1	5	3
R2INDX	IN020027	1	6	2	2006	3	6	3	1	2006	0	13	2
R2INDX	IN020029	1	6	2	2003	3	6	2	1	2003	0	5	2
R2INDX	IN020031	1	6	3	2003	3	6	3	0	-88	88	88	88
R2INDX	IN020033	1	6	2	2004	3	6	4	1	2004	0	6	2
R2INDX	IN020033	2	6	3	2004	3	4	4	0	-88	88	88	88
R2INDX	IN020033	3	6	5	2005	3	5	4	0	-88	88	88	88
R2INDX	IN020034	1	6	2	2006	3	4	3	1	2006	1	5	2
R2INDX	IN020035	1	6	2	2006	3	4	4	0	-88	88	88	88
R2INDX	IN020036	1	6	2	2004	3	4	3	1	2004	1	5	3
R2INDX	IN020037	1	6	2	2006	3	88	3	0	-88	88	88	88
R2INDX	IN020038	1	6	3	1996	3	6	3	1	1996	0	10	2
R2INDX	IN020039	1	6	3	2006	3	8	1	0	-88	88	88	88
R2INDX	IN020042	1	6	2	2002	3	88	3	0	-88	88	88	88
R2INDX	IN020043	1	6	8	1988	3	88	3	0	-88	88	88	88
R2INDX	IN020043	2	6	3	2003	7	88	3	0	-88	88	88	88
R2INDX	IN020044	1	6	2	2005	3	4	3	1	2005	0	6	2
R2INDX	IN020044	2	1	1	2006	4	3	3	0	-88	88	88	88
R2INDX	IN020045	1	6	2	1999	3	88	3	0	-88	88	88	88
R2INDX	IN020046	1	6	2	2005	3	4	3	1	2005	0	6	0
R2INDX	IN020049	1	6	2	2005	3	88	5	0	-88	88	88	88
R2INDX	IN020050	1	6	2	2003	3	6	3	0	-88	88	88	88
R2INDX	IN020052	1	2	2	1999	3	88	3	0	-88	88	88	88
R2INDX	IN020053	1	6	2	2006	3	6	3	1	2006	0	5	0
R2INDX	IN020056	1	6	2	2004	3	6	3	1	2004	1	9	2
R2INDX	IN020056	2	6	5	2006	3	7	3	0	-88	88	88	88
R2INDX	IN020056	3	1	1	2006	3	4	3	0	-88	88	88	88
R2INDX	IN020057	1	6	4	2003	3	4	4	1	2003	0	6	2
R2INDX	IN020057	2	1	3	2003	3	1	6	0	-88	88	88	88
R2INDX	IN020058	1	6	2	2006	3	88	3	1	2006	1	3	0
R2INDX	IN020059	1	6	2	2000	3	88	3	0	-88	88	88	88
R2INDX	IN020061	1	6	4	2006	3	6	3	0	-88	88	88	88
R2INDX	IN020062	1	6	2	2006	3	6	3	0	-88	88	88	88
R2INDX	IN020063	1	6	2	2006	3	5	2	0	-88	88	88	88
R2INDX	IN020065	1	6	2	2005	3	4	4	1	2005	0	6	3
R2INDX	IN020066	1	6	2	2001	3	6	2	1	2001	0	5	0
R2INDX	IN020067	1	6	2	2006	3	88	3	1	2006	0	5	0
R2INDX	IN020068	1	6	2	2001	3	6	3	0	-88	88	88	88
R2INDX	IN020069	1	6	2	2005	5	4	3	1	2005	0	6	3
R2INDX	IN020070	1	6	2	2003	3	4	3	0	-88	88	88	88
R2INDX	IN020071	1	6	1	2001	3	88	3	0	-88	88	88	88
R2INDX	IN020073	1	6	5	2003	3	5	2	0	-88	88	88	88
R2INDX	IN020076	1	6	1	2004	3	4	4	0	-88	88	88	88
R2INDX	IN020076	2	6	3	2004	3	4	3	1	2004	0	6	3
R2INDX	IN020078	1	6	2	2006	3	4	3	0	-88	88	88	88
R2INDX	IN020079	1	6	1	2004	3	5	3	0	-88	88	88	88
R2INDX	IN020079	2	6	3	2006	3	4	3	0	-88	88	88	88
R2INDX	IN020079	3	6	4	2006	3	4	3	0	-88	88	88	88
R2INDX	IN020080	1	2	3	2006	3	5	3	0	-88	88	88	88
R2INDX	IN020080	2	6	4	2006	3	6	3	0	-88	88	88	88
R2INDX	IN020081	1	6	2	2002	3	6	3	0	-88	88	88	88
R2INDX	IN020082	1	6	3	2005	3	4	4	0	-88	88	88	88
R2INDX	IN020083	1	6	2	2001	3	6	3	0	-88	88	88	88
R2INDX	IN020084	1	6	2	2006	3	6	3	0	-88	88	88	88
R2INDX	IN020086	1	6	2	2005	3	88	3	1	2005	0	8	0
R2INDX	IN020087	1	6	2	2006	3	4	3	0	-88	88	88	88
R2INDX	IN020090	1	6	3	2006	4	3	3	1	2006	0	5	3
R2INDX	IN020091	1	6	2	1999	3	2	3	0	-88	88	88	88
R2INDX	IN020093	1	6	2	2005	3	6	3	1	2002	0	5	3
R2INDX	IN020094	1	6	4	2006	3	4	3	1	2006	0	5	2
R2INDX	IN020095	1	6	2	1995	3	6	2	0	-88	88	88	88
R2INDX	IN020096	1	6	3	2005	3	4	4	1	2005	0	6	3
R2INDX	IN020097	1	6	4	2003	3	6	3	1	2003	0	5	2
R2INDX	IN020098	1	6	2	2003	3	6	2	1	2003	0	5	2
R2INDX	IN030001	1	6	4	2003	3	88	2	0	-88	88	88	88
R2INDX	IN030005	1	6	3	2007	3	4	3	0	-88	88	88	88
R2INDX	IN030008	1	6	6	2002	3	5	5	0	-88	88	88	88
R2INDX	IN030014	1	6	3	2005	3	6	7	0	-88	88	88	88
R2INDX	IN030015	1	6	2	2001	3	5	6	0	-88	88	88	88
R2INDX	IN030019	1	11	5	2003	3	88	2	0	-88	88	88	88
R2INDX	IN030021	1	6	3	2005	4	3	4	0	-88	88	88	88
R2INDX	IN030022	1	6	2	2004	1	5	4	0	-88	88	88	88
R2INDX	IN030026	1	6	5	2005	3	6	3	0	-88	88	88	88
R2INDX	IN030028	1	7	3	2000	2	4	5	0	-88	88	88	88
R2INDX	IN030028	2	7	4	2000	2	4	5	0	-88	88	88	88
R2INDX	IN030040	1	6	4	2002	3	88	4	0	-88	88	88	88
R2INDX	IN030043	1	6	5	2003	1	3	3	0	-88	88	88	88
R2INDX	IN030051	1	6	2	1998	3	5	3	1	1998	0	5	2
R2INDX	IN030055	1	6	8	2006	5	1	3	0	-88	88	88	88
R2INDX	IN030059	1	6	3	2004	3	4	3	0	-88	88	88	88
R2INDX	IN030059	2	6	5	2004	3	4	3	0	-88	88	88	88
R2INDX	IN030060	1	23	2	2004	3	8	3	0	-88	88	88	88
R2INDX	IN030061	1	23	2	2006	3	88	3	0	-88	88	88	88
R2INDX	IN030065	1	6	3	2003	3	88	3	1	2003	0	13	2
R2INDX	IN030066	1	6	2	2003	3	6	3	0	-88	88	88	88
R2INDX	IN030068	1	6	3	2003	3	4	3	0	-88	88	88	88
R2INDX	IN030071	1	6	2	2006	3	88	3	0	-88	88	88	88
R2INDX	IN030073	1	6	2	2000	3	5	3	1	2000	0	9	2
R2INDX	IN030079	1	6	2	2007	3	5	3	0	-88	88	88	88
R2INDX	IN030081	1	14	1	1992	5	2	3	0	-88	88	88	88
R2INDX	IN030082	1	6	3	2007	3	6	3	0	-88	88	88	88
R2INDX	IN030087	1	28	2	2006	3	88	3	0	-88	88	88	88
R2INDX	IN030091	1	6	2	2005	3	5	1	1	2005	0	5	2
R2INDX	IN030093	1	6	2	2003	3	88	3	0	-88	88	88	88
R2INDX	IN030093	2	22	3	2002	2	88	3	0	-88	88	88	88
R2INDX	IN030093	3	22	5	2005	2	88	5	0	-88	88	88	88
R2INDX	IN030099	1	22	4	2006	2	88	77	0	-88	88	88	88
R2INDX	IN030100	1	6	3	2004	3	4	3	1	2004	0	6	2
R2INDX	IN040002	1	6	2	2002	3	88	3	0	-88	88	88	88
R2INDX	IN040003	1	6	2	2003	3	88	3	0	-88	88	88	88
R2INDX	IN040004	1	6	3	2003	3	88	3	0	-88	88	88	88
R2INDX	IN040005	1	6	4	2004	3	88	3	0	-88	88	88	88
R2INDX	IN040006	1	6	3	2001	3	88	3	0	-88	88	88	88
R2INDX	IN040007	1	6	2	1997	3	5	3	0	-88	88	88	88
R2INDX	IN040008	1	6	2	2002	3	4	4	0	-88	88	88	88
R2INDX	IN040009	1	6	2	1997	3	4	5	0	-88	88	88	88
R2INDX	IN040009	2	1	1	2001	3	4	3	0	-88	88	88	88
