FORMNO	CHILDID	POSID	ID	POSHELD	POSFIRST	POSYEARS	POSTILL	POSREL	POSOUT	POSEFFEC
R2INDX	IN010012	1	1	18	2005	2	1	0	10	3
R2INDX	IN010014	1	2	3	2006	0	1	0	10	2
R2INDX	IN010076	1	1	18	1989	17	1	0	8	3
R2INDX	IN020073	1	3	17	2006	4	1	0	11	2
R2INDX	IN020096	1	2	13	2002	5	1	0	8	3
R2INDX	IN040031	1	1	1	1985	22	1	0	8	3
R2INDX	IN040065	1	2	6	2001	5	1	0	9	3
R2INDX	IN040065	2	3	16	2000	6	1	0	8	3
R2INDX	IN040096	1	2	18	2002	6	1	0	8	3
R2INDX	IN040097	1	2	13	2002	5	1	0	8	3
R2INDX	IN040098	1	3	8	1998	9	1	0	8	3
R2INDX	IN050021	1	2	17	2006	0	1	0	15	2
R2INDX	IN050088	1	2	17	1987	15	1	1	10	2
R2INDX	IN060002	1	2	14	2006	1	1	1	2	2
R2INDX	IN060061	1	2	18	2005	1	1	0	10	2
R2INDX	IN070024	1	3	17	2006	0	1	0	15	2
R2INDX	IN070081	1	3	18	2007	0	1	0	10	2
R2INDX	IN080052	1	3	18	2006	1	1	0	88	2
R2INDX	IN090091	1	2	17	2006	1	1	0	6	0
R2INDX	IN090092	1	4	18	2003	4	1	0	6	2
R2INDX	IN110009	1	3	17	2003	5	0	1	7	3
R2INDX	IN110009	2	1	18	1991	5	0	0	6	3
R2INDX	IN110039	1	6	17	1996	11	1	0	88	88
R2INDX	IN110050	1	2	16	1994	5	0	0	15	2
R2INDX	IN110059	1	2	17	2002	5	0	0	9	0
R2INDX	IN110097	1	5	17	2006	0	1	1	15	2
R2INDX	IN120014	1	4	17	2001	5	0	0	2	3
R2INDX	IN120014	2	5	17	2006	0	1	0	6	0
R2INDX	IN120070	1	3	17	2006	0	1	1	4	3
R2INDX	IN120090	1	2	4	2006	5	1	0	13	3
R2INDX	IN130033	1	2	17	2004	2	1	0	7	3
R2INDX	IN130040	1	2	17	1990	5	0	0	6	0
R2INDX	IN130063	1	1	16	1981	15	0	1	4	3
R2INDX	IN130063	2	2	16	1995	5	0	1	4	3
R2INDX	IN140070	1	3	4	2000	5	0	0	10	3
R2INDX	IN140070	2	4	4	2005	5	1	1	10	3
R2INDX	IN140070	3	4	11	2007	1	1	0	14	3
R2INDX	IN140100	1	3	13	2001	5	1	0	1	2
R2INDX	IN150039	1	4	17	2006	0	1	1	15	3
R2INDX	IN160007	1	3	4	2002	5	0	1	8	3
R2INDX	IN160028	1	3	13	1998	10	1	1	6	2
R2INDX	IN160032	1	7	18	2005	2	1	0	7	0
R2INDX	IN160036	1	1	18	2003	5	0	0	11	2
R2INDX	IN160066	1	1	1	2003	1	0	0	14	0
R2INDX	IN160097	1	2	13	1997	10	1	0	11	2
R2INDX	IN170002	1	2	17	1995	5	0	0	6	3
R2INDX	IN170002	2	2	18	2000	2	0	0	6	2
R2INDX	IN170023	1	3	16	2006	0	1	0	6	3
R2INDX	IN170070	1	1	4	2001	5	0	0	8	2
R2INDX	IN170076	1	2	17	2006	0	1	0	4	2
R2INDX	IN170087	1	1	1	1982	24	1	1	5	2
R2INDX	IN170090	1	4	17	2006	1	1	0	10	2
R2INDX	IN170092	1	4	18	2000	6	1	0	9	2
R2INDX	IN180008	1	3	18	1998	4	0	0	4	2
R2INDX	IN180035	1	1	17	2006	0	1	1	6	2
R2INDX	IN180043	1	2	4	2001	5	0	0	1	2
R2INDX	IN180048	1	1	17	1995	5	0	1	10	2
R2INDX	IN180071	1	3	3	2005	77	1	1	5	3
R2INDX	IN180076	1	1	17	2006	1	1	0	10	2
R2INDX	IN180100	1	6	16	2006	0	1	0	10	2
R2INDX	IN190010	1	1	17	2006	1	1	0	4	2
R2INDX	IN190055	1	1	11	2001	3	0	0	10	2
R2INDX	IN190059	1	1	1	1990	17	1	1	13	2
R2INDX	IN190065	1	2	17	2004	3	1	0	11	2
R2INDX	IN190076	1	2	11	2001	0	1	1	7	77
R2INDX	IN190081	1	2	3	2005	0	1	0	6	2
R2INDX	IN200039	1	1	3	2005	2	1	0	6	2
