CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	PYMRECR4	KEEPMYR4	SPTIMR4
30096	1	26	1	0	 	1
30096	2	22	1	0	 	2
30096	3	20	1	0	 	2
30097	1	22	1	0	 	1
30098	1	20	1	0	 	1
30098	2	22	1	0	 	2
40006	1	5	2	1	1	2
40008	1	22	1	0	 	1
40012	1	25	2	1	2	1
40046	1	5	1	0	 	2
40050	1	7	1	0	 	2
40054	1	4	1	0	 	2
40071	1	23	1	0	 	1
40078	1	4	1	0	 	1
40079	1	20	1	0	 	1
40093	1	22	1	0	 	1
50003	1	24	1	0	 	2
50010	1	7	2	1	0	2
50054	1	7	1	0	 	2
50054	2	7	1	0	 	2
50056	1	22	1	0	 	1
50076	1	1	2	2	1	2
60002	1	7	1	0	 	1
60002	2	24	1	0	 	2
60003	1	7	1	0	 	1
60003	2	7	1	0	 	2
60003	3	20	1	0	 	2
60004	1	7	1	0	 	1
60004	2	7	1	0	 	2
60006	1	24	1	0	 	1
60006	2	20	1	0	 	2
60006	3	7	1	0	 	2
60007	1	7	1	0	 	1
60007	2	7	1	0	 	2
60007	3	24	1	0	 	2
60007	4	7	1	1	2	2
60007	5	7	1	0	 	2
60008	1	24	1	0	 	1
60008	2	7	1	0	 	2
60008	3	20	1	0	 	2
60009	1	7	1	0	 	1
60009	2	24	1	0	 	2
60010	1	7	1	0	 	1
60010	2	7	1	0	 	2
60011	1	7	1	0	 	1
60011	2	7	1	0	 	2
60012	1	7	1	0	 	1
60012	2	24	1	0	 	2
60012	3	7	1	1	2	2
60012	4	20	1	0	 	2
60013	1	7	3	2	1	1
60013	2	24	1	0	 	2
60013	3	7	1	0	 	2
60014	1	7	1	0	 	1
60014	2	24	1	0	 	2
60016	1	24	1	0	 	1
60016	2	7	1	0	 	2
60017	1	24	1	0	 	1
60017	2	7	1	0	 	2
60017	3	7	1	1	2	2
60018	1	7	1	0	 	1
60018	2	24	1	0	 	2
60019	1	7	3	2	1	1
60019	2	7	1	0	 	2
60019	3	20	1	0	 	2
60020	1	7	3	2	1	1
60020	2	7	1	0	 	2
60021	1	7	1	0	 	1
60021	2	24	1	0	 	2
60021	3	7	1	1	2	2
60021	4	20	1	0	 	2
60022	1	7	1	0	 	1
60022	2	7	1	0	 	2
60022	3	7	1	0	 	2
60023	1	7	3	2	1	1
60023	2	7	1	0	 	2
60023	3	20	1	0	 	2
60024	1	7	1	0	 	1
60024	2	24	1	0	 	2
60024	3	20	1	0	 	2
60025	1	24	1	0	 	1
60026	1	7	3	2	1	1
60026	2	24	1	0	 	2
60027	1	7	1	0	 	1
60027	2	24	1	0	 	2
60027	3	20	1	0	 	2
60028	1	7	1	1	0	1
60028	2	7	1	0	 	2
60028	3	7	1	0	 	2
60029	1	7	1	0	 	1
60029	2	24	1	0	 	2
60029	3	7	1	1	2	2
60030	1	7	1	0	 	1
60030	2	7	1	0	 	2
60030	3	24	1	0	 	2
60031	1	7	1	0	 	1
60031	2	24	1	0	 	2
60032	1	7	1	0	 	1
60032	2	24	1	0	 	2
60032	3	20	1	0	 	2
60032	4	7	1	0	 	2
60034	1	7	1	0	 	1
60034	2	24	1	0	 	2
60035	1	7	1	0	 	1
60035	2	24	1	0	 	2
60035	3	20	1	0	 	2
60035	4	7	1	0	 	2
60036	1	7	2	3	2	1
60036	2	7	1	0	 	2
60036	3	7	1	0	 	2
60036	4	21	1	0	 	2
60037	1	24	1	0	 	1
60037	2	7	3	0	 	2
60038	1	7	1	0	 	1
60038	2	20	1	0	 	2
60038	3	7	1	1	1	2
60039	1	7	1	0	 	1
60039	2	20	1	0	 	2
60040	1	7	1	1	0	1
60040	2	24	1	0	 	2
60040	3	7	1	0	 	2
60041	1	7	1	0	 	1
60041	2	7	1	0	 	2
60042	1	7	1	0	 	1
60042	2	23	1	0	 	2
60043	1	7	1	0	 	1
60043	2	24	1	0	 	2
60043	3	20	1	0	 	2
60045	1	7	3	0	 	1
60045	2	7	1	0	 	2
60046	1	7	1	0	 	1
60046	2	7	1	0	 	2
60046	4	20	1	0	 	2
60047	1	7	1	1	2	1
60047	2	7	1	0	 	2
60047	3	7	1	0	 	2
60048	1	7	3	0	 	1
60048	2	24	1	0	 	2
60048	3	20	1	0	 	2
60049	1	7	1	0	 	1
60049	2	24	1	0	 	2
60050	1	7	1	0	 	1
60050	2	7	1	0	 	2
60050	3	20	1	0	 	2
60051	1	7	1	0	 	1
60051	2	24	1	0	 	2
60051	3	20	1	0	 	2
60052	1	7	1	0	 	1
60052	2	24	1	0	 	2
60052	3	7	1	0	 	2
60053	1	7	1	0	 	1
60053	2	7	1	0	 	2
60053	3	7	1	0	 	2
60053	4	7	1	1	2	2
60054	1	7	1	0	 	1
60054	2	7	1	0	 	2
60054	3	24	1	0	 	2
60055	1	24	1	0	 	1
60055	2	20	1	0	 	2
60055	3	7	1	0	 	2
60056	1	7	1	0	 	1
60058	1	24	1	0	 	1
60059	1	7	1	0	 	1
60059	2	7	1	0	 	2
60059	3	24	1	0	 	2
60060	1	7	1	0	 	1
60060	2	7	1	0	 	2
60061	1	7	3	1	0	1
60061	2	20	1	0	 	2
60061	3	7	1	0	 	2
60062	1	7	1	0	 	1
60062	2	7	1	0	 	2
60062	3	20	1	0	 	2
60063	1	7	1	0	 	1
60063	2	24	1	0	 	2
60063	3	20	1	0	 	2
60064	1	7	1	0	 	1
60064	2	24	1	0	 	2
60065	1	7	1	0	 	1
60065	2	20	1	0	 	2
60065	3	24	1	0	 	2
60065	4	24	1	1	1	2
60066	1	7	3	0	 	1
60066	2	7	3	0	 	2
60066	3	24	3	0	 	2
60066	4	20	1	0	 	2
60067	1	7	1	0	 	1
60067	2	24	1	0	 	2
60067	3	7	1	1	0	2
60068	1	7	1	0	 	1
60068	2	7	1	0	 	2
60068	3	24	1	0	 	2
60071	1	24	1	0	 	1
60071	2	7	1	0	 	2
60072	1	7	1	0	 	1
60072	2	20	1	0	 	2
60072	3	24	1	0	 	2
60072	4	7	1	0	 	2
60073	1	7	2	2	2	1
60073	2	7	1	1	2	2
60073	3	7	1	0	 	2
60074	1	7	1	0	 	1
60074	2	7	1	0	 	2
60074	3	20	1	0	 	2
60074	4	7	1	1	1	2
60075	1	7	1	0	 	1
60075	2	24	1	0	 	2
60076	1	7	1	0	 	1
60076	2	24	1	0	 	2
60077	1	7	1	0	 	1
60077	2	7	1	0	 	2
60077	3	20	1	0	 	2
60078	1	7	1	0	 	1
60078	2	24	1	0	 	2
60080	1	7	2	0	 	1
60080	2	20	1	0	 	2
60080	3	7	1	0	 	2
60081	1	24	1	0	 	1
60081	2	7	1	0	 	2
60082	1	20	1	0	 	1
60082	2	24	1	0	 	2
60083	1	7	1	0	 	1
60083	2	7	1	0	 	2
60084	1	7	1	0	 	1
60084	2	24	1	0	 	2
60085	1	7	1	0	 	1
60085	2	24	1	0	 	2
60085	3	20	1	0	 	2
60086	1	21	1	0	 	1
60086	2	24	1	0	 	1
60087	1	7	1	0	 	1
60087	2	20	1	0	 	2
60087	3	24	1	0	 	2
60088	1	7	1	0	 	1
60088	2	24	1	0	 	2
60089	1	7	1	0	 	1
60089	2	20	1	0	 	2
60089	3	24	1	0	 	2
60091	1	7	3	2	1	1
60091	2	7	1	0	 	2
60091	3	7	1	0	 	2
60091	4	20	1	0	 	2
60092	1	24	1	0	 	1
60092	2	7	1	0	 	2
60092	3	20	1	0	 	2
60093	1	7	1	0	 	1
60093	2	7	1	0	 	2
60093	3	7	1	0	 	2
60094	1	7	1	0	 	1
60094	2	24	1	0	 	2
60094	3	7	1	0	 	2
60095	1	24	1	0	 	1
60096	1	7	1	0	 	1
60096	2	7	1	0	 	2
60096	3	7	1	0	 	2
60097	1	7	1	0	 	1
60097	2	7	1	0	 	2
60097	3	24	1	0	 	2
60098	1	7	1	0	 	1
60098	2	24	1	0	 	2
60098	3	20	1	0	 	2
60100	1	7	1	0	 	1
60100	2	20	1	0	 	2
60100	3	7	1	0	 	2
