CHILDCODE	TRANIDR5	TYPTRNR5	DELTRNR5	PAYTRNR5	DURTTLR5	TRNCMPR5	ATDTRNR5	CRTDIPR5
11012	1	2	1	1	12	1	 	 
11019	1	1	1	1	12	1	 	1
11021	1	2	7	1	8	0	4	 
11023	1	2	3	1	2000	0	4	 
11026	1	1	2	1	1000	1	 	0
11026	2	1	2	1	800	1	 	1
11032	1	3	3	1	64	0	40	0
11034	1	2	3	1	12	1	 	 
11035	1	1	3	1	8	1	 	1
11037	1	2	7	1	12	1	 	 
11041	1	2	6	0	40	0	20	 
11047	1	1	3	1	12	1	 	1
11049	1	1	2	1	12	1	 	1
11050	1	4	1	0	6	1	 	1
21005	1	1	8	0	24	0	4	 
21007	1	2	5	0	6	1	 	 
21013	1	1	3	0	12	0	4	1
21019	1	2	7	0	6	1	 	 
21023	1	2	6	0	96	1	 	 
21028	1	1	3	1	8	1	 	1
21031	1	1	6	0	8	1	 	 
21043	1	4	1	0	12	1	 	1
21045	1	2	8	0	12	1	 	 
21047	1	1	1	0	12	0	3	1
31005	1	2	1	0	10	1	 	 
31011	1	1	3	1	30	1	 	1
31013	1	1	3	1	6	1	 	1
31014	1	2	7	0	72	1	 	 
31019	1	1	7	1	16	1	 	1
31020	1	 	 	 	 	 	 	 
31022	1	2	3	1	7	1	 	 
31025	1	1	7	1	16	1	 	1
31026	1	1	7	1	24	1	 	1
31027	1	1	1	0	12	1	 	1
31030	1	 	 	 	 	 	 	 
31031	1	 	 	 	 	 	 	 
31038	1	1	7	1	12	1	 	1
31040	1	1	7	1	4	1	 	1
31043	1	1	7	1	8	1	 	0
31043	2	1	7	1	4	1	 	1
31043	3	1	7	1	36	1	 	1
31049	1	2	7	1	6	1	 	 
41001	1	1	1	0	4	1	 	1
41003	1	2	1	0	6	1	 	 
41004	1	1	1	0	3	1	 	0
41012	1	1	4	0	12	1	 	0
41014	1	1	1	0	4	1	 	1
41018	1	1	1	0	12	1	 	0
41019	1	1	1	0	6	1	 	1
41021	1	1	1	0	8	1	 	1
41027	1	1	2	1	24	1	 	1
41029	1	1	1	1	5	1	 	0
41034	1	2	3	1	8	1	 	 
41035	1	2	3	1	36	1	 	 
41039	1	2	2	1	2000	1	 	 
41040	1	2	3	1	2600	1	 	 
41041	1	1	4	1	12	1	 	1
41043	1	2	7	1	3000	0	8	 
41047	1	1	1	0	8	1	 	1
41049	1	1	2	1	24	1	 	0
51007	1	1	3	1	4	1	 	1
51008	1	2	3	1	12	1	 	 
51008	2	2	3	1	8	1	 	 
51009	1	2	3	1	8	1	 	 
51009	2	2	3	1	24	1	 	 
51010	1	1	4	0	6	1	 	1
51011	1	4	1	0	8	1	 	1
51016	1	2	2	1	6	1	 	 
51020	1	1	1	0	5	1	 	1
51038	1	2	1	1	25	0	12	 
51042	1	2	3	0	4	1	 	 
51048	1	2	7	1	44	0	40	 
61003	1	1	4	0	6	1	 	1
61006	1	2	5	0	15	1	 	 
61013	1	1	1	0	6	1	 	1
