CHILDCODE	ACTIDR5	ACTR5	ACTMTHR5	ACTDYMTR5	ACTWEKR5	ACTDAYHR5	ACTHRSR5	PYMRECR5	ERNCSHR5	HWPAIDR5	PDPCPRR5	ERNKNDR5	HWKINDR5	PDPCKNR5	PRFACTR5	MTHPRFR5	ACTOWNR5
11026	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	1	13	12	26	 	 	12	1	6000	4	 	 	 	 	1	12	1
11031	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11032	1	13	12	27	 	 	8	1	12000	4	 	 	 	 	1	12	1
11032	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11032	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11035	1	13	12	22	 	 	9	1	10900	4	 	 	 	 	1	12	1
11035	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11035	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11036	1	13	12	24	 	 	9	1	23000	4	 	 	 	 	1	12	1
11036	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11036	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	1	13	8	26	 	 	10	1	6000	4	 	 	 	 	1	5	3
11039	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11040	1	13	3	22	 	 	9	1	18000	4	 	 	 	 	1	12	1
11040	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11040	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11042	1	12	7	15	 	 	8	1	300	2	 	 	 	 	1	7	3
11042	2	19	5	10	 	 	6	1	250	2	 	 	 	 	1	5	2
11042	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11043	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11043	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11043	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11044	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11044	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11044	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11045	1	13	8	25	 	 	8	1	7000	4	 	 	 	 	1	8	7
11045	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11045	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11046	1	13	12	26	 	 	8	1	7500	4	 	 	 	 	1	12	3
11046	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11046	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11047	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11047	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11047	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11048	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11048	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11048	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11049	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11049	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11049	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11050	1	13	9	25	 	 	8	1	3000	4	 	 	 	 	0	 	7
11050	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11050	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21001	1	12	6	25	 	 	9	1	130	2	 	 	 	 	1	6	3
21001	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21001	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21002	1	12	6	20	 	 	9	1	130	2	 	 	 	 	1	6	3
21002	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21002	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21003	1	6	12	30	 	 	12	1	6500	4	 	 	 	 	1	12	3
21003	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21003	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21004	1	12	9	15	 	 	8	1	250	2	 	 	 	 	1	10	3
21004	2	2	3	24	 	 	4	0	 	 	 	 	 	 	1	3	2
21004	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21005	1	1	1	14	 	 	7	0	 	 	 	 	 	 	0	2	6
21005	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21005	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21006	1	2	1	2	 	 	8	0	 	 	 	 	 	 	1	3	2
21006	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21006	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21007	1	13	12	25	 	 	8	1	6000	4	 	 	 	 	1	12	3
21007	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21007	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21008	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21008	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
