CHILDCODE	SCHCSTIDR5	FEESR5
21050	3	1000
21050	4	0
31002	1	1500
31002	2	6500
31002	3	45000
31002	4	0
31005	1	5000
31005	2	1500
31005	3	0
31005	4	0
31006	1	 
31006	2	 
31006	3	 
31006	4	 
31007	1	80000
31007	2	8000
31007	3	55000
31007	4	0
31009	1	3000
31009	2	3000
31009	3	0
31009	4	0
31010	1	800
31010	2	870
31010	3	0
31010	4	0
31011	1	3000
31011	2	500
31011	3	0
31011	4	0
31012	1	1500
31012	2	2500
31012	3	6000
31012	4	0
31013	1	7000
31013	2	8000
31013	3	0
31013	4	0
31014	1	 
31014	2	 
31014	3	 
31014	4	 
31015	1	 
31015	2	 
31015	3	 
31015	4	 
31016	1	 
31016	2	 
31016	3	 
31016	4	 
31018	1	6000
31018	2	2500
31018	3	35000
31018	4	0
31019	1	-77
31019	2	-77
31019	3	-77
31019	4	-77
31020	1	110000
31020	2	15000
31020	3	30000
31020	4	0
31022	1	1000
31022	2	1875
31022	3	8000
31022	4	0
31023	1	0
31023	2	1600
31023	3	30000
31023	4	0
31024	1	500
31024	2	800
31024	3	0
31024	4	0
31025	1	-77
31025	2	-77
31025	3	-77
31025	4	-77
31026	1	 
31026	2	 
31026	3	 
31026	4	 
31027	1	0
31027	2	650
31027	3	0
31027	4	0
31028	1	 
31028	2	 
31028	3	 
31028	4	 
31029	1	 
31029	2	 
31029	3	 
31029	4	 
31030	1	 
31030	2	 
31030	3	 
31030	4	 
31031	1	1000
31031	2	1800
31031	3	0
31031	4	0
31032	1	 
31032	2	 
31032	3	 
31032	4	 
31033	1	1000
31033	2	2000
31033	3	0
31033	4	0
31034	1	1500
31034	2	800
31034	3	0
31034	4	0
31035	1	 
31035	2	 
31035	3	 
31035	4	 
31036	1	-77
31036	2	-77
31036	3	-77
31036	4	-77
31038	1	-77
31038	2	-77
31038	3	-77
31038	4	-77
31039	1	1000
31039	2	2000
31039	3	0
31039	4	0
31040	1	-77
31040	2	-77
31040	3	-77
31040	4	-77
31041	1	6000
31041	2	3000
31041	3	0
31041	4	0
31042	1	1000
31042	2	5000
31042	3	12000
31042	4	0
31043	1	-77
31043	2	-77
31043	3	-77
31043	4	-77
31047	1	-77
31047	2	-77
31047	3	-77
31047	4	-77
31048	1	1500
31048	2	2000
31048	3	0
31048	4	0
31049	1	10000
31049	2	0
31049	3	80000
31049	4	0
31050	1	 
31050	2	 
31050	3	 
31050	4	 
41001	1	300
41001	2	550
41001	3	0
41001	4	0
41002	1	-77
41002	2	-777
41002	3	-77
41002	4	-77
41003	1	 
41003	2	 
41003	3	 
41003	4	 
41004	1	 
41004	2	 
41004	3	 
41004	4	 
41005	1	650
41005	2	500
41005	3	0
41005	4	0
41006	1	-77
41006	2	-77
41006	3	-77
41006	4	-77
41007	1	 
41007	2	 
41007	3	 
41007	4	 
41009	1	-77
41009	2	-77
41009	3	-77
41009	4	-77
41010	1	0
41010	2	90
41010	3	0
41010	4	0
41011	1	 
41011	2	 
41011	3	 
41011	4	 
41012	1	-77
41012	2	-77
41012	3	-77
41012	4	-77
41013	1	-77
41013	2	-77
41013	3	-77
41013	4	-77
41014	1	-77
41014	2	-77
41014	3	-77
41014	4	-77
41015	1	 
41015	2	 
41015	3	 
41015	4	 
41016	1	-77
41016	2	-77
41016	3	-.0700000002980232
41016	4	-77
41017	1	70000
41017	2	500
41017	3	0
41017	4	0
41018	1	-77
41018	2	-77
41018	3	-77
41018	4	-77
41019	1	-77
41019	2	-77
41019	3	-77
41019	4	-77
41020	1	 
41020	2	 
41020	3	 
41020	4	 
41021	1	-77
41021	2	-77
41021	3	-77
41021	4	-77
41022	1	0
41022	2	150
41022	3	0
41022	4	0
41023	1	 
41023	2	 
41023	3	 
41023	4	 
41024	1	-77
41024	2	-77
41024	3	-77
41024	4	-77
41025	1	-77
41025	2	-77
41025	3	-77
41025	4	-77
41026	1	 
41026	2	 
41026	3	 
41026	4	 
41027	1	-77
41027	2	-77
41027	3	-77
41027	4	-77
41028	1	-77
41028	2	-77
41028	3	-77
41028	4	-77
41029	1	10000
41029	2	6500
41029	3	0
41029	4	1000
41030	1	-77
41030	2	-77
41030	3	-77
41030	4	-77
41031	1	-77
41031	2	-77
41031	3	-77
41031	4	-77
