CHILDCODE	SCHCSTIDR52	FEES2R5
11032	9	 
11032	10	 
11032	11	 
11034	6	 
11034	7	 
11034	8	 
11034	9	 
11034	10	 
11034	11	 
11035	6	0
11035	7	0
11035	8	7200
11035	9	0
11035	10	15000
11035	11	3000
11036	6	0
11036	7	0
11036	8	0
11036	9	0
11036	10	0
11036	11	0
11037	6	 
11037	7	 
11037	8	 
11037	9	 
11037	10	 
11037	11	 
11038	6	 
11038	7	 
11038	8	 
11038	9	 
11038	10	 
11038	11	 
11039	6	 
11039	7	 
11039	8	 
11039	9	 
11039	10	 
11039	11	 
11040	6	 
11040	7	 
11040	8	 
11040	9	 
11040	10	 
11040	11	 
11041	6	 
11041	7	 
11041	8	 
11041	9	 
11041	10	 
11041	11	 
11042	6	0
11042	7	0
11042	8	7200
11042	9	0
11042	10	0
11042	11	200
11043	6	0
11043	7	40000
11043	8	0
11043	9	20000
11043	10	34000
11043	11	12000
11044	6	 
11044	7	 
11044	8	 
11044	9	 
11044	10	 
11044	11	 
11045	6	 
11045	7	 
11045	8	 
11045	9	 
11045	10	 
11045	11	 
11046	6	 
11046	7	 
11046	8	 
11046	9	 
11046	10	 
11046	11	 
11047	6	0
11047	7	0
11047	8	0
11047	9	0
11047	10	0
11047	11	5000
11048	6	 
11048	7	 
11048	8	 
11048	9	 
11048	10	 
11048	11	 
11049	6	0
11049	7	0
11049	8	0
11049	9	0
11049	10	900
11049	11	1750
11050	6	 
11050	7	 
11050	8	 
11050	9	 
11050	10	 
11050	11	 
21001	6	 
21001	7	 
21001	8	 
21001	9	 
21001	10	 
21001	11	 
21002	6	 
21002	7	 
21002	8	 
21002	9	 
21002	10	 
21002	11	 
21003	6	 
21003	7	 
21003	8	 
21003	9	 
21003	10	 
21003	11	 
21004	6	 
21004	7	 
21004	8	 
21004	9	 
21004	10	 
21004	11	 
21005	6	 
21005	7	 
21005	8	 
21005	9	 
21005	10	 
21005	11	 
21006	6	 
21006	7	 
21006	8	 
21006	9	 
21006	10	 
21006	11	 
21007	6	0
21007	7	0
21007	8	0
21007	9	0
21007	10	0
21007	11	0
21008	6	 
21008	7	 
21008	8	 
21008	9	 
21008	10	 
21008	11	 
21009	6	0
21009	7	4000
21009	8	500
21009	9	0
21009	10	0
21009	11	500
21010	6	0
21010	7	0
21010	8	0
21010	9	8000
21010	10	0
21010	11	3000
21011	6	5000
21011	7	0
21011	8	1800
21011	9	0
21011	10	0
21011	11	10000
21012	6	 
21012	7	 
21012	8	 
21012	9	 
21012	10	 
21012	11	 
21013	6	 
21013	7	 
21013	8	 
21013	9	 
21013	10	 
21013	11	 
21014	6	 
21014	7	 
21014	8	 
21014	9	 
21014	10	 
21014	11	 
21015	6	 
21015	7	 
21015	8	 
21015	9	 
21015	10	 
21015	11	 
21016	6	 
21016	7	 
21016	8	 
21016	9	 
21016	10	 
21016	11	 
21017	6	 
21017	7	 
21017	8	 
21017	9	 
21017	10	 
21017	11	 
21018	6	0
21018	7	0
21018	8	3600
21018	9	0
21018	10	80
21018	11	1000
21019	6	0
21019	7	10000
21019	8	0
21019	9	0
21019	10	0
21019	11	1500
21020	6	 
21020	7	 
21020	8	 
21020	9	 
21020	10	 
21020	11	 
21021	6	3000
21021	7	2000
21021	8	1500
21021	9	0
21021	10	0
21021	11	3500
21022	6	 
21022	7	 
21022	8	 
21022	9	 
21022	10	 
21022	11	 
21023	6	0
21023	7	0
21023	8	300
21023	9	0
21023	10	0
21023	11	0
21024	6	 
21024	7	 
21024	8	 
21024	9	 
21024	10	 
21024	11	 
21025	6	 
21025	7	 
21025	8	 
21025	9	 
21025	10	 
21025	11	 
21026	6	 
21026	7	 
21026	8	 
21026	9	 
21026	10	 
21026	11	 
21027	6	 
21027	7	 
21027	8	 
21027	9	 
21027	10	 
21027	11	 
21028	6	0
21028	7	0
21028	8	0
21028	9	1000
21028	10	0
21028	11	1000
21029	6	 
21029	7	 
21029	8	 
21029	9	 
21029	10	 
21029	11	 
21030	6	 
21030	7	 
21030	8	 
21030	9	 
21030	10	 
21030	11	 
21031	6	 
21031	7	 
21031	8	 
21031	9	 
21031	10	 
21031	11	 
21032	6	 
21032	7	 
21032	8	 
21032	9	 
21032	10	 
21032	11	 
21033	6	 
21033	7	 
21033	8	 
21033	9	 
21033	10	 
21033	11	 
21034	6	 
21034	7	 
21034	8	 
21034	9	 
21034	10	 
21034	11	 
21035	6	 
21035	7	 
21035	8	 
21035	9	 
21035	10	 
21035	11	 
21036	6	 
21036	7	 
21036	8	 
21036	9	 
21036	10	 
21036	11	 
21037	6	 
21037	7	 
21037	8	 
21037	9	 
21037	10	 
21037	11	 
21038	6	 
21038	7	 
21038	8	 
21038	9	 
21038	10	 
21038	11	 
21039	6	0
21039	7	0
21039	8	0
21039	9	40000
21039	10	0
21039	11	1000
21040	6	 
21040	7	 
21040	8	 
21040	9	 
21040	10	 
21040	11	 
21042	6	 
21042	7	 
21042	8	 
21042	9	 
21042	10	 
21042	11	 
21043	6	 
21043	7	 
21043	8	 
21043	9	 
21043	10	 
21043	11	 
21044	6	 
21044	7	 
21044	8	 
21044	9	 
21044	10	 
21044	11	 
21045	6	 
21045	7	 
21045	8	 
21045	9	 
21045	10	 
21045	11	 
21046	6	 
21046	7	 
21046	8	 
21046	9	 
21046	10	 
21046	11	 
21047	6	 
21047	7	 
21047	8	 
21047	9	 
21047	10	 
21047	11	 
21048	6	 
21048	7	 
21048	8	 
21048	9	 
21048	10	 
21048	11	 
21049	6	 
21049	7	 
21049	8	 
21049	9	 
21049	10	 
21049	11	 
21050	6	0
21050	7	0
21050	8	9000
21050	9	0
21050	10	1800
21050	11	2000
31002	6	0
31002	7	50000
31002	8	0
31002	9	0
31002	10	40000
31002	11	7000
31005	6	0
31005	7	0
31005	8	0
31005	9	0
31005	10	0
31005	11	3000
31006	6	 
31006	7	 
31006	8	 
31006	9	 
31006	10	 
31006	11	 
31007	6	0
31007	7	27000
31007	8	0
31007	9	0
31007	10	0
31007	11	4000
31009	6	0
31009	7	0
31009	8	900
31009	9	0
31009	10	0
31009	11	2000
31010	6	0
31010	7	0
31010	8	0
31010	9	0
31010	10	0
31010	11	1300
31011	6	0
31011	7	0
31011	8	0
31011	9	0
31011	10	500
31011	11	2000
31012	6	0
31012	7	30000
31012	8	3000
31012	9	0
31012	10	0
31012	11	4000
31013	6	0
31013	7	40000
31013	8	0
31013	9	0
31013	10	45000
31013	11	10000
31014	6	 
31014	7	 
31014	8	 
31014	9	 
31014	10	 
31014	11	 
31015	6	 
31015	7	 
31015	8	 
31015	9	 
31015	10	 
31015	11	 
31016	6	 
31016	7	 
31016	8	 
31016	9	 
31016	10	 
31016	11	 
31018	6	0
31018	7	60000
31018	8	4500
31018	9	0
31018	10	0
31018	11	5000
31019	6	 
31019	7	 
31019	8	 
31019	9	 
31019	10	 
31019	11	 
31020	6	30000
31020	7	12000
31020	8	120000
31020	9	0
31020	10	1200
31020	11	22000
31022	6	0
31022	7	0
31022	8	2200
31022	9	0
31022	10	0
31022	11	2000
31023	6	35500
31023	7	0
31023	8	0
31023	9	40000
31023	10	30000
31023	11	1000
31024	6	0
31024	7	1200
31024	8	1520
31024	9	0
31024	10	1500
31024	11	2000
31025	6	 
31025	7	 
31025	8	 
31025	9	 
31025	10	 
31025	11	 
31026	6	 
31026	7	 
31026	8	 
31026	9	 
31026	10	 
31026	11	 
31027	6	0
31027	7	0
31027	8	0
31027	9	0
31027	10	0
31027	11	1200
31028	6	 
31028	7	 
31028	8	 
31028	9	 
31028	10	 
31028	11	 
31029	6	 
31029	7	 
31029	8	 
31029	9	 
31029	10	 
31029	11	 
31030	6	 
31030	7	 
31030	8	 
31030	9	 
31030	10	 
31030	11	 
31031	6	0
31031	7	0
31031	8	1500
31031	9	0
31031	10	0
31031	11	2000
31032	6	 
31032	7	 
31032	8	 
31032	9	 
31032	10	 
31032	11	 
31033	6	0
31033	7	0
31033	8	0
31033	9	0
31033	10	0
31033	11	3000
31034	6	0
31034	7	0
31034	8	0
31034	9	0
31034	10	100
31034	11	2000
31035	6	 
31035	7	 
31035	8	 
31035	9	 
31035	10	 
31035	11	 
31036	6	 
31036	7	 
31036	8	 
31036	9	 
31036	10	 
31036	11	 
31038	6	 
31038	7	 
31038	8	 
31038	9	 
31038	10	 
31038	11	 
31039	6	0
31039	7	0
31039	8	0
31039	9	0
31039	10	0
31039	11	1000
31040	6	 
31040	7	 
31040	8	 
31040	9	 
31040	10	 
31040	11	 
31041	6	0
31041	7	0
31041	8	0
31041	9	0
31041	10	0
31041	11	1500
31042	6	0
31042	7	0
31042	8	16000
31042	9	0
31042	10	0
31042	11	5000
31043	6	 
31043	7	 
31043	8	 
31043	9	 
31043	10	 
31043	11	 
31047	6	 
31047	7	 
31047	8	 
31047	9	 
31047	10	 
31047	11	 
31048	6	0
31048	7	0
31048	8	1600
31048	9	0
31048	10	0
31048	11	3000
31049	6	0
31049	7	0
31049	8	40000
31049	9	0
31049	10	0
31049	11	7000
31050	6	 
31050	7	 
31050	8	 
31050	9	 
31050	10	 
31050	11	 
41001	6	0
41001	7	0
41001	8	1150
41001	9	0
41001	10	0
41001	11	200
41002	6	 
41002	7	 
41002	8	 
41002	9	 
41002	10	 
41002	11	 
41003	6	 
41003	7	 
41003	8	 
41003	9	 
41003	10	 
41003	11	 
41004	6	 
41004	7	 
41004	8	 
41004	9	 
41004	10	 
41004	11	 
41005	6	0
41005	7	10000
41005	8	0
41005	9	0
41005	10	0
41005	11	3000
41006	6	 
41006	7	 
41006	8	 
41006	9	 
41006	10	 
41006	11	 
41007	6	 
41007	7	 
41007	8	 
41007	9	 
41007	10	 
41007	11	 
41009	6	 
41009	7	 
41009	8	 
41009	9	 
41009	10	 
41009	11	 
41010	6	0
41010	7	0
41010	8	0
41010	9	0
41010	10	0
41010	11	0
41011	6	 
41011	7	 
41011	8	 
41011	9	 
41011	10	 
41011	11	 
41012	6	 
41012	7	 
41012	8	 
41012	9	 
41012	10	 
41012	11	 
41013	6	 
41013	7	 
41013	8	 
41013	9	 
41013	10	 
41013	11	 
41014	6	 
41014	7	 
41014	8	 
41014	9	 
41014	10	 
41014	11	 
41015	6	 
41015	7	 
41015	8	 
41015	9	 
41015	10	 
41015	11	 
41016	6	 
41016	7	 
41016	8	 
41016	9	 
41016	10	 
41016	11	 
41017	6	0
41017	7	0
41017	8	0
41017	9	10000
41017	10	0
41017	11	1000
41018	6	 
41018	7	 
41018	8	 
41018	9	 
41018	10	 
41018	11	 
41019	6	 
41019	7	 
41019	8	 
41019	9	 
41019	10	 
41019	11	 
41020	6	 
41020	7	 
41020	8	 
41020	9	 
41020	10	 
41020	11	 
41021	6	 
41021	7	 
41021	8	 
41021	9	 
41021	10	 
41021	11	 
41022	6	0
41022	7	0
41022	8	0
41022	9	0
41022	10	0
41022	11	0
41023	6	 
41023	7	 
41023	8	 
41023	9	 
41023	10	 
41023	11	 
41024	6	 
41024	7	 
41024	8	 
41024	9	 
41024	10	 
41024	11	 
41025	6	 
41025	7	 
41025	8	 
41025	9	 
41025	10	 
41025	11	 
41026	6	 
41026	7	 
41026	8	 
41026	9	 
41026	10	 
41026	11	 
41027	6	 
41027	7	 
41027	8	 
41027	9	 
41027	10	 
41027	11	 
41028	6	 
41028	7	 
41028	8	 
41028	9	 
41028	10	 
41028	11	 
41029	6	0
41029	7	8000
41029	8	0
41029	9	7000
41029	10	2000
41029	11	3000
41030	6	 
41030	7	 
41030	8	 
41030	9	 
41030	10	 
41030	11	 
41031	6	 
41031	7	 
41031	8	 
41031	9	 
41031	10	 
41031	11	 
41032	6	 
41032	7	 
41032	8	 
41032	9	 
41032	10	 
41032	11	 
41033	6	 
41033	7	 
41033	8	 
41033	9	 
41033	10	 
41033	11	 
41034	6	 
41034	7	 
41034	8	 
41034	9	 
41034	10	 
41034	11	 
41035	6	 
41035	7	 
41035	8	 
41035	9	 
41035	10	 
41035	11	 
41036	6	 
41036	7	 
41036	8	 
41036	9	 
41036	10	 
41036	11	 
41037	6	 
41037	7	 
41037	8	 
41037	9	 
41037	10	 
41037	11	 
41039	6	0
41039	7	0
41039	8	2000
41039	9	0
41039	10	2000
41039	11	1400
41040	6	0
41040	7	0
41040	8	9000
41040	9	40000
41040	10	1000
41040	11	3000
41041	6	0
41041	7	0
41041	8	0
41041	9	0
41041	10	0
41041	11	2000
41042	6	 
41042	7	 
41042	8	 
41042	9	 
41042	10	 
41042	11	 
41043	6	 
41043	7	 
41043	8	 
41043	9	 
41043	10	 
41043	11	 
41044	6	0
41044	7	12000
41044	8	15000
41044	9	30000
41044	10	0
41044	11	0
41045	6	 
41045	7	 
41045	8	 
41045	9	 
41045	10	 
41045	11	 
41046	6	 
41046	7	 
41046	8	 
41046	9	 
41046	10	 
41046	11	 
41047	6	0
41047	7	0
41047	8	1500
41047	9	0
41047	10	0
41047	11	500
41048	6	 
41048	7	 
41048	8	 
41048	9	 
41048	10	 
41048	11	 
41049	6	 
41049	7	 
41049	8	 
41049	9	 
41049	10	 
41049	11	 
51001	6	2000
51001	7	0
51001	8	1500
51001	9	0
51001	10	0
51001	11	2000
51002	6	 
51002	7	 
51002	8	 
51002	9	 
51002	10	 
51002	11	 
51003	6	0
51003	7	0
51003	8	1400
51003	9	0
51003	10	500
51003	11	1500
51004	6	0
51004	7	0
51004	8	0
51004	9	0
51004	10	0
51004	11	5000
51005	6	0
51005	7	0
51005	8	1600
51005	9	0
51005	10	0
51005	11	2000
51006	6	 
51006	7	 
51006	8	 
51006	9	 
51006	10	 
51006	11	 
51007	6	0
51007	7	0
51007	8	1800
51007	9	0
51007	10	0
51007	11	5000
51008	6	2500
51008	7	0
51008	8	4000
51008	9	45000
51008	10	0
51008	11	4000
51009	6	0
51009	7	0
51009	8	1600
51009	9	0
51009	10	0
51009	11	1500
51010	6	0
51010	7	9000
51010	8	0
51010	9	0
51010	10	0
51010	11	3000
51011	6	0
51011	7	0
51011	8	4500
51011	9	0
51011	10	3000
51011	11	5000
51012	6	 
51012	7	 
51012	8	 
51012	9	 
51012	10	 
51012	11	 
51013	6	 
51013	7	 
51013	8	 
51013	9	 
51013	10	 
51013	11	 
51014	6	 
51014	7	 
51014	8	 
51014	9	 
51014	10	 
51014	11	 
51016	6	0
51016	7	0
51016	8	5000
51016	9	0
51016	10	0
51016	11	4000
51017	6	 
51017	7	 
51017	8	 
51017	9	 
51017	10	 
51017	11	 
51018	6	 
51018	7	 
51018	8	 
51018	9	 
51018	10	 
51018	11	 
51019	6	 
51019	7	 
51019	8	 
51019	9	 
51019	10	 
51019	11	 
51020	6	0
51020	7	0
51020	8	0
51020	9	1500
51020	10	0
51020	11	1000
51022	6	 
51022	7	 
51022	8	 
51022	9	 
51022	10	 
51022	11	 
51023	6	 
51023	7	 
51023	8	 
51023	9	 
51023	10	 
51023	11	 
51024	6	 
51024	7	 
51024	8	 
51024	9	 
51024	10	 
51024	11	 
51025	6	 
51025	7	 
51025	8	 
51025	9	 
51025	10	 
51025	11	 
51026	6	 
51026	7	 
51026	8	 
51026	9	 
51026	10	 
51026	11	 
51027	6	0
51027	7	0
51027	8	1200
51027	9	0
51027	10	0
51027	11	3000
51028	6	 
51028	7	 
51028	8	 
51028	9	 
51028	10	 
51028	11	 
51029	6	 
51029	7	 
51029	8	 
51029	9	 
51029	10	 
51029	11	 
51030	6	0
51030	7	0
51030	8	2000
51030	9	0
51030	10	0
51030	11	0
51031	6	0
51031	7	0
51031	8	1440
51031	9	0
51031	10	1000
51031	11	2000
51032	6	0
51032	7	0
51032	8	42000
51032	9	0
51032	10	2000
51032	11	3000
51033	6	 
51033	7	 
51033	8	 
51033	9	 
51033	10	 
51033	11	 
51034	6	 
51034	7	 
51034	8	 
51034	9	 
51034	10	 
51034	11	 
51035	6	 
51035	7	 
51035	8	 
51035	9	 
51035	10	 
51035	11	 
51036	6	2000
51036	7	0
51036	8	1200
51036	9	0
51036	10	1500
51036	11	10000
51037	6	 
51037	7	 
51037	8	 
51037	9	 
51037	10	 
51037	11	 
51038	6	 
51038	7	 
51038	8	 
51038	9	 
51038	10	 
51038	11	 
51039	6	0
51039	7	10000
51039	8	0
51039	9	10000
51039	10	0
51039	11	0
51040	6	 
51040	7	 
51040	8	 
51040	9	 
51040	10	 
51040	11	 
51041	6	 
51041	7	 
51041	8	 
51041	9	 
51041	10	 
51041	11	 
51042	6	0
51042	7	0
51042	8	1200
51042	9	0
51042	10	0
51042	11	2000
51043	6	 
51043	7	 
51043	8	 
51043	9	 
51043	10	 
51043	11	 
51044	6	0
51044	7	0
51044	8	2000
51044	9	0
51044	10	400
51044	11	1000
51045	6	0
51045	7	0
51045	8	2000
51045	9	0
51045	10	0
51045	11	0
51046	6	 
51046	7	 
51046	8	 
51046	9	 
51046	10	 
51046	11	 
51047	6	 
51047	7	 
51047	8	 
51047	9	 
51047	10	 
51047	11	 
51048	6	0
51048	7	0
51048	8	1500
51048	9	0
51048	10	0
51048	11	3000
51049	6	 
51049	7	 
51049	8	 
51049	9	 
51049	10	 
51049	11	 
51050	6	 
51050	7	 
51050	8	 
51050	9	 
51050	10	 
51050	11	 
61001	6	0
61001	7	1500
61001	8	1080
61001	9	0
61001	10	0
61001	11	3000
61002	6	0
61002	7	0
61002	8	5000
61002	9	0
61002	10	0
61002	11	2400
61003	6	 
61003	7	 
61003	8	 
61003	9	 
61003	10	 
61003	11	 
61004	6	 
61004	7	 
61004	8	 
61004	9	 
61004	10	 
61004	11	 
61005	6	 
61005	7	 
61005	8	 
61005	9	 
61005	10	 
61005	11	 
61006	6	 
61006	7	 
61006	8	 
61006	9	 
61006	10	 
61006	11	 
61007	6	 
61007	7	 
61007	8	 
61007	9	 
61007	10	 
61007	11	 
61008	6	0
61008	7	0
61008	8	0
61008	9	24000
61008	10	0
61008	11	5000
61009	6	0
61009	7	0
61009	8	4000
61009	9	0
61009	10	1500
61009	11	4000
61010	6	0
61010	7	15000
61010	8	0
61010	9	5000
61010	10	0
61010	11	5000
61011	6	 
61011	7	 
61011	8	 
61011	9	 
61011	10	 
61011	11	 
61012	6	 
61012	7	 
61012	8	 
61012	9	 
61012	10	 
61012	11	 
61013	6	0
61013	7	0
61013	8	1000
61013	9	0
61013	10	0
61013	11	500
61014	6	 
61014	7	 
61014	8	 
61014	9	 
61014	10	 
61014	11	 
61015	6	 
61015	7	 
61015	8	 
61015	9	 
61015	10	 
61015	11	 
61016	6	0
61016	7	0
61016	8	2000
61016	9	0
61016	10	2000
61016	11	5000
61017	6	0
61017	7	10000
61017	8	2000
61017	9	0
61017	10	0
61017	11	2000
61018	6	1000
61018	7	0
61018	8	10000
61018	9	0
61018	10	0
61018	11	3000
61019	6	0
61019	7	0
61019	8	0
61019	9	0
61019	10	0
61019	11	4000
61020	6	0
61020	7	0
61020	8	0
61020	9	0
61020	10	200
61020	11	500
61021	6	 
61021	7	 
61021	8	 
61021	9	 
61021	10	 
61021	11	 
61022	6	 
61022	7	 
61022	8	 
61022	9	 
61022	10	 
61022	11	 
61023	6	 
61023	7	 
61023	8	 
61023	9	 
61023	10	 
61023	11	 
61024	6	0
61024	7	0
61024	8	750
61024	9	0
61024	10	0
61024	11	3000
61025	6	 
61025	7	 
61025	8	 
61025	9	 
61025	10	 
61025	11	 
61026	6	 
61026	7	 
61026	8	 
61026	9	 
61026	10	 
61026	11	 
61027	6	 
61027	7	 
61027	8	 
61027	9	 
61027	10	 
61027	11	 
61028	6	 
61028	7	 
61028	8	 
61028	9	 
61028	10	 
61028	11	 
61029	6	 
61029	7	 
61029	8	 
61029	9	 
61029	10	 
61029	11	 
61030	6	 
61030	7	 
61030	8	 
61030	9	 
61030	10	 
61030	11	 
61031	6	 
61031	7	 
61031	8	 
61031	9	 
61031	10	 
61031	11	 
61032	6	 
61032	7	 
61032	8	 
61032	9	 
61032	10	 
61032	11	 
61033	6	 
61033	7	 
61033	8	 
61033	9	 
61033	10	 
61033	11	 
61034	6	0
61034	7	0
61034	8	950
61034	9	0
61034	10	0
61034	11	1200
61035	6	0
61035	7	0
61035	8	2000
61035	9	0
61035	10	0
61035	11	3000
61036	6	 
61036	7	 
61036	8	 
61036	9	 
61036	10	 
61036	11	 
61037	6	 
61037	7	 
61037	8	 
61037	9	 
61037	10	 
61037	11	 
61038	6	 
61038	7	 
61038	8	 
61038	9	 
61038	10	 
61038	11	 
61039	6	0
61039	7	0
61039	8	0
61039	9	0
61039	10	0
61039	11	1000
61040	6	 
61040	7	 
61040	8	 
61040	9	 
61040	10	 
61040	11	 
61041	6	 
61041	7	 
61041	8	 
61041	9	 
61041	10	 
61041	11	 
61042	6	 
61042	7	 
61042	8	 
61042	9	 
61042	10	 
61042	11	 
61043	6	0
61043	7	0
61043	8	1800
61043	9	0
61043	10	0
61043	11	4000
61044	6	 
61044	7	 
61044	8	 
61044	9	 
61044	10	 
61044	11	 
61045	6	 
61045	7	 
61045	8	 
61045	9	 
61045	10	 
61045	11	 
61046	6	 
61046	7	 
61046	8	 
61046	9	 
61046	10	 
61046	11	 
61047	6	 
61047	7	 
61047	8	 
61047	9	 
61047	10	 
61047	11	 
61048	6	0
61048	7	0
61048	8	1800
61048	9	0
61048	10	0
61048	11	5000
61049	6	0
61049	7	12000
61049	8	0
61049	9	6000
61049	10	0
61049	11	5000
61050	6	0
61050	7	0
61050	8	1800
61050	9	0
61050	10	0
61050	11	3500
71001	6	0
71001	7	30000
71001	8	4000
71001	9	12000
71001	10	0
71001	11	7000
71002	6	0
71002	7	0
71002	8	1500
71002	9	0
71002	10	0
71002	11	4000
71003	6	 
71003	7	 
71003	8	 
71003	9	 
71003	10	 
71003	11	 
71004	6	 
71004	7	 
71004	8	 
71004	9	 
71004	10	 
71004	11	 
71005	6	0
71005	7	18000
71005	8	0
71005	9	0
71005	10	0
71005	11	2000
71006	6	0
71006	7	0
71006	8	1500
71006	9	0
71006	10	0
71006	11	5000
71007	6	0
71007	7	0
71007	8	1160
71007	9	0
71007	10	75
71007	11	2000
71008	6	 
71008	7	 
71008	8	 
71008	9	 
71008	10	 
71008	11	 
71009	6	 
71009	7	 
71009	8	 
71009	9	 
71009	10	 
71009	11	 
71010	6	0
71010	7	40000
71010	8	6000
71010	9	20000
71010	10	0
71010	11	10000
71011	6	 
71011	7	 
71011	8	 
71011	9	 
71011	10	 
71011	11	 
71012	6	 
71012	7	 
71012	8	 
71012	9	 
71012	10	 
71012	11	 
71013	6	0
71013	7	36000
71013	8	2500
71013	9	0
71013	10	0
71013	11	8000
71014	6	5500
71014	7	0
71014	8	0
71014	9	0
71014	10	0
71014	11	3000
71015	6	 
71015	7	 
71015	8	 
71015	9	 
71015	10	 
71015	11	 
71016	6	 
71016	7	 
71016	8	 
71016	9	 
71016	10	 
71016	11	 
71017	6	0
71017	7	0
71017	8	1200
71017	9	0
71017	10	0
71017	11	1000
71018	6	 
71018	7	 
71018	8	 
71018	9	 
71018	10	 
71018	11	 
71019	6	 
71019	7	 
71019	8	 
71019	9	 
71019	10	 
71019	11	 
71020	6	0
71020	7	0
71020	8	1500
71020	9	0
71020	10	0
71020	11	500
71021	6	 
71021	7	 
71021	8	 
71021	9	 
71021	10	 
71021	11	 
71022	6	 
71022	7	 
71022	8	 
71022	9	 
71022	10	 
71022	11	 
71023	6	0
71023	7	25000
71023	8	5000
71023	9	10000
71023	10	650
71023	11	2000
71024	6	 
71024	7	 
71024	8	 
71024	9	 
71024	10	 
71024	11	 
71025	6	0
71025	7	500
71025	8	1620
71025	9	0
71025	10	70
71025	11	2400
71026	6	0
71026	7	0
71026	8	1000
71026	9	0
71026	10	2000
71026	11	2000
71027	6	0
71027	7	0
71027	8	1960
71027	9	0
71027	10	0
71027	11	1100
71028	6	 
71028	7	 
71028	8	 
71028	9	 
71028	10	 
71028	11	 
71030	6	 
71030	7	 
71030	8	 
71030	9	 
71030	10	 
71030	11	 
71031	6	 
71031	7	 
71031	8	 
71031	9	 
71031	10	 
71031	11	 
71032	6	0
71032	7	0
71032	8	1200
71032	9	0
71032	10	400
71032	11	6000
71033	6	 
71033	7	 
71033	8	 
71033	9	 
71033	10	 
71033	11	 
71034	6	 
71034	7	 
71034	8	 
71034	9	 
71034	10	 
71034	11	 
71035	6	 
71035	7	 
71035	8	 
71035	9	 
71035	10	 
71035	11	 
71036	6	 
71036	7	 
71036	8	 
71036	9	 
71036	10	 
71036	11	 
71039	6	 
71039	7	 
71039	8	 
71039	9	 
71039	10	 
71039	11	 
71040	6	0
71040	7	0
71040	8	4800
71040	9	0
71040	10	0
71040	11	4500
71041	6	 
71041	7	 
71041	8	 
71041	9	 
71041	10	 
71041	11	 
71042	6	 
71042	7	 
71042	8	 
71042	9	 
71042	10	 
71042	11	 
71044	6	0
71044	7	0
71044	8	0
71044	9	0
71044	10	0
71044	11	2000
71045	6	 
71045	7	 
71045	8	 
71045	9	 
71045	10	 
71045	11	 
71046	6	0
71046	7	0
71046	8	1800
71046	9	0
71046	10	1900
71046	11	500
71047	6	2000
71047	7	0
71047	8	2500
71047	9	0
71047	10	0
71047	11	500
71048	6	0
71048	7	0
71048	8	4000
71048	9	0
71048	10	0
71048	11	4000
71049	6	 
71049	7	 
71049	8	 
71049	9	 
71049	10	 
71049	11	 
71050	6	0
71050	7	600
71050	8	3600
71050	9	0
71050	10	0
71050	11	3000
81001	6	 
81001	7	 
81001	8	 
81001	9	 
81001	10	 
81001	11	 
81002	6	0
