CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
31019	1	1	1	1	1
31019	2	7	2	1	1
31019	3	5	4	2	2
31020	1	1	1	1	1
31020	2	7	1	1	1
31020	3	5	2	1	1
31022	1	1	1	1	1
31022	2	7	3	2	2
31022	3	5	5	4	4
31023	1	1	1	1	1
31023	2	7	1	1	1
31023	3	5	4	2	3
31024	1	1	1	1	1
31024	2	7	3	2	2
31025	1	1	1	1	1
31025	2	7	3	3	2
31025	3	5	4	4	4
31026	1	1	1	1	1
31026	2	7	4	2	3
31027	1	1	1	1	1
31027	2	7	4	2	2
31028	1	1	1	1	1
31028	2	7	3	3	3
31029	1	1	1	1	2
31029	2	7	4	3	4
31029	3	5	4	4	4
31030	1	1	1	1	1
31030	2	7	4	4	4
31032	1	1	2	5	5
31033	1	1	1	1	1
31033	2	7	3	3	3
31034	1	1	1	1	1
31034	2	7	4	2	2
31036	1	1	1	1	2
31036	2	7	4	2	2
31039	1	1	1	1	1
31039	2	7	3	3	3
31040	1	1	1	1	1
31040	2	7	1	1	1
31040	3	5	3	2	2
31040	4	3	3	5	5
31041	1	1	1	1	1
31041	2	7	3	3	3
31042	1	1	1	1	1
31042	2	7	1	1	1
31048	1	1	1	1	1
31048	2	7	3	3	3
31049	1	1	1	1	2
31049	2	7	2	2	2
31049	3	5	4	3	3
31049	4	6	3	4	4
31050	1	1	1	1	1
31050	2	7	5	4	4
41001	1	7	4	2	1
41001	2	1	1	1	1
41002	1	1	2	2	2
41002	2	7	4	4	4
41003	1	1	2	2	3
41004	1	1	1	2	2
41004	2	7	5	4	4
41005	1	1	2	2	2
41005	2	7	3	3	3
41005	3	6	3	5	5
41006	1	1	1	1	1
41006	2	7	4	2	3
41007	1	1	1	1	2
41009	1	1	1	1	1
41009	2	7	4	3	3
41010	1	1	1	2	2
41010	2	7	5	4	4
41011	1	1	1	4	4
41012	1	1	1	1	1
41012	2	7	3	2	2
41013	1	1	1	1	1
41014	1	1	1	1	1
41014	2	7	5	3	4
41015	1	1	1	1	1
41015	2	7	5	4	4
41016	1	1	2	2	1
41016	2	7	4	2	2
41017	1	1	1	1	1
41017	2	7	3	1	1
41018	1	1	1	1	1
41018	2	7	5	4	3
41019	1	1	1	1	1
41019	2	7	4	3	3
41019	3	4	1	5	5
41020	1	1	1	1	1
41020	2	7	5	4	4
41021	1	1	2	2	2
41021	2	7	4	3	3
41022	1	1	1	1	1
41022	2	7	3	4	3
41023	1	1	1	4	4
41023	2	6	1	88	88
41024	1	1	1	1	1
41024	2	7	5	3	3
41024	3	6	1	88	88
41025	1	1	2	2	2
41025	2	7	5	4	3
41025	3	6	1	88	88
41026	1	1	1	3	3
41027	1	1	1	1	1
41027	2	7	3	1	1
41027	3	5	4	3	2
41028	1	1	1	1	1
41028	2	7	2	1	1
41028	3	5	5	3	4
41029	1	7	3	2	1
41029	2	1	1	1	1
41030	1	1	2	2	2
41030	2	7	5	4	4
41031	1	1	1	1	1
41031	2	7	5	3	3
41032	1	1	1	1	1
41032	2	7	5	3	3
41033	1	1	2	2	2
41033	2	7	4	3	3
41033	3	8	3	5	5
41034	1	1	1	1	1
41034	2	7	3	2	3
41034	3	5	3	3	3
41035	1	1	1	1	1
41035	2	7	3	2	3
41035	3	5	5	4	5
41037	1	1	2	2	3
41037	2	7	5	4	4
41039	1	1	2	2	2
41039	2	7	5	5	2
