childid	planid	plan	nplan
PE011001	1	88	10
PE011001	2	88	88
PE011006	1	1	10
PE011006	2	88	88
PE011097	1	1	2
PE011097	2	88	88
PE011005	1	1	4
PE011005	2	88	88
PE011010	1	1	4
PE011010	2	88	88
PE011021	1	1	10
PE011021	2	88	88
PE011026	1	5	88
PE011026	2	88	88
PE011069	1	10	88
PE011069	2	88	88
PE011035	1	1	4
PE011035	2	88	88
PE011029	1	1	4
PE011029	2	88	88
PE011045	1	1	10
PE011045	2	88	88
PE011051	1	10	88
PE011051	2	88	88
PE011081	1	4	88
PE011081	2	88	88
PE011090	1	1	4
PE011090	2	88	88
PE011084	1	10	88
PE011084	2	10	88
PE011033	1	1	10
PE011033	2	88	88
PE011062	1	10	88
PE011062	2	88	88
PE011046	1	2	88
PE011046	2	88	88
PE011073	1	4	88
PE011073	2	88	88
PE011066	1	2	88
PE011066	2	10	88
PE011098	1	1	10
PE011098	2	88	88
PE011071	1	1	4
PE011071	2	88	88
PE011077	1	1	10
PE011077	2	88	88
PE011067	1	1	4
PE011067	2	88	88
PE011083	1	10	88
PE011083	2	88	88
PE011086	1	1	2
PE011086	2	88	88
PE011004	1	88	4
PE011004	2	88	88
PE011089	1	10	88
PE011089	2	88	88
PE011096	1	88	1
PE011096	2	88	88
PE011009	1	1	1
PE011009	2	88	88
PE011017	1	1	4
PE011017	2	88	88
PE011019	1	4	88
PE011019	2	88	88
PE011023	1	4	88
PE011023	2	88	88
PE011028	1	1	1
PE011028	2	88	88
PE011022	1	1	4
PE011022	2	88	88
PE011054	1	10	88
PE011054	2	88	88
PE011056	1	5	88
PE011056	2	88	88
PE011038	1	1	4
PE011038	2	88	88
PE011030	1	1	4
PE011030	2	88	88
PE011092	1	1	2
PE011092	2	88	88
PE011075	1	10	88
PE011075	2	88	88
PE011060	1	1	4
PE011060	2	88	88
PE011099	1	4	88
PE011099	2	88	88
PE011061	1	1	10
PE011061	2	88	88
PE011002	1	88	2
PE011002	2	88	88
PE011008	1	1	2
PE011008	2	88	88
PE011052	1	10	88
PE011052	2	10	88
PE011057	1	4	88
PE011057	2	88	88
PE011058	1	1	4
PE011058	2	88	88
PE011043	1	1	2
PE011043	2	88	4
PE011015	1	1	4
PE011015	2	88	88
PE011018	1	1	7
PE011018	2	88	4
PE011041	1	1	2
PE011041	2	88	4
PE011047	1	1	4
PE011047	2	88	88
PE011040	1	1	2
PE011040	2	88	88
PE011064	1	4	88
PE011064	2	88	88
PE011070	1	10	88
PE011070	2	88	88
PE011072	1	1	4
PE011072	2	88	88
PE011087	1	4	88
PE011087	2	88	88
PE011088	1	1	4
PE011088	2	88	88
PE011094	1	1	10
PE011094	2	88	88
PE011003	1	1	1
PE011003	2	88	88
PE011020	1	3	88
PE011020	2	88	88
PE011012	1	4	88
PE011012	2	88	88
PE011014	1	1	4
PE011014	2	88	88
PE011050	1	4	88
PE011050	2	88	88
PE011039	1	1	4
PE011039	2	88	88
PE011065	1	4	88
PE011065	2	88	88
PE011037	1	1	4
PE011037	2	88	88
PE011042	1	1	4
PE011042	2	88	88
PE011032	1	1	4
PE011032	2	88	88
PE011048	1	4	88
PE011048	2	10	88
PE011036	1	4	88
PE011036	2	88	88
PE011078	1	1	10
PE011078	2	88	88
PE011053	1	1	10
PE011053	2	88	88
PE011080	1	1	6
PE011080	2	88	88
PE011095	1	6	88
PE011095	2	88	88
PE011044	1	1	4
PE011044	2	88	88
PE011007	1	1	10
PE011007	2	88	10
PE011011	1	10	88
PE011011	2	88	88
PE011049	1	1	4
PE011049	2	88	3
PE011100	1	1	7
PE011100	2	88	88
PE011024	1	10	88
PE011024	2	88	88
PE011027	1	88	2
PE011027	2	88	8
PE011031	1	1	2
PE011031	2	88	88
PE011034	1	1	1
PE011034	2	88	88
PE011055	1	4	88
PE011055	2	10	88
PE011059	1	1	2
PE011059	2	88	88
PE011074	1	1	2
PE011074	2	88	88
PE011093	1	1	4
PE011093	2	88	2
PE011063	1	1	1
PE011063	2	88	88
PE011068	1	88	2
PE011068	2	88	88
PE011079	1	1	1
PE011079	2	88	88
PE011082	1	10	88
PE011082	2	88	88
PE011013	1	10	88
PE011013	2	88	88
PE011016	1	10	88
PE011016	2	88	88
PE011091	1	1	7
PE011091	2	88	88
PE011025	1	4	88
PE011025	2	88	88
PE011076	1	1	1
PE011076	2	88	88
PE011085	1	1	1
PE011085	2	88	88
PE021005	1	1	1
PE021005	2	88	88
PE021047	1	1	2
PE021047	2	88	88
PE021010	1	1	4
PE021010	2	88	88
PE021013	1	1	2
PE021013	2	88	3
PE021014	1	1	4
PE021014	2	88	88
PE021033	1	1	10
PE021033	2	88	88
PE021024	1	1	10
PE021024	2	88	4
PE021083	1	1	4
PE021083	2	88	10
PE021052	1	1	7
PE021052	2	88	10
PE021059	1	4	88
PE021059	2	88	88
PE021098	1	1	10
PE021098	2	88	88
PE021077	1	1	4
PE021077	2	88	10
PE021051	1	1	4
PE021051	2	88	88
PE021064	1	6	88
PE021064	2	10	88
PE021069	1	4	88
PE021069	2	10	88
PE021089	1	1	4
PE021089	2	88	10
PE021087	1	1	10
PE021087	2	88	7
PE021094	1	1	10
PE021094	2	88	88
PE021031	1	1	10
PE021031	2	88	4
PE021006	1	1	4
PE021006	2	88	88
PE021042	1	1	4
PE021042	2	88	2
PE021067	1	1	2
PE021067	2	88	88
PE021012	1	1	1
PE021012	2	88	88
PE021043	1	1	4
PE021043	2	88	88
PE021015	1	2	88
PE021015	2	88	88
PE021021	1	1	10
PE021021	2	88	88
PE021025	1	1	10
PE021025	2	88	88
PE021034	1	1	10
PE021034	2	88	88
PE021032	1	1	2
PE021032	2	88	88
PE021038	1	1	3
PE021038	2	88	88
PE021056	1	1	1
PE021056	2	88	88
PE021097	1	1	2
PE021097	2	88	88
PE021072	1	10	88
PE021072	2	88	88
PE021060	1	1	4
PE021060	2	88	88
PE021080	1	1	2
PE021080	2	88	88
PE021079	1	1	4
PE021079	2	88	88
PE021082	1	1	10
PE021082	2	88	88
PE021086	1	10	88
PE021086	2	88	88
PE021068	1	1	3
PE021068	2	88	88
PE021095	1	10	88
PE021095	2	88	88
PE021029	1	4	88
PE021029	2	88	88
PE021003	1	1	4
PE021003	2	88	88
PE021046	1	1	4
PE021046	2	88	2
PE021019	1	1	4
PE021019	2	88	88
PE021011	1	1	4
PE021011	2	88	88
PE021026	1	1	4
PE021026	2	88	88
PE021039	1	1	2
PE021039	2	88	88
PE021053	1	1	4
PE021053	2	88	88
PE021050	1	1	1
PE021050	2	88	88
PE021058	1	1	10
PE021058	2	88	88
PE021063	1	4	88
PE021063	2	88	88
PE021074	1	1	2
PE021074	2	88	4
PE021073	1	4	88
PE021073	2	88	88
PE021090	1	4	88
PE021090	2	88	88
PE021088	1	1	2
PE021088	2	88	88
PE021091	1	4	88
PE021091	2	88	88
PE021093	1	10	88
PE021093	2	88	88
PE021001	1	1	3
PE021001	2	88	88
PE021007	1	4	88
PE021007	2	88	88
PE021009	1	1	2
PE021009	2	88	88
PE021062	1	1	4
PE021062	2	88	10
PE021004	1	10	88
PE021004	2	4	88
PE021044	1	1	4
PE021044	2	88	10
PE021016	1	10	88
PE021016	2	88	88
PE021027	1	1	2
PE021027	2	88	10
PE021075	1	4	88
PE021075	2	88	88
PE021023	1	1	10
PE021023	2	88	88
PE021035	1	1	2
PE021035	2	88	88
PE021040	1	1	10
PE021040	2	88	7
PE021037	1	1	2
PE021037	2	88	88
PE021049	1	1	2
PE021049	2	88	88
PE021071	1	6	88
PE021071	2	88	88
PE021065	1	7	88
PE021065	2	88	88
PE021096	1	1	2
PE021096	2	88	88
PE021054	1	10	88
PE021054	2	88	88
PE021084	1	10	88
PE021084	2	88	88
PE021081	1	10	88
PE021081	2	88	88
PE021092	1	6	88
PE021092	2	88	88
PE021099	1	1	2
PE021099	2	88	4
PE021002	1	10	88
PE021002	2	88	88
PE021028	1	10	88
PE021028	2	4	88
PE021008	1	10	88
PE021008	2	88	88
PE021017	1	1	4
PE021017	2	88	88
PE021018	1	1	10
PE021018	2	88	88
PE021020	1	1	10
PE021020	2	88	88
PE021022	1	7	88
PE021022	2	88	88
PE021036	1	10	88
PE021036	2	88	88
PE021030	1	1	8
PE021030	2	88	88
PE021041	1	2	88
PE021041	2	88	88
PE021055	1	1	10
PE021055	2	88	88
PE021048	1	4	88
PE021048	2	88	88
PE021045	1	10	88
PE021045	2	88	88
PE021070	1	10	88
PE021070	2	88	88
PE021061	1	4	88
PE021061	2	88	88
PE021057	1	3	88
PE021057	2	88	88
PE021066	1	3	88
PE021066	2	88	88
PE021076	1	1	10
PE021076	2	88	88
PE021078	1	10	88
PE021078	2	88	88
PE021085	1	1	4
PE021085	2	88	88
PE021100	1	6	88
PE021100	2	88	88
PE031003	1	1	3
PE031003	2	88	88
PE031005	1	1	10
PE031005	2	88	88
PE031010	1	1	10
PE031010	2	88	88
PE031025	1	1	4
PE031025	2	88	88
PE031024	1	10	88
PE031024	2	88	88
PE031023	1	1	2
PE031023	2	88	88
PE031042	1	1	7
PE031042	2	88	88
PE031062	1	1	10
PE031062	2	88	88
PE031035	1	1	10
PE031035	2	88	10
PE031047	1	1	4
PE031047	2	88	88
PE031046	1	1	10
PE031046	2	88	7
PE031055	1	4	88
PE031055	2	88	88
PE031057	1	10	88
PE031057	2	88	88
